"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","사업자등록번호",
"1","국내외여행업","03_12_02_P","3780000","CDFI2260022023000012","2023-06-06","","01","영업/정상","13","영업중","","","","","070-8247-3000","","","경기도 성남시 분당구 구미동 158 하나EZ타워","경기도 성남시 분당구 성남대로43번길 10, 하나EZ타워 309호 (구미동)","13636","헉스투어","2026-03-01 15:53:23","U","2026-03-04 02:40:00","","209483.071430173","426448.970179518","국내외여행업","","","0","","","서울보증보험(주)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20260206","20270205","","0","",
"2","국내외여행업","03_12_02_P","3000000","CDFI2260022026000005","2026-01-28","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 종로1가 24 르메이에르종로타운1","서울특별시 종로구 종로 19, 르메이에르종로타운1 827호 (종로1가)","03157","주식회사탑마이스디엠씨","2026-03-01 09:37:17","U","2026-03-04 02:40:00","","198150.300374121","452019.212642931","국내외여행업","","","0","","","서울보증보험(30,000,000원)","","0","0","0","0","","","0","0","","0","0","","0","36","","0","","","","","","","30000000","20260227","20270226","","36","",
"3","국내외여행업","03_12_02_P","5670000","CDFI2260022014000003","2014-03-13","","01","영업/정상","13","영업중","","","","","055-716-9880","","","경상남도 창원시 마산회원구 석전동 232-11 지상3층","경상남도 창원시 마산회원구 양덕옛2길 117-2, 지상3층 (석전동)","51316","현대투어 주식회사","2026-03-02 13:07:03","U","2026-03-04 02:40:00","","343696.700419676","193785.035258988","국내외여행업","","일반상업지역","4","기타","","서울보증보험주식회사","근린생활시설","3","0","0","0","Hyun Dai Tour Co.Ltd AGENCY","OVERSEAS TRAVEL AGENCY","0","0","","0","0","","0","52.3","","0","","","","","","","100000000","20260314","20270313","","52","",
"4","국내외여행업","03_12_02_P","3780000","CDFI2260022026000001","2026-02-05","","01","영업/정상","13","영업중","","","","","031-697-8722","","","경기도 성남시 수정구 시흥동 338","경기도 성남시 수정구 창업로 54, 711,712,713호 (시흥동)","13449","주식회사 올빅뎃","2026-03-01 15:47:51","U","2026-03-04 02:40:00","","208205.898152936","434416.925187776","국내외여행업","","","0","","","서울보증보험(주)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","110000000","20260206","20270205","","0","",
"5","국내외여행업","03_12_02_P","3780000","CDFI2260022026000002","2026-02-05","","01","영업/정상","13","영업중","","","","","070-8890-5054","","","경기도 성남시 분당구 삼평동 647","경기도 성남시 분당구 대왕판교로606번길 31, 914호 (삼평동)","13524","투어유럽","2026-03-01 15:49:06","U","2026-03-04 02:40:00","","209730.251918502","432737.56040062","국내외여행업","","","0","","","서울보증보험(주)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","30000000","20260206","20270205","","0","",
"6","국내외여행업","03_12_02_P","3780000","CDFI2260022003000011","2003-01-08","","01","영업/정상","13","영업중","","","","","031-751-0585","","","경기도 성남시 중원구 성남동 4943","경기도 성남시 중원구 둔촌대로 84, 503호 (성남동)","13383","(주)의림투어","2026-03-01 15:28:36","U","2026-03-04 02:40:00","","211321.984142903","436405.892298736","국내외여행업","관광사업","일반주거지역","0","주택가주변","","한국관광협회중앙회","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20251028","20261028","","0","",
"7","국내외여행업","03_12_02_P","3780000","CDFI2260022014000009","2014-04-07","","01","영업/정상","13","영업중","","","","","031-626-3006","","463-400","경기도 성남시 분당구 삼평동 741 푸르지오월드마트상가 2-21호","경기도 성남시 분당구 대왕판교로606번길 58, 2-21호 (삼평동, 푸르지오월드마트상가)","13525","조이투어","2026-03-01 15:36:15","U","2026-03-04 02:40:00","","209993.600292929","432609.081811328","국내외여행업","","","0","","","서울보증보험(주)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","60000000","20251221","20261220","","0","",
"8","국내외여행업","03_12_02_P","3780000","CDFI2260022005000021","2005-11-25","","01","영업/정상","13","영업중","","","","","031-705-0088","","","경기도 성남시 분당구 서현동 246-6 서현현대프라자","경기도 성남시 분당구 황새울로360번길 35, 서현현대프라자 4층 (서현동)","13591","주식회사 더케이엘티(THE KLT)","2026-03-01 15:30:46","U","2026-03-04 02:40:00","","210970.99430415","431434.454601963","국내외여행업","관광사업","","0","","","서울보증보험(주)","","0","0","0","0","","","0","0","","0","0","","0","26.08","","0","","","","","","","100000000","20251128","20261127","","26","",
"9","국내외여행업","03_12_02_P","3780000","CDFI2260022006000001","2006-01-02","","01","영업/정상","13","영업중","","","","","","","","경기도 성남시 중원구 성남동 3489 엠타워 에이동 816호","경기도 성남시 중원구 둔촌대로101번길 27, 엠타워 에이동 816호 (성남동)","13365","(주)코럭스투어","2026-03-01 15:39:08","U","2026-03-04 02:40:00","","211417.043903036","436672.966110785","국내외여행업","관광사업","","0","","","서울보증보험(주)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20260120","20270119","","0","",
"10","국내외여행업","03_12_02_P","3780000","CDFI2260022006000004","2006-01-16","","01","영업/정상","13","영업중","","","","","031-728-0506","","","경기도 성남시 분당구 금곡동 210 코오롱트리폴리스1 상가204호","경기도 성남시 분당구 정자일로 1, 코오롱트리폴리스1 상가204호 (금곡동)","13616","(주)특급서비스유통","2026-03-01 15:50:26","U","2026-03-04 02:40:00","","209268.321106193","427643.0746251","국내외여행업","관광사업","","0","","","서울보증보험(주)","","0","0","0","0","","","0","0","","0","0","","0","10","","0","","","","","","","100000000","20260115","20270114","","10","",
