"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","자본금의규모","사업자등록번호",
"1","후원방문판매업체","08_26_05_P","6260000","20136260000301000074","2013-08-01","","01","영업/정상","2","영업","","","","","0513430809","","46548","부산광역시 북구 덕천동  ***번지 *호 아남프라자 **~**호","부산광역시 북구 금곡대로*번길 **, *층 **~**호 (덕천동, 아남프라자)","","력셔리 뷰티 덕천중앙점","2026-02-02 00:00:00","U","2026-02-04 02:40:00","","382703.070316607","192096.317910797","후원방문판매업","0","2902001672",
"2","후원방문판매업체","08_26_05_P","6410000","20236410000301100252","2023-04-19","","03","폐업","4","폐업","2026-01-28","","","","","","14434","경기도 부천시 오정동  ***번지 *호 세종아파트 ***동 ***호","경기도 부천시 오정로***번길 **, ***동 ***호 (오정동, 세종아파트)","","주영광","2026-02-02 00:00:00","U","2026-02-04 02:40:00","","","","후원방문판매업","0","3862601693",
"3","후원방문판매업체","08_26_05_P","6410000","20246410000301100090","2024-05-20","","03","폐업","4","폐업","2026-01-29","","","","","","12039","경기도 남양주시 오남읍 오남리 ***번지 *호 대한아파트 ***동 ***호","경기도 남양주시 오남읍 진건오남로***번길 *-**, ***동 ***호 (대한아파트)","","선한부자","2026-02-02 00:00:00","U","2026-02-04 02:40:00","","218767.587631196","464750.187347877","후원방문판매업","0","",
"4","후원방문판매업체","08_26_05_P","6410000","20236410000301100192","2023-02-22","","03","폐업","4","폐업","2026-01-30","","","","","","10556","경기도 고양시 덕양구 삼송동  **번지 *호 ***호","경기도 고양시 덕양구 세솔로*길 **-*, *층 ***호(삼송동)","","인셀덤 명품 수정","2026-02-02 00:00:00","U","2026-02-04 02:40:00","","190115.793353195","461373.300967228","후원방문판매업","0","7270102449",
"5","후원방문판매업체","08_26_05_P","6410000","20136410000301100094","2013-08-05","","01","영업/정상","2","영업","","","","","","","431-822","경기도 안양시 동안구 비산동","경기도 안양시 동안구 평촌대로 **** (비산동)","","아모레비산특약점","2026-01-30 00:00:00","U","2026-02-04 11:04:37","","","","후원방문판매업","0","1380520534",
"6","후원방문판매업체","08_26_05_P","6110000","20186110000301000029","2018-10-04","","01","영업/정상","2","영업","","","","","024828277","","05116","서울특별시 광진구 구의동  ***번지 *호 테크노-마트**","서울특별시 광진구 광나루로**길 **, 테크노-마트** **층 **,**호 (구의동)","","(주)유토피아퓨처","2026-01-30 00:00:00","U","2026-02-04 11:04:37","","208394.416382167","448165.279999905","후원방문판매업","0","",
"7","후원방문판매업체","08_26_05_P","6270000","20166270000301000010","2016-05-17","","01","영업/정상","2","영업","","","","","0537815597","","41940","대구광역시 중구 삼덕동*가  ***번지 *호 진석타워 ****호","대구광역시 중구 동덕로 ***, 진석타워 ****호 (삼덕동*가)","","오휘 지산점","2026-02-03 00:00:00","U","2026-02-06 02:40:00","","348171.64234738","259231.942661586","후원방문판매업","0","6273500146",
"8","후원방문판매업체","08_26_05_P","6440000","20256440000301000002","2025-07-08","","01","영업/정상","2","영업","","","","","","","31197","충청남도 천안시 동남구 청당동  ***번지 *호 청수중흥S클래스아파트 ***동 ***호","충청남도 천안시 동남구 청수**로 ***, ***동 ***호 (청당동, 청수중흥S클래스아파트)","","라비다샵천안중앙","2026-02-03 00:00:00","U","2026-02-06 02:40:00","","214074.432122266","365106.138956855","후원방문판매업","0","7090303615",
"9","후원방문판매업체","08_26_05_P","6410000","20216410000301101165","2021-12-21","","03","폐업","4","폐업","2026-02-03","","","","","","14763","경기도 부천시 소사본동  ***번지 **호","경기도 부천시 은성로**번길 **(소사본동)","","인셀덤코리아","2026-02-05 00:00:00","U","2026-02-07 02:40:00","","","","후원방문판매업","0","3020653502",
"10","후원방문판매업체","08_26_05_P","6410000","20216410000301100179","2021-03-17","","03","폐업","4","폐업","2025-12-31","","","","","","10083","경기도 김포시 장기동  ****번지 *호 운창빌딩 가동 ***호","경기도 김포시 김포한강*로**번길 **, 운창빌딩 가동 ***호 (장기동)","","인셀덤 김포장기점","2026-02-05 00:00:00","U","2026-02-07 02:40:00","","170587.580947315","460208.177095913","후원방문판매업","0","3656500454",
"11","후원방문판매업체","08_26_05_P","6410000","20236410000301100273","2023-05-16","","03","폐업","4","폐업","2026-02-04","","","","","","15031","경기도 시흥시 정왕동  ****번지 *호 주공*단지아파트 ***동 ***호","경기도 시흥시 정왕대로***번길 **, ***동 ***호 (정왕동, 주공*단지아파트)","","보테,쏠","2026-02-06 00:00:00","U","2026-02-08 02:40:00","","175994.849358014","428113.24188333","후원방문판매업","0","3310302693",
"12","후원방문판매업체","08_26_05_P","6410000","20216410000301100632","2021-09-30","","03","폐업","4","폐업","2026-02-05","","","","","","14547","경기도 부천시 중동  ****번지 *호 센트럴파크푸르지오 상가동 ***호","경기도 부천시 소향로 ***, 상가동 ***호(중동, 센트럴파크 푸르지오)","","인셀덤 소망","2026-02-06 00:00:00","U","2026-02-08 02:40:00","","","","후원방문판매업","0","5626200355",
"13","후원방문판매업체","08_26_05_P","6410000","20236410000301100182","2023-02-17","","03","폐업","4","폐업","2026-02-06","","","","","","10310","경기도 고양시 일산동구 중산동  ****번지 *호 일산*차아이파크 ***동 ****호","경기도 고양시 일산동구 중산로 **, ***동 ****호(중산동, 일산*차아이파크)","","인셀덤 미사랑","2026-02-06 00:00:00","U","2026-02-08 02:40:00","","180834.479364862","463954.599858406","후원방문판매업","0","3677500328",
"14","후원방문판매업체","08_26_05_P","6410000","20226410000301101112","2022-10-20","","03","폐업","4","폐업","2026-02-05","","","","","","17065","경기도 용인시 기흥구 구갈동  ***번지 *호 기흥역롯데캐슬레이시티/주상복합 ***호","경기도 용인시 기흥구 기흥역로 *, ***호(구갈동, 기흥역 롯데캐슬 레이시티/주상복합)","","뷰티 인셀덤","2026-02-06 00:00:00","U","2026-02-08 02:40:00","","210145.912268783","419178.708347552","후원방문판매업","0","6883501102",
"15","후원방문판매업체","08_26_05_P","6110000","20246110000301000122","2024-12-16","","01","영업/정상","2","영업","","","","","027243114","","03188","서울특별시 종로구 서린동  **번지 *호 관정빌딩","서울특별시 종로구 청계천로 **, 관정빌딩 (서린동)","","한국화장품주식회사","2026-02-09 00:00:00","U","2026-02-11 02:40:00","","198284.392181266","451901.406014861","후원방문판매업","0","",
"16","후원방문판매업체","08_26_05_P","6110000","20136110000301000154","2013-06-12","","01","영업/정상","2","영업","","","","","024323750","","03355","서울특별시 은평구 불광동  ***번지 *호","서울특별시 은평구 불광로 **, A동 *층 (불광동)","","대현(한국화장품)","2026-02-10 00:00:00","U","2026-02-12 02:40:00","","193948.481525933","456910.894080245","후원방문판매업","0","2061689507",
