번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,세탁기수,여성종사자수,남성종사자수,회수건조기수,다중이용업소여부,Unnamed: 44,record_key
619,세탁업,06_20_01_P,4671000,4671000-205-2026-00003,2026-02-13,,1,영업/정상,1,영업,,,,,063 450 4518,54.75,,전북특별자치도 군산시 영화동 17-12 2호,"전북특별자치도 군산시 구영5길 109, 1층 2호 (영화동)",54021.0,공유 세탁소,2026-02-13 16:14:36,I,2026-02-15 00:20:02,일반세탁업,173812.091939033,276546.388819187,일반세탁업,0,0,0,0,0,0,,,,,2,0,0,3,N,,공유세탁소_전북특별자치도군산시영화동17-122호
615,세탁업,06_20_01_P,4030000,4030000-205-2026-00001,2026-02-12,,1,영업/정상,1,영업,,,,,,83.66,437-825,경기도 의왕시 월암동 396-1,"경기도 의왕시 철도박물관로 223, 1층 101호 (월암동)",16101.0,킨더클리닝의왕점 유모차세탁 카시트세탁,2026-02-12 13:30:54,I,2026-02-14 00:20:02,일반세탁업,196153.67258471,423495.357328154,일반세탁업,0,0,0,0,0,0,,,,,1,0,0,0,N,,킨더클리닝의왕점유모차세탁카시트세탁_경기도의왕시월암동396-1
614,세탁업,06_20_01_P,4050000,5620000-205-2026-00002,2026-02-12,,1,영업/정상,1,영업,,,,,,91.0,449-933,경기도 용인시 처인구 역북동 586-17,"경기도 용인시 처인구 명지로55번길 17-6, 지하1층 일부(101호) (역북동)",17057.0,킨더클리닝 용인점 유모차세탁 카시트세탁,2026-02-12 16:04:23,I,2026-02-14 00:20:02,세탁업 기타,216864.606603919,414317.223868732,세탁업 기타,0,0,0,0,1,1,,,,,1,1,0,0,N,,킨더클리닝용인점유모차세탁카시트세탁_경기도용인시처인구역북동586-17
605,세탁업,06_20_01_P,3030000,3030000-205-2026-00001,2026-02-11,,1,영업/정상,1,영업,,,,,,2642.32,133-832,서울특별시 성동구 성수동2가 280-36 효진빌딩,"서울특별시 성동구 광나루로 280, 효진빌딩 지하1~지상4층 (성수동2가)",4796.0,의식주컴퍼니,2026-02-11 11:50:56,I,2026-02-13 00:20:38,일반세탁업,205308.123712592,449531.901417478,일반세탁업,0,0,1,4,1,1,,,,임대,0,0,0,0,N,,의식주컴퍼니_서울특별시성동구성수동2가280-36효진빌딩
606,세탁업,06_20_01_P,4060000,4060000-205-2026-00002,2026-02-11,,1,영업/정상,1,영업,,,,,,660.0,413-871,경기도 파주시 법원읍 동문리 293-2,"경기도 파주시 법원읍 못말길 371-48, 2동 1층 전체",10825.0,(주)경기산업,2026-02-11 16:56:14,I,2026-02-13 00:20:38,세탁업 기타,187224.349281419,485074.512695539,세탁업 기타,1,0,1,1,0,0,,,,,8,0,0,8,N,,(주)경기산업_경기도파주시법원읍동문리293-2
607,세탁업,06_20_01_P,3860000,3871000-205-2026-00001,2026-02-11,,1,영업/정상,1,영업,,,,,,0.0,,경기도 부천시 원미구 역곡동 22-1 1층 일부,"경기도 부천시 원미구 부일로 647, 1층 일부 (역곡동)",14662.0,중앙세탁소,2026-02-11 16:59:17,I,2026-02-13 00:20:38,일반세탁업,182434.498701137,442399.421558474,일반세탁업,0,0,0,0,0,0,,,,,0,0,0,0,N,,중앙세탁소_경기도부천시원미구역곡동22-11층일부
596,세탁업,06_20_01_P,4641000,4651000-205-2026-00001,2026-02-09,,1,영업/정상,1,영업,,,,,,70.81,,전북특별자치도 전주시 완산구 효자동1가 621-6,"전북특별자치도 전주시 완산구 신봉로 5-5, 1층 (효자동1가)",55051.0,버블워시크리닝,2026-02-10 16:20:44,I,2026-02-12 00:20:02,일반세탁업,210350.714436261,256727.271745549,일반세탁업,0,0,1,1,0,0,,,,,8,0,0,9,N,,버블워시크리닝_전북특별자치도전주시완산구효자동1가621-6
580,세탁업,06_20_01_P,3830000,3850000-205-2026-00001,2026-02-06,,1,영업/정상,1,영업,,,,,,0.0,431-710,경기도 안양시 동안구 평촌동 932-4 꿈마을한신아파트 한신상가동,"경기도 안양시 동안구 관평로 76, 꿈마을한신아파트 한신상가동 지하1층 22호 (평촌동)",14102.0,케이요양크린,2026-02-06 17:47:02,I,2026-02-08 00:20:01,일반세탁업,196947.477869431,431338.683676833,일반세탁업,0,0,0,0,0,0,,,,,0,0,0,0,N,,케이요양크린_경기도안양시동안구평촌동932-4꿈마을한신아파트한신상가동
582,세탁업,06_20_01_P,3120000,3120000-205-2026-00002,2026-02-06,,1,영업/정상,1,영업,,,,,,18.0,120-859,서울특별시 서대문구 홍제동 322-85,"서울특별시 서대문구 모래내로24다길 11, 1층 101호 일부 (홍제동)",3728.0,현대세탁소,2026-02-06 14:38:34,I,2026-02-08 00:20:01,일반세탁업,194876.957145721,453390.708994049,일반세탁업,0,0,1,0,0,0,,,,,1,0,0,0,N,,현대세탁소_서울특별시서대문구홍제동322-85
581,세탁업,06_20_01_P,4181000,4181000-205-2026-00002,2026-02-06,,1,영업/정상,1,영업,,,,,,153.29,,강원특별자치도 춘천시 석사동 840-8,"강원특별자치도 춘천시 새롬공원길5번길 2, 1층 (석사동)",24394.0,카시트 유모차세탁 지우미 춘천점,2026-02-06 13:59:40,I,2026-02-08 00:20:01,일반세탁업,265659.448464532,483651.33881634,일반세탁업,0,0,1,1,0,0,,,,,3,0,0,0,N,,카시트유모차세탁지우미춘천점_강원특별자치도춘천시석사동840-8
