번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,한실수,양실수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,여성종사자수,남성종사자수,다중이용업소여부,Unnamed: 44,record_key
997,숙박업,03_11_03_P,3270000,3270000-214-2026-00009,2026-02-26,,1,영업/정상,1,영업,,,,,,0.0,601-010,부산광역시 동구 초량동 1233 롯데캐슬 드메르,"부산광역시 동구 충장대로 190, 롯데캐슬 드메르 (초량동)",48751.0,(주)글로잉스테이,2026-02-26 14:22:45,I,2026-02-28 00:20:02,숙박업(생활),,,숙박업(생활),0,0,4,57,0,0,0,20,,,,,0.0,0.0,N,,(주)글로잉스테이_부산광역시동구초량동1233롯데캐슬드메르
996,숙박업,03_11_03_P,3010000,3010000-201-2026-00009,2026-02-26,,1,영업/정상,1,영업,,,,,,574.72,100-042,서울특별시 중구 남산동2가 37-2,"서울특별시 중구 소공로6길 35, 1,2,3층 (남산동2가)",4631.0,JEJARI STAY,2026-02-26 15:10:19,I,2026-02-28 00:20:02,관광호텔,198608.927223501,450707.580510567,관광호텔,5,0,1,3,0,0,0,20,,,,,0.0,0.0,N,,JEJARISTAY_서울특별시중구남산동2가37-2
995,숙박업,03_11_03_P,3010000,3010000-214-2026-00010,2026-02-26,,1,영업/정상,1,영업,,,,,,99.98,100-863,서울특별시 중구 충무로4가 15-16,"서울특별시 중구 마른내로4가길 41, 2층 (충무로4가)",4556.0,제이빌스(JVILLS),2026-02-26 10:51:55,I,2026-02-28 00:20:02,숙박업(생활),199444.847152847,451149.7429042,숙박업(생활),6,1,2,2,0,0,0,3,,,,임대,0.0,0.0,N,,제이빌스(JVILLS)_서울특별시중구충무로4가15-16
994,숙박업,03_11_03_P,4721000,4721000-214-2026-00002,2026-02-26,,1,영업/정상,1,영업,,,,,,447.0,,전북특별자치도 완주군 운주면 고당리 400-9,전북특별자치도 완주군 운주면 금고당로 902,55301.0,하나원리조트,2026-02-26 16:51:02,I,2026-02-28 00:20:02,숙박업(생활),230771.321196811,282047.058054382,숙박업(생활),0,0,0,0,0,0,0,8,,,,,0.0,0.0,N,,하나원리조트_전북특별자치도완주군운주면고당리400-9
929,숙박업,03_11_03_P,3010000,3010000-214-2026-00009,2026-02-25,,1,영업/정상,1,영업,,,,,,186.88,100-330,서울특별시 중구 주교동 258,"서울특별시 중구 을지로33길 6, 3층 (주교동)",4546.0,포레스트 스테이 을지로,2026-02-25 13:51:27,I,2026-02-27 00:20:02,숙박업(생활),199957.659044118,451651.967315334,숙박업(생활),4,0,3,3,0,0,0,9,,,,,0.0,0.0,N,,포레스트스테이을지로_서울특별시중구주교동258
932,숙박업,03_11_03_P,6510000,6510000-201-2026-00002,2026-02-25,,1,영업/정상,1,영업,,,,,,1427.31,690-818,제주특별자치도 제주시 연동 2331-4 KB손해보험 제주빌딩,"제주특별자치도 제주시 도령로 115, KB손해보험 제주빌딩 9~10층 (연동)",63126.0,카사패밀리스위트제주(CASAfamilysuiteJeju),2026-02-25 09:30:27,I,2026-02-27 00:20:02,일반호텔,152481.049273945,-326.111315793329,일반호텔,0,0,9,10,0,0,0,8,,,,,0.0,0.0,N,,카사패밀리스위트제주(CASAfamilysuiteJeju)_제주특별자치도제주시연동2331-4KB손해보험제주빌딩
928,숙박업,03_11_03_P,3010000,3010000-201-2026-00008,2026-02-25,,1,영업/정상,1,영업,,,,,,298.86,100-330,서울특별시 중구 주교동 8-1,"서울특별시 중구 을지로35길 51-6, 2~5층 (주교동)",4546.0,엘림호스텔,2026-02-25 13:21:11,I,2026-02-27 00:20:02,관광호텔,200039.886363362,451861.645694086,관광호텔,5,1,2,5,0,0,0,12,,,,,0.0,0.0,N,,엘림호스텔_서울특별시중구주교동8-1
930,숙박업,03_11_03_P,4510000,4510000-201-2026-00001,2026-02-25,,1,영업/정상,1,영업,,,,,,1756.98,355-944,충청남도 보령시 신흑동 1939,충청남도 보령시 머드로 24 (신흑동),33488.0,브라운도트 호텔(BROWNDOT HOTEL) 대천해수욕장점,2026-02-25 15:39:56,I,2026-02-27 00:20:02,일반호텔,156577.973351408,312022.639077714,일반호텔,5,0,0,0,0,0,0,39,,,,,0.0,0.0,N,,브라운도트호텔(BROWNDOTHOTEL)대천해수욕장점_충청남도보령시신흑동1939
931,숙박업,03_11_03_P,3920000,3920000-201-2026-00001,2026-02-25,,1,영업/정상,1,영업,,,,,,286.57,483-050,경기도 동두천시 탑동동 885-12,"경기도 동두천시 천보산로 567-12, 10동 (탑동동)",11360.0,니지모리스튜디오 료칸,2026-02-25 14:15:27,I,2026-02-27 00:20:02,숙박업 기타,207992.375152428,486179.346953213,숙박업 기타,2,0,1,2,0,0,2,4,,,,임대,0.0,0.0,N,,니지모리스튜디오료칸_경기도동두천시탑동동885-12
876,숙박업,03_11_03_P,4691000,4691000-201-2026-00001,2026-02-24,,1,영업/정상,1,영업,,,,,,282.1,,전북특별자치도 정읍시 시기동 265-2 힐탑장모텔,"전북특별자치도 정읍시 청수5길 16, 2층 (시기동)",56162.0,자연장,2026-02-24 11:55:36,I,2026-02-26 00:20:08,여관업,186631.51177381,229381.245137642,여관업,0,0,2,0,0,0,9,2,,,,,0.0,0.0,N,,자연장_전북특별자치도정읍시시기동265-2힐탑장모텔
878,숙박업,03_11_03_P,3010000,3010000-201-2026-00007,2026-02-24,,1,영업/정상,1,영업,,,,,,417.28,100-810,서울특별시 중구 명동2가 53-9,"서울특별시 중구 명동4길 35, 5,6층 (명동2가)",4536.0,MOK HOSTEL,2026-02-24 12:03:03,I,2026-02-26 00:20:08,관광호텔,198526.809718956,451090.607143509,관광호텔,6,0,5,6,0,0,0,18,,,,,0.0,0.0,N,,MOKHOSTEL_서울특별시중구명동2가53-9
879,숙박업,03_11_03_P,4460000,4460000-201-2026-00001,2026-02-24,,1,영업/정상,1,영업,,,,,,4520.81,367-861,충청북도 괴산군 칠성면 율원리 1289 로움호텔 3관,"충청북도 괴산군 칠성면 자연드림3길 63, 로움호텔 3관",28019.0,자연드림 호텔로움 3관,2026-02-24 10:18:07,I,2026-02-26 00:20:08,일반호텔,,,일반호텔,4,1,1,4,1,1,0,88,,,,임대,0.0,0.0,Y,,자연드림호텔로움3관_충청북도괴산군칠성면율원리1289로움호텔3관
