번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),환경업무구분명,업종구분명,종별명,주생산품명,배출시설조업시간,배출시설연간가동일수,방지시설조업시간,방지시설연간가동일수,사업자등록번호,Unnamed: 37,record_key
467,수질오염원설치시설(기타),09_30_12_P,5670000,567020625202600001,2026-02-13,,1,영업/정상,11,영업,,,,,,,,경상남도 창원시 진해구 원포동 100 (주)케이조선,경상남도 창원시 진해구 명제로 60 (주)케이조선 (원포동),51624,(주)한국기술검사원(케이조선),2026-02-13 17:18:09,I,2026-02-15 00:20:02,,356384.281778708,180292.023069971,기타수질오염원관리,,,,,0,,0,6098180038.0,,(주)한국기술검사원(케이조선)_경상남도창원시진해구원포동100(주)케이조선
469,수질오염원설치시설(기타),09_30_12_P,3700000,370000025202600001,2026-02-13,,1,영업/정상,11,영업,,,,,052-266-7087,,,울산광역시 남구 신정동 1165-3 울산 문수로 동문 디 이스트,"울산광역시 남구 돋질로 3, 102, 103호 (신정동, 울산 문수로 동문 디 이스트)",44673,아이젠트리 위드렌즈 울산신정점,2026-02-13 15:39:59,I,2026-02-15 00:20:02,,409109.889735079,228790.003807724,기타수질오염원관리,,,,,0,,0,3182901798.0,,아이젠트리위드렌즈울산신정점_울산광역시남구신정동1165-3울산문수로동문디이스트
465,수질오염원설치시설(기타),09_30_12_P,3200000,320000025202600001,2026-02-13,,1,영업/정상,11,영업,,,,,,,,서울특별시 관악구 신림동 660-8,"서울특별시 관악구 난곡로 128, 1층 (신림동)",08857,아무래도 안경,2026-02-13 17:30:13,I,2026-02-15 00:20:02,안경 및 안경렌즈 제조업,192900.179785801,440486.838891847,기타수질오염원관리,안경 및 안경렌즈 제조업,,,,0,,0,2578703297.0,,아무래도안경_서울특별시관악구신림동660-8
466,수질오염원설치시설(기타),09_30_12_P,4490000,449000025202600001,2026-02-13,,1,영업/정상,11,영업,,,,,041-579-8181,,,충청남도 천안시 서북구 직산읍 모시리 208-2 외 1필지(모시리 208-3),충청남도 천안시 서북구 직산읍 모시1길 11-25,31039,북천안서비스기아오토큐주식회사,2026-02-13 17:05:42,I,2026-02-15 00:20:02,,211006.594375749,374163.675051752,기타수질오염원관리,,,,,0,,0,3638803207.0,,북천안서비스기아오토큐주식회사_충청남도천안시서북구직산읍모시리208-2외1필지(모시리208-3)
468,수질오염원설치시설(기타),09_30_12_P,3990000,399000025202600003,2026-02-13,,1,영업/정상,11,영업,,,,,,,,경기도 남양주시 화도읍 창현리 12-25,경기도 남양주시 화도읍 폭포로 412-16,12196,신흥자동차공업사,2026-02-13 08:52:54,I,2026-02-15 00:20:02,,228859.503985694,458738.630101069,기타수질오염원관리,,,,,0,,0,,,신흥자동차공업사_경기도남양주시화도읍창현리12-25
446,수질오염원설치시설(기타),09_30_12_P,4070000,407000025202600001,2026-02-11,,1,영업/정상,11,영업,,,,,,,,경기도 이천시 부발읍 고백리 158-3,,,고백모터스,2026-02-11 17:27:43,I,2026-02-13 00:20:38,,247494.724302534,422414.174993829,기타수질오염원관리,,,,,0,,0,,,고백모터스_경기도이천시부발읍고백리158-3
447,수질오염원설치시설(기타),09_30_12_P,5440000,544000025202600001,2026-02-11,,1,영업/정상,11,영업,,,,,,,,경상남도 하동군 옥종면 북방리 480-1 외 2필지,"경상남도 하동군 옥종면 고성산동학로 754-7, 외 2필지",52314,마상욱(개인),2026-02-11 16:56:29,I,2026-02-13 00:20:38,,284402.664149605,185825.266113259,기타수질오염원관리,,,,,0,,0,,,마상욱(개인)_경상남도하동군옥종면북방리480-1외2필지
448,수질오염원설치시설(기타),09_30_12_P,4191000,419100025202600002,2026-02-11,,1,영업/정상,11,영업,,,,,033-738-1470,,,강원특별자치도 원주시 문막읍 후용리 882 경동대학교 메디컬캠퍼스 선덕관동 5409호,"강원특별자치도 원주시 문막읍 견훤로 815, 경동대학교 메디컬캠퍼스",26495,KDU 오큘러스 프레임 랩 안경원,2026-02-11 16:45:53,I,2026-02-13 00:20:38,,270376.914270365,418451.827583191,기타수질오염원관리,,,,,0,,0,4980204056.0,,KDU오큘러스프레임랩안경원_강원특별자치도원주시문막읍후용리882경동대학교메디컬캠퍼스선덕관동5409호
434,수질오염원설치시설(기타),09_30_12_P,4930000,493000025202600002,2026-02-10,,1,영업/정상,11,영업,,,,,,,,전라남도 해남군 북평면 영전리 227-9 외 1필지(227),,,신흥수산,2026-02-10 15:18:15,I,2026-02-12 00:20:02,"과실, 채소 가공 및 저장 처리업",163331.221463859,93430.1673187704,기타수질오염원관리,"과실, 채소 가공 및 저장 처리업",,건조김,,0,,0,4159018023.0,,신흥수산_전라남도해남군북평면영전리227-9외1필지(227)
432,수질오염원설치시설(기타),09_30_12_P,3170000,317000025202600003,2026-02-10,,1,영업/정상,11,영업,,,,,,,,서울특별시 금천구 가산동 371-50 에이스하이엔드타워3차,"서울특별시 금천구 가산디지털1로 145, 에이스하이엔드타워3차 (가산동)",08506,오투스 안경원,2026-02-10 09:12:19,I,2026-02-12 00:20:02,안경 및 안경렌즈 제조업,189467.124186925,441780.0053985,기타수질오염원관리,안경 및 안경렌즈 제조업,,,,0,,0,7296600655.0,,오투스안경원_서울특별시금천구가산동371-50에이스하이엔드타워3차
