"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료유사업종별명","직원수","자격증소유자수","보조직원수","시설관리자수","기타직원수","병상수","욕실면적","총면적",
"1","의료유사업","01_01_10_P","3530000","PHMB420233530019042400001","2023-02-14","","01","영업/정상","13","영업중","","","","","","","","인천광역시 남동구 서창동 707-1 센타프라자","인천광역시 남동구 서창남순환로 222, 센타프라자 3층 306호(306-2)호 (서창동)","21617","서창보건안마원","2026-01-30 15:13:27","U","2026-02-04 11:04:37","안마원","177756.290036904","435809.186707765","안마원","1","0","0","0","0","5","0","80.65",
"2","의료유사업","01_01_10_P","3740000","PHMB420093740032042400002","2009-08-17","","01","영업/정상","13","영업중","","","","","","","441-819","경기도 수원시 권선구 구운동 921번지 4호","경기도 수원시 권선구 수인로 275 (구운동)","16405","샴푸안마시술소","2026-02-03 19:10:45","U","2026-02-06 02:40:00","안마시술소","197474.440697408","419993.051818822","안마시술소","3","0","0","0","0","23","0","576.81",
"3","의료유사업","01_01_10_P","3080000","PHMB420153080033042400001","2015-04-17","","01","영업/정상","13","영업중","","","","","02-981-9988","","","서울특별시 강북구 미아동 41번지 10호","서울특별시 강북구 월계로3길 5, 2-4층 (미아동)","01220","에이치안마시술소","2026-02-03 16:26:41","U","2026-02-06 02:40:00","안마시술소","202684.373860963","456417.052514595","안마시술소","2","0","0","0","0","24","0","693.65",
"4","의료유사업","01_01_10_P","3050000","PHMB419823050034042400001","1982-11-13","","03","폐업","03","폐업","2026-02-02","","","","2242-6011","","130-805","서울특별시 동대문구 답십리1동 488번지 327호 3층","서울특별시 동대문구 전농로 12, 3층 (답십리동)","02621","쌍마안마시술소","2026-02-03 13:08:26","U","2026-02-06 02:40:00","안마시술소","204884.451934202","451529.148204191","안마시술소","4","0","0","0","0","22","0","625.53",
"5","의료유사업","01_01_10_P","5080000","PHMB420075080035042400009","2007-05-09","","01","영업/정상","13","영업중","","","","","054-456-3677","","","경상북도 구미시 원평동 1074-2","경상북도 구미시 송원동로 58-7, 1층 102호 (원평동)","39233","서울안마원","2026-02-06 17:49:16","U","2026-02-08 02:40:00","안마원","321595.647445347","292084.683615725","안마원","1","0","0","0","0","1","0","108.62",
"6","의료유사업","01_01_10_P","5540000","PHMB420115540016042400001","2011-04-05","","03","폐업","03","폐업","2026-02-06","","","","031-767-1141","","464-801","경기도 광주시 경안동 20번지 20호","경기도 광주시 경안로 13-7 (경안동)","12758","광주안마","2026-02-06 17:57:27","U","2026-02-08 02:40:00","안마시술소","222913.318130643","434166.277527987","안마시술소","4","0","0","0","0","17","0","424.94",
"7","의료유사업","01_01_10_P","3160000","PHMB420153160034042400002","2015-05-07","","01","영업/정상","13","영업중","","","","","02-2685-0116","","","서울특별시 구로구 오류동 9-3 한백힐아파트","서울특별시 구로구 고척로 6, 201호 (오류동, 한백힐아파트)","08269","건강안마원","2026-02-06 13:11:37","U","2026-02-08 02:40:00","안마원","185875.214556785","443699.290886311","안마원","1","0","0","0","0","1","0","77.2",
"8","의료유사업","01_01_10_P","4010000","PHMB420264010281042400001","2026-02-10","","01","영업/정상","13","영업중","","","","","031-432-6789","","","경기도 시흥시 정왕동 1726-1 광개토빌딩1","경기도 시흥시 정왕대로 174, 광개토빌딩1 4층 404-1,404-2호 (정왕동)","15036","어의안마원","2026-02-13 11:12:33","I","2026-02-15 00:20:02","안마원","176313.285156484","427368.540805943","안마원","2","0","0","0","0","5","0","184",
"9","의료유사업","01_01_10_P","3220000","PHMB420083220033042400001","2008-02-20","","01","영업/정상","13","영업중","","","","","02-538-1491","","","서울특별시 강남구 역삼동 826번지 8호 1~4층","서울특별시 강남구 테헤란로2길 34 (역삼동, 1~4층)","06241","더 가인안마시술소","2026-02-19 17:36:44","U","2026-02-21 02:40:00","안마시술소","202540.123155393","443749.246558155","안마시술소","3","0","0","0","0","27","17.5","728.74",
"10","의료유사업","01_01_10_P","3480000","PHMB420263480012042400001","2026-02-19","","01","영업/정상","13","영업중","","","","","053-583-7770","","","대구광역시 달성군 다사읍 죽곡리 23-6","대구광역시 달성군 다사읍 달구벌대로 836, 2층","42915","햇살안마원","2026-02-23 11:29:52","I","2026-02-25 00:20:01","안마원","331988.286409063","263282.361263372","안마원","2","0","0","0","0","0","0","177.45",
"11","의료유사업","01_01_10_P","4271000","PHMB420224270014042400001","2022-11-11","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 영월군 영월읍 영흥리 940-18","강원특별자치도 영월군 영월읍 하송안길 117, 2층","26236","보건안마원","2026-02-24 08:49:55","U","2026-02-26 02:40:00","안마원","330367.834238932","410066.967469507","안마원","2","0","0","0","0","6","0","163.6",
