"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물판매업","02_03_07_P","5530000","553000004520210017","2021-02-09","","04","취소/말소/만료/정지/중지","0004","말소","2026-03-03","","","","031-8043-2646","0","","경기도 화성시 동탄구 산척동 ***-* 성민리치타워(SMP타워) *층 ***호","경기도 화성시 동탄구 동탄순환대로 ***, 성민리치타워(SMP타워) *층 ***호 (산척동)","18501","베테랑P&K","2026-03-03 10:18:27","U","2026-03-05 02:40:00","","210426.980564975","407536.8534743","동물판매업","동물판매업(일반)","L00","0",
"2","동물판매업","02_03_07_P","5530000","553000004520240001","2024-01-08","","04","취소/말소/만료/정지/중지","0004","말소","2026-03-03","","","","","0","","경기도 화성시 동탄구 송동 *** 동탄린스트라우스더레이크","경기도 화성시 동탄구 동탄대로 ***, A동 ***호 (송동, 동탄린스트라우스더레이크)","18497","동탄강아지분양 도그데이","2026-03-03 10:16:43","U","2026-03-05 02:40:00","","209253.387443815","407725.114639407","동물판매업","동물판매업(일반)","000","0",
"3","동물판매업","02_03_07_P","4490000","566000004520230006","2023-08-03","","01","영업/정상","0000","정상","","","","","","0","","충청남도 천안시 서북구 불당동 ****","충청남도 천안시 서북구 불당**로 *** (불당동)","31156","햄토피아 천안 불당점","2026-03-04 16:04:41","U","2026-03-06 02:40:00","","209521.391628822","368005.17009621","동물판매업","동물판매업(일반)","000","0",
"4","동물판매업","02_03_07_P","5050000","505000004520250001","2025-12-26","","01","영업/정상","0000","정상","","","","","","0","","경상북도 경주시 성건동 ***-**","경상북도 경주시 봉황로 ***, *층 (성건동)","38132","멋댕이","2026-03-04 09:40:41","U","2026-03-06 02:40:00","","399566.590684851","263726.138960362","동물판매업","동물판매업(일반)","000","0",
"5","동물판매업","02_03_07_P","3410000","341000004520080002","2008-02-25","","03","폐업","0002","폐업","2026-03-03","","","","426-0709","","","대구광역시 중구 봉산동 ***-*","대구광역시 중구 달구벌대로 **** (봉산동)","","베비댕","2026-03-04 11:06:29","U","2026-03-06 02:40:00","","344187.921988786","263949.092335901","동물판매업","동물판매업(일반)","000","0",
"6","동물판매업","02_03_07_P","3830000","383000004520170004","2017-06-23","","01","영업/정상","0000","정상","","","","","031-387-2080","0","","경기도 안양시 동안구 관양동 ****-** *층","경기도 안양시 동안구 관악대로 ***-*, *층 (관양동)","13937","베베캣 고양이","2026-03-04 10:58:25","U","2026-03-06 02:40:00","","196318.445426412","433525.717464635","동물판매업","동물판매업(일반)","000","0",
"7","동물판매업","02_03_07_P","3430000","343000004520260001","2026-03-05","","01","영업/정상","0000","정상","","","","","","0","","대구광역시 서구 원대동*가 **** 서대구센트럴자이","대구광역시 서구 고성로 **, ***동 ***호 (원대동*가, 서대구센트럴자이)","41716","스테이 파우","2026-03-05 09:20:09","I","2026-03-07 00:20:02","","","","동물판매업","동물판매업(일반)","000","0",
"8","동물판매업","02_03_07_P","5530000","553000004520260004","2026-03-04","","01","영업/정상","0000","정상","","","","","","0","","경기도 화성시 만세구 새솔동 **-*","경기도 화성시 만세구 수노을*로 **, *층 ***호 (새솔동)","18244","홀리몰리 펫앤렙","2026-03-04 15:01:20","I","2026-03-07 00:20:02","","183645.141792608","420383.689563319","동물판매업","동물판매업(일반)","000","0",
"9","동물판매업","02_03_07_P","5530000","553000004520240005","2024-05-08","","01","영업/정상","0000","정상","","","","","","0","","경기도 화성시 만세구 향남읍 행정리 ***-* 정 메디 프라자","경기도 화성시 만세구 향남읍 발안로 ***, 정 메디 프라자 *층 ***호","18591","동탄강아지분양 독스캣 고양이분양 애견입양 화성향남점","2026-03-05 10:43:16","U","2026-03-07 02:40:00","","192963.835793436","403338.583570939","동물판매업","동물판매업(일반)","000","0",
"10","동물판매업","02_03_07_P","4490000","566000004520160002","2016-05-09","","03","폐업","0002","폐업","2026-03-05","","","","041-553-1442","0","","충청남도 천안시 서북구 차암동 ***","충청남도 천안시 서북구 밤개울*길 *-*, ***호 (차암동)","31085","아지&amp;냥이","2026-03-05 16:09:27","U","2026-03-07 02:40:00","","209059.316040945","371043.632630607","동물판매업","동물판매업(일반)","000","0",
"11","동물판매업","02_03_07_P","4490000","566000004520200031","2020-11-16","","03","폐업","0002","폐업","2026-03-05","","","","","0","","충청남도 천안시 서북구 쌍용동 ****","충청남도 천안시 서북구 미라*길 ** (쌍용동)","31155","순복이네 스핑크스","2026-03-05 13:40:10","U","2026-03-07 02:40:00","","211549.692245602","366836.779036968","동물판매업","동물판매업(일반)","000","0",
