번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업소구분명,소재지,지정일자,신청일자,항목값1,Unnamed: 33,record_key
48,쓰레기종량제봉투판매업,09_30_13_P,5150000,515000014202600002,2026-03-05,,1,영업/정상,11,영업,,,,,,,,경상북도 의성군 봉양면 화전리 129 파랑채 603호,"경상북도 의성군 봉양면 원지1길 64-1, 603호 (파랑채)",37362.0,이마트24 의성봉양점,2026-03-05 13:37:03,I,2026-03-07 00:20:02,,341670.01305212,312091.905294419,지정,경상북도 의성군 봉양면 화전리 463,20260305.0,20260304,관급봉투,,이마트24의성봉양점_경상북도의성군봉양면화전리129파랑채603호
52,쓰레기종량제봉투판매업,09_30_13_P,4490000,565000014202600011,2026-03-05,,1,영업/정상,11,영업,,,,,,,,충청남도 천안시 동남구 신방동 2039,"충청남도 천안시 동남구 통정8로 30-32, 1층 (신방동)",31207.0,화성문고,2026-03-05 14:45:41,I,2026-03-07 00:20:02,,211551.942361625,363219.884067133,지정,충청남도 천안시 동남구 신방동 2039,20260305.0,20260305,관급봉투,,화성문고_충청남도천안시동남구신방동2039
45,쓰레기종량제봉투판매업,09_30_13_P,4610000,461000014202600002,2026-03-05,,1,영업/정상,11,영업,,,,,,,,충청남도 예산군 신암면 계촌리 233-1,충청남도 예산군 신암면 추사로 162,32418.0,다있슈철물농자재,2026-03-05 11:26:07,I,2026-03-07 00:20:02,,184327.413067655,359872.448931853,지정,충청남도 예산군 신암면 계촌리 233-1,20260305.0,20260305,관급봉투,,다있슈철물농자재_충청남도예산군신암면계촌리233-1
46,쓰레기종량제봉투판매업,09_30_13_P,3900000,390000014202600004,2026-03-05,,1,영업/정상,11,영업,,,,,,,,경기도 광명시 광명동 374-141 중앙하이츠3차아파트,"경기도 광명시 광명로848번길 54, 상가동 101,102,103호 (광명동, 중앙하이츠3차아파트)",14275.0,이마트24 광명그랜드점,2026-03-05 19:56:22,I,2026-03-07 00:20:02,,186790.586070091,440984.169722762,지정,경기도 광명시 광명동 374-141 중앙하이츠3차아파트,20260305.0,20260305,관급봉투,,이마트24광명그랜드점_경기도광명시광명동374-141중앙하이츠3차아파트
47,쓰레기종량제봉투판매업,09_30_13_P,3610000,361000014202600005,2026-03-05,,1,영업/정상,11,영업,,,,,,,,광주광역시 남구 봉선동 490-1 금호타운,"광주광역시 남구 봉선로 138, 상가동 1층 101호 (봉선동)",61703.0,씨유 봉선금호2차점,2026-03-05 10:44:47,I,2026-03-07 00:20:02,,191665.578627197,180383.113623226,지정,광주광역시 남구 봉선동 490-1 금호타운,20260305.0,20260305,관급봉투,,씨유봉선금호2차점_광주광역시남구봉선동490-1금호타운
49,쓰레기종량제봉투판매업,09_30_13_P,4030000,403000014202600006,2026-03-05,,1,영업/정상,11,영업,,,,,,,,경기도 의왕시 고천동 553 대방 디에트르 센트럴,"경기도 의왕시 시청1로 11, 상가동 105,106호 (고천동, 대방 디에트르 센트럴)",16075.0,씨유(CU) 의왕디에트르점,2026-03-05 14:37:19,I,2026-03-07 00:20:02,,,,지정,경기도 의왕시 고천동 553 대방 디에트르 센트럴,20260305.0,20260305,관급봉투,,씨유(CU)의왕디에트르점_경기도의왕시고천동553대방디에트르센트럴
50,쓰레기종량제봉투판매업,09_30_13_P,4090000,409000014202600007,2026-03-05,,1,영업/정상,11,영업,,,,,,,,경기도 김포시 운양동 1301-1 한강신도시 롯데캐슬,"경기도 김포시 김포한강11로 275, 1층 101,102호 (운양동, 한강신도시 롯데캐슬)",10073.0,지에스25 운양하나캐슬점,2026-03-05 14:13:26,I,2026-03-07 00:20:02,,171602.21315515,461550.814919359,지정,경기도 김포시 운양동 1301-1 한강신도시 롯데캐슬,20260305.0,20260304,관급봉투,,지에스25운양하나캐슬점_경기도김포시운양동1301-1한강신도시롯데캐슬
51,쓰레기종량제봉투판매업,09_30_13_P,4140000,414000014202600003,2026-03-05,,1,영업/정상,11,영업,,,,,,,,경기도 연천군 전곡읍 마포리 143,경기도 연천군 전곡읍 어못내길 12-7,11040.0,마루벌캠핑장 매점,2026-03-05 16:02:01,I,2026-03-07 00:20:02,,199424.668907219,500239.327624592,지정,경기도 연천군 전곡읍 마포리 143,20260305.0,20260305,관급봉투,,마루벌캠핑장매점_경기도연천군전곡읍마포리143
44,쓰레기종량제봉투판매업,09_30_13_P,5530000,577000014202600011,2026-03-05,,1,영업/정상,11,영업,,,,,,,,경기도 화성시 동탄구 장지동 969 동탄호수공원 자연&자이,"경기도 화성시 동탄구 동탄순환대로8길 11, 101호 (장지동, 동탄호수공원 자연&자이)",18506.0,지에스25 동탄호수자이점,2026-03-05 10:31:52,I,2026-03-07 00:20:02,,209942.437904608,406986.222957197,지정,경기도 화성시 동탄구 장지동 969 동탄호수공원 자연&자이,20260305.0,20260304,관급봉투,,지에스25동탄호수자이점_경기도화성시동탄구장지동969동탄호수공원자연&자이
43,쓰레기종량제봉투판매업,09_30_13_P,5530000,577000014202600010,2026-03-05,,1,영업/정상,11,영업,,,,,,,,경기도 화성시 동탄구 영천동 859-1 동탄2신도시 4차 동원로얄듀크포레,"경기도 화성시 동탄구 동탄첨단산업2로 88, 상가동 1층 107호, 108호 (영천동, 동탄2신도시 4차 동원로얄듀크포레)",18463.0,씨유 동탄로얄듀크점,2026-03-05 10:23:12,I,2026-03-07 00:20:02,,209401.225831576,412723.467137167,지정,경기도 화성시 동탄구 영천동 859-1 동탄2신도시 4차 동원로얄듀크포레,20260305.0,20260304,관급봉투,,씨유동탄로얄듀크점_경기도화성시동탄구영천동859-1동탄2신도시4차동원로얄듀크포레
