"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","시력표수","표본렌즈수","측정의자수","동공거리측정기수","정점굴절계기수","조제용연마기수","렌즈절단기수","가열기수","안경세척기수","총면적",
"1","안경업","01_02_01_P","3220000","PHMB220263220033082200001","2026-02-27","","01","영업/정상","13","영업중","","","","","02-6012-2628","","","서울특별시 강남구 청담동 105-4","서울특별시 강남구 압구정로75길 38-17, 1층 (청담동)","06011","더블 닷(Double Dot)","2026-03-03 11:24:39","I","2026-03-05 00:20:02","","204325.920665405","447291.847201545","1","0","0","1","1","0","0","0","0","331",
"2","안경업","01_02_01_P","4950000","PHMB220124950018082200001","2012-01-31","","01","영업/정상","13","영업중","","","","","061-262-0042","","534-821","전라남도 무안군 삼향읍 남악리 1598번지","전라남도 무안군 삼향읍 남악5로72번길 4-1","58568","일로아 안경","2026-03-03 16:26:43","U","2026-03-05 02:40:00","","151588.534332021","146040.882500253","1","1","1","1","1","1","2","1","2","88",
"3","안경업","01_02_01_P","3050000","PHMB220143050034082200005","2014-06-12","","01","영업/정상","13","영업중","","","","","6259-2003","","130-805","서울특별시 동대문구 답십리동 492번지 1호 1층 12호","서울특별시 동대문구 천호대로 313, 1층 12호 (답십리동)","02622","휴안경","2026-03-03 14:39:11","U","2026-03-05 02:40:00","","204814.685158893","451460.510691169","1","1","1","1","2","1","1","2","2","37",
"4","안경업","01_02_01_P","4090000","PHMB220174090023082200001","2017-01-11","","03","폐업","03","폐업","2026-03-03","","","","031-988-1016","","","경기도 김포시 장기동 2039-4","경기도 김포시 김포한강2로 80, 106호 (장기동)","10088","일공공일","2026-03-03 11:33:22","U","2026-03-05 02:40:00","","171184.882282872","459673.251846681","1","1","2","1","3","2","1","3","4","0",
"5","안경업","01_02_01_P","3400000","PHMB220183400013082200001","2018-11-22","","01","영업/정상","13","영업중","","","","","051-724-6900","","","부산광역시 기장군 기장읍 동부리 362번지 1호","부산광역시 기장군 기장읍 차성동로 104","46063","다비치안경 부산기장시장점","2026-03-03 16:27:14","U","2026-03-05 02:40:00","","401723.705430156","196436.867371483","2","2","2","2","2","1","1","2","2","213",
"6","안경업","01_02_01_P","3220000","PHMB220263220033082200002","2026-03-04","","01","영업/정상","13","영업중","","","","","02-531-2141","","","서울특별시 강남구 대치동 937 롯데백화점","서울특별시 강남구 도곡로 401, 롯데백화점 1층 (대치동)","06206","아프리카 더블랙 안경","2026-03-04 16:24:19","I","2026-03-06 00:20:02","","204669.543366778","443873.621189048","1","0","0","1","1","0","0","0","0","134.5",
"7","안경업","01_02_01_P","3130000","PHMB220263130033082200001","2026-03-04","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 연남동 567-1","서울특별시 마포구 동교로27길 50, 1층 (연남동)","03990","블루페퍼안경원연남점","2026-03-04 17:30:21","I","2026-03-06 00:20:02","","192986.737077811","450867.39600434","1","0","0","1","1","0","0","0","0","46.2",
"8","안경업","01_02_01_P","3130000","PHMB220263130033082200002","2026-03-04","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 동교동 150-19","서울특별시 마포구 양화로23길 42, 2층 (동교동)","03985","뭍(MUUT)연남점","2026-03-04 17:31:05","I","2026-03-06 00:20:02","","193272.342268681","450877.898559965","1","0","0","1","1","0","0","0","0","107.88",
"9","안경업","01_02_01_P","3140000","PHMB220263140033082200003","2026-03-03","","01","영업/정상","13","영업중","","","","","02-6120-5055","","","서울특별시 양천구 목동 907-10 현대파리지앙","서울특별시 양천구 목동서로 57, 현대파리지앙 2층 205-206호 (목동)","07983","으뜸50안경목동파리공원점","2026-03-04 09:54:50","I","2026-03-06 00:20:02","","189311.02246611","448276.142483848","1","0","0","1","1","0","0","0","0","72.54",
"10","안경업","01_02_01_P","3110000","PHMB219803110032082200001","1980-02-27","","01","영업/정상","13","영업중","","","","","02-382-1001","","","서울특별시 은평구 응암동 124-17 외환은행","서울특별시 은평구 응암로 247, 외환은행 (응암동)","03456","에스엠안경원","2026-03-04 14:03:13","U","2026-03-06 02:40:00","","192674.132684249","454664.166810326","0","0","0","0","0","0","0","0","0","0",
"11","안경업","01_02_01_P","3320000","PHMB220263320045082200001","2026-03-04","","01","영업/정상","13","영업중","","","","","051-632-2006","","","부산광역시 북구 금곡동 1874-3 농협하나로클럽","부산광역시 북구 금곡대로 469, 농협하나로클럽 1층 일부호 (금곡동)","46519","으뜸아이안경 금곡점","2026-03-05 11:27:16","I","2026-03-07 00:20:02","","382983.91775577","196375.470354374","1","0","0","1","2","0","0","0","0","43.29",
"12","안경업","01_02_01_P","3820000","PHMB220263820050082200001","2026-03-05","","01","영업/정상","13","영업중","","","","","","","","경기도 의정부시 민락동 811-1 폴리프라자","경기도 의정부시 오목로225번길 177, 폴리프라자 103호 (민락동)","11813","코코뷰안경콘택트","2026-03-05 16:40:31","I","2026-03-07 00:20:02","","208495.318908716","471347.902626933","1","0","0","1","1","0","0","0","0","47.94",
"13","안경업","01_02_01_P","4090000","PHMB220264090023082200001","2026-03-04","","01","영업/정상","13","영업중","","","","","031-988-1016","","","경기도 김포시 장기동 1601 골든프라자","경기도 김포시 김포한강4로135번길 11, 골든프라자 201호 (장기동)","10083","으뜸50안경 김포장기점","2026-03-04 14:39:29","I","2026-03-07 00:20:02","","170480.567872789","460313.207515598","1","0","0","1","3","0","0","0","0","73.5",
"14","안경업","01_02_01_P","3210000","PHMB219933210034082200002","1993-07-01","","01","영업/정상","13","영업중","","","","","588-7070","","","서울특별시 서초구 서초동 1329-8 삼원빌딩","서울특별시 서초구 강남대로 341, 삼원빌딩 지하1층 (서초동)","06626","아이아트안경","2026-03-05 15:43:21","U","2026-03-07 02:40:00","","202524.096001449","443449.99298641","1","0","0","1","1","0","0","0","0","24",
"15","안경업","01_02_01_P","4610000","PHMB220144610020082200001","2014-01-28","","01","영업/정상","13","영업중","","","","","335-1001","","","충청남도 예산군 예산읍 주교리 179-7","충청남도 예산군 예산읍 아리랑로 27, 1층","32430","다비치안경 예산월성당점","2026-03-05 15:52:46","U","2026-03-07 02:40:00","","184955.993548607","353920.051740028","2","2","2","1","2","1","1","1","1","211.04",
"16","안경업","01_02_01_P","5680000","PHMB220195680060082200001","2019-06-07","","01","영업/정상","13","영업중","","","","","041-354-5949","","","충청남도 당진시 시곡동 53-6","충청남도 당진시 서해로 6271-16, o동 104호 (시곡동)","31764","로코코안경","2026-03-05 13:49:20","U","2026-03-07 02:40:00","","171675.807387242","378066.807344773","1","1","2","1","1","1","1","1","1","90.79",
"17","안경업","01_02_01_P","4520000","PHMB220264520031082200001","2012-03-21","","01","영업/정상","13","영업중","","","","","0507-1470-1048","","","충청남도 아산시 배방읍 세교리 1585","충청남도 아산시 배방읍 동방로 180-3, 105-106호","31473","아쿠아이즈 배방점","2026-03-05 10:00:08","U","2026-03-07 02:40:00","","208384.051181771","364131.311171766","1","1","1","1","1","1","1","2","2","87",
"18","안경업","01_02_01_P","4711000","PHMB220154710028082200001","2015-02-10","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 김제시 검산동 1058-1","전북특별자치도 김제시 검산택지3길 20 (검산동)","54398","안경매니져 렌즈미 김제점","2026-03-05 14:17:14","U","2026-03-07 02:40:00","","191181.738894119","255846.960241651","1","1","1","1","1","1","1","1","1","126",
"19","안경업","01_02_01_P","5710000","PHMB220265710108082200001","2026-02-12","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 흥덕구 가경동 639-1","충청북도 청주시 흥덕구 서현남로 16, 110호 (가경동)","28382","아이숲안경","2026-03-05 11:37:06","U","2026-03-07 02:40:00","","","","1","0","0","1","1","0","0","0","0","62.13",
"20","안경업","01_02_01_P","3740000","PHMB220033740106082200003","2003-10-28","","01","영업/정상","13","영업중","","","","","031-202-7868","","","경기도 수원시 영통구 영통동 995-2 미네시티","경기도 수원시 영통구 봉영로 1606, 미네시티 116호 (영통동)","16704","다비치안경 수원영통점","2026-03-05 13:06:25","U","2026-03-07 02:40:00","","206539.285410275","416884.39256056","0","0","0","0","0","0","0","0","0","0",
"21","안경업","01_02_01_P","4701000","PHMB220034700020082200001","2003-05-21","","03","폐업","03","폐업","2025-12-31","","","","?633-2060","","","남원시 향교동1046-1","전북특별자치도 남원시 충정로 120 (향교동)","55739","아이마트안경콘택트","2026-03-05 10:20:33","U","2026-03-07 02:40:00","","235128.269999181","212978.694137414","1","1","1","1","1","1","1","1","1","0",
"22","안경업","01_02_01_P","5670000","PHMB220265670071082200001","2026-02-20","","01","영업/정상","13","영업중","","","","","","","","경상남도 창원시 진해구 용원동 1342-2","경상남도 창원시 진해구 신항동로 115, 서주프라자 A동 1층 101호 (용원동)","51611","으뜸안경아울렛신항점","2026-03-05 14:27:03","U","2026-03-07 02:40:00","","365534.808709888","178102.416617256","1","0","0","1","1","0","0","0","0","50",
"23","안경업","01_02_01_P","3990000","PHMB220253990309082200001","2025-01-03","","01","영업/정상","13","영업중","","","","","031-522-6433","","","","경기도 남양주시 다산중앙로 132, 1층 120호 (다산동)","12285","소호안경","2026-03-05 09:39:03","U","2026-03-07 02:40:00","","","","1","0","0","1","1","0","0","0","0","46.2",
