번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),제조구분명,사업장부지용도구분명,Unnamed: 30,record_key
359,고압가스업,09_28_05_P,5370000,2026537033402100001,2026-02-19,,1,영업/정상,1,영업중,,,,,,,,경상남도 거제시 사등면 사등리 1317-6,,,동해종합가스,2026-02-14 11:34:21,I,2026-02-16 00:20:01,판매,340408.626603281,155690.268787494,,,,동해종합가스_경상남도거제시사등면사등리1317-6
321,고압가스업,09_28_05_P,5250000,2026525014602200001,2026-02-13,,1,영업/정상,1,영업중,,,,,,,,경상북도 울진군 죽변면 후정리 330-45 제214전진기지대,,,제214전진기지대,2026-02-13 10:04:08,I,2026-02-15 00:20:02,제조,414844.627716213,397469.76601557,충전,,,제214전진기지대_경상북도울진군죽변면후정리330-45제214전진기지대
324,고압가스업,09_28_05_P,3340000,2026334018202200002,2026-02-13,,1,영업/정상,1,영업중,,,,,,,,부산광역시 사하구 신평동 370-83 (주)우진테크,부산광역시 사하구 신산로 56 (주)우진테크 (신평동),49434.0,(주)우진테크,2026-02-13 10:49:44,I,2026-02-15 00:20:02,제조,378790.627751556,178517.917774228,충전,,,(주)우진테크_부산광역시사하구신평동370-83(주)우진테크
322,고압가스업,09_28_05_P,3970000,2026397012202100001,2026-02-13,,1,영업/정상,1,영업중,,,,,,,,경기도 과천시 주암동 1-1 LG에너지솔루션 과천R&D캠퍼스,"경기도 과천시 장군마을3길 36, LG에너지솔루션 과천R&D캠퍼스 (주암동)",13818.0,(주)엘지에너지솔루션,2026-02-13 13:14:28,I,2026-02-15 00:20:02,제조,202700.1448128,440165.335052223,냉동,,,(주)엘지에너지솔루션_경기도과천시주암동1-1LG에너지솔루션과천R&D캠퍼스
296,고압가스업,09_28_05_P,5680000,2026568037302100001,2026-02-12,,1,영업/정상,1,영업중,,,,,,,,충청남도 당진시 석문면 통정리 1600,충청남도 당진시 석문면 산단8로 60,31702.0,한국가스공사 당진기지안전건설단,2026-02-12 11:31:33,I,2026-02-14 00:20:02,제조,164859.216212312,389277.030655455,일반,공업용,,한국가스공사당진기지안전건설단_충청남도당진시석문면통정리1600
297,고압가스업,09_28_05_P,5310000,2026531033802100002,2026-02-12,,1,영업/정상,1,영업중,,,,,,,,경상남도 진주시 집현면 정수리 312,경상남도 진주시 집현면 대신로 1553,52637.0,(주)에코그린,2026-02-12 09:14:08,I,2026-02-14 00:20:02,판매,298347.62651322,199786.32421613,,,,(주)에코그린_경상남도진주시집현면정수리312
298,고압가스업,09_28_05_P,4080000,2026408026202100002,2026-02-12,,1,영업/정상,1,영업중,,,,,,,,경기도 안성시 신모산동 96 (주)미코,경기도 안성시 공단로 100 (주)미코 (신모산동),17567.0,(주)미코세라믹스,2026-02-12 09:22:58,I,2026-02-14 00:20:02,저장소,221777.56959801,390987.837123992,,,,(주)미코세라믹스_경기도안성시신모산동96(주)미코
294,고압가스업,09_28_05_P,3140000,2026314028102100001,2026-02-11,,1,영업/정상,1,영업중,,,,,,,,서울특별시 양천구 신정동 321-6 센트럴프라자,"서울특별시 양천구 목동서로 349, 센트럴프라자 B1층 101호 (신정동)",8095.0,(주)피제이스포츠,2026-02-12 13:29:06,I,2026-02-14 00:20:02,제조,188039.543424546,446149.197185122,냉동,,,(주)피제이스포츠_서울특별시양천구신정동321-6센트럴프라자
277,고압가스업,09_28_05_P,4050000,2026405057802100002,2026-02-11,,1,영업/정상,1,영업중,,,,,,,,경기도 용인시 기흥구 마북동 83 KCC중앙연구소,"경기도 용인시 기흥구 마북로240번길 17-3, KCC중앙연구소 (마북동)",16891.0,(주)케이씨씨 중앙연구소,2026-02-11 13:15:43,I,2026-02-13 00:20:38,제조,212013.260455149,423400.113241271,일반,,,(주)케이씨씨중앙연구소_경기도용인시기흥구마북동83KCC중앙연구소
278,고압가스업,09_28_05_P,3990000,2026399046802200001,2026-02-11,,1,영업/정상,1,영업중,,,,,,,,경기도 남양주시 진접읍 금곡리 2050,경기도 남양주시 진접읍 경복대로바람골길 42-50,12070.0,셀론텍(주),2026-02-11 17:53:58,I,2026-02-13 00:20:38,제조,218567.661957819,467622.483432925,냉동,,,셀론텍(주)_경기도남양주시진접읍금곡리2050
249,고압가스업,09_28_05_P,4050000,2026405057802100001,2026-02-10,,1,영업/정상,1,영업중,,,,,,,,경기도 용인시 처인구 양지읍 대대리 854-34 아시아나C.C,"경기도 용인시 처인구 양지읍 양대로 290, 아시아나C.C",17155.0,금호리조트(주),2026-02-10 16:52:26,I,2026-02-12 00:20:02,제조,225622.153527581,416941.404061624,냉동,,,금호리조트(주)_경기도용인시처인구양지읍대대리854-34아시아나C.C
248,고압가스업,09_28_05_P,4211000,2026421106402100002,2026-02-10,,1,영업/정상,1,영업중,,,,,,,,강원특별자치도 동해시 삼화동 65 쌍용동해공장,"강원특별자치도 동해시 효자로 246, 쌍용동해공장 (삼화동)",25744.0,쌍용씨앤이(주) 동해공장,2026-02-10 17:57:52,I,2026-02-12 00:20:02,제조,381746.812920982,444018.613132121,일반,,,쌍용씨앤이(주)동해공장_강원특별자치도동해시삼화동65쌍용동해공장
247,고압가스업,09_28_05_P,5530000,2026553069702100003,2026-02-10,,1,영업/정상,1,영업중,,,,,,,,경기도 화성시 만세구 마도면 청원리 12-31,경기도 화성시 만세구 마도면 마도로620번길 22-15,18541.0,오비오(주),2026-02-10 15:56:12,I,2026-02-12 00:20:02,제조,179627.392185915,409492.886999851,일반,,,오비오(주)_경기도화성시만세구마도면청원리12-31
219,고압가스업,09_28_05_P,4470000,2026447014502100002,2026-02-09,,1,영업/정상,1,영업중,,,,,,,,충청북도 음성군 삼성면 능산리 402-1 동원에프앤비 설설공장,"충청북도 음성군 삼성면 금율로317번길 3-20, 동원에프앤비 설설공장",27648.0,(주)동원에프앤비,2026-02-09 17:49:03,I,2026-02-11 00:20:41,제조,247372.057793412,392203.263380146,냉동,,,(주)동원에프앤비_충청북도음성군삼성면능산리402-1동원에프앤비설설공장
210,고압가스업,09_28_05_P,5210000,2026521012602100001,2026-02-09,,1,영업/정상,1,영업중,,,,,,,,경상북도 성주군 성주읍 금산리 1305,경상북도 성주군 성주읍 성주산업단지로4길 28-8,40031.0,(주)대영합섬,2026-02-09 14:20:13,I,2026-02-11 00:20:41,제조,316018.984367099,272088.933660754,냉동,,,(주)대영합섬_경상북도성주군성주읍금산리1305
217,고압가스업,09_28_05_P,3990000,2026399031602100001,2026-02-09,,1,영업/정상,1,영업중,,,,,,,,경기도 남양주시 진접읍 팔야리 739-4 새한마이크로텍,"경기도 남양주시 진접읍 금강로1845번길 7, 새한마이크로텍",12018.0,(주)새한마이크로텍,2026-02-09 15:09:21,I,2026-02-11 00:20:41,저장소,218307.993309444,471954.259502326,,,,(주)새한마이크로텍_경기도남양주시진접읍팔야리739-4새한마이크로텍
218,고압가스업,09_28_05_P,3630000,2026363034502100002,2026-02-09,,1,영업/정상,1,영업중,,,,,,,,광주광역시 광산구 월전동 912-24,광주광역시 광산구 평동산단로 262-1 (월전동),62417.0,(주)원일,2026-02-09 11:12:26,I,2026-02-11 00:20:41,저장소,,,,공업용,,(주)원일_광주광역시광산구월전동912-24
234,고압가스업,09_28_05_P,4820000,2026482038602200001,2026-02-09,,1,영업/정상,1,영업중,,,,,,660.0,,전라남도 순천시 조례동 1600-2 소방서,"전라남도 순천시 기적의도서관1길 30, 소방서 (조례동)",57975.0,순천소방서(왕조119안전센터),2026-02-09 10:40:16,U,2026-02-11 02:40:00,제조,247860.986529977,161659.706155165,충전,상업용,,순천소방서(왕조119안전센터)_전라남도순천시조례동1600-2소방서
179,고압가스업,09_28_05_P,3390000,2026339010902200001,2026-02-05,,1,영업/정상,1,영업중,,,,,,,,부산광역시 사상구 덕포동 364-4,부산광역시 사상구 사상로386번길 38-16 (덕포동),46944.0,LG전자,2026-02-06 10:10:37,I,2026-02-08 00:20:01,제조,380936.541654408,188338.640076232,일반,,,LG전자_부산광역시사상구덕포동364-4
