"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","관리업구분명","자본금","자산","보수범위","유지관리책임인력수","실무기술인력수","설계책임기술인력수","제조책임기술인력수","임원수","총직원수","기술직직원수","기능직직원수","사무직직원수","기타직원수","회사구분명","사업자등록번호",
"1","승강기유지관리업체","11_48_01_P","6270000","627000000111","2026-04-01","","01","영업/정상","1","인허가","","","","","0539634088","","41124","대구광역시 동구 용계동 172번지","대구광역시 동구 용계로1길 43-4 (용계동)","41124","백이엘리베이터(주)","2026-04-01 13:54:58","I","2026-04-03 00:20:02","","352782.314118653","265342.270529547","유지관리","중저속승강기","100000000","","720","1","","","","","8","","","","","본점","7738100640",
"2","승강기유지관리업체","11_48_01_P","6300000","630000000071","2009-01-16","","01","영업/정상","1","인허가","","","","","0425288887","","302-852","대전광역시 서구 월평동 1475번지","대전광역시 서구 월평새뜸로 6, 지하1층 (월평동)","302-852","아이원엔지니어링(주)","2026-04-01 11:19:02","U","2026-04-03 02:40:00","","231687.362951763","316835.789102003","유지관리","중저속승강기","310000000","","1,080","3","0","","","","12","","","","","본점","3058195944",
"3","승강기유지관리업체","11_48_01_P","6530000","642000000028","2008-01-17","","01","영업/정상","1","인허가","","","","","0332616125","","24441","강원특별자치도 춘천시 퇴계동 887","강원특별자치도 춘천시 공원3길 1, 1층 (퇴계동)","24441","춘천엘리베이터","2026-04-01 00:00:00","U","2026-04-03 02:40:00","","","","유지관리","고속승강기,중저속승강기","102475269","","1300","2","0","","","","","","","","","본점","2210922356",
"4","승강기유지관리업체","11_48_01_P","6110000","611000000357","2004-04-14","","01","영업/정상","1","인허가","","","","","0234702664","","150-834","서울특별시 영등포구 문래동3가  32번지 원터빌딩","서울특별시 영등포구 문래북로 122, 1동 (문래동3가,원터빌딩)","150-834","오티스이앤엠코리아 주식회사","2026-04-01 13:45:28","U","2026-04-03 02:40:00","","190987.544398298","446346.549180499","유지관리","고속승강기,중저속승강기","22000000000","","1,000","5","0","","","","0","","","","","본점","1148520694",
"5","승강기유지관리업체","11_48_01_P","6110000","611000000414","2008-03-14","","01","영업/정상","1","인허가","","","","","029002526","","","서울특별시 강북구 수유동 95-7 수유동이테크밸리오피스텔 301호~306호","서울특별시 강북구 도봉로77길 6, 수유동이테크밸리오피스텔 301호~306호 (수유동)","01113","하나로엠지엠(주)","2026-04-01 14:10:21","U","2026-04-03 02:40:00","","201942.872328818","459046.125539538","유지관리","고속승강기,중저속승강기","200000000","","2,000","2","0","","","","","","","","","본점","2108156584",
"6","승강기유지관리업체","11_48_01_P","6110000","611000000440","2009-11-13","","01","영업/정상","1","인허가","","","","","028352514","","","서울특별시 성동구 성수동1가 13-440 3층","서울특별시 성동구 상원길 66, 3층 (성수동1가)","04791","(주)광원엘리베이터","2026-04-01 09:12:25","U","2026-04-03 02:40:00","","204169.754276735","449742.874900675","유지관리","중저속승강기","100000000","","800","1","0","","","","0","","","","","본점","1088189744",
"7","승강기유지관리업체","11_48_01_P","6410000","405000000005","2006-02-22","","01","영업/정상","1","인허가","","","","","031 265 0524","","16914","경기도 용인시 기흥구 청덕동 556번지 용인테크노밸리 A811호, 812호, 813호","경기도 용인시 기흥구 구성로 357, 용인테크노밸리 (청덕동)","16914","대성엘리베이터(주)","2026-04-01 00:00:00","U","2026-04-03 02:40:00","","","","유지관리","중저속승강기","500","1000","1900","2","","","","","","","","","","본점","1358183761",
"8","승강기유지관리업체","11_48_01_P","6410000","382000000007","2006-05-03","","01","영업/정상","1","인허가","","","","","031 877 7673","","11652","경기도 의정부시 의정부동 573 도림빌딩","경기도 의정부시 신흥로 196, 도림빌딩 2층 (의정부동)","11652","태원엘리베이터(주)","2026-04-01 00:00:00","U","2026-04-03 02:40:00","","","","유지관리","중저속승강기","200","300","2000","3","","","","","","","","","","본점","1278198846",
"9","승강기유지관리업체","11_48_01_P","6110000","611000000526","2022-01-07","","01","영업/정상","1","인허가","","","","","0218991909","","","서울특별시 서초구 서초동 1439-2","서울특별시 서초구 효령로 346(서초동)","06722","에이치디씨랩스㈜","2026-04-01 15:11:44","U","2026-04-03 02:40:00","","201864.087555234","442677.761035486","유지관리","중저속승강기","12978800500","","700","1","0","","","","","","","","","본점","1208193646",
"10","승강기유지관리업체","11_48_01_P","6440000","644000000037","2017-09-16","","01","영업/정상","1","인허가","","","","","0415480222","","","충청남도 아산시 배방읍 장재리 1662번지","충청남도 아산시 배방읍 공원로16번길 17, 101호","31470","(주)덕양엘리베이터","2026-04-02 14:26:04","U","2026-04-04 02:40:00","","208977.897291961","364897.766290125","유지관리","중저속승강기","100000000","","1,000","1","","","","","13","","","","","본점","5218600705",
