"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","폐기물처리업구분명","폐기물처리업별처리구분명","폐기물구분명","허용보관량","허용보관량내용",
"1","건설폐기물처리업","09_30_05_P","4490000","449000092199600001","1996-05-29","","01","영업/정상","BBBB","영업","","","","","0415847007","","330-810","충청남도 천안시 서북구 직산읍 자은가리 82-2","충청남도 천안시 서북구 직산읍 양당로 206","331-815","도솔환경산업(주)","2026-04-01 14:26:53","U","2026-04-03 02:40:00","","210600.711397994","375102.947312885","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","15600","",
"2","건설폐기물처리업","09_30_05_P","4170000","417000092200600002","2024-08-22","","01","영업/정상","BBBB","영업","","","","","031-774-1335","","476-872","경기도 양평군 지평면 무왕리 337-2","경기도 양평군 지평면 금의길 316","","(주)금왕산업개발","2026-04-01 16:42:31","U","2026-04-03 02:40:00","","259105.015514952","440867.895781086","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","16100","",
"3","건설폐기물처리업","09_30_05_P","4170000","417000092200700001","2024-07-25","","01","영업/정상","BBBB","영업","","","","","031-774-1335","","476-872","경기도 양평군 지평면 무왕리 337-2","경기도 양평군 지평면 금의길 316","","(주)금왕산업개발","2026-04-01 16:42:31","U","2026-04-03 02:40:00","","259105.015514952","440867.895781086","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"4","건설폐기물처리업","09_30_05_P","4170000","417000092201000001","2020-08-31","","01","영업/정상","BBBB","영업","","","","","031-774-3284","","","경기도 양평군 지평면 무왕리 377 (주)오성개발","경기도 양평군 지평면 금의길 316-1 (주)오성개발","12542","(주)오성개발","2026-04-01 16:50:19","U","2026-04-03 02:40:00","","259167.735108567","440892.698684053","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"5","건설폐기물처리업","09_30_05_P","5530000","553000092202300026","2026-04-01","","01","영업/정상","BBBB","영업","","","","","0314359909","","","경기도 화성시 만세구 서신면 장외리 530-69","경기도 화성시 만세구 서신면 제부로654번길 114-9","18553","(주)바른산업화성","2026-04-01 16:39:21","U","2026-04-03 02:40:00","","171775.210760157","407181.806623434","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"6","건설폐기물처리업","09_30_05_P","4241000","424100092200600002","2020-03-18","","01","영업/정상","BBBB","영업","","","","","0335750981","","","강원특별자치도 삼척시 우지동 62-1 건백산업","강원특별자치도 삼척시 우지1길 31, 건백산업 (우지동)","25908","건백산업(주)","2026-04-01 15:45:58","U","2026-04-03 02:40:00","","390445.613786641","441846.313360867","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","30000","",
"7","건설폐기물처리업","09_30_05_P","5450000","545000092200200001","2002-03-27","","01","영업/정상","BBBB","영업","","","","","","","666-962","경상남도 산청군 신안면 하정리 457 외 6필지","경상남도 산청군 신안면 지리산대로 3664","666-962","일신환경(주)","2026-04-01 14:28:07","U","2026-04-03 02:40:00","","289705.195328458","201960.637708822","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","35680","",
"8","건설폐기물처리업","09_30_05_P","5450000","545000092200200002","2015-12-07","","01","영업/정상","BBBB","영업","","","","","","","666-962","경상남도 산청군 신안면 하정리 457 외 6필지","경상남도 산청군 신안면 지리산대로 3664","666-962","일신환경(주)","2026-04-01 14:28:07","U","2026-04-03 02:40:00","","289705.195328458","201960.637708822","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","35680","",
"9","건설폐기물처리업","09_30_05_P","3490000","349000092200600001","2026-04-01","","01","영업/정상","BBBB","영업","","","","","032-766-0618","","400-060","인천광역시 중구 사동 3-8","인천광역시 중구 인중로182번길 9 (사동)","400-060","해암개발(주)","2026-04-01 16:27:39","U","2026-04-03 02:40:00","","166717.503079989","440889.812801368","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"10","건설폐기물처리업","09_30_05_P","3490000","349000092200700002","2026-04-01","","01","영업/정상","BBBB","영업","","","","","0328893312","","400-103","인천광역시 중구 신흥동3가 60-9","인천광역시 중구 서해대로140번길 10 (신흥동3가)","400-103","대훈환경(주)","2026-04-01 16:27:29","U","2026-04-03 02:40:00","","166355.252063061","437616.268051117","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"11","건설폐기물처리업","09_30_05_P","4090000","409000092201500001","2015-07-20","","01","영업/정상","BBBB","영업","","","","","031-983-7253","","","경기도 김포시 북변동 232-11","경기도 김포시 북변1로 20-14, 105동 1층 101호 (북변동)","10101","에코누리","2026-04-01 15:25:35","U","2026-04-03 02:40:00","","173815.090379136","458347.367202999","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"12","건설폐기물처리업","09_30_05_P","4090000","409000092201600001","2016-04-25","","01","영업/정상","BBBB","영업","","","","","031-982-1317","","","경기도 김포시 사우동 204-10","경기도 김포시 돌문로 95, 203호 (사우동)","10108","(주)하나개발","2026-04-01 15:07:14","U","2026-04-03 02:40:00","","174611.516038325","457725.506843659","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
