"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","영업내용",
"1","옥외광고업","04_15_01_P","3160000","2026316028708500001","2026-02-27","","01","영업/정상","20","정상","","","","","","","","서울특별시 구로구 오류동 ***-* 대성빌딩 ***-**호","서울특별시 구로구 오류로*길 **, 대성빌딩 ***-**호 (오류동)","08341","애드럽","2026-03-03 11:23:29","I","2026-03-05 00:20:02","","186080.434730583","443371.570967758","광고대행",
"2","옥외광고업","04_15_01_P","4510000","2026451030208500001","2026-03-03","","01","영업/정상","20","정상","","","","","","","","","충청남도 보령시 웅천읍 방축길 **-**, 상가동 *층 ***호 (웅천 세아아파트)","33522","우드&애드","2026-03-03 13:41:45","I","2026-03-05 00:20:02","","164361.739807452","303535.086382632","옥외광고 제작",
"3","옥외광고업","04_15_01_P","4090000","2026409053208500007","2026-02-28","","01","영업/정상","20","정상","","","","","","","","","경기도 김포시 양촌읍 김포한강*로***번길 ***","10055","(주)천호정보통신","2026-03-03 16:29:37","I","2026-03-05 00:20:02","","169442.06409711","461793.281744276","옥외광고업",
"4","옥외광고업","04_15_01_P","4090000","2026409053208500008","2026-02-28","","01","영업/정상","20","정상","","","","","","","","","경기도 김포시 태장로 ***, 경동미르웰시티 B동 *층 ***호 (장기동)","10090","커스텀포라온","2026-03-03 16:29:52","I","2026-03-05 00:20:02","","172060.790207415","459930.508280681","옥외광고업",
"5","옥외광고업","04_15_01_P","5670000","2026567050008500001","2026-03-03","","01","영업/정상","20","정상","","","","","","","","경상남도 창원시 의창구 팔용동 ***-* 서상상가 ***호","경상남도 창원시 의창구 남산로*번길 **, 서상상가 지하층 ***호 (팔용동)","51367","해인기획","2026-03-03 17:48:29","I","2026-03-05 00:20:02","","346976.7337448","196982.6828143","옥외광고업, 간판 및 현수막 제작",
"6","옥외광고업","04_15_01_P","5670000","2026567050008500002","2026-03-03","","01","영업/정상","20","정상","","","","","","","","경상남도 창원시 의창구 팔용동 **-* 신화 더 플렉스시티 ***호","경상남도 창원시 의창구 평산로 **, 신화 더 플렉스시티 *층 ***호 (팔용동)","51397","디자인 디바인드","2026-03-03 17:49:04","I","2026-03-05 00:20:02","","346858.445337531","195446.015715055","시각디자인업, 인쇄업, 옥외광고업",
"7","옥외광고업","04_15_01_P","3600000","2019360015408500006","2019-07-31","","01","영업/정상","20","정상","","","","","0625120455","","","광주광역시 서구 쌍촌동 ****","광주광역시 서구 내방로***번길 **, *층 (쌍촌동)","61940","플러스비전 주식회사","2026-03-03 10:11:59","U","2026-03-05 02:40:00","","187031.230510515","184535.965800869","간판제작 및 옥외광고사업",
"8","옥외광고업","04_15_01_P","4641000","2026466100908500001","2026-01-05","","01","영업/정상","20","정상","","","","","","","","","전북특별자치도 전주시 덕진구 매암길 ** (원동)","54802","바다디자인","2026-03-03 15:49:15","U","2026-03-05 02:40:00","","202389.677320893","263594.967723298","옥외광고업",
"9","옥외광고업","04_15_01_P","4641000","2026466100908500002","2026-01-07","","01","영업/정상","20","정상","","","","","","","","","전북특별자치도 전주시 덕진구 만성남*길 **, ***호 (만성동)","54867","디자인자이젠","2026-03-03 15:48:01","U","2026-03-05 02:40:00","","206454.85865497","259900.020634202","간판 제조 설치 디자인",
"10","옥외광고업","04_15_01_P","3940000","2023396010708500009","2025-12-16","","01","영업/정상","20","정상","","","","","","","","경기도 고양시 일산동구 성석동 ***","경기도 고양시 일산동구 성석로 *** (성석동)","10312","올라슨(ollason)","2026-03-03 10:08:41","U","2026-03-05 02:40:00","","181826.270914057","466998.296838694","옥외광고물 제작 및 설치",
"11","옥외광고업","04_15_01_P","4641000","2026466100908500003","2026-02-19","","01","영업/정상","20","정상","","","","","","","","","전북특별자치도 전주시 덕진구 만성북로 **-**, 스페이스온 지식산업센터 ****호 (만성동)","54858","앤투앤","2026-03-03 15:45:42","U","2026-03-05 02:40:00","","207392.029276292","260992.916630393","산업디자인 전반",
"12","옥외광고업","04_15_01_P","4641000","2025466100908500005","2025-11-10","","01","영업/정상","20","정상","","","","","","","","","전북특별자치도 전주시 덕진구 구렛들*길 ** (팔복동*가)","54844","주식회사 인디케이","2026-03-03 15:52:29","U","2026-03-05 02:40:00","","209052.37072677","262396.634254114","시각디자인 / 환경디자인 / 멀티미디어 디자인",
"13","옥외광고업","04_15_01_P","4641000","2025466100908500007","2025-12-02","","01","영업/정상","20","정상","","","","","","","","","전북특별자치도 전주시 덕진구 건산로 ***, 상가동 ***호 (산정동)","55015","채움디자인","2026-03-03 15:50:38","U","2026-03-05 02:40:00","","215326.431927913","259662.544789172","광고물 제작 도소매",
"14","옥외광고업","04_15_01_P","3160000","2025316028708500007","2025-12-09","","03","폐업","40","폐업","2026-01-30","","","","","","","서울특별시 구로구 구로동 **-* 세아베스틸 *층 ***호","서울특별시 구로구 새말로 ***, 세아베스틸 *층 ***호 (구로동)","08289","아름제일주식회사","2026-03-03 11:15:52","U","2026-03-05 02:40:00","","190383.322395563","444896.37675407","옥외광고",
"15","옥외광고업","04_15_01_P","4641000","2025466100908500006","2025-12-01","","01","영업/정상","20","정상","","","","","","","","","전북특별자치도 전주시 덕진구 백제대로 ***, *층 (금암동)","54932","유한회사 이서기획","2026-03-03 15:51:46","U","2026-03-05 02:40:00","","211620.581216013","259904.942304594","옥외 및 전시광고업",
"16","옥외광고업","04_15_01_P","4641000","2025466100908500004","2025-09-15","","01","영업/정상","20","정상","","","","","","","","전북특별자치도 전주시 덕진구 송천동*가 *** 오성비둘기아파트 상가동 *호","전북특별자치도 전주시 덕진구 솔내*길 **, 상가동 *호 (송천동*가, 오성비둘기아파트)","54837","건강좋아(조아광고기획)","2026-03-03 15:54:26","U","2026-03-05 02:40:00","","210998.703126753","261825.773457211","광고기획",
"17","옥외광고업","04_15_01_P","4641000","2025466100908500002","2025-05-23","","01","영업/정상","20","정상","","","","","","","","전북특별자치도 전주시 덕진구 여의동 ****-**","전북특별자치도 전주시 덕진구 혁신로 ***-* (여의동)","54809","이레기획","2026-03-03 15:56:18","U","2026-03-05 02:40:00","","206300.410966405","262968.612635765","간판 제작 및 시공",
"18","옥외광고업","04_15_01_P","4641000","2025466100908500003","2025-06-27","","01","영업/정상","20","정상","","","","","","","","전북특별자치도 전주시 덕진구 진북동 ****-**","전북특별자치도 전주시 덕진구 벚꽃로 **, *층 (진북동)","54939","해달디자인","2026-03-03 15:55:30","U","2026-03-05 02:40:00","","211808.635376558","258710.206733992","간판 및 현수막 디자인",
"19","옥외광고업","04_15_01_P","4470000","2015447005808500003","2022-02-03","","01","영업/정상","20","정상","","","","","043 5352871","","","충청북도 음성군 대소면 태생리 ***","충청북도 음성군 대소면 대금로 ***","27666","OK광고","2026-03-03 10:45:33","U","2026-03-05 02:40:00","","243835.523955869","385168.298439948","옥외광고업",
"20","옥외광고업","04_15_01_P","4641000","2025466100908500001","2025-03-11","","01","영업/정상","20","정상","","","","","","","","","전북특별자치도 전주시 덕진구 권삼득로 ***, 원플러스 상가 *층 ***호 (덕진동*가)","54898","주식회사 전주로","2026-03-03 15:59:50","U","2026-03-05 02:40:00","","211297.25008485","260536.722885699","옥외광고물제작업",
"21","옥외광고업","04_15_01_P","3700000","2023370019508500011","2023-12-15","","03","폐업","40","폐업","2026-03-03","","","","","","","울산광역시 남구 삼산동 ****-*","울산광역시 남구 화합로***번길 *, *층 ***호 (삼산동)","44717","퍼스널디자인NA","2026-03-03 16:27:27","U","2026-03-05 02:40:00","","412394.524389451","228588.609718827","현수막(디자인) 제작, 광고대행, 인쇄 실사출력기,컷팅기 미비로 대행",
"22","옥외광고업","04_15_01_P","3230000","2026323030308500003","2026-03-04","","01","영업/정상","20","정상","","","","","","","","서울특별시 송파구 문정동 ***-* 에이치비즈니스파크","서울특별시 송파구 법원로*길 **, 에이치비즈니스파크 C동 ***호 (문정동)","05836","(주)앤다스","2026-03-04 17:29:59","I","2026-03-06 00:20:02","","","","안내판 제조 및 설치",
"23","옥외광고업","04_15_01_P","5350000","2026535027408500001","2026-03-03","","01","영업/정상","20","정상","","","","","","","","경상남도 김해시 한림면 신천리 ***","경상남도 김해시 한림면 김해대로 ****-**","50853","(주)원조형","2026-03-04 15:44:51","I","2026-03-06 00:20:02","","366038.787678557","199338.895698167","",
"24","옥외광고업","04_15_01_P","4520000","2026452041808500004","2026-02-26","","01","영업/정상","20","정상","","","","","","","","충청남도 아산시 온천동 **-*","충청남도 아산시 온천대로 **** (온천동)","31520","매직광고","2026-03-04 11:02:51","I","2026-03-06 00:20:02","","200695.777473349","364367.163150589","광고 디자인, 간판/광고물/현수막 제작 등",
"25","옥외광고업","04_15_01_P","3780000","2026381005308500002","2026-02-26","","01","영업/정상","20","정상","","","","","02 61190114","","","","경기도 성남시 분당구 판교로 ***, sk플래닛판교사옥 *층 (삼평동)","13487","에스케이 플래닛 (주)","2026-03-04 17:03:38","I","2026-03-06 00:20:02","","209044.157258664","433407.062984073","옥외 및 전시 광고업",
"26","옥외광고업","04_15_01_P","5440000","2026544023608500001","2026-03-03","","01","영업/정상","20","정상","","","","","","","","","경상남도 하동군 하동읍 중앙로 **, *층","52327","디자인 day","2026-03-04 09:12:28","I","2026-03-06 00:20:02","","267803.050023884","175027.036614501","산업디자인, 옥외광고물 제작 등",
"27","옥외광고업","04_15_01_P","4440000","2006444004508200001","2026-02-13","","01","영업/정상","20","정상","","","","","043 7431977","","","충청북도 영동군 영동읍 동정리 **-* 현대광고","충청북도 영동군 영동읍 동정로 **, 현대광고","29140","오감팩토리","2026-03-04 10:41:25","U","2026-03-06 02:40:00","","271021.25482431","297228.984249676","옥외광고업",
"28","옥외광고업","04_15_01_P","3470000","1993347000008200083","2026-03-04","","01","영업/정상","20","정상","","","","","053 624 9019","","","대구광역시 달서구 성당동 **-**","대구광역시 달서구 파도고개로 ** (성당동)","704-080","고려광고사","2026-03-04 17:29:24","U","2026-03-06 02:40:00","","341981.452770219","262428.553420204","광고물제작",
"29","옥외광고업","04_15_01_P","4580000","1991458005308200005","1991-04-13","","03","폐업","40","폐업","2026-01-26","","","","041 952 7710","","","충청남도 서천군 서천읍 군사리 ***-*","충청남도 서천군 서천읍 군청로 **","325-802","임마누엘광고","2026-03-04 12:58:56","U","2026-03-06 02:40:00","","172143.871632158","286632.596220718","옥외광고물등 제작 및 시공",
"30","옥외광고업","04_15_01_P","3350000","2019335008908500004","2026-03-04","","01","영업/정상","20","정상","","","","","051 517 9700","","","부산광역시 금정구 장전동 ***-** 금정산한신아파트 ***동 ****호","부산광역시 금정구 소정로 **, ***동 ****호 (장전동, 금정산한신아파트)","46296","(주)에스비디","2026-03-04 15:45:25","U","2026-03-06 02:40:00","","389235.155754866","194083.561668038","간판, 옥내외광고물제작, 광고기획대행, 디자인용역, 경관조명설계",
"31","옥외광고업","04_15_01_P","3340000","2024334011308500003","2024-07-02","","03","폐업","40","폐업","2026-02-27","","","","","","","","부산광역시 사하구 감천항로***번길 ** (구평동)","49455","주식회사 한독","2026-03-04 13:26:35","U","2026-03-06 02:40:00","","382068.565444199","174771.683987048","",
"32","옥외광고업","04_15_01_P","3230000","2026323030308500002","2026-02-02","","01","영업/정상","20","정상","","","","","","","","","서울특별시 송파구 올림픽로 ***, 쌩모리빌오피스텔 ***호 (방이동)","05543","주식회사 영인스페이스","2026-03-04 14:41:58","U","2026-03-06 02:40:00","","209592.329601283","445982.324739193","옥외광고사업",
"33","옥외광고업","04_15_01_P","4351000","2025435105908500002","2025-07-31","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 양양군 양양읍 포월리 ***","강원특별자치도 양양군 양양읍 포월새말길 **-**, *층 ***호","25013","강원디자인개발연구소","2026-03-04 10:45:45","U","2026-03-06 02:40:00","","342580.715416823","511950.938562367","옥외광고물 제작",
"34","옥외광고업","04_15_01_P","3240000","2025324024008500002","2026-03-03","","01","영업/정상","20","정상","","","","","","","","서울특별시 강동구 성내동 ***-*","서울특별시 강동구 천호대로***길 ***, *층 (성내동)","05390","스타광고","2026-03-04 09:56:42","U","2026-03-06 02:40:00","","211548.715206409","447627.245726069","광고물 제작 설치",
"35","옥외광고업","04_15_01_P","4520000","2025452041808500001","2025-01-20","","01","영업/정상","20","정상","","","","","","","","충청남도 아산시 풍기동 ***-**","충청남도 아산시 온천대로 ****-**, A동 *층 *호 (풍기동)","31526","가온","2026-03-04 11:03:09","U","2026-03-06 02:40:00","","201560.398208424","364054.023068595","옥외광고업",
