번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),환경업무구분명,업종구분명,종별명,주생산품명,배출시설조업시간,배출시설연간가동일수,방지시설조업시간,방지시설연간가동일수,사업자등록번호,Unnamed: 37,record_key
2097,대기오염물질배출시설설치사업장,09_30_08_P,6430000,643000001202600007,2026-02-14,,1,영업/정상,1,영업,,,,,0221817939,,,충청북도 괴산군 칠성면 율원리 1289번지 로움호텔3관,"충청북도 괴산군 칠성면 자연드림3길 63, 로움호텔3관",28019,인라이프케어이종협동조합연합회 괴산점,2026-02-14 12:01:40,I,2026-02-16 00:20:01,,,,대기배출업소관리,숙박시설 운영업,5종,,0.0,0.0,0.0,0.0,8608200728.0,,인라이프케어이종협동조합연합회괴산점_충청북도괴산군칠성면율원리1289번지로움호텔3관
1976,대기오염물질배출시설설치사업장,09_30_08_P,5530000,553000021202600011,2026-02-13,,1,영업/정상,11,영업,,,,,070-7543-8042,,,경기도 화성시 만세구 우정읍 호곡리 230-166,경기도 화성시 만세구 우정읍 호곡길168번길 84,18558,코스모랩,2026-02-13 10:43:28,I,2026-02-15 00:20:02,포장용 플라스틱 성형용기 제조업,180012.823428075,402799.653847018,대기배출업소관리,포장용 플라스틱 성형용기 제조업,5종,,24.0,240.0,0.0,0.0,3020548394.0,,코스모랩_경기도화성시만세구우정읍호곡리230-166
1973,대기오염물질배출시설설치사업장,09_30_08_P,3450000,345000021202600001,2026-02-13,,1,영업/정상,11,영업,,,,,,,,대구광역시 북구 침산동 999,"대구광역시 북구 오봉로 166, 401호 (침산동)",41500,티에스아이웨어(주),2026-02-13 14:58:16,I,2026-02-15 00:20:02,안경 및 안경렌즈 제조업,342535.202371455,268102.949572544,대기배출업소관리,안경 및 안경렌즈 제조업,5종,,8.0,300.0,8.0,300.0,8488701926.0,,티에스아이웨어(주)_대구광역시북구침산동999
1974,대기오염물질배출시설설치사업장,09_30_08_P,5180000,518000021202600004,2026-02-13,,1,영업/정상,11,영업,,,,,,,,경상북도 영덕군 영덕읍 우곡리 21-1,,,더그린㈜,2026-02-13 17:38:18,I,2026-02-15 00:20:02,제재 및 목재 가공업,414039.147924965,327321.068989483,대기배출업소관리,제재 및 목재 가공업,5종,,10.0,72.0,10.0,72.0,,,더그린㈜_경상북도영덕군영덕읍우곡리21-1
1975,대기오염물질배출시설설치사업장,09_30_08_P,4490000,449000021202600004,2026-02-13,,1,영업/정상,11,영업,,,,,,,,충청남도 천안시 동남구 풍세면 풍서리 162-13,충청남도 천안시 동남구 풍세면 세종평택로 150,31216,한국대체에너지산업 주식회사,2026-02-13 16:27:17,I,2026-02-15 00:20:02,애완동물 장묘 및 보호 서비스업,,,대기배출업소관리,애완동물 장묘 및 보호 서비스업,5종,반려동물 유골,8.0,365.0,8.0,365.0,3128157953.0,,한국대체에너지산업주식회사_충청남도천안시동남구풍세면풍서리162-13
1980,대기오염물질배출시설설치사업장,09_30_08_P,5020000,502000021202600001,2026-02-13,,1,영업/정상,11,영업,,,,,,,,경상북도 포항시 남구 연일읍 우복리 261-1,경상북도 포항시 남구 연일읍 남성길1번길 94-17,37855,(주)에이스알앤씨,2026-02-13 09:30:59,I,2026-02-15 00:20:02,폐기물 처리업,411233.302658566,277536.50338411,대기배출업소관리,폐기물 처리업,5종,,,0.0,,300.0,5068172199.0,,(주)에이스알앤씨_경상북도포항시남구연일읍우복리261-1
1977,대기오염물질배출시설설치사업장,09_30_08_P,5530000,553000021202600012,2026-02-13,,1,영업/정상,11,영업,,,,,,,,경기도 화성시 만세구 송산면 사강리 391-1,경기도 화성시 만세구 송산면 송산포도로307번길 20,18551,주식회사 시큐리티존,2026-02-13 15:17:32,I,2026-02-15 00:20:02,폐기물 처리업,174632.902275836,412722.930544618,대기배출업소관리,폐기물 처리업,5종,,,0.0,,0.0,7508100308.0,,주식회사시큐리티존_경기도화성시만세구송산면사강리391-1
1979,대기오염물질배출시설설치사업장,09_30_08_P,6520000,652000021202600001,2026-02-13,,1,영업/정상,11,영업,,,,,064-787-2254,,,제주특별자치도 서귀포시 표선면 성읍리 2197-1 녹차가공공장,"제주특별자치도 서귀포시 표선면 중산간동로 4778, 녹차가공공장",63624,성읍녹차마을영농조합법인,2026-02-13 16:43:17,I,2026-02-15 00:20:02,차류 가공업,180401.306076138,-12781.0548336749,대기배출업소관리,차류 가공업,5종,,8.0,0.0,,240.0,6168165035.0,,성읍녹차마을영농조합법인_제주특별자치도서귀포시표선면성읍리2197-1녹차가공공장
1978,대기오염물질배출시설설치사업장,09_30_08_P,6430000,643000001202600006,2026-02-13,,1,영업/정상,1,영업,,,,,,,,충청북도 청주시 흥덕구 강내면 다락리 1번지 청주하이테크밸리산업14B-1L,,,(주)농협사료 충청지사,2026-02-13 10:13:01,I,2026-02-15 00:20:02,,,,대기배출업소관리,배합 사료 제조업,3종,,0.0,0.0,0.0,0.0,3018521680.0,,(주)농협사료충청지사_충청북도청주시흥덕구강내면다락리1번지청주하이테크밸리산업14B-1L
1766,대기오염물질배출시설설치사업장,09_30_08_P,3480000,348000021202600003,2026-02-12,,1,영업/정상,11,영업,,,,,053-631-0805,,,대구광역시 달성군 논공읍 상리 775-3,대구광역시 달성군 논공읍 비슬로264길 30,42976,주식회사 디와이푸드텍 농업회사법인,2026-02-12 17:43:56,I,2026-02-14 00:20:02,기타 육류 가공 및 저장처리업,327488.372246248,250643.021945941,대기배출업소관리,기타 육류 가공 및 저장처리업,5종,,8.0,240.0,8.0,240.0,5288803366.0,,주식회사디와이푸드텍농업회사법인_대구광역시달성군논공읍상리775-3
