"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1","응급환자이송업","01_01_07_P","6410000","201964100004050001","2019-02-15","","01","영업/정상","1","영업","","","","","0315310129","72","","경기도 용인시 처인구 유방동  326번지 1호 연세학원 -동 1호","경기도 용인시 처인구 백옥대로1370번길 11-17, -동 연세학원층 (유방동,연세학원)","","(주)129구급대","2026-02-06 10:30:25","U","2026-02-08 02:40:00","","218902.517897706","417366.567397394","","0","0","0","0","","","","","","6","0","","11","0","",
"2","응급환자이송업","01_01_07_P","6440000","201464400004000001","2014-01-16","","01","영업/정상","1","영업","","2016-01-25","2016-04-14","","0419315119","","","충청남도 보령시 청소면 진죽리 394번지 2호 2호","충청남도 보령시 청소면 청소큰길 154","","(주)충남구급이송센터","2026-02-13 09:13:05","U","2026-02-15 02:40:00","","163137.196992928","327113.233910756","","0","0","0","0","","","","","","0","0","","10","0","",
"3","응급환자이송업","01_01_07_P","6410000","202664100004000001","2026-01-21","","01","영업/정상","1","영업","","","","","03118551290","","","경기도 광명시 하안동  303번지 0호 0호","경기도 광명시 오리로651번길 8-0, 247호 (하안동)","","129이엠에스 주식회사","2026-02-03 17:38:14","U","2026-02-06 02:40:00","","","","","0","0","0","0","","","","","","0","0","","","0","",
"4","응급환자이송업","01_01_07_P","6410000","201664100004000001","2016-01-07","","01","영업/정상","1","영업","","","","","0316830129","14852","","경기도 평택시 안중읍 대반리 1번지 8호 8호","경기도 평택시 안중읍 대반길 22-0","","(주)구일일인명구급대","2026-02-09 16:59:34","U","2026-02-11 02:40:00","","195290.638016873","387851.861046242","","0","0","0","0","","","","","","13","2","","20","0","",
"5","응급환자이송업","01_01_07_P","6290000","201062900004000001","2010-10-11","","01","영업/정상","1","영업","","","","","0622349575","124","","","광주광역시 동구 화산로351번길 4 (용산동)","","메디칼이송단","2026-02-03 15:34:34","U","2026-02-06 02:40:00","","193755.322271875","180139.59622295","","0","0","0","0","","","","","","5","0","","10","0","",
"6","응급환자이송업","01_01_07_P","6440000","202464400004000001","2024-03-19","","01","영업/정상","1","영업","","","","","0413560129","364","","충청남도 당진시 시곡동  145번지 0호 0호","충청남도 당진시 상목길 6-0 (시곡동)","","당진시구급차","2026-02-02 20:05:36","U","2026-02-04 02:40:00","","170748.556477219","377982.365456431","","0","0","0","0","","","","","","5","0","","8","0","",
"7","응급환자이송업","01_01_07_P","6310000","202463100004000001","2024-03-08","","01","영업/정상","1","영업","","","","","0522442444","102","","울산광역시 울주군 삼남읍 교동리 1599번지 5호 5호","울산광역시 울주군 삼남읍 중평로 23-0, 2층동 2층층 (2층)","","(주)우리응급환자이송단","2026-02-09 19:26:14","U","2026-02-11 02:40:00","","392122.731954702","230690.033598883","","0","0","0","0","","","","","","5","1","","9","0","",
"8","응급환자이송업","01_01_07_P","6440000","202264400004000001","2022-12-07","","01","영업/정상","1","영업","","","","","0415339129","66","","충청남도 아산시 초사동  643번지 5호 5호","충청남도 아산시 신정로 208-0 (초사동)","","(주)충남구급센타","2026-01-30 15:27:04","U","2026-02-04 11:04:37","","197297.387290747","360194.339858601","","0","0","0","0","","","","","","5","0","","12","0","",
"9","응급환자이송업","01_01_07_P","6310000","200863100004000001","2008-08-12","","01","영업/정상","1","영업","","","","","0522931339","166","","울산광역시 중구 학성동  56번지 0호 0호","울산광역시 중구 서원13길 3-0 (학성동)","","(주)중앙응급환자이송단","2026-02-09 18:00:26","U","2026-02-11 02:40:00","","411857.910678217","231046.649016006","","0","0","0","0","","","","","","7","4","","17","0","",
"10","응급환자이송업","01_01_07_P","6430000","200964300004000001","2009-01-06","","01","영업/정상","1","영업","","","","","0438531129","96","","충청북도 충주시 문화동  608번지 0호 0호","충청북도 충주시 중앙로 25-0 (문화동)","","(주)응급일이구","2026-02-04 14:27:05","U","2026-02-06 02:40:00","","282407.06999786","386113.76719618","","0","0","0","0","","","","","","0","0","","11","0","",
"11","응급환자이송업","01_01_07_P","6430000","201464300004000001","2014-01-08","","01","영업/정상","1","영업","","","","","0436522119","119","","충청북도 제천시 화산동  105번지 5호 5호","충청북도 제천시 의림대로6길 16-2 (화산동)","","(주)내토응급환자이송단","2026-02-04 14:27:14","U","2026-02-06 02:40:00","","307340.107803946","403930.065576284","","0","0","0","0","","","","","","0","0","","8","0","",
