"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","욕실수","발한실여부","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"1","목욕장업","11_44_01_P","6510000","6510000-202-2026-00002","2026-04-01","","01","영업/정상","01","영업","","","","","064 7834758","124.46","695-964","제주특별자치도 제주시 조천읍 조천리 3093-1","제주특별자치도 제주시 조천읍 조천3길 17, 제1동 1~2층","63331","제주온쉼","2026-04-01 11:00:09","I","2026-04-03 00:20:02","목욕장업 기타","165884.347124477","4465.73773257557","목욕장업 기타","0","0","1","2","0","0","0","Y","","","","","0","0","Y",
"2","목욕장업","11_44_01_P","4191000","4191000-202-2011-00001","2011-01-21","","01","영업/정상","01","영업","","","","","033 7697700","989.27","","강원특별자치도 원주시 지정면 판대리 577-2 오크밸리","강원특별자치도 원주시 지정면 오크밸리2길 58, 오크밸리","26357","스키빌리지사우나","2026-04-01 11:50:35","U","2026-04-03 02:40:00","공동탕업","272000.036047268","434131.465949678","공동탕업","2","1","2","0","0","0","2","Y","","","","자가","0","0","Y",
"3","목욕장업","11_44_01_P","3300000","3300000-202-1983-01454","1983-12-26","","01","영업/정상","01","영업","","","","","051 5583363","293.80","607-837","부산광역시 동래구 온천동 1429-10","부산광역시 동래구 중앙대로1333번길 84 (온천동)","47733","청원온천탕","2026-04-01 15:58:04","U","2026-04-03 02:40:00","공동탕업","388717.785715772","191761.696410101","공동탕업","3","1","1","1","0","0","0","N","","","","","0","0","N",
"4","목욕장업","11_44_01_P","3300000","3300000-202-1991-01498","1991-10-01","","01","영업/정상","01","영업","","","","","051 5502200","6160.67","607-832","부산광역시 동래구 온천동 137","부산광역시 동래구 온천장로107번길 32 (온천동)","47709","허심청","2026-04-02 10:51:22","U","2026-04-04 02:40:00","공동탕업+찜질시설서비스영업","389553.269396339","193306.748089046","공동탕업+찜질시설서비스영업","5","0","3","5","0","0","0","N","","","","","0","0","Y",
"5","목욕장업","11_44_01_P","3300000","3300000-202-1989-01487","1989-10-30","","01","영업/정상","01","영업","","","","","051 5555737","805.87","607-831","부산광역시 동래구 온천동 142-15","부산광역시 동래구 온천장로119번가길 16 (온천동)","47709","현대온천탕","2026-04-02 10:45:53","U","2026-04-04 02:40:00","공동탕업","389458.595440944","193353.08622961","공동탕업","4","1","1","2","0","0","0","N","","","","","0","0","N",
"6","목욕장업","11_44_01_P","5330000","5330000-202-2009-00001","2009-09-18","","01","영업/정상","01","영업","","","","","","194.34","650-913","경상남도 통영시 욕지면 동항리 792-1","경상남도 통영시 욕지면 중촌길 177","53100","욕지공중목욕탕","2026-04-02 09:47:36","U","2026-04-04 02:40:00","공동탕업","315716.750916547","127148.917434559","공동탕업","1","0","0","0","0","0","2","Y","","","","","0","0","N",
"7","목욕장업","11_44_01_P","3460000","3460000-202-2000-00008","2000-08-10","","03","폐업","02","폐업","2026-04-02","","","","053 753 6474","362.00","706-807","대구광역시 수성구 만촌동 871","대구광역시 수성구 교학로7길 10 (만촌동)","42074","영진목욕탕","2026-04-02 11:17:19","U","2026-04-04 02:40:00","공동탕업","349223.168256737","262557.683718519","공동탕업","3","1","0","0","0","0","0","N","","","","","0","0","N",
"8","목욕장업","11_44_01_P","3740000","3760000-202-2015-00003","2015-08-20","","01","영업/정상","01","영업","","","","","031  2273600","582.62","441-450","경기도 수원시 권선구 호매실동 1395-3 블루테라스, 9층","경기도 수원시 권선구 호매실로90번길 116, 9층 (호매실동, 블루테라스)","16630","호매실24시사우나","2026-04-02 16:33:59","U","2026-04-04 02:40:00","공동탕업","196628.473421908","417574.717850199","공동탕업","10","3","9","9","0","0","2","N","","","","임대","0","0","N",
"9","목욕장업","11_44_01_P","3740000","3760000-202-2015-00004","2015-08-27","","01","영업/정상","01","영업","","","","","031  2273600","130.54","441-450","경기도 수원시 권선구 호매실동 1395-3","경기도 수원시 권선구 호매실로90번길 116, 8층 802호 (호매실동)","16630","호매실24시찜질방","2026-04-02 16:47:29","U","2026-04-04 02:40:00","찜질시설서비스영업","196628.473421908","417574.717850199","찜질시설서비스영업","10","3","8","8","0","0","0","N","","","","임대","0","0","N",
"10","목욕장업","11_44_01_P","3820000","3820000-202-2025-00001","2025-10-02","","01","영업/정상","01","영업","","","","","","1641.85","480-060","경기도 의정부시 고산동 994-3 고산크라우드오피스텔주1동 201호","경기도 의정부시 문화로 9, 고산크라우드오피스텔주1동 2층 201호 (고산동)","11821","고산수변사우나","2026-04-03 14:47:37","U","2026-04-05 02:40:00","공동탕업+찜질시설서비스영업","209190.843221856","469613.346117247","공동탕업+찜질시설서비스영업","0","0","0","0","0","0","0","N","","","","","0","0","N",
