"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자본금","거래처",
"1","석유판매업","09_28_08_P","4490000","1976449013101500003","1976-05-11","","01","영업/정상","07","영업개시","","","","","041-555-3001","7530","","충청남도 천안시 동남구 구성동 153-51 충전소및주유소","충청남도 천안시 동남구 쉼1길 40, 충전소및주유소 (구성동)","31070","광동석유(주)천안삼거리주유소","2026-02-01 12:22:03","U","2026-02-03 02:40:00","주유소","215318.343252487","365293.049772315","","",
"2","석유판매업","09_28_08_P","3600000","2005360001201500003","2005-07-01","","02","휴업","05","사업휴지","","2025-10-16","2026-10-15","","062 655 2211","806","","광주광역시 서구 매월동 132","광주광역시 서구 풍서좌로 83 (매월동)","","시선(주) 광주서지점","2026-02-01 14:48:18","U","2026-02-03 02:40:00","주유소","187044.054","180220.988","","",
"3","석유판매업","09_28_08_P","4080000","2021408023801200001","2021-03-08","","02","휴업","05","사업휴지","","2025-11-14","2026-11-13","","","","","경기도 안성시 일죽면 당촌리 133-5","경기도 안성시 일죽면 일죽당촌길 126","17527","서해에너지","2026-02-01 07:16:51","U","2026-02-03 02:40:00","일반판매소","245223.636760296","399998.676604041","","",
"4","석유판매업","09_28_08_P","5530000","2008553018701500008","2008-04-10","","03","폐업","03","폐지","2024-12-30","","","","031 351 5152","1491","","경기도 화성시 만세구 우정읍 이화리 179-26","경기도 화성시 만세구 우정읍 포승향남로 976","","나래사랑주유소","2026-01-30 09:34:09","I","2026-02-04 01:35:23","주유소","182669.001885856","392780.397610084","","",
"5","석유판매업","09_28_08_P","5530000","2002553001201500008","2002-10-02","","01","영업/정상","06","휴지사업재개","","","","","031 3515183","1385","","경기도 화성시 만세구 우정읍 조암리 517","경기도 화성시 만세구 우정읍 버들로 94","","조형주유소","2026-01-30 09:39:56","I","2026-02-04 01:35:23","주유소","182639.081435453","397605.837865295","","",
"6","석유판매업","09_28_08_P","5070000","1982507001001500001","1982-01-20","","02","휴업","05","사업휴지","","2026-02-04","2026-04-30","","054 8555555","1334.2","","경상북도 안동시 송현동 511-4","경상북도 안동시 경동로 275 (송현동)","","대원석유(주)영남주유소","2026-02-02 14:35:58","U","2026-02-04 02:40:00","주유소","351291.940044283","342659.492381236","","",
"7","석유판매업","09_28_08_P","4201000","2001420008501500002","2001-11-28","","01","영업/정상","07","영업개시","","","","","033 647 7112","1769","","강원특별자치도 강릉시 성산면 보광리 120","강원특별자치도 강릉시 성산면 영동고속도로 232-1","","주식회사 나이스디앤에스(강릉방향)주유소","2026-02-02 10:14:36","U","2026-02-04 02:40:00","주유소","359090.675111032","474308.184816754","","",
"8","석유판매업","09_28_08_P","4201000","2001420008501500003","2001-11-28","","01","영업/정상","07","영업개시","","","","","033 648 9559","1769","","강원특별자치도 강릉시 성산면 보광리 139","강원특별자치도 강릉시 성산면 영동고속도로 231-1","","주식회사 나이스디앤에스 강릉(인천방향)주유소","2026-02-02 10:14:48","U","2026-02-04 02:40:00","주유소","359006.949581789","474511.953654196","","",
"9","석유판매업","09_28_08_P","4620000","2019462007601200001","2019-05-15","","03","폐업","03","폐지","2025-04-01","","","","","430","","충청남도 태안군 남면 신온리 산 106 한서대학교항공학부","충청남도 태안군 남면 곰섬로 236-49, 한서대학교항공학부","32158","(주)유진네트웍스","2026-02-02 16:53:42","U","2026-02-04 02:40:00","항공유판매소","136707.410805739","343962.090593234","","",
"10","석유판매업","09_28_08_P","5530000","2009553018701500009","2009-05-11","","01","영업/정상","07","영업개시","","","","","031 355 8251","1495","","경기도 화성시 북양동 565-28","경기도 화성시 주석로 353 (북양동)","","(주)하이테크산업","2026-02-02 16:48:06","U","2026-02-04 02:40:00","주유소","","","","",
