"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","시력표수","표본렌즈수","측정의자수","동공거리측정기수","정점굴절계기수","조제용연마기수","렌즈절단기수","가열기수","안경세척기수","총면적",
"1","안경업","01_02_01_P","5530000","PHMB220085530021082200014","2008-07-03","","03","폐업","03","폐업","2010-10-29","","","","","","445-330","경기도 화성시 병점구 반월동 948 삼성반도체화성사업장","","","티파니안경(삼성화성점)","2010-11-22 17:15:48","I","2026-02-04 01:35:23","","205820.890952409","413028.454932076","1","1","1","1","1","1","1","1","1","0",
"2","안경업","01_02_01_P","5530000","PHMB220105530021082200012","2010-12-28","","01","영업/정상","13","영업중","","","","","031-208-0088","","","경기도 화성시 병점구 반월동 948","경기도 화성시 병점구 삼성전자로 1-1, 1층 (반월동)","18448","안경 DSR","2021-07-20 10:08:41","I","2026-02-04 01:35:23","","205820.890952409","413028.454932076","1","1","1","1","1","1","1","1","1","18.8",
"3","안경업","01_02_01_P","3130000","PHMB220143130033082200018","2014-10-10","","01","영업/정상","13","영업중","","","","","363-6003","","121-010","서울특별시 마포구 아현동 291번지 7호 청원빌딩 1층","서울특별시 마포구 굴레방로 17 (아현동, 청원빌딩1층)","04116","다보아안경아현점","2026-02-02 17:01:51","U","2026-02-04 02:40:00","","196002.238594738","450383.63185681","1","1","1","1","1","1","1","2","2","34.12",
"4","안경업","01_02_01_P","3230000","PHMB220093230034082200002","2009-03-30","","01","영업/정상","13","영업중","","","","","408-3455","","138-923","서울특별시 송파구 장지동 841번지 4호","서울특별시 송파구 충민로2길 28, 108호 (장지동, 대진프라자 108호)","05816","아이맥스안경 위드렌즈 송파장지점","2026-02-02 10:32:11","U","2026-02-04 02:40:00","","211199.509258022","441680.580139573","1","1","1","1","1","1","1","2","2","44",
"5","안경업","01_02_01_P","4530000","PHMB220084530030082200001","2008-12-23","","01","영업/정상","13","영업중","","","","","669-8300","","","충청남도 서산시 동문동 314번지 10호","충청남도 서산시 안견로 172 (동문동)","31981","글라스바바안경서산점","2026-02-02 15:44:20","U","2026-02-04 02:40:00","","151633.929570845","364751.793830965","1","1","1","1","1","1","1","1","1","236",
"6","안경업","01_02_01_P","3860000","PHMB220023860049082200002","2002-04-10","","01","영업/정상","13","영업중","","","","","032-327-8008","","","경기도 부천시 원미구 상동 463 대명그린프라자","경기도 부천시 원미구 부일로 226, 대명그린프라자 (상동)","14624","으뜸안경친구","2026-02-02 10:34:14","U","2026-02-04 02:40:00","","178264.429057343","442917.930896891","0","0","0","0","0","0","0","0","0","0",
"7","안경업","01_02_01_P","4090000","PHMB220074090000082200005","2007-05-25","","03","폐업","03","폐업","2026-02-02","","","","031-985-2280","","","경기도 김포시 고촌읍 신곡리 573번지 5호","경기도 김포시 고촌읍 김포대로 329","10129","으뜸안경친구","2026-02-02 13:44:25","U","2026-02-04 02:40:00","","179691.99576309","455347.270793409","2","1","1","3","1","2","2","2","2","0",
"8","안경업","01_02_01_P","3010000","PHMB219913010033082200047","1991-06-24","","03","폐업","03","폐업","2025-12-31","","","","2235-5972","","100-824","서울특별시 중구 신당동 291번지 18호","서울특별시 중구 다산로36길 14 (신당동)","04586","정성안경원","2026-01-30 15:12:37","U","2026-02-04 11:04:37","","201344.739468364","451138.352635896","1","1","1","1","1","1","1","1","1","0",
"9","안경업","01_02_01_P","3630000","PHMB220163630020082200006","2016-09-23","","03","폐업","03","폐업","2026-01-30","","","","070-5138-6780","","","광주광역시 광산구 수완동 1080번지 5층","광주광역시 광산구 임방울대로 348, 5층 503호 (수완동)","62247","바른플러스안경원","2026-01-30 15:55:02","U","2026-02-04 11:04:37","","183933.428037416","188002.466153454","1","1","1","1","1","1","1","1","1","6.6",
"10","안경업","01_02_01_P","3190000","PHMB220123190033082200001","2012-03-19","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 동작구 여의대방로 250, 대림아파트(상가동) (대방동)","06943","투아이스안경 위드렌즈 대방점","2026-01-30 11:28:16","U","2026-02-04 11:04:37","","193273.484014052","445011.250115029","1","1","1","1","1","2","1","1","1","20.65",
"11","안경업","01_02_01_P","4820000","PHMB220184820026082200007","2018-09-20","","01","영업/정상","13","영업중","","","","","","","","전라남도 순천시 해룡면 신대리 1973-2","전라남도 순천시 해룡면 향매로 59, 신대타운 1층 117-3호호","58012","글라스온","2026-01-30 13:38:59","U","2026-02-04 11:04:37","","249822.223580282","159673.978173804","1","1","1","1","2","1","1","1","1","142.63",
"12","안경업","01_02_01_P","3820000","PHMB220233820050082200006","2023-10-13","","03","폐업","03","폐업","2026-01-30","","","","","","","경기도 의정부시 금오동 471-2 해피타워, 해피플러스III","경기도 의정부시 부용로95번길 18, 해피타워, 해피플러스III 2층 203호 (금오동)","11757","안경코어","2026-01-30 13:02:45","U","2026-02-04 11:04:37","","205969.435","472135.31","1","0","0","2","2","0","0","0","0","0",
"13","안경업","01_02_01_P","6510000","PHMB219946510096082200002","1994-12-22","","01","영업/정상","13","영업중","","","","","064-758-1258","","690-833","제주특별자치도 제주시 일도이동 358번지 10호","제주특별자치도 제주시 동광로 123 (일도이동)","63273","다비치안경제주일도점","2026-02-03 13:39:08","U","2026-02-05 02:40:00","","157168.754369099","1313.23369758854","1","1","1","1","1","1","1","1","1","247",
"14","안경업","01_02_01_P","3470000","PHMB220183470022082200004","2018-12-04","","03","폐업","03","폐업","2026-02-04","","","","0536441020","","","대구광역시 달서구 진천동 602 진천역 계룡 리슈빌","대구광역시 달서구 진천로 77, 301동 130호 (진천동, 진천역 계룡 리슈빌)","42760","룩스토어 위드렌즈 진천점","2026-02-04 09:10:23","U","2026-02-06 02:40:00","","337473.886466897","258337.260301059","1","1","1","1","2","1","1","1","1","0",
"15","안경업","01_02_01_P","3590000","PHMB220103590019082200003","2010-11-19","","01","영업/정상","13","영업중","","","","","062-223-8921","","","광주광역시 동구 황금동 6번지 2호 1,2층","광주광역시 동구 중앙로160번길 7, 1,2층 (황금동)","61483","글라스온안경 충장로점","2026-02-04 16:00:32","U","2026-02-06 02:40:00","","192100.756690291","183202.856625759","1","1","1","1","1","1","1","1","1","46.9",
"16","안경업","01_02_01_P","3560000","PHMB220163560021082200001","2016-01-12","","01","영업/정상","13","영업중","","","","","032-575-2966","","","인천광역시 서구 석남동 539번지 2호","인천광역시 서구 길주로 96, 2호 (석남동)","22791","오늘의안경 인천석남점","2026-02-03 17:09:26","U","2026-02-06 02:40:00","","170975.631925683","444930.394265032","1","1","1","1","1","1","1","1","1","81.8",
"17","안경업","01_02_01_P","4181000","PHMB219954180029082200003","1995-11-09","","03","폐업","03","폐업","2026-02-04","","","","033)256-9449","","","강원특별자치도 춘천시 후평동 855번지 4호","강원특별자치도 춘천시 삭주로 98-1 (후평동)","24254","제일안경원","2026-02-04 14:05:39","U","2026-02-06 02:40:00","","265190.59504032","487030.825910158","1","1","1","1","1","1","1","1","1","22.7",
"18","안경업","01_02_01_P","3730000","PHMB220203730017082200001","2020-10-20","","03","폐업","03","폐업","2024-08-31","","","","052-212-2883","","","울산광역시 울주군 범서읍 구영리 716-5","울산광역시 울주군 범서읍 점촌2길 2","44924","라벨르안경","2026-02-04 09:29:26","U","2026-02-06 02:40:00","","403044.706148533","232985.853158641","1","0","0","1","1","0","0","0","0","0",
"19","안경업","01_02_01_P","6520000","PHMB220256520074082200001","2025-05-28","","01","영업/정상","13","영업중","","","","","","","","","제주특별자치도 서귀포시 동문로 10 (서귀동)","63591","새별안경 위드렌즈","2026-02-03 10:01:45","U","2026-02-06 02:40:00","","159124.399237485","-27036.132721954","1","0","0","1","2","0","0","0","0","84.96",
"20","안경업","01_02_01_P","3610000","PHMB220263610019082200001","2026-02-04","","01","영업/정상","13","영업중","","","","","062-651-1965","","","광주광역시 남구 진월동 258-7 수협","광주광역시 남구 서문대로 687, 수협 2층 203호 (진월동)","61727","으뜸플러스안경 진월점","2026-02-04 10:50:52","I","2026-02-07 00:20:02","","190671.538735917","180180.960888874","1","0","0","1","1","0","0","0","0","127.81",
"21","안경업","01_02_01_P","3420000","PHMB219953420023082200001","1995-03-20","","03","폐업","03","폐업","2026-02-05","","","","983-6448","","","대구광역시 동구 지저동 761-11","대구광역시 동구 해동로 48, 1층 (지저동)","41050","행복을주는씨앤씨안경","2026-02-05 11:40:56","U","2026-02-07 02:40:00","","347752.67973948","267213.987541309","1","1","1","1","1","1","1","1","1","75.35",
"22","안경업","01_02_01_P","3210000","PHMB220253210034082200012","2018-05-30","","01","영업/정상","13","영업중","","","","","543-8882","","","서울특별시 서초구 방배동 3005 인산타워","서울특별시 서초구 동작대로 90, 인산타워 지하1층 (방배동)","06675","루벳아이웨어위드렌즈","2026-02-04 17:49:47","U","2026-02-07 02:40:00","","198380.114292953","442484.119734686","1","1","1","1","2","1","1","1","1","53.77",
"23","안경업","01_02_01_P","3270000","PHMB220163270022082200002","2016-09-26","","01","영업/정상","13","영업중","","","","","051-246-0006","","","부산광역시 동구 범일동 925번지 1호","부산광역시 동구 범일로 101 (범일동)","48735","갤러리안경범일점","2026-02-05 13:16:33","U","2026-02-07 02:40:00","","387594.258627598","184145.004417397","1","1","1","1","1","1","1","1","1","129.22",
"24","안경업","01_02_01_P","3730000","PHMB219923730017082200001","1992-10-19","","01","영업/정상","13","영업중","","","","","052-239-2389","","689-894","울산광역시 울주군 온산읍 덕신리 1285번지 3호","울산광역시 울주군 온산읍 덕신로 263","45001","한양안경 콘택트","2026-02-05 14:24:42","U","2026-02-07 02:40:00","","409734.850279541","217377.267654288","1","1","1","1","1","1","1","1","1","115.5",
"25","안경업","01_02_01_P","3780000","PHMB220053780063082200001","2005-06-13","","01","영업/정상","13","영업중","","","","","","","","","경기도 성남시 중원구 광명로 307 (금광동)","13178","안경마을 단대오거리점(위드렌즈)","2026-02-04 12:10:24","U","2026-02-07 02:40:00","","214103.378660288","438102.043664511","1","1","1","1","1","1","1","1","1","0",
