번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),판매점영업면적,Unnamed: 29,record_key
62,안전상비의약품 판매업소,01_01_05_P,4090000,PHMH320264090023087500002,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,경기도 김포시 운양동 1301-1 한강신도시 롯데캐슬,"경기도 김포시 김포한강11로 275, 1층 101,102호 (운양동, 한강신도시 롯데캐슬)",10073,지에스25 운양하나캐슬점,2026-03-05 13:38:27,I,2026-03-07 00:20:02,,171602.21315515,461550.814919359,73.0,,지에스25운양하나캐슬점_경기도김포시운양동1301-1한강신도시롯데캐슬
63,안전상비의약품 판매업소,01_01_05_P,5080000,PHMH320265080035087500003,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,경상북도 구미시 인의동 656-1,"경상북도 구미시 인동19길 35-13, 1층 (인의동)",39437,씨유뉴구미인의스타점,2026-03-05 16:23:55,I,2026-03-07 00:20:02,,328580.053837923,289897.499899307,98.0,,씨유뉴구미인의스타점_경상북도구미시인의동656-1
55,안전상비의약품 판매업소,01_01_05_P,4490000,PHMH320264490261087500006,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,충청남도 천안시 서북구 두정동 550 하늘땅바다빌딩,"충청남도 천안시 서북구 오성9길 10, 하늘땅바다빌딩 1층 101호 (두정동)",31090,씨유 천안두정굿모닝점,2026-03-05 16:30:27,I,2026-03-07 00:20:02,,211373.956013087,370213.724225327,0.0,,씨유천안두정굿모닝점_충청남도천안시서북구두정동550하늘땅바다빌딩
57,안전상비의약품 판매업소,01_01_05_P,3350000,PHMH320263350024087500004,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,부산광역시 금정구 구서동 654-51,부산광역시 금정구 금강로565번길 6 (구서동),46228,GS25구서금강로점,2026-03-05 15:48:19,I,2026-03-07 00:20:02,,389894.634959489,197420.726112838,0.0,,GS25구서금강로점_부산광역시금정구구서동654-51
58,안전상비의약품 판매업소,01_01_05_P,3230000,PHMH320263230034087500008,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,서울특별시 송파구 신천동 17-6,"서울특별시 송파구 올림픽로 329, 잠실르엘단지내상가 102호, 103호 (신천동)",05509,지에스25 잠실르엘점,2026-03-05 13:56:21,I,2026-03-07 00:20:02,,209393.076054654,446147.977949052,3.3,,지에스25잠실르엘점_서울특별시송파구신천동17-6
59,안전상비의약품 판매업소,01_01_05_P,3990000,PHMH320263990310087500001,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,경기도 남양주시 별내동 991,"경기도 남양주시 별내중앙로 7-14, 4BL 1층 131호 (별내동)",12113,지에스(GS)25 별내역점,2026-03-05 13:36:50,I,2026-03-07 00:20:02,,211048.44755891,460206.901814377,3.3,,지에스(GS)25별내역점_경기도남양주시별내동991
60,안전상비의약품 판매업소,01_01_05_P,3940000,PHMH320263940139087500002,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,,"경기도 고양시 일산동구 고풍로 109, 102호 (풍동, 더샵 일산퍼스트월드 2단지)",10302,지에스25일산퍼스트2단지점,2026-03-05 16:17:14,I,2026-03-07 00:20:02,,,,3.3,,지에스25일산퍼스트2단지점_
36,안전상비의약품 판매업소,01_01_05_P,3860000,PHMH320263860578087500002,2026-03-04,,1,영업/정상,13,영업중,,,,,,,,경기도 부천시 오정구 작동 31-9 1층 일부,"경기도 부천시 오정구 삼작로 507, 1층 일부호 (작동)",14470,씨유작동대박,2026-03-04 16:39:36,I,2026-03-06 00:20:02,,183831.034456651,446284.002174592,0.0,,씨유작동대박_경기도부천시오정구작동31-91층일부
37,안전상비의약품 판매업소,01_01_05_P,3010000,PHMH320263010033087500002,2026-03-04,,1,영업/정상,13,영업중,,,,,,,,서울특별시 중구 충무로2가 50-6,"서울특별시 중구 삼일대로4길 9, 102호 (충무로2가)",04553,지에스25 명동에스엘호텔점,2026-03-04 16:21:25,I,2026-03-06 00:20:02,,199023.967503662,451105.474557896,0.0,,지에스25명동에스엘호텔점_서울특별시중구충무로2가50-6
39,안전상비의약품 판매업소,01_01_05_P,3610000,PHMH320263610019087500002,2026-03-04,,1,영업/정상,13,영업중,,,,,,,,광주광역시 남구 봉선동 490-1 금호타운,"광주광역시 남구 봉선로 138, 상가동 1층 101호 (봉선동)",61703,씨유 봉선금호2차점,2026-03-04 13:48:44,I,2026-03-06 00:20:02,,191665.578627197,180383.113623226,43.0,,씨유봉선금호2차점_광주광역시남구봉선동490-1금호타운
