"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","법인구분명","구분명",
"1","무료직업소개소","11_50_01_P","3270000","2022327013914500001","2022-02-09","","01","영업/정상","20","영업중","","","","","0514651942","","","부산광역시 동구 초량동 1203-2","부산광역시 동구 중앙대로196번길 12-3, 3층 (초량동)","48821","부산광역시 장애인일자리통합지원센터","2026-04-01 15:45:45","U","2026-04-03 02:40:00","","385975.003472523","181329.805166114","법인","무료",
"2","무료직업소개소","11_50_01_P","5710000","2020573002314500005","2015-02-02","","01","영업/정상","20","영업중","","","","","043 2879097","","","충청북도 청주시 흥덕구 가경동 1756","충청북도 청주시 흥덕구 서현북로 81, 503호 (가경동)","28378","일하는공동체 청주취업지원센터","2026-04-01 07:54:18","U","2026-04-03 02:40:00","","238478.10526633","346932.8581452","법인","무료",
"3","무료직업소개소","11_50_01_P","5020000","2024502045914500011","2024-04-15","","01","영업/정상","20","영업중","","","","","2744444","","","","경상북도 포항시 북구 용당로 66, 아이비빌딩 2층 (용흥동)","37742","사단법인 포항YWCA","2026-04-02 17:02:39","U","2026-04-04 02:40:00","","412655.740376462","284031.071245749","법인","무료",
"4","무료직업소개소","11_50_01_P","3120000","2009312010914500003","2009-05-13","","01","영업/정상","20","영업중","","","","","0231566643","","","서울특별시 서대문구 남가좌1동 270번지 1호","서울특별시 서대문구 수색로4가길 23 (남가좌동)","120-805","시립서대문농아인복지관","2026-04-03 09:27:47","U","2026-04-05 02:40:00","","192319.085485166","452052.086049369","법인","무료",
"5","무료직업소개소","11_50_01_P","3640000","2025364018114500010","2025-02-17","","01","영업/정상","20","영업중","","","","","0448637103","","","대전광역시 동구 삼성동 124-6","대전광역시 동구 태전로 66-7, 2층 201호 (삼성동)","34623","휴먼커리어네트워크센터","2026-04-03 09:08:36","U","2026-04-05 02:40:00","","238305.666252116","315096.882780501","법인","무료",
"6","무료직업소개소","11_50_01_P","3110000","2021311021714500005","2021-05-18","","01","영업/정상","20","영업중","","","","","","","","","서울특별시 은평구 증산로23길 7, 4층 (신사동)","03450","은평어르신일자리센터","2026-04-03 14:31:42","U","2026-04-05 02:40:00","","192369.802096828","454995.088715206","법인","무료",
"7","무료직업소개소","11_50_01_P","4671000","2021467026714500003","2021-06-30","","01","영업/정상","20","영업중","","","","","063 472 2800","","","","전북특별자치도 군산시 산단남북로 189, 기업연구관 2층 (오식도동)","54001","(사) 전북산학융합원","2026-04-03 09:15:36","U","2026-04-05 02:40:00","","160298.432782225","273658.169353683","법인","무료",
"8","무료직업소개소","11_50_01_P","3200000","2013320019014500004","2013-02-21","","01","영업/정상","20","영업중","","","","","02  883 2555","","","서울특별시 관악구 봉천동 972-5 보라매샤르망","서울특별시 관악구 봉천로 227, 보라매샤르망 603호 (봉천동)","08708","사단법인 한국고용협회","2026-04-03 14:23:45","U","2026-04-05 02:40:00","","193483.606473194","443094.686592235","법인","무료",
"9","무료직업소개소","11_50_01_P","3200000","2016320021114500003","2016-02-18","","01","영업/정상","20","영업중","","","","","02  874 9295","","","","서울특별시 관악구 남부순환로247다길 60 (봉천동, 원당경로당)","08801","관악시니어클럽","2026-04-03 13:56:53","U","2026-04-05 02:40:00","","196750.959887276","441834.152215357","법인","무료",
"10","무료직업소개소","11_50_01_P","4000000","2022400019314500010","2022-12-08","","01","영업/정상","20","영업중","","","","","0313726090","","","","경기도 오산시 경기대로636번길 13, 오산시니어클럽 (내삼미동)","18112","오산시니어클럽","2026-04-04 15:31:41","U","2026-04-06 02:40:00","","205001.417285287","408602.369451297","법인","무료",
