번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총직원수,주사육업종,Unnamed: 34,record_key
867,가축사육업,02_04_01_P,4470000,447000003320260002,2026-02-13,,1,영업/정상,0,정상,,,,,,,,충청북도 음성군 생극면 임곡리 ***-*,충청북도 음성군 생극면 임곡길***번길 **,,태양사슴농장,2026-02-13 19:47:10,I,2026-02-15 00:20:02,,251267.613235277,395625.681849548,가축사육업,,1049,000,0,사슴,,태양사슴농장_충청북도음성군생극면임곡리***-*
868,가축사육업,02_04_01_P,4580000,458000003320260006,2026-02-13,,1,영업/정상,0,정상,,,,,,,,충청남도 서천군 문산면 지원리 ***,,,서천나래농장,2026-02-13 10:23:06,I,2026-02-15 00:20:02,,177575.093547003,295054.73267807,가축사육업,,796,000,0,염소,,서천나래농장_충청남도서천군문산면지원리***
866,가축사육업,02_04_01_P,5480000,548000003320260006,2026-02-13,,1,영업/정상,0,정상,,,,,,,,경상남도 합천군 적중면 죽고리 ****,경상남도 합천군 적중면 죽고길 ***-**,50247,죽고축산4,2026-02-13 15:32:14,I,2026-02-15 00:20:02,,318404.533987946,230736.01075983,가축사육업,,2836,000,0,한우,,죽고축산4_경상남도합천군적중면죽고리****
789,가축사육업,02_04_01_P,5080000,508000003320260002,2026-02-12,,1,영업/정상,0,정상,,,,,,,,경상북도 구미시 해평면 문량리 **** ****,,,가람농장,2026-02-12 09:50:18,I,2026-02-14 00:20:02,,326033.824448028,297656.763439526,가축사육업,,2236,000,0,한우,,가람농장_경상북도구미시해평면문량리********
790,가축사육업,02_04_01_P,4590000,459000003320260012,2026-02-12,,1,영업/정상,0,정상,,,,,,,,충청남도 청양군 청양읍 적누리 ***-*,,,예담농장,2026-02-12 17:38:37,I,2026-02-14 00:20:02,,182148.331538569,324836.343836454,가축사육업,,1903,000,0,염소,,예담농장_충청남도청양군청양읍적누리***-*
791,가축사육업,02_04_01_P,5530000,553000003320260002,2026-02-12,,1,영업/정상,0,정상,,,,,,,,경기도 화성시 만세구 마도면 금당리 ***-*,,,마도축산,2026-02-12 17:02:50,I,2026-02-14 00:20:02,,177085.26503643,409231.619089737,가축사육업,,2759,000,0,염소,,마도축산_경기도화성시만세구마도면금당리***-*
792,가축사육업,02_04_01_P,4520000,452000003320260004,2026-02-12,,1,영업/정상,0,정상,,,,,,,,충청남도 아산시 염치읍 중방리 **-**,,,남용농장,2026-02-12 09:19:08,I,2026-02-14 00:20:02,,195590.165762875,368178.319658415,가축사육업,,1542,000,0,육계,,남용농장_충청남도아산시염치읍중방리**-**
793,가축사육업,02_04_01_P,5480000,548000003320260005,2026-02-12,,1,영업/정상,0,정상,,,,,,,,경상남도 합천군 덕곡면 학리 ***-*,경상남도 합천군 덕곡면 율지포두길 ***-**,50248,서병근,2026-02-12 21:29:14,I,2026-02-14 00:20:02,,323046.442300975,237499.306782945,가축사육업,,2835,000,0,한우,,서병근_경상남도합천군덕곡면학리***-*
734,가축사육업,02_04_01_P,4590000,459000003320260011,2026-02-11,,1,영업/정상,0,정상,,,,,,,,충청남도 청양군 남양면 온직리 **-*,,,이동한농장,2026-02-11 11:01:55,I,2026-02-13 00:20:38,,183225.113740984,320422.074620024,가축사육업,,1902,000,0,염소,,이동한농장_충청남도청양군남양면온직리**-*
736,가축사육업,02_04_01_P,4181000,418100003320260002,2026-02-11,,1,영업/정상,0,정상,,,,,,,,강원특별자치도 춘천시 북산면 추곡리 ***,,,건사모농장,2026-02-11 14:43:24,I,2026-02-13 00:20:38,,276095.952437329,504575.660855484,가축사육업,,1060,000,0,염소,,건사모농장_강원특별자치도춘천시북산면추곡리***
735,가축사육업,02_04_01_P,4830000,483000003320260003,2026-02-11,,1,영업/정상,0,정상,,,,,,,,"전라남도 나주시 세지면 성산리 ***-* 외 *필지(***-*, ***-*)",,,건강나라 한우농장,2026-02-11 09:57:07,I,2026-02-13 00:20:38,,176936.732216768,155650.460892353,가축사육업,,3796,000,0,한우,,"건강나라한우농장_전라남도나주시세지면성산리***-*외*필지(***-*,***-*)"
733,가축사육업,02_04_01_P,4590000,459000003320260010,2026-02-11,,1,영업/정상,0,정상,,,,,,,,충청남도 청양군 남양면 용두리 **-*,충청남도 청양군 남양면 구용길 **-**,33306,최창학농장,2026-02-11 10:54:03,I,2026-02-13 00:20:38,,181826.430496074,322551.502729395,가축사육업,,1901,000,0,염소,,최창학농장_충청남도청양군남양면용두리**-*
732,가축사육업,02_04_01_P,4590000,459000003320260009,2026-02-11,,1,영업/정상,0,정상,,,,,,,,충청남도 청양군 남양면 대봉리 ***-*,충청남도 청양군 남양면 만수로 ****-*,33306,형제농장,2026-02-11 10:51:12,I,2026-02-13 00:20:38,,179835.920978468,321830.877170593,가축사육업,,1900,000,0,염소,,형제농장_충청남도청양군남양면대봉리***-*
731,가축사육업,02_04_01_P,4590000,459000003320260008,2026-02-11,,1,영업/정상,0,정상,,,,,,,,충청남도 청양군 남양면 신왕리 ***,,,임창선농장,2026-02-11 10:48:18,I,2026-02-13 00:20:38,,175636.709682263,322213.425904078,가축사육업,,1899,000,0,염소,,임창선농장_충청남도청양군남양면신왕리***
738,가축사육업,02_04_01_P,4010000,401000003320260006,2026-02-11,,1,영업/정상,0,정상,,,,,,,,경기도 시흥시 군자동 ***,,,우정농원,2026-02-11 09:54:37,I,2026-02-13 00:20:38,,181113.402147363,429409.30860927,가축사육업,,380,000,0,염소,,우정농원_경기도시흥시군자동***
730,가축사육업,02_04_01_P,4590000,459000003320260007,2026-02-11,,1,영업/정상,0,정상,,,,,,,,충청남도 청양군 화성면 매산리 ***,,,가족농장,2026-02-11 10:44:33,I,2026-02-13 00:20:38,,175595.325816654,327403.317543901,가축사육업,,1898,000,0,염소,,가족농장_충청남도청양군화성면매산리***
737,가축사육업,02_04_01_P,4010000,401000003320260005,2026-02-11,,1,영업/정상,0,정상,,,,,,,,경기도 시흥시 안현동 산 **,,,고려농장,2026-02-11 09:53:19,I,2026-02-13 00:20:38,,183507.328216349,436357.709096862,가축사육업,,379,000,0,염소,,고려농장_경기도시흥시안현동산**
667,가축사육업,02_04_01_P,4970000,497000003320260004,2026-02-10,,1,영업/정상,0,정상,,,,,,,,전라남도 영광군 백수읍 상사리 ****-*,,,광농장,2026-02-10 11:24:42,I,2026-02-12 00:20:02,,143929.615101003,196630.67867769,가축사육업,,1616,000,0,한우,,광농장_전라남도영광군백수읍상사리****-*
666,가축사육업,02_04_01_P,4390000,439000003320260003,2026-02-10,,1,영업/정상,0,정상,,,,,,,,충청북도 충주시 금가면 잠병리 ***,,,준농장,2026-02-10 15:44:31,I,2026-02-12 00:20:02,,280478.341617941,396603.238345868,가축사육업,,1680,000,0,염소,,준농장_충청북도충주시금가면잠병리***
665,가축사육업,02_04_01_P,5310000,531000003320260002,2026-02-10,,1,영업/정상,0,정상,,,,,,,,경상남도 진주시 문산읍 갈곡리 **-*,,,이순우농장,2026-02-10 16:12:31,I,2026-02-12 00:20:02,,312199.532512838,182523.614662777,가축사육업,,966,000,0,염소,,이순우농장_경상남도진주시문산읍갈곡리**-*
664,가축사육업,02_04_01_P,5160000,516000003320260003,2026-02-10,,1,영업/정상,0,정상,,,,,,,,경상북도 청송군 안덕면 복리 **,경상북도 청송군 안덕면 원복길 **-**,37454,에덴축산2,2026-02-10 17:04:02,I,2026-02-12 00:20:02,,376237.743790697,311168.47663867,가축사육업,,557,000,0,한우,,에덴축산2_경상북도청송군안덕면복리**
662,가축사육업,02_04_01_P,5190000,519000003320260002,2026-02-10,,1,영업/정상,0,정상,,,,,,,,경상북도 청도군 화양읍 유등리 ****-**,경상북도 청도군 화양읍 오부실길 **-**,38326,신광농장,2026-02-10 09:12:41,I,2026-02-12 00:20:02,,354121.574794934,241793.193988281,가축사육업,,1271,000,0,기타,,신광농장_경상북도청도군화양읍유등리****-**
661,가축사육업,02_04_01_P,5160000,516000003320260002,2026-02-10,,1,영업/정상,0,정상,,,,,,,,경상북도 청송군 안덕면 성재리 **,경상북도 청송군 안덕면 직동길 **-**,,성규염소농장,2026-02-10 17:01:16,I,2026-02-12 00:20:02,,376878.024949575,307200.200600664,가축사육업,,556,000,0,염소,,성규염소농장_경상북도청송군안덕면성재리**
660,가축사육업,02_04_01_P,5230000,523000003320260004,2026-02-10,,1,영업/정상,0,정상,,,,,,,,경상북도 예천군 보문면 신월리 ***,,,점우2농장,2026-02-10 16:28:22,I,2026-02-12 00:20:02,,334274.639890579,353410.771662464,가축사육업,,2928,000,0,한우,,점우2농장_경상북도예천군보문면신월리***
659,가축사육업,02_04_01_P,5080000,508000003320260001,2026-02-10,,1,영업/정상,0,정상,,,,,,,,경상북도 구미시 해평면 문량리 ****,,39155,우정호농장,2026-02-10 21:26:21,I,2026-02-12 00:20:02,,326031.863319114,297218.684186029,가축사육업,,2235,000,0,한우,,우정호농장_경상북도구미시해평면문량리****
658,가축사육업,02_04_01_P,5070000,507000003320260008,2026-02-10,,1,영업/정상,0,정상,,,,,,,,경상북도 안동시 풍산읍 하리리 **,,,이준업농장,2026-02-10 15:54:20,I,2026-02-12 00:20:02,,341560.094995594,342288.137078193,가축사육업,,2347,000,0,염소,,이준업농장_경상북도안동시풍산읍하리리**
663,가축사육업,02_04_01_P,4751000,475100003320260002,2026-02-10,,1,영업/정상,0,정상,,,,,,,,"전북특별자치도 장수군 계남면 궁양리 **** ****, ****-*","전북특별자치도 장수군 계남면 궁평*길 ** (****, ****-*)",,혜경농장,2026-02-10 09:43:59,I,2026-02-12 00:20:02,,253611.738820342,241362.696004477,가축사육업,,2848,000,0,한우,,"혜경농장_전북특별자치도장수군계남면궁양리********,****-*"
585,가축사육업,02_04_01_P,4500000,450000003320260001,2026-02-09,,1,영업/정상,0,정상,,,,,,,,충청남도 공주시 이인면 복룡리 **,충청남도 공주시 이인면 새고길 **-*,32607,관순농원,2026-02-09 10:18:37,I,2026-02-11 00:20:41,,207093.890408507,314907.914058892,가축사육업,,3383,000,0,한우,,관순농원_충청남도공주시이인면복룡리**
588,가축사육업,02_04_01_P,4900000,490000003320260004,2026-02-09,,1,영업/정상,0,정상,,,,,,,,전라남도 화순군 청풍면 신석리 ***-*,전라남도 화순군 청풍면 곰치로 ****-*,58162,예찬농장,2026-02-09 09:33:05,I,2026-02-11 00:20:41,,196755.781931736,151060.447647348,가축사육업,,1461,000,0,한우,,예찬농장_전라남도화순군청풍면신석리***-*
586,가축사육업,02_04_01_P,3570000,357000003320260001,2026-02-09,,1,영업/정상,0,정상,,,,,,,,인천광역시 강화군 길상면 길직리 ***-*,인천광역시 강화군 길상면 해란길 ***,23048,원기농장,2026-02-09 17:18:33,I,2026-02-11 00:20:41,,153470.570352011,462397.397939097,가축사육업,,913,000,0,한우,,원기농장_인천광역시강화군길상면길직리***-*
587,가축사육업,02_04_01_P,5110000,511000003320260003,2026-02-09,,1,영업/정상,0,정상,,,,,,,,경상북도 상주시 공검면 병암리 ***-*,,,진수농장,2026-02-09 18:46:42,I,2026-02-11 00:20:41,,300547.654450172,333758.145246765,가축사육업,,2800,000,0,한우,,진수농장_경상북도상주시공검면병암리***-*
503,가축사육업,02_04_01_P,4181000,418100003320260001,2026-02-06,,1,영업/정상,0,정상,,,,,,,,강원특별자치도 춘천시 신북읍 유포리 ***,,,수려한우3,2026-02-06 22:54:44,I,2026-02-08 00:20:01,,267172.382916668,492805.523092972,가축사육업,,1059,000,0,한우,,수려한우3_강원특별자치도춘천시신북읍유포리***
504,가축사육업,02_04_01_P,4860000,486000003320260002,2026-02-06,,1,영업/정상,0,정상,,,,,,,,"전라남도 곡성군 목사동면 용봉리 *** ,***번지",,,용봉농장,2026-02-06 09:13:40,I,2026-02-08 00:20:01,,227720.81732954,178205.858599008,가축사육업,,763,000,0,육계,,"용봉농장_전라남도곡성군목사동면용봉리***,***번지"
505,가축사육업,02_04_01_P,4860000,486000003320260003,2026-02-06,,1,영업/정상,0,정상,,,,,,,,전라남도 곡성군 고달면 뇌죽리 ***-*,,,섬진2농장,2026-02-06 09:28:36,I,2026-02-08 00:20:01,,231478.401856052,200537.580001561,가축사육업,,764,000,0,한우,,섬진2농장_전라남도곡성군고달면뇌죽리***-*
506,가축사육업,02_04_01_P,5070000,507000003320260007,2026-02-06,,1,영업/정상,0,정상,,,,,,,,경상북도 안동시 풍산읍 상리리 ***-*,,,수아 농장,2026-02-06 11:12:06,I,2026-02-08 00:20:01,,341958.489024451,344079.30527537,가축사육업,,2346,000,0,염소,,수아농장_경상북도안동시풍산읍상리리***-*
507,가축사육업,02_04_01_P,4701000,470100003320260002,2026-02-06,,1,영업/정상,0,정상,,,,,,,,"전북특별자치도 남원시 대강면 방동리 *** , ***-*, ***-*, ***, ***",,,신대지목장,2026-02-06 10:19:02,I,2026-02-08 00:20:01,,219692.480658319,205119.664094227,가축사육업,,1896,000,0,한우,,"신대지목장_전북특별자치도남원시대강면방동리***,***-*,***-*,***,***"
