"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","준공일자","개관일자","설립운영주체구분명","박물관미술관종류명","박물관미술관유형명","폐관일자","폐관사유","자본금","소요자금","법인설립목적","허가조건","법인해산일자","법인명",
"1","문화예술법인","03_08_03_P","6470000","A0100647000020260001","2011-06-30","","01","영업/정상","1","","","","","","","","","경상북도 상주시 남성동 12번지 122호","경상북도 상주시 상산로 277-0, 3층 (남성동)","","재단법인 공갈못문화재단","2026-02-01 09:40:49","I","2026-02-03 00:20:01","","303890.010056086","324457.684561273","행정(재단)","","","","","","","","0","","공갈못을 비롯한 지역의 문화유산 발굴 및 보전
소규모 문화예술단체나 개인의 문화예술창작활동 지원","","","재단법인 공갈못문화재단",
"2","문화예술법인","03_08_03_P","6500000","A0100650000020220003","2022-01-25","","01","영업/정상","1","","","","","","","","","제주특별자치도 제주시 월평동 744번지 2호","제주특별자치도 제주시 첨단안길 3-0 (월평동)","","사단법인 로터스 봉사단","2026-02-03 11:08:14","U","2026-02-06 02:40:00","","160403.83","-4475.34000000024","종교(사단)","","","","","","","","0","","맑고 아름다운 동행으로 상구보리 하화중생의 가치 실현을 위하여 
어려운 이웃을 보살피며 국내,외의 봉사활동을 통하여 사회통합과 발전에 기여","정관 및 기본재산 여부 확인 및 법인설립허가지 현장 확인 등","","사단법인 로터스 봉사단",
"3","문화예술법인","03_08_03_P","5690000","INTCTAB456900002026000001","2023-04-04","","01","영업/정상","1","","","","","","","","","","세종특별자치시 연서면 이화1로 20","30049","재단법인 대한불교샘종방탄사","2026-02-05 10:21:30","I","2026-02-07 00:20:02","","225334.184898695","343564.461881755","종교(재단)","","","","","","","","0","","불법 포교 활동을 체계적으로 지원하여 모두가 공동체 안에서 공생 공영의 삶을 추구 할 수 있도록 기여","","","재단법인 대한불교샘종방탄사",
"4","문화예술법인","03_08_03_P","5690000","INTCTAB456900002026000003","2023-10-30","","01","영업/정상","1","","","","","","","","","","세종특별자치시 한누리대로 2143, 금강시티타워 (보람동)","30150","사단법인 세종교회","2026-02-05 11:21:01","I","2026-02-07 00:20:02","","225777.660621174","330823.619616803","종교(사단)","","","","","","","","0","","성경 말씀에 근거한 진리를 중심으로 교회를 견고히 하고 복음의 순수성을 회복하며, 다음 세대를 돌보고 교육하여 세종시에 참된 진리와 순수한 생명을 확산하는 데 이바지하고자 함","","","사단법인 세종교회",
"5","문화예술법인","03_08_03_P","5690000","INTCTAB456900002016000002","2011-12-06","","01","영업/정상","1","","","","","","0448635582","","","","대전광역시 중구 대흥로 88, 7층 (대흥동)","34942","사단법인 대한불교 선교종","2026-02-05 16:14:25","U","2026-02-07 02:40:00","","237822.617827688","313637.20049639","종교(사단)","","","","","","","","0","","불,법,승 삼보로 대변되는 불교의 기초를 확고히 정비하여 부처의 가르츠림 바로 배우며 불교 본연의 모습을 되찾아 불교의 참모습을 회복하고자 하며 범종단 통합을 통해 교육과 복지, 사회참여 전반에 관한 활동을 지원하여 협력과 교류를 통해 군소종단의 질적 수준향상과 한국불교 발전에 기여하기 위함","1.민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한규칙 등 관련법령 준수
2.비영리법인으로 사회적 물의를 일으키는 영리사업을 할 수 없음
3.사업수행시 관련법령이 정한 법적절차를 이행하여야 함
4.설립허가신청서상 허위사실이 있거나 위 조건에 위배된 경우 또는 다음 각호에 해당하는 경우 민법 제38조 규정에 의거 법인설립허가를 취소할 수 있음
  가. 민법 제38조에 규정된 사항이 발생하였을 때, 나 법인설립목적의 달성이 불가능하다고 인정될 때
  다. 정당한 사유없이 설립허가를 받은 날부터 1년 이내에 업무를 개시하지 아니한 때
  라. 정당한 사유없이 2년이상 사업실적이 없을 때  마. 관련법령 및 행정지시사항을 이행하지 아니하거나 각종 보고사항을 성실히 이행하지 아니한 때.","","사단법인 대한불교 선교종",
"6","문화예술법인","03_08_03_P","5690000","INTCTAB456900002022000011","2018-11-22","","01","영업/정상","1","","","","","","","","","","세종특별자치시 부강면 부강행산로 161-22","30071","(재)녹야원","2026-02-05 09:52:06","U","2026-02-07 02:40:00","","232381.614764605","337914.628725125","종교(재단)","","","","","","","","0","","재단은 한국 불교의 전통을 계승하고 불교문화의 정착과 발전에 기여","","","(재)녹야원",
"7","문화예술법인","03_08_03_P","5690000","INTCTAB456900002022000020","2020-11-18","","01","영업/정상","1","","","","","","","","","","세종특별자치시 조치원읍 이화로 22-1","30031","(사)순복음세종교회","2026-02-05 10:51:13","U","2026-02-07 02:40:00","","225651.526861788","343613.070485248","종교(사단)","","","","","","","","0","","전도와 설교에 집중하는 교회로 재정이 어려운 목회자 자녀와 선교사 자녀의 학비 지원함으로써 목회와 선교활동에 집중하도록 도와 글로벌 리더들로 다음 세대들을 세워 나감","","","(사)순복음세종교회",
"8","문화예술법인","03_08_03_P","5690000","INTCTAB456900002022000009","2018-01-10","","01","영업/정상","1","","","","","","","","","","세종특별자치시 연서면 너먼들길 30","30047","(재)한국불교 세종 보림사","2026-02-05 10:14:20","U","2026-02-07 02:40:00","","225674.026310704","340500.617820534","종교(재단)","","","","","","","","0","","부처님의 근본교리를 구체적으로 전파 선양하며, 수행자들의 교화, 사대부중의 생활불교 실천으로 편안하고 행복한 삶이 되는 극락정토를 구현하는데 기여","","","(재)한국불교 세종 보림사",
"9","문화예술법인","03_08_03_P","5690000","INTCTAB456900002022000008","2017-12-08","","01","영업/정상","1","","","","","","","","","","세종특별자치시 조치원읍 장안1길 17","30026","사)한국개신교미래연합","2026-02-05 10:26:15","U","2026-02-07 02:40:00","","226964.203745667","344409.049463081","종교(사단)","","","","","","","","0","","국내외 한국교회, 목회자 및 목회기관들이 범교단적 목회교류와 연합, 사역별 융합을 통한 초교파 독립교회
운동 확산으로 기독교 신앙의 본질적 가치와 사회, 문화, 국민의식 구현으로 국가발전에 이바지 함","","","사)한국개신교미래연합",
"10","문화예술법인","03_08_03_P","5690000","INTCTAB456900002022000015","2019-10-21","","01","영업/정상","1","","","","","","","","","","세종특별자치시 가름로 232, 세종비지니스센터 4층 B406호 (어진동)","30121","사단법인 한국초교파신학대학원목회자연합회","2026-02-05 10:44:19","U","2026-02-07 02:40:00","","223663.463627093","332767.324869772","종교(사단)","","","","","","","","0","","본 회 목회자 및 단체의 목회, 선교, 구제 등의 사역 지원 / 신학연구, 교회일치, 사회정의, 인류평화, 창조보전의 가치 실현","","","사단법인 한국초교파신학대학원목회자연합회",
