"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","골프연습장업","10_31_01_P","5530000","CDFH3301052002000003","2002-01-11","","01","영업/정상","13","영업중","","","","","(031)355-4400","","445-120","경기도 화성시 만세구 남양읍 원천리 658-2","경기도 화성시 만세구 남양읍 샘실길 100  (원천동)","","주) 삼구 골프클럽","2026-04-01 10:22:10","U","2026-04-03 02:40:00","","182661.359202838","413139.573571392","골프연습장업","사립","","0","0","0","0","","",
"2","골프연습장업","10_31_01_P","5080000","CDFH3301052008000018","2008-12-11","","01","영업/정상","13","영업중","","","","","","","730-360","경상북도 구미시 진평동 75-2 202호","경상북도 구미시 인동32길 10-5, 202호 (진평동)","39409","리더스골프존스크린","2026-04-01 09:05:00","U","2026-04-03 02:40:00","","328732.447425097","289155.137209062","골프연습장업","사립","","0","1","947.1","0","","",
"3","골프연습장업","10_31_01_P","3930000","CDFH3301052016000012","2016-12-06","","03","폐업","03","폐업","2026-04-01","","","","","","","경기도 안산시 단원구 고잔동 729-7 B102","경기도 안산시 단원구 광덕4로 250, B102호 (고잔동, 씨티프라자)","15464","써밋스포츠","2026-04-01 09:44:59","U","2026-04-03 02:40:00","","185780.941801672","423604.063452626","골프연습장업","사립","","0","0","0","0","","",
"4","골프연습장업","10_31_01_P","3210000","CDFH3301052010000003","2010-02-03","","03","폐업","03","폐업","2026-04-01","","","","","","137-843","서울특별시 서초구 방배동 924-13 근복빌딩(지1층)","서울특별시 서초구 방배로15길 3 (방배동)","06683","T.O.P스크린골프","2026-04-01 16:21:01","U","2026-04-03 02:40:00","","199540.273530981","442416.709711393","골프연습장업","사립","","0","0","0","0","","",
"5","골프연습장업","10_31_01_P","4681000","CDFH3301052002000003","2002-07-29","","01","영업/정상","13","영업중","","","","","843-2727","","570-965","전북특별자치도 익산시 모현동1가 11","전북특별자치도 익산시 익산대로17길 24 (모현동1가)","","백제골프클럽","2026-04-01 17:44:42","U","2026-04-03 02:40:00","","195386.312872713","272534.404216179","골프연습장업","사립","","0","0","0","0","","",
"6","골프연습장업","10_31_01_P","3330000","CDFH3301052006000001","2006-08-21","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 반여동 1632 502,503,504,505,506,507,518,519호(반여동,아시아선수촌프레스센터상가)","부산광역시 해운대구 반여로 131, 502,503,504,505,506,507,518,519호(반여동,아시아선수촌프레스센터상가) (반여동)","48037","스타 스크린 골프연습장","2026-04-02 16:23:22","U","2026-04-04 02:40:00","","393307.129763087","191421.76066206","골프연습장업","사립","","0","0","0","0","","",
"7","골프연습장업","10_31_01_P","4681000","CDFH3301052016000003","2016-07-18","","01","영업/정상","13","영업중","","","","","832-0788","","","","전북특별자치도 익산시 동서로 514 (어양동)","54567","자이스크린골프&파크","2026-04-02 10:46:27","U","2026-04-04 02:40:00","","198984.222945564","272570.950498369","골프연습장업","사립","","0","0","0","0","","",
"8","골프연습장업","10_31_01_P","4400000","CDFH3301052003000005","2003-08-09","","01","영업/정상","13","영업중","","","","","648-0406","","390-894","충청북도 제천시 장락동 530-5","충청북도 제천시 장락로 167 (장락동)","27142","퍼스트스포렉스","2026-04-02 14:51:09","U","2026-04-04 02:40:00","","308893.830503134","406789.853584518","골프연습장업","사립","","0","1","4553.31","0","","",
"9","골프연습장업","10_31_01_P","4040000","CDFH3301052026000002","2026-04-03","","01","영업/정상","13","영업중","","","","","024313330","","","경기도 하남시 학암동 659 밀리토피아골프","경기도 하남시 위례대로2길 20, 밀리토피아골프 2층 (학암동)","13012","밀리토피아 골프아카데미","2026-04-03 15:49:58","I","2026-04-05 00:20:22","","213231.348375375","441978.855139983","골프연습장업","사립","","0","0","0","0","","",
"10","골프연습장업","10_31_01_P","3450000","CDFH3301052010000005","2010-05-06","","01","영업/정상","13","영업중","","","","","","","","대구광역시 북구 칠성동2가 2-13 칠성동 리치프라자","대구광역시 북구 옥산로17길 14, 칠성동 리치프라자 301, 401호 (칠성동2가)","41593","골프원","2026-04-03 09:05:27","U","2026-04-05 02:40:00","","343162.398353325","266192.737947191","골프연습장업","사립","","1","0","0","0","","",
