번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),사무실면적,소독차량차고면적,초미립자살포기수,휴대용소독기수,동력분무기수,수동식분무기수,방독면수,보호안경수,보호용의복수,진공청소기수,Unnamed: 38,record_key
301,소독업,09_30_11_P,3420000,PHMB520263420023042500002,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,대구광역시 동구 신암동 676-1 금오아파트 상가 103호,"대구광역시 동구 신암북로11길 6, 103호 (신암동, 금오아파트)",41192.0,바른청소,2026-02-14 17:27:12,I,2026-02-16 00:20:01,,346437.219569474,266488.673717538,35.6,14.3,2,2,0,4,5,5,8,4,,바른청소_대구광역시동구신암동676-1금오아파트상가103호
288,소독업,09_30_11_P,3740000,PHMB520263740031042500001,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,경기도 수원시 장안구 정자동 73-10 정자종합시장,"경기도 수원시 장안구 수성로261번길 16, 정자종합시장 2002호 (정자동)",16314.0,새삶공동체 사회적협동조합,2026-02-13 13:35:17,I,2026-02-15 00:20:02,,200010.511721975,420969.555008373,0.0,0.0,1,2,0,3,5,5,8,2,,새삶공동체사회적협동조합_경기도수원시장안구정자동73-10정자종합시장
285,소독업,09_30_11_P,3710000,PHMB520263710033042500001,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,울산광역시 동구 일산동 467-19,"울산광역시 동구 번덕8길 136, 1층 (일산동)",44053.0,울산동구시니어클럽 대왕암마당쇠,2026-02-13 17:42:36,I,2026-02-15 00:20:02,,420231.284333237,225290.446419855,0.0,0.0,1,2,0,3,5,5,5,1,,울산동구시니어클럽대왕암마당쇠_울산광역시동구일산동467-19
286,소독업,09_30_11_P,3080000,PHMB520263080033042500001,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강북구 미아동 637-183,"서울특별시 강북구 삼양로 120, 1층 (미아동)",1208.0,주식회사 현우환경,2026-02-13 12:59:49,I,2026-02-15 00:20:02,,201908.780881833,456922.034775216,24.5,35.4,1,2,0,3,5,5,5,1,,주식회사현우환경_서울특별시강북구미아동637-183
287,소독업,09_30_11_P,3480000,PHMB520263480012042500002,2026-02-13,,1,영업/정상,13,영업중,,,,,053-583-6388,,,,대구광역시 달성군 하빈면 하산2길 61-21,42900.0,(주)강산조경건설,2026-02-13 10:15:22,I,2026-02-15 00:20:02,,326935.424264362,266285.324747844,0.0,0.0,1,2,0,3,5,5,5,1,,(주)강산조경건설_
260,소독업,09_30_11_P,3560000,PHMB520263560021042500003,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,인천광역시 서구 왕길동 638-4 제이원검단메디컬프라자,"인천광역시 서구 완정로 179, 제이원검단메디컬프라자 6층 601-465호 (왕길동)",22616.0,라헬의청소연구소,2026-02-12 16:11:50,I,2026-02-14 00:20:02,,169589.976023258,455611.117427815,0.0,0.0,1,2,0,3,5,5,5,1,,라헬의청소연구소_인천광역시서구왕길동638-4제이원검단메디컬프라자
281,소독업,09_30_11_P,3260000,PHMB520263260022042500002,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,부산광역시 서구 남부민동 523-1 대림비치아파트,"부산광역시 서구 충무대로 133, 상가동동 지하1층 113호 (남부민동, 대림비치아파트)",49263.0,유일무이 종합청소,2026-02-13 09:11:01,I,2026-02-15 00:20:02,,384562.904201784,177759.767113966,29.75,6.6,1,2,0,3,5,5,5,4,,유일무이종합청소_부산광역시서구남부민동523-1대림비치아파트
264,소독업,09_30_11_P,5710000,PHMB520265710106042500001,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,충청북도 청주시 상당구 용암동 2166,"충청북도 청주시 상당구 원봉로 83, 2층 201호 (용암동)",28770.0,방역패밀리,2026-02-12 16:26:54,I,2026-02-14 00:20:02,,245244.540667865,346231.50301748,22.44,12.4,1,2,0,3,5,5,5,1,,방역패밀리_충청북도청주시상당구용암동2166
284,소독업,09_30_11_P,5450000,PHMB520265450011042500001,2026-02-12,,1,영업/정상,13,영업중,,,,,055-973-8267,,,,"경상남도 산청군 산청읍 꽃봉산로 84, 통합보훈회관",52226.0,산청지역자활센터,2026-02-13 09:00:25,I,2026-02-15 00:20:02,,279308.528830764,212943.975048211,130.68,12.38,1,2,0,3,5,5,5,1,,산청지역자활센터_
263,소독업,09_30_11_P,5350000,PHMB520265350351042500003,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,경상남도 김해시 외동 916 한덕한신타워아파트상가 B106호,"경상남도 김해시 분성로48번길 8, 한덕한신타워아파트상가 B106호 (외동)",50960.0,폴스맨방역,2026-02-12 13:37:37,I,2026-02-14 00:20:02,,368604.474466965,193954.244404126,14.04,15.12,2,2,0,3,5,5,10,1,,폴스맨방역_경상남도김해시외동916한덕한신타워아파트상가B106호
