"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","영업내용",
"1","옥외광고업","04_15_01_P","5680000","2026568038208500002","2026-03-27","","01","영업/정상","20","정상","","","","","","","","충청남도 당진시 수청동 *** 당진공영버스터미널","충청남도 당진시 밤절로 ***, 당진공영버스터미널 (수청동)","31771","당진여객운수(주)","2026-04-01 09:08:06","I","2026-04-03 00:20:02","","168395.503234681","377961.054063163","옥외광고물 설치, 광고대행",
"2","옥외광고업","04_15_01_P","3220000","2026322017408500005","2026-04-01","","01","영업/정상","20","정상","","","","","","","","서울특별시 강남구 역삼동 ***-** 강남케이알타워*~*층","서울특별시 강남구 강남대로**길 **, 강남케이알타워 *~*층 (역삼동)","06232","주식회사 테크랩스","2026-04-01 16:55:22","I","2026-04-03 00:20:02","","202545.952399207","443852.407562357","광고 대행업",
"3","옥외광고업","04_15_01_P","5220000","2026522012508500004","2026-03-27","","01","영업/정상","20","정상","","","","","","","","경상북도 칠곡군 왜관읍 낙산리 ***-*","경상북도 칠곡군 왜관읍 *산업단지*길 **, ***호","39910","주식회사 공간크래프트","2026-04-01 11:35:30","I","2026-04-03 00:20:02","","326887.498480771","271708.852183684","안내판 및 간판 제작",
"4","옥외광고업","04_15_01_P","3780000","2026379004308500001","2026-04-01","","01","영업/정상","20","정상","","","","","","","","경기도 성남시 수정구 태평동 ****-* 엘지빌리지","경기도 성남시 수정구 수정북로 ***, *층 ***호 (태평동, 엘지빌리지)","13282","미소디자인","2026-04-01 17:56:56","I","2026-04-03 00:20:02","","212593.446193503","438130.902241737","옥외광고물 제작 설치",
"5","옥외광고업","04_15_01_P","3220000","2023322017408500008","2022-06-28","","01","영업/정상","20","정상","","","","","","","","서울특별시 강남구 청담동 ** 청담벤처프라자 ****호","서울특별시 강남구 선릉로 ***, 청담빌딩 **층 ****호 (청담동)","06069","주식회사 드웰링","2026-04-01 18:26:09","U","2026-04-03 02:40:00","","203588.048190661","446183.368328818","스마트 쉼터 옥외광고, 광고대행업",
"6","옥외광고업","04_15_01_P","3150000","2024315012708500009","2024-09-12","","01","영업/정상","20","정상","","","","","","","","","서울특별시 강서구 강서로**길 **, ***호 (화곡동, 신영베르디움)","07717","디자인루체","2026-04-01 10:51:09","U","2026-04-03 02:40:00","","185557.927869685","448461.134261222","광고물 제작",
"7","옥외광고업","04_15_01_P","4980000","1989498000008100009","1989-09-12","","01","영업/정상","20","정상","","","","","061 3925986","","","전라남도 장성군 장성읍 영천리 ****-**","전라남도 장성군 장성읍 역전로 ***, *층","57220","종합광고공업사만산","2026-04-01 13:32:14","U","2026-04-03 02:40:00","","179979.390339602","200425.593778167","옥외광고물 제작 및 설치",
"8","옥외광고업","04_15_01_P","3940000","2026395006708500004","2026-03-30","","01","영업/정상","20","정상","","","","","","","","경기도 고양시 덕양구 삼송동 ***-**","경기도 고양시 덕양구 삼송로 *** (삼송동)","10590","사인웨이브","2026-04-01 10:25:06","U","2026-04-03 02:40:00","","190274.169047679","461126.175723447","옥외광고물 제작 설치 표시",
"9","옥외광고업","04_15_01_P","4341000","1994434001008200001","1994-01-11","","03","폐업","40","폐업","2026-03-30","","","","033 681 5526","","","강원특별자치도 고성군 간성읍 신안리 ***-* *통*반","강원특별자치도 고성군 간성읍 동해대로 ****","219-803","싸인뱅크","2026-04-01 17:41:03","U","2026-04-03 02:40:00","","329220.279205117","542618.581922764","광고물 제작",
"10","옥외광고업","04_15_01_P","3590000","2024359021708500003","2026-04-01","","01","영업/정상","20","정상","","","","","","","","광주광역시 동구 금동 **-*","광주광역시 동구 문화전당로**번길 **, *층 (금동)","61488","명인인쇄광고","2026-04-01 13:58:31","U","2026-04-03 02:40:00","","192422.822353755","182780.722386135","옥외광고,간판,안내판걸이구,현수막,실사출력인쇄스티커,건물번호판,도로명판,안내판,전시대 등",
