"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","사업자등록번호",
"1","국내여행업","03_12_01_P","3240000","CDFI2260012026000001","2005-10-31","","01","영업/정상","13","영업중","","","","","031-794-2999","","","서울특별시 강동구 성내동 43-11 G라이트빌딩","서울특별시 강동구 천호옛길 88, G라이트빌딩 552호 (성내동)","05379","자이투어(주)","2026-02-02 10:59:07","I","2026-02-04 00:20:02","","211055.949170471","448255.193715985","국내여행업","관광사업","상업지역","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","38","","0","","","","","","","50000000","20231122","20241121","","38","",
"2","국내여행업","03_12_01_P","5530000","CDFI2260012008000005","2008-12-09","","03","폐업","03","폐업","2016-12-06","","","","031-233-1234","","445-310","경기도 화성시 효행구 기안동  333-1","","","(합자)애경투어","2016-12-06 17:19:37","I","2026-02-04 01:35:23","","197415.140825396","414081.680788143","국내여행업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","310000000","","","","0","",
"3","국내여행업","03_12_01_P","3470000","CDFI2260012023000001","2023-06-13","","01","영업/정상","13","영업중","","","","","","","","대구광역시 달서구 용산동 498-3","대구광역시 달서구 선원로 284, 2층 (용산동)","42617","온누리 항공투어","2026-02-02 15:49:30","U","2026-02-04 02:40:00","","337542.471586821","263105.714192926","국내여행업","","","0","","","관광공제회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","15000000","20260131","20270131","","0","",
"4","국내여행업","03_12_01_P","6510000","CDFI2260012015000002","2015-01-08","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 용담이동 1564 제주시 삼영교통 사옥 지하1층","제주특별자치도 제주시 공항로1길 14, 제주시 삼영교통 사옥 지하1층 (용담이동)","63164","나우제주","2026-02-02 16:07:55","U","2026-02-04 02:40:00","","153278.67518847","880.891107861494","국내여행업","","","0","","","서울보증보험","사무실","0","0","0","0","","","0","0","","0","0","","0","44","","0","","","","","","","50000000","20260108","20270107","","44","",
"5","국내여행업","03_12_01_P","6510000","CDFI2260012018000038","2018-06-26","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 용담이동 1564 제주시 삼영교통 사옥 지하1층","제주특별자치도 제주시 공항로1길 14, 제주시 삼영교통 사옥 지하1층 (용담이동)","63164","탐라여행사","2026-02-02 16:07:40","U","2026-02-04 02:40:00","","153278.67518847","880.891107861494","국내여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20250626","20260625","","0","",
"6","국내여행업","03_12_01_P","6510000","CDFI2260012024000016","2022-10-19","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 용담이동 1564 제주시 삼영교통 사옥 지하1층","제주특별자치도 제주시 공항로1길 14, 제주시 삼영교통 사옥 지하1층 (용담이동)","63164","제이제이여행사","2026-02-02 16:08:08","U","2026-02-04 02:40:00","","153278.67518847","880.891107861494","국내여행업","","","2","","","제주특별자치도관광협회","사무실","2","0","0","0","","","0","0","","0","0","","0","51.98","","0","","","","","","","50000000","20251118","20261118","","52","",
"7","국내여행업","03_12_01_P","6510000","CDFI2260012024000003","2024-01-25","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 용담이동 1564 제주시 삼영교통 사옥 지하1층","제주특별자치도 제주시 공항로1길 14, 제주시 삼영교통 사옥 지하1층 (용담이동)","63164","제주 휠체어투어","2026-02-02 16:08:31","U","2026-02-04 02:40:00","","153278.67518847","880.891107861494","국내여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"8","국내여행업","03_12_01_P","6510000","CDFI2260012023000003","2023-01-09","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 용담이동 1564 제주시 삼영교통 사옥 지하1층","제주특별자치도 제주시 공항로1길 14, 제주시 삼영교통 사옥 지하1층 (용담이동)","63164","제주도민 양기사","2026-02-02 16:08:42","U","2026-02-04 02:40:00","","153278.67518847","880.891107861494","국내여행업","","","0","","","제주특별자치도관광협회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20240112","20250112","","0","",
"9","국내여행업","03_12_01_P","6510000","CDFI2260012022000048","2022-12-30","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 용담이동 1564 제주시 삼영교통 사옥 지하1층","제주특별자치도 제주시 공항로1길 14, 제주시 삼영교통 사옥 지하1층 (용담이동)","63164","제주원데이투어","2026-02-02 16:08:54","U","2026-02-04 02:40:00","","153278.67518847","880.891107861494","국내여행업","","","0","","","제주특별자치도관광협회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","54449076","20260103","20270103","","0","",
"10","국내여행업","03_12_01_P","3220000","CDFI2260012015000053","2015-12-29","","01","영업/정상","13","영업중","","","","","02-567-8115","","","서울특별시 강남구 논현동 1-5","서울특별시 강남구 강남대로150길 11, 2층 (논현동)","06038","(주)유니티에듀","2026-02-02 17:41:57","U","2026-02-04 02:40:00","","201769.620605394","445980.648560019","국내여행업","","","0","","","서울보증보험(4천5백만원)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20260211","20270210","","0","",
"11","국내여행업","03_12_01_P","6510000","CDFI2260012022000022","2022-06-03","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 용담이동 1564 제주시 삼영교통 사옥 지하1층","제주특별자치도 제주시 공항로1길 14, 제주시 삼영교통 사옥 지하1층 (용담이동)","63164","제주여행디자인","2026-02-02 16:09:06","U","2026-02-04 02:40:00","","153278.67518847","880.891107861494","국내여행업","","","0","","","제주특별자치도관광협회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","52000000","20250608","20260608","","0","",
"12","국내여행업","03_12_01_P","6510000","CDFI2260012017000017","2017-03-25","","01","영업/정상","13","영업중","","","","","064-745-0647","","","제주특별자치도 제주시 용담이동 1564 제주시 삼영교통 사옥 지하1층","제주특별자치도 제주시 공항로1길 14, 제주시 삼영교통 사옥 지하1층 (용담이동)","63164","제주코지투어","2026-01-30 16:45:18","U","2026-02-04 11:04:37","","153278.67518847","880.891107861494","국내여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","5385000","20250324","20260323","","0","",
"13","국내여행업","03_12_01_P","6510000","CDFI2260012019000039","2019-09-09","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 용담이동 1564 제주시 삼영교통 사옥 지하1층","제주특별자치도 제주시 공항로1길 14, 제주시 삼영교통 사옥 지하1층 (용담이동)","63164","아라짱투어","2026-01-30 16:45:03","U","2026-02-04 11:04:37","","153278.67518847","880.891107861494","국내여행업","","","0","","","제주특별자치도관광협회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20251011","20261011","","0","",
"14","국내여행업","03_12_01_P","6510000","CDFI2260012006000007","2006-02-06","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 외도이동 324-1","제주특별자치도 제주시 월대1길 3 (외도이동)","63068","경인투어","2026-01-30 17:09:57","U","2026-02-04 11:04:37","","147279.419794986","-117.992882134084","국내여행업","관광사업","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20260202","20270201","","0","",
"15","국내여행업","03_12_01_P","6510000","CDFI2260011995000011","1995-12-07","","01","영업/정상","13","영업중","","","","","744-0774","","","제주특별자치도 제주시 이호이동 204","제주특별자치도 제주시 일주서로 7653-1 (이호이동)","63108","(주)동양썬라이즈관광","2026-01-30 17:12:01","U","2026-02-04 11:04:37","","150141.042202439","-48.4754077613251","국내여행업","관광사업","","0","","","제주특별자치도관광협회","","0","0","0","0","","","0","0","","0","0","","0","49.21","","0","","","","","","","50000000","20260202","20270202","","49","",
"16","국내여행업","03_12_01_P","3230000","CDFI2260012019000016","2019-11-07","","03","폐업","03","폐업","2026-01-30","","","","070-8808-0139","","","서울특별시 송파구 문정동 642-3 문정에스케이브이원지엘메트로시티 B-121호","서울특별시 송파구 법원로 128, 문정에스케이브이원지엘메트로시티 B-1215호 (문정동)","05854","주식회사 틴토","2026-01-30 17:26:48","U","2026-02-04 11:04:37","","","","국내여행업","","","0","","","서울보증보험(778-87-00540)","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","48","","0","","","","","","","60000000","20191127","20201126","","48","",
"17","국내여행업","03_12_01_P","3230000","CDFI2260012023000002","2023-03-21","","01","영업/정상","13","영업중","","","","","02-417-0209","","","서울특별시 송파구 송파동 180-6","서울특별시 송파구 송파대로36가길 5, 3층 (송파동)","05678","프로메스","2026-01-30 16:27:26","U","2026-02-04 11:04:37","","210084.798360103","444299.796513542","국내여행업","","일반주거지역","5","","","서울보증보험(3천만원)","근린생활시설","4","1","0","0","","","0","0","","0","0","","0","33.06","","0","","","","","","","15000000","20260130","20270129","","33","",
"18","국내여행업","03_12_01_P","6510000","CDFI2260012021000029","2021-07-01","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 용담이동 1564 제주시 삼영교통 사옥 지하1층","제주특별자치도 제주시 공항로1길 14, 제주시 삼영교통 사옥 지하1층 (용담이동)","63164","체리투어","2026-01-30 16:45:38","U","2026-02-04 11:04:37","","153278.67518847","880.891107861494","국내여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","62563780","20240701","20250630","","0","",
"19","국내여행업","03_12_01_P","3220000","CDFI2260012016000006","2016-02-15","","03","폐업","03","폐업","2026-01-30","","","","567-5512","","","서울특별시 강남구 역삼동 738-2 220호","서울특별시 강남구 논현로85길 5-14, 220호 (역삼동)","06237","(주)여행창작소","2026-01-30 15:57:18","U","2026-02-04 11:04:37","","203178.445875229","444044.750081142","국내여행업","","","0","","","관광공제회(2천만원)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","30000000","20250218","20260218","","0","",
