"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명",
"1","관광숙박업","03_11_01_P","3420000","CDFI2260032020000002","2020-04-23","","01","영업/정상","13","영업중","","","","","","","","대구광역시 동구 신암동 207-25","대구광역시 동구 신암남로 94 (신암동)","41215","무제여관","2026-02-27 10:53:37","U","2026-03-04 02:40:00","","346767.984967508","265626.670638708","관광숙박업","","상업지역","6","","","","호텔","5","1","20","0","","","0","0","","0","0","","0","720.18","","0","","","","","","","0","","","","720","호스텔업",
"2","관광숙박업","03_11_01_P","3000000","CDFI2260032026000012","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 관철동 6-2","서울특별시 종로구 삼일대로 393-1, 4, 5층 (관철동)","03190","오아시스 트레블러스 종로","2026-03-03 09:36:37","I","2026-03-05 00:20:02","","198819.574269631","451942.979071945","관광숙박업","","","7","","","","","6","1","0","0","Oasis Travelers Jongro","Tourist Accommodation Business(Hostel)","0","0","","0","0","","0","183.48","","0","","","","","","","0","","","","183","호스텔업",
"3","관광숙박업","03_11_01_P","3380000","CDFI2260032026000009","2026-02-27","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 민락동 173-21","부산광역시 수영구 민락로13번길 2, 3층 (민락동)","48285","정재스테이","2026-03-03 10:47:39","I","2026-03-05 00:20:02","","393320.037728734","186230.304993342","관광숙박업","","일반주거지역","0","","","","","3","0","1","0","","","0","0","","0","0","","0","59.03","","0","","","","","","","20000000","","","","59","호스텔업",
"4","관광숙박업","03_11_01_P","4201000","CDFI2260032026000004","2026-03-03","","01","영업/정상","13","영업중","","","","","0338100100","","","강원특별자치도 강릉시 송정동 352 관광숙박시설","강원특별자치도 강릉시 해안로 186, 관광숙박시설 (송정동)","25556","신라모노그램 강릉","2026-03-03 13:04:59","I","2026-03-05 00:20:02","","369837.860897463","477692.077047582","관광숙박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
"5","관광숙박업","03_11_01_P","4201000","CDFI2260032026000005","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 교동 977-1","강원특별자치도 강릉시 원대로20번길 14 (교동)","25506","하우스 워커블","2026-03-03 13:05:49","I","2026-03-05 00:20:02","","365877.270369031","474391.129417962","관광숙박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","호스텔업",
"6","관광숙박업","03_11_01_P","3910000","CDFI2260031998000001","1998-06-23","","01","영업/정상","13","영업중","","","","","031-658-7700","","450-150","경기도 평택시 비전동 845-1","경기도 평택시 평택5로76번길 18-10 (비전동)","","가보호텔","2026-03-03 11:05:43","U","2026-03-05 02:40:00","","209980.779906676","387949.351410943","관광숙박업","","","13","","","","","9","4","125","9595","KABO HOTEL","Tourist Hotel Business","0","0","","0","0","","0","9595","","0","","","","","","","0","","","","9595","관광호텔업",
"7","관광숙박업","03_11_01_P","4850000","CDFI2260032022000001","2022-02-11","","01","영업/정상","13","영업중","","","","","0613839773","","","전라남도 담양군 용면 월계리 149-25 호스텔","전라남도 담양군 용면 추월산로 977-3, 호스텔","57300","글리제977","2026-03-03 17:45:36","U","2026-03-05 02:40:00","","199915.416919029","211381.699122791","관광숙박업","","관리지역","3","기타","","","숙박시설","3","1","9","270","","","0","0","","0","0","","0","1467","","0","","","","","","","100000000","","","","1467","호스텔업",
"8","관광숙박업","03_11_01_P","4341000","CDFI2260032008000001","2008-11-19","","01","영업/정상","13","영업중","","","","","630-6561","","","강원특별자치도 고성군 토성면 신평리 154-22","강원특별자치도 고성군 토성면 잼버리동로 267 (파인리즈컨트리클럽)","24763","파인리즈빌라 휴양콘도미니엄","2026-03-03 17:53:50","U","2026-03-05 02:40:00","","334852.345336223","528344.723418723","관광숙박업","관광사업","관리지역","3","기타","","","콘도미니엄","3","1","0","0","Pineridge Villa Resort Condominium","Resort Condominium","0","0","","0","0","","0","9594.46","","0","","","","","","","0","","","","9594","휴양콘도미니엄업",
"9","관광숙박업","03_11_01_P","3000000","CDFI2260032026000010","2026-02-27","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 돈의동 111","서울특별시 종로구 돈화문로9길 6, 4층 (돈의동)","03139","소담온 종로","2026-03-03 09:32:04","U","2026-03-05 02:40:00","","199164.028176924","452193.124898933","관광숙박업","","","6","","","","근린생활시설","5","1","0","0","Sodamon Jongro","Tourist Accommodation Business(Hostel)","0","0","","0","0","","0","91.44","","0","","","","","","","30000000","","","","91","호스텔업",
"10","관광숙박업","03_11_01_P","3000000","CDFI2260032026000011","2026-02-27","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 효제동 19-4","서울특별시 종로구 대학로 42-13, 2층 201호 (효제동)","03122","더도아스테이","2026-03-03 09:34:37","U","2026-03-05 02:40:00","","200155.102293406","452477.571800737","관광숙박업","","","11","","","","","10","1","0","0","THE DO A STAY","Tourist Accommodation Business(Hostel)","0","0","","0","0","","0","95.32","","0","","","","","","","30000000","","","","95","호스텔업",
"11","관광숙박업","03_11_01_P","4641000","CDFI2260032026000003","2026-03-04","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 완산구 남노송동 526-1","전북특별자치도 전주시 완산구 관선1길 25, 2,3층 (남노송동)","55033","히하호게스트하우스","2026-03-04 13:32:25","I","2026-03-06 00:20:02","","213963.612608914","257723.042318055","관광숙박업","","","0","","","","","0","0","15","0","","","0","0","","0","0","","0","275","","0","","","","","","","0","","","","275","호스텔업",
"12","관광숙박업","03_11_01_P","4641000","CDFI2260032026000004","2026-03-04","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 완산구 중앙동4가 18-3","전북특별자치도 전주시 완산구 전라감영로 43 (중앙동4가)","55038","스테이 태고당","2026-03-04 13:32:04","I","2026-03-06 00:20:02","","212940.260792183","257282.467218007","관광숙박업","","","0","","","","","0","0","2","0","","","0","0","","0","0","","0","189.76","","0","","","","","","","0","","","","190","호스텔업",
"13","관광숙박업","03_11_01_P","3250000","CDFI2260032026000003","2026-03-04","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 동광동2가 2-1","부산광역시 중구 대청로134번길 22, 2, 3층 (동광동2가)","48955","FLOW STAY","2026-03-04 10:50:22","I","2026-03-06 00:20:02","","385488.889849933","179870.476049334","관광숙박업","","일반상업지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","73.78","","0","","","","","","","0","","","","74","호스텔업",
"14","관광숙박업","03_11_01_P","6520000","CDFI2260032013001091","2013-11-25","","01","영업/정상","13","영업중","","","","","0647323210","","","제주특별자치도 서귀포시 신효동 506-9","제주특별자치도 서귀포시 하신상로 166","","월라산 스테이","2026-03-04 14:05:49","U","2026-03-06 02:40:00","","163610.327656409","-24796.3688727133","관광숙박업","","","0","","","","","0","0","20","0","","","0","0","","0","0","","0","741.83","","0","","","","","","","500000000","","","","742","호스텔업",
"15","관광숙박업","03_11_01_P","3330000","CDFI2260032014000008","2014-12-10","","01","영업/정상","13","영업중","","","","","051-704-0001","","612-040","부산광역시 해운대구 송정동 437-9","부산광역시 해운대구 송정광어골로 49 (송정동)","48073","올라호텔","2026-03-04 15:57:38","U","2026-03-06 02:40:00","","400055.336497954","188617.527373636","관광숙박업","","준주거지역","11","","","","호텔","10","1","42","2999","","","0","0","","0","0","","0","2998.54","","0","","","","","","","8000000000","","","","2999","관광호텔업",
"16","관광숙박업","03_11_01_P","3330000","CDFI2260032016000003","2016-01-15","","01","영업/정상","13","영업중","","","","","051-741-1045","","","부산광역시 해운대구 우동","부산광역시 해운대구 해운대해변로237번길 5 (우동, 토요코인부산해운대2호점)","48093","토요코인 부산 해운대-Ⅱ","2026-03-04 15:24:02","U","2026-03-06 02:40:00","","396503.479533629","186616.127105206","관광숙박업","","","26","","","","","23","3","442","14519","","","0","0","","0","0","","0","14519.39","","0","","","","","","","0","","","","14519","관광호텔업",
