"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명","기타내역2",
"1","인터넷컴퓨터게임시설제공업","03_05_05_P","3710000","CDFF2241022026000009","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","울산광역시 동구 방어동 1083-3","울산광역시 동구 북진1길 28, 1층 (방어동)","44096","바다PC","2026-04-01 11:13:19","I","2026-04-03 00:20:02","","419614.083659978","223474.778461725","인터넷컴퓨터게임시설제공업","유통관련업","1","","","93","1","0","근린생활시설","0","0","0","0","","","","","","","","","","","","20","","","","","","일반상업지역","성인PC방",
"2","인터넷컴퓨터게임시설제공업","03_05_05_P","4490000","CDFF2241022026000022","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 동남구 봉명동 239","충청남도 천안시 동남구 개목4길 29 (봉명동)","31140","새로이PC","2026-04-01 11:28:26","I","2026-04-03 00:20:02","","211798.825307426","368379.699675855","인터넷컴퓨터게임시설제공업","유통관련업","0","","","40.28","0","0","","0","0","0","0","","","","","","","","","","","","4","","","","","","","",
"3","인터넷컴퓨터게임시설제공업","03_05_05_P","3540000","CDFF2241022026000010","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","인천광역시 부평구 부평동 515-1 아레테뷰(오피스텔) 106호","인천광역시 부평구 장제로 88, 아레테뷰(오피스텔) 106호 (부평동)","21399","달PC","2026-04-01 10:53:43","I","2026-04-03 00:20:02","","176088.660414549","443495.270528317","인터넷컴퓨터게임시설제공업","유통관련업","0","","","29.1","0","0","","0","0","0","0","","","","","","","","","","","","7","","청소년이용불가","","","","","성인PC방",
"4","인터넷컴퓨터게임시설제공업","03_05_05_P","4800000","CDFF2241022026000003","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","전라남도 목포시 상동 1029-5","전라남도 목포시 하당남부로61번길 11, 2층 202호 (상동)","58688","스타PC","2026-04-01 12:58:51","I","2026-04-03 00:20:02","","147753.180079993","144877.950371888","인터넷컴퓨터게임시설제공업","유통관련업","0","","","120.38","2","0","근린생활시설","0","0","0","0","","","","","","","","","","","","60","","","","","","중심상업지역","",
"5","인터넷컴퓨터게임시설제공업","03_05_05_P","3420000","CDFF2241022026000002","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","대구광역시 동구 신암동 113-16","대구광역시 동구 동북로 409, 1층 (신암동)","41184","또와PC","2026-04-01 18:03:17","I","2026-04-03 00:20:02","","347331.999416132","266354.731671403","인터넷컴퓨터게임시설제공업","유통관련업","0","","","69.75","1","0","","0","0","0","0","","","","","","","","","","","","5","","","","","","일반주거지역","",
"6","인터넷컴퓨터게임시설제공업","03_05_05_P","5590000","CDFF2241022026000005","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","경기도 양주시 산북동 333-13 105호","경기도 양주시 평화로 1279, 1층 105호 (산북동)","11497","여우PC","2026-04-01 18:56:14","I","2026-04-03 00:20:02","","203928.291376298","478107.424915989","인터넷컴퓨터게임시설제공업","유통관련업","0","","","39.15","0","0","","0","0","0","0","","","","","","","","","","","","6","","전체이용가","","","","","",
"7","인터넷컴퓨터게임시설제공업","03_05_05_P","3910000","CDFF2241022026000038","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","경기도 평택시 용이동 464-5","경기도 평택시 현신1길 33-5, 106호 (용이동)","17868","여우PC","2026-04-01 16:25:07","I","2026-04-03 00:20:02","","212301.837662377","388202.990469042","인터넷컴퓨터게임시설제공업","유통관련업","0","","성인PC방","34.85","0","0","","0","0","0","0","","","","","","","","","","","","0","","청소년이용불가","","","","","",
"8","인터넷컴퓨터게임시설제공업","03_05_05_P","3910000","CDFF2241022026000039","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","경기도 평택시 팽성읍 안정리 142-1","경기도 평택시 팽성읍 안정순환로104번길 46, 근생 101호","17983","팽성PC","2026-04-01 16:26:09","I","2026-04-03 00:20:02","","204042.884671117","384206.250052547","인터넷컴퓨터게임시설제공업","유통관련업","0","","성인PC방","39.57","0","0","","0","0","0","0","","","","","","","","","","","","0","","청소년이용불가","","","","","",
"9","인터넷컴퓨터게임시설제공업","03_05_05_P","3480000","CDFF2241022008000013","2008-06-27","","01","영업/정상","13","영업중","","","","","","","","대구광역시 달성군 화원읍 명곡리 105-2","대구광역시 달성군 화원읍 명곡로 12-7","42960","팽피시카페 화원명곡점","2026-04-01 13:25:41","U","2026-04-03 02:40:00","","335133.706840534","256394.268130351","인터넷컴퓨터게임시설제공업","유통관련업","3","학교정화(상대)","","245.86","3","0","근린생활시설","0","45","0","0","","","","","","","","","","","","120","","","","","","준주거지역","",
"10","인터넷컴퓨터게임시설제공업","03_05_05_P","3460000","CDFF2241022015000012","2015-07-15","","01","영업/정상","13","영업중","","","","","","","","대구광역시 수성구 매호동 841","대구광역시 수성구 달구벌대로 3197, 2층 (매호동)","42271","더킹(the king)","2026-04-01 10:21:39","U","2026-04-03 02:40:00","","354118.307787394","261487.106903445","인터넷컴퓨터게임시설제공업","유통관련업","2","기타","","402.54","2","0","근린생활시설","0","0","0","0","","","","","","","","","","","","143","","","","","","일반주거지역","",
