"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사무실면적","소독차량차고면적","초미립자살포기수","휴대용소독기수","동력분무기수","수동식분무기수","방독면수","보호안경수","보호용의복수","진공청소기수",
"1","소독업","09_30_11_P","5710000","PHMB520265710107042500001","2026-03-31","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 서원구 수곡동 25-16","충청북도 청주시 서원구 수영로59번길 2, 2층 (수곡동)","28707","미호종합관리","2026-04-01 09:32:52","I","2026-04-03 00:20:02","","244001.595359838","346188.66572197","32.49","17.05","2","2","0","5","5","5","20","2",
"2","소독업","09_30_11_P","5020000","PHMB520265020056042500001","2026-03-24","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 장성동 1540-5","경상북도 포항시 북구 법원로63번길 15, A동 101호 (장성동)","37583","뽀독","2026-04-01 09:20:33","I","2026-04-03 00:20:02","","414653.658761378","289302.549461488","95.87","0","1","2","0","3","5","5","5","3",
"3","소독업","09_30_11_P","4810000","PHMB520114810029042500003","2011-07-13","","01","영업/정상","13","영업중","","","","","","","","전라남도 여수시 국동 1082-30","전라남도 여수시 어항단지로 41-14(국동)","59760","세운산업","2026-04-01 14:19:15","U","2026-04-03 02:40:00","","265468.972162279","136681.834203107","25","10","1","2","1","5","5","5","5","2",
"4","소독업","09_30_11_P","5530000","PHMB520205530021042500046","2020-09-18","","01","영업/정상","13","영업중","","","","","031-355-1010","","","경기도 화성시 효행구 봉담읍 덕우리 194","경기도 화성시 효행구 봉담읍 덕우공단1길 3-13, 1층","18336","그린환경","2026-04-01 13:43:31","U","2026-04-03 02:40:00","","192565.989806335","406564.272628364","30","30","1","2","0","3","5","5","5","1",
"5","소독업","09_30_11_P","3620000","PHMB520133620020042500011","2013-08-02","","02","휴업","02","휴업","","2026-04-01","2026-12-31","","062)523-7745","","500-878","광주광역시 북구 중흥동 720번지 1호","광주광역시 북구 중가로65번길 7 (중흥동)","61238","금상개발주식회사","2026-04-01 15:24:30","U","2026-04-03 02:40:00","","191495.723198686","184475.441096208","50","29","1","2","1","5","5","5","5","1",
"6","소독업","09_30_11_P","5710000","PHMB520255710107042500002","2025-12-11","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 서원구 사창동 403-3","충청북도 청주시 서원구 천수로 4, 1층 (사창동)","28568","주식회사 싯딤나무","2026-04-01 10:33:30","U","2026-04-03 02:40:00","","241107.332827046","348421.876764167","0","0","1","2","0","3","5","5","5","6",
"7","소독업","09_30_11_P","4090000","PHMB520234090023042500003","2023-02-09","","01","영업/정상","13","영업중","","","","","","","","경기도 김포시 고촌읍 태리 1101","경기도 김포시 고촌읍 인향로210번길 6, (입구 왼쪽 3번째) 186호","10132","주식회사 제이에스엠시너지","2026-04-01 15:35:15","U","2026-04-03 02:40:00","","178532.809820873","453689.844100566","0","0","1","2","0","3","5","5","5","1",
"8","소독업","09_30_11_P","3300000","PHMB520213300024042500009","2021-08-31","","01","영업/정상","13","영업중","","","","","1855-1868","","","부산광역시 동래구 사직동 56-14","부산광역시 동래구 아시아드대로181번길 12, 301호 (사직동)","47852","히어로(HERO)","2026-04-01 10:16:28","U","2026-04-03 02:40:00","","387907.190636449","191027.460752382","42.25","45.5","1","2","0","3","5","5","5","1",
"9","소독업","09_30_11_P","3240000","PHMB520213240033042500011","2021-06-22","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강동구 천호동 163-15 S.I팰리스","서울특별시 강동구 진황도로33길 11, 102호 (천호동, S.I팰리스)","05338","와이홀딩","2026-04-01 13:36:53","U","2026-04-03 02:40:00","","211790.482003615","448406.141674475","43.33","2.55","1","2","0","3","5","5","5","1",
"10","소독업","09_30_11_P","5090000","PHMB520215090024042500007","2021-06-15","","03","폐업","03","폐업","2026-03-09","","","","054-638-5053","","","경상북도 영주시 영주동 37-27 신나는빗자루","경상북도 영주시 광복로 42, 신나는빗자루 (영주동)","36077","(주)영주신나는빗자루","2026-04-01 09:34:46","U","2026-04-03 02:40:00","","344714.736571094","370812.096375593","50","24.4","1","2","0","3","5","5","5","1",
