번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),목재생산업구분코드명,목재생산업종류명,취급목재제품,인력보유현황,년간생산량,자본금,상태구분명,Unnamed: 35,record_key
17,목재수입유통업,09_27_01_P,3340000,334000090202600001,2026-03-05,,1,영업/정상,1,정상,,,,,,,,부산광역시 사하구 신평동 ***,"부산광역시 사하구 신산로 ***, B동 ****호 (신평동)",49438.0,(주)와이씨,2026-03-05 13:17:15,I,2026-03-07 00:20:02,,379451.129206449,178466.837914571,목재수입유통업,,목탄,,3000,0,영업,,(주)와이씨_부산광역시사하구신평동***
1,목재수입유통업,09_27_01_P,5070000,507000090202500003,2025-09-23,,1,영업/정상,1,정상,,,,,0548432789,,,경상북도 안동시 운안동 ***-**,"경상북도 안동시 단원로 **, *층 (운안동)",36649.0,(주)태산종합,2026-03-01 12:48:23,I,2026-03-04 00:20:37,,353276.552948885,342537.479775717,목재수입유통업,,"제재목, 합판, 방부목재, 난연목재, 집성재, 목재펠릿,톱밥, 원목",,0,0,영업,,(주)태산종합_경상북도안동시운안동***-**
18,목재수입유통업,09_27_01_P,6510000,651000090202300006,2023-11-28,,1,영업/정상,1,정상,,,,,,,,,제주특별자치도 제주시 애월읍 항몽로 ***,63057.0,***,2026-03-05 10:04:40,U,2026-03-07 02:40:00,,144899.113826218,-3422.80865032888,목재수입유통업,,"숯,톱밥",,0,0,영업,,***_
5,목재수입유통업,09_27_01_P,3500000,350000090202300003,2023-11-22,,1,영업/정상,1,정상,,,,,,,,인천광역시 동구 송현동 *** 인천산업용품유통단지,"인천광역시 동구 방축로**번길 **, 인천산업용품유통단지 **동 ***호 (송현동)",22530.0,(주) 서반,2026-03-04 09:21:39,U,2026-03-06 02:40:00,,169226.889631696,442817.65455975,목재수입유통업,,"합판, 집성판재 등",,0,0,영업,,(주)서반_인천광역시동구송현동***인천산업용품유통단지
14,목재수입유통업,09_27_01_P,4570000,457000090202300002,2023-02-23,,1,영업/정상,1,정상,,,,,041-833-9051,,,충청남도 부여군 규암면 모리 *-*,충청남도 부여군 규암면 충절로 ****-**,33117.0,대명에이지영농조합법인,2026-03-04 13:20:56,U,2026-03-06 02:40:00,,188585.837270359,310001.897906508,목재수입유통업,,목재펠릿,,1000,0,영업,,대명에이지영농조합법인_충청남도부여군규암면모리*-*
6,목재수입유통업,09_27_01_P,3530000,353000090202200001,2022-12-21,,1,영업/정상,BBBB,,,,,,,,,인천광역시 남동구 고잔동 ***-** 금호오션타워,"인천광역시 남동구 능허대로 ***, 금호오션타워 ***호 (고잔동)",21699.0,대기목재,2026-03-04 14:10:59,U,2026-03-06 02:40:00,,171429.580529918,432456.530450239,목재수입유통업,,,,0,0,,,대기목재_인천광역시남동구고잔동***-**금호오션타워
7,목재수입유통업,09_27_01_P,3530000,353000090202200003,2022-12-21,,1,영업/정상,BBBB,,,,,,,,,인천광역시 남동구 고잔동 ***-**,인천광역시 남동구 남동대로**번길 **(고잔동),21697.0,메라톤,2026-03-04 14:08:01,U,2026-03-06 02:40:00,,172207.740984972,432655.747597577,목재수입유통업,,,,0,0,,,메라톤_인천광역시남동구고잔동***-**
8,목재수입유통업,09_27_01_P,3530000,353000090202200008,2022-12-21,,1,영업/정상,BBBB,,,,,,032-811-8800,,,인천광역시 남동구 고잔동 ***-*,인천광역시 남동구 호구포로 *(고잔동),21693.0,영림임업,2026-03-04 14:16:32,U,2026-03-06 02:40:00,,173103.195645083,431649.288303818,목재수입유통업,,,,0,0,,,영림임업_인천광역시남동구고잔동***-*
9,목재수입유통업,09_27_01_P,3530000,353000090202200012,2022-12-21,,1,영업/정상,BBBB,,,,,,,,,인천광역시 남동구 고잔동 ***-*,인천광역시 남동구 앵고개로***번길 **(고잔동),21688.0,서연목재,2026-03-04 14:22:41,U,2026-03-06 02:40:00,,173856.341755722,431855.4890784,목재수입유통업,,,,0,0,,,서연목재_인천광역시남동구고잔동***-*
10,목재수입유통업,09_27_01_P,3530000,353000090202200014,2022-12-21,,1,영업/정상,BBBB,,,,,,032-821-6655,,,인천광역시 남동구 고잔동 ***-*,인천광역시 남동구 앵고개로***번길 **(고잔동),21688.0,도림목재,2026-03-04 14:25:14,U,2026-03-06 02:40:00,,173856.341755722,431855.4890784,목재수입유통업,,,,0,0,,,도림목재_인천광역시남동구고잔동***-*
