"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","식육포장처리업","07_22_06_P","3940000","394000010420180008","2018-06-01","","01","영업/정상","0000","정상","","","","2026-02-01","031-966-0782","0","","경기도 고양시 일산동구 문봉동 158-11","경기도 고양시 일산동구 성현로 400, 1층 (문봉동)","10314","농업회사법인 (주)자연터","2026-02-01 00:00:11","U","2026-02-03 02:40:00","","184673.391976569","466478.433705043","식육포장처리업","식육포장처리업","0","L00","0",
"2","식육포장처리업","07_22_06_P","3420000","342000010420260002","2026-02-02","","01","영업/정상","0000","정상","","","","","","0","","대구광역시 동구 검사동 552-1","대구광역시 동구 둔산로51길 75 (검사동)","41057","(주)뉴웅비푸드","2026-02-02 00:05:31","I","2026-02-04 00:20:02","","350707.973603919","267541.702262507","식육포장처리업","식육포장처리업","0","000","0",
"3","식육포장처리업","07_22_06_P","3400000","340000010420260006","2026-02-02","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 기장군 기장읍 청강리 519-1","부산광역시 기장군 기장읍 무곡길 1","46075","더블유씨피 푸드컴퍼니","2026-02-02 15:19:45","I","2026-02-04 00:20:02","","401300.762765961","194206.007171237","식육포장처리업","식육포장처리업","0","000","0",
"4","식육포장처리업","07_22_06_P","3590000","359000010420260001","2026-02-02","","01","영업/정상","0000","정상","","","","","062-400-0100","0","","광주광역시 동구 학동 81-44","광주광역시 동구 양림로 106 (학동)","61490","농축산물전문점 터","2026-02-02 11:38:48","I","2026-02-04 00:20:02","","192624.246049835","182233.795920415","식육포장처리업","식육포장처리업","0","000","0",
"5","식육포장처리업","07_22_06_P","3360000","336000010420160005","2016-10-14","","01","영업/정상","0000","정상","","","","2019-01-01","051-206-9945","0","","부산광역시 강서구 명지동 3175-29","부산광역시 강서구 새진목길 68-5 (명지동)","46717","세운유통","2026-02-02 18:45:19","U","2026-02-04 02:40:00","","375213.807614724","181194.395166374","식육포장처리업","식육포장처리업","0","000","0",
"6","식육포장처리업","07_22_06_P","4600000","460000010420130004","2013-08-21","","01","영업/정상","0000","정상","","","","","041-669-7240","4586","","충청남도 홍성군 구항면 청광리 243","충청남도 홍성군 구항면 충서로 829-8","","그레이스티앤에프 주식회사","2026-02-02 10:19:43","U","2026-02-04 02:40:00","","168027.568976994","339146.883936103","식육포장처리업","식육포장처리업","0","L00","0",
"7","식육포장처리업","07_22_06_P","4500000","450000010420140002","2014-05-26","","01","영업/정상","0000","정상","","","","","041) 852-5652","3250","","","충청남도 공주시 반포면 송곡로 55-7","32622","농업회사법인 더한식품 주식회사","2026-02-02 15:08:58","U","2026-02-04 02:40:00","","222696.605983144","321813.299279083","식육포장처리업","식육포장처리업","0","L00","0",
"8","식육포장처리업","07_22_06_P","4050000","405000010420180010","2018-06-11","","01","영업/정상","0000","정상","","","","","","2782","","경기도 용인시 처인구 남사읍 완장리 557-1","경기도 용인시 처인구 남사읍 완장천로394번길 19, 나동 지하1층 103호","17117","대운유통","2026-02-02 13:21:05","U","2026-02-04 02:40:00","","215937.067414243","406203.371985443","식육포장처리업","식육포장처리업","0","000","0",
"9","식육포장처리업","07_22_06_P","3670000","367000010420240006","2024-11-12","","01","영업/정상","0000","정상","","","","","","0","","대전광역시 유성구 관평동 1351 STOM 1차 1동 101호","대전광역시 유성구 테크노1로 12-13, STOM 1차 1동 101호 (관평동)","34016","신선미트푸드","2026-02-02 08:34:03","U","2026-02-04 02:40:00","","234803.045937083","325534.344784273","식육포장처리업","식육포장처리업","0","000","0",
"10","식육포장처리업","07_22_06_P","4211000","421000010420150001","2015-07-01","","02","휴업","0001","휴업","","2025-01-01","2028-01-30","","033-532-0015","783","","강원특별자치도 동해시 송정동 1034-2","강원특별자치도 동해시 송정3길 2 (송정동)","25789","(주)동서엠앤에프","2026-02-02 13:07:20","U","2026-02-04 02:40:00","","387749.235528384","445756.726296475","식육포장처리업","식육포장처리업","0","L00","0",
"11","식육포장처리업","07_22_06_P","4060000","406000010420250003","2025-05-15","","01","영업/정상","0000","정상","","","","","","0","","경기도 파주시 광탄면 신산리 548-5","경기도 파주시 광탄면 외화산길 101, 1동 1층","10948","주식회사 유앤엠","2026-02-02 14:07:31","U","2026-02-04 02:40:00","","185801.708669348","475751.886290015","식육포장처리업","식육포장처리업","0","L00","0",
"12","식육포장처리업","07_22_06_P","3400000","340000010420220007","2022-09-29","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 기장군 일광읍 신평리 8-1","부산광역시 기장군 일광읍 일광로 570, 101호","46040","홍푸드","2026-02-02 15:18:35","U","2026-02-04 02:40:00","","405455.712659449","201621.219370438","식육포장처리업","식육포장처리업","0","000","0",
"13","식육포장처리업","07_22_06_P","5710000","571000010420150015","2015-08-25","","03","폐업","0002","폐업","2026-01-30","","","","043-277-1236","243.5","","충청북도 청주시 청원구 주성동 383","충청북도 청주시 청원구 율량로 122, 1층 (주성동)","28318","(주)옥수축산","2026-02-02 09:05:19","U","2026-02-04 02:40:00","","244552.712279995","352371.2080357","식육포장처리업","식육포장처리업","0","L00","0",
"14","식육포장처리업","07_22_06_P","4580000","458000010420170002","2017-06-20","","03","폐업","0002","폐업","2026-01-30","","","","041-953-6634","9764","","충청남도 서천군 종천면 석촌리 416-29 알프스식품(주)","충청남도 서천군 종천면 종천공단길14번길 52","33613","(주)에스피씨삼립 서천공장","2026-01-30 15:47:10","U","2026-02-04 11:04:37","","172547.235262254","290332.484079863","식육포장처리업","식육포장처리업","0","L00","0",
"15","식육포장처리업","07_22_06_P","5220000","522000010420120002","2012-07-06","","02","휴업","0001","휴업","","2024-01-30","2028-01-29","","054-971-6633","3470","","경상북도 칠곡군 가산면 석우리 784-1","경상북도 칠곡군 가산면 경북대로 1701-3","39852","참품한우 육가공장","2026-01-30 10:01:40","U","2026-02-04 11:04:37","","338207.81708478","289699.426621772","식육포장처리업","식육포장처리업","0","L00","0",
"16","식육포장처리업","07_22_06_P","4490000","449000010420130009","2013-12-09","","02","휴업","0001","휴업","","2026-01-29","","","523-4321","0","","충청남도 천안시 서북구 신당동 605-2","충청남도 천안시 서북구 모시1길 235 (신당동)","31080","닭스","2026-01-30 10:36:44","U","2026-02-04 11:04:37","","213074.761429379","374105.784743615","식육포장처리업","식육포장처리업","0","000","0",
"17","식육포장처리업","07_22_06_P","3640000","364000010420160004","2016-05-18","","04","취소/말소/만료/정지/중지","0003","행정처분","2025-10-16","","","","042-286-8444","0","","대전광역시 동구 대성동 211-10 , 9호","대전광역시 동구 대전로 288-15, 17 (대성동)","34699","(주)한국식품","2026-01-30 14:24:28","U","2026-02-04 11:04:37","","241441.793730417","310509.927798939","식육포장처리업","식육포장처리업","0","L00","0",
"18","식육포장처리업","07_22_06_P","5540000","554000010420230003","2023-01-17","","01","영업/정상","0000","정상","","","","","0317988660","0","","경기도 광주시 삼동 254-19","경기도 광주시 고불로 463, 101호 (삼동)","12767","주식회사 나라푸드","2026-01-30 11:04:35","U","2026-02-04 11:04:37","","217571.50694507","434242.635416797","식육포장처리업","식육포장처리업","0","L00","0",
"19","식육포장처리업","07_22_06_P","5070000","507000010420150005","2015-06-15","","01","영업/정상","0000","정상","","","","","853-0705","0","","경상북도 안동시 풍산읍 상리리 산 4","경상북도 안동시 풍산읍 죽전길 24-11","36621","주식회사 친한돈 농업회사법인","2026-01-30 17:31:25","U","2026-02-04 11:04:37","","342899.863850017","344851.704798199","식육포장처리업","식육포장처리업","0","L00","0",
"20","식육포장처리업","07_22_06_P","3330000","333000010420260001","2026-02-03","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 해운대구 반송동 275-131 현우재활용센타","부산광역시 해운대구 아랫반송로21번길 140, 1층 B호 (반송동)","48014","제이푸드","2026-02-04 10:41:05","I","2026-02-06 00:20:02","","395555.799676308","194315.869424991","식육포장처리업","식육포장처리업","0","000","0",
"21","식육포장처리업","07_22_06_P","3940000","394000010420260001","2026-02-04","","01","영업/정상","0000","정상","","","","","","1956","","경기도 고양시 덕양구 관산동 685-41","경기도 고양시 덕양구 통일로 1028-41, 2동 (관산동)","10265","하나푸드","2026-02-04 10:39:42","I","2026-02-06 00:20:02","","187399.365347755","467419.907258622","식육포장처리업","식육포장처리업","0","000","0",
"22","식육포장처리업","07_22_06_P","4050000","405000010420180009","2018-06-05","","01","영업/정상","0000","정상","","","","","","216.4","","경기도 용인시 처인구 역북동 203-28","경기도 용인시 처인구 성산로121번길 36-3, 1층 (역북동)","17018","(주)정들","2026-02-04 09:13:08","U","2026-02-06 02:40:00","","216772.422019728","416459.978137916","식육포장처리업","식육포장처리업","0","L00","0",
"23","식육포장처리업","07_22_06_P","3060000","306000010420130002","2013-05-07","","03","폐업","0002","폐업","2026-01-04","","","","965-1500","0","","서울특별시 중랑구 상봉동 276-22","서울특별시 중랑구 상봉중앙로8가길 48, 1층 (상봉동)","02082","미트원","2026-02-03 15:52:49","U","2026-02-06 02:40:00","","207906.2133956","455333.961521228","식육포장처리업","식육포장처리업","0","000","0",
"24","식육포장처리업","07_22_06_P","6510000","651000000420051009","2001-07-02","","01","영업/정상","0000","정상","","","","","782-5522","1471","","제주특별자치도 제주시 화북일동","제주특별자치도 제주시 화남로 42 (화북일동)","63297","영농조합법인 제주동원","2026-02-03 11:20:44","U","2026-02-06 02:40:00","","159334.009461073","2076.73090293243","식육포장처리업","식육포장처리업","0","L00","0",
"25","식육포장처리업","07_22_06_P","5670000","567000010420220008","2022-04-14","","03","폐업","0002","폐업","2026-02-04","","","","","0","","경상남도 창원시 마산합포구 진동면 진동리 406","경상남도 창원시 마산합포구 진동면 서촌길 3-40, 1층","51792","다민축산유통","2026-02-04 09:03:28","U","2026-02-06 02:40:00","","335387.203314611","180307.87609018","식육포장처리업","식육포장처리업","0","000","0",
"26","식육포장처리업","07_22_06_P","5210000","521000010420240001","2024-10-17","","01","영업/정상","0000","정상","","","","","054-931-7840","653","","경상북도 성주군 선남면 용신리 743-2","경상북도 성주군 선남면 선노로 541","40043","한누리축산","2026-02-03 17:44:35","U","2026-02-06 02:40:00","","325596.529466729","269974.385277936","식육포장처리업","식육포장처리업","0","000","0",
"27","식육포장처리업","07_22_06_P","3630000","363000010420170003","2017-06-07","","01","영업/정상","0000","정상","","","","","","0","","광주광역시 광산구 비아동 60-4","광주광역시 광산구 비아동원촌길 83(비아동)","62253","케이미트광주 광산지점","2026-02-03 09:26:07","U","2026-02-06 02:40:00","","184368.089342292","191381.02431159","식육포장처리업","식육포장처리업","0","L00","0",
"28","식육포장처리업","07_22_06_P","4090000","409000010420200004","2020-03-23","","01","영업/정상","0000","정상","","","","","","0","","경기도 김포시 양촌읍 학운리 3576","경기도 김포시 양촌읍 황금3로8번길 83","10048","(주)백심비엔피","2026-02-03 10:13:08","U","2026-02-06 02:40:00","","166078.16034686","456425.555203883","식육포장처리업","식육포장처리업","0","L00","0",
"29","식육포장처리업","07_22_06_P","5350000","535000010420220001","2022-01-20","","03","폐업","0002","폐업","2026-02-04","","","","","0","","경상남도 김해시 어방동 1060-12 원일빌딩 1층 2호","경상남도 김해시 분성로557번길 51, 원일빌딩 1층 2호 (어방동)","50820","한바우 축산","2026-02-04 17:54:08","U","2026-02-06 02:40:00","","373430.16117431","195125.828705548","식육포장처리업","식육포장처리업","0","000","0",
"30","식육포장처리업","07_22_06_P","3630000","363000010420240009","2024-04-08","","01","영업/정상","0000","정상","","","","","","0","","광주광역시 광산구 월전동 964 나동","광주광역시 광산구 평동산단로143번길 25, 나동 (월전동)","62419","주식회사 에스제이푸드","2026-02-03 11:37:06","U","2026-02-06 02:40:00","","178630.079906955","179970.644589593","식육포장처리업","식육포장처리업","0","L00","0",
"31","식육포장처리업","07_22_06_P","3620000","362000010420210017","2021-11-19","","01","영업/정상","0000","정상","","","","","062-953-2267","0","","광주광역시 북구 양산동 406-5","광주광역시 북구 양일로 148-10, 1,2층 (양산동)","61056","주식회사 푸건","2026-02-03 16:32:41","U","2026-02-06 02:40:00","","188983.419425295","188547.132403722","식육포장처리업","식육포장처리업","0","L00","0",
"32","식육포장처리업","07_22_06_P","4090000","409000010420250016","2025-12-03","","01","영업/정상","0000","정상","","","","","","0","","경기도 김포시 대곶면 대명리 391-30","경기도 김포시 대곶면 대명항로 516-50","10040","주식회사 원글로벌에프앤비","2026-02-04 11:04:40","U","2026-02-06 02:40:00","","161489.809851017","460747.318065282","식육포장처리업","식육포장처리업","0","L00","0",
"33","식육포장처리업","07_22_06_P","5130000","513000010420210002","2021-05-20","","01","영업/정상","0000","정상","","","","","","0","","경상북도 경산시 갑제동 424-3","경상북도 경산시 화랑로 160 (갑제동)","38540","주식회사 착한푸드","2026-02-04 15:52:44","U","2026-02-06 02:40:00","","359395.061956074","260202.672062834","식육포장처리업","식육포장처리업","0","L00","0",
"34","식육포장처리업","07_22_06_P","4681000","468100010420250001","2025-05-14","","01","영업/정상","0000","정상","","","","2025-05-23","0638554055","0","","전북특별자치도 익산시 춘포면 춘포리 565-1","전북특별자치도 익산시 춘포면 춘포로 327-1","54581","(주)건국한우육가공","2026-02-04 13:22:44","U","2026-02-06 02:40:00","","200148.480382619","266954.499243987","식육포장처리업","식육포장처리업","0","L00","0",
"35","식육포장처리업","07_22_06_P","3930000","393000010420250005","2025-07-18","","01","영업/정상","0000","정상","","","","","03180422997","0","","경기도 안산시 단원구 화정동 472-3","경기도 안산시 단원구 꽃우물길 86 (화정동)","15210","주식회사 젠푸드","2026-02-04 19:54:26","U","2026-02-06 02:40:00","","184214.228328607","428405.697961207","식육포장처리업","식육포장처리업","0","L00","0",
"36","식육포장처리업","07_22_06_P","5710000","571000010420180018","2018-10-26","","03","폐업","0002","폐업","2026-02-03","","","","","0","","충청북도 청주시 상당구 용암동 2323","충청북도 청주시 상당구 낙영로16번길 8 (용암동)","28767","엄지축산물","2026-02-03 11:36:28","U","2026-02-06 02:40:00","","245402.678579905","346310.138407839","식육포장처리업","식육포장처리업","0","000","0",
"37","식육포장처리업","07_22_06_P","5710000","571000010420103010","2010-12-21","","01","영업/정상","0000","정상","","","","2014-02-05","043-218-0541","0","","충청북도 청주시 서원구 남이면 갈원리 268-1","충청북도 청주시 서원구 남이면 저산척북로 344-46","28184","(주)포정유통 농업회사법인 남이지점","2026-02-03 10:44:04","U","2026-02-06 02:40:00","","235281.511031782","340573.006007065","식육포장처리업","식육포장처리업","0","L00","0",
"38","식육포장처리업","07_22_06_P","5210000","521000010420120002","2012-09-10","","01","영업/정상","0000","정상","","","","","","1028","","경상북도 성주군 수륜면 남은리 174","경상북도 성주군 수륜면 남작로1길 10-8","40066","(주)성실그린축산","2026-02-03 17:42:44","U","2026-02-06 02:40:00","","314270.325985157","256408.912850139","식육포장처리업","식육포장처리업","0","L00","0",
"39","식육포장처리업","07_22_06_P","5350000","535000000419960007","1996-08-27","","01","영업/정상","0000","정상","","","","","324-2112~3","1932","","경상남도 김해시 유하동 436","경상남도 김해시 유하로 179-19 (유하동)","50970","부경식품(주)","2026-02-04 19:59:21","U","2026-02-06 02:40:00","","365092.793461267","192472.955149399","식육포장처리업","식육포장처리업","0","L00","0",
"40","식육포장처리업","07_22_06_P","5120000","512000010420260001","2026-02-05","","01","영업/정상","0000","정상","","","","","","3177","","경상북도 문경시 마성면 외어리 1219","경상북도 문경시 마성면 안늘목2길 83-2","36921","까망천초 흑염소","2026-02-05 20:02:05","I","2026-02-07 00:20:02","","302419.629174115","355581.760738603","식육포장처리업","식육포장처리업","0","000","0",
