"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","기공용레스수","원심주조기수","기공용모터수","아세틸렌수","치과용프레스수","전기로수","포셀린로수","초음파청소기수","서베이어수","진동기수","트리머수","기공용컴프레서수","샌드기수","진공매몰기수","핀덱스수",
"1","치과기공소","01_02_04_P","3490000","PHMB320263490019062300001","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","인천광역시 중구 인현동 27-40","인천광역시 중구 우현로83번길 20, 2층 (인현동)","22316","미소메이트","2026-04-01 13:37:45","I","2026-04-03 00:20:02","","167138.357393637","441464.511659515","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"2","치과기공소","01_02_04_P","5710000","PHMB320225710108062300001","2022-03-08","","01","영업/정상","13","영업중","","","","","043-265-2879","","","충청북도 청주시 흥덕구 복대동 221-39 도울빌딩","충청북도 청주시 흥덕구 죽천로 135, 도울빌딩 4층 (복대동)","28583","이안 치과기공소","2026-04-01 14:34:49","U","2026-04-03 02:40:00","","239096.797435151","348625.867492225","1","1","4","1","1","2","2","1","1","1","1","1","2","1","1",
"3","치과기공소","01_02_04_P","4040000","PHMB320244040023062300001","2022-08-30","","01","영업/정상","13","영업중","","","","","","","","경기도 하남시 풍산동 489 미사 테스타타워 지식산업센터 F829호","경기도 하남시 미사강변서로 25, 미사 테스타타워 지식산업센터 8층 F829호 (풍산동)","12918","미라클치과기공소","2026-04-01 09:46:21","U","2026-04-03 02:40:00","","216038.566179914","450059.249204826","1","1","2","1","1","1","1","2","1","1","2","2","2","1","1",
"4","치과기공소","01_02_04_P","6510000","PHMB319916510096062300001","1991-06-12","","01","영업/정상","13","영업중","","","","","747-1932","","","제주특별자치도 제주시 연동 2303번지 1호","제주특별자치도 제주시 일주서로 7856, 2층 (연동)","63127","신제주치과기공소","2026-04-01 15:27:14","U","2026-04-03 02:40:00","","152139.324614513","-201.073424741468","1","1","4","1","1","3","3","2","1","1","1","1","2","2","1",
"5","치과기공소","01_02_04_P","4040000","PHMB320234040023062300002","2010-06-03","","01","영업/정상","13","영업중","","","","","031-790-1023~4","","","경기도 하남시 덕풍동 762 아이테코","경기도 하남시 조정대로 150, 아이테코 R205호 (덕풍동)","12930","레인보우치과기공소","2026-04-01 09:50:53","U","2026-04-03 02:40:00","","217137.519410187","450158.241480494","1","2","7","1","1","4","4","1","3","2","2","3","3","2","1",
"6","치과기공소","01_02_04_P","5710000","PHMB320205710108062300001","2020-04-20","","01","영업/정상","13","영업중","","","","","043-275-2875","","","충청북도 청주시 흥덕구 송정동 329번지 4호 청주산업단지 비즈니스센터","충청북도 청주시 흥덕구 대신로 132, 청주산업단지 비즈니스센터 2층 (송정동)","28443","숙면치과기공소","2026-04-01 14:33:51","U","2026-04-03 02:40:00","","238909.399244749","349390.844809463","1","1","4","1","1","1","1","1","1","1","1","2","1","1","1",
"7","치과기공소","01_02_04_P","5710000","PHMB320205710108062300002","2020-04-20","","01","영업/정상","13","영업중","","","","","070-8702-6430","","","충청북도 청주시 흥덕구 가경동 1624번지","충청북도 청주시 흥덕구 서경로12번길 5, 1층 (가경동)","28413","샤인치과기공소","2026-04-01 14:35:41","U","2026-04-03 02:40:00","","239439.543304865","346291.104943461","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"8","치과기공소","01_02_04_P","5530000","PHMB320215530440062300002","2010-02-22","","01","영업/정상","13","영업중","","","","","031-8005-6101","","","경기도 화성시 동탄구 영천동 839-2","경기도 화성시 동탄구 동탄기흥로 560, 동익미라벨타워 1212,1213호 (영천동)","18469","즐거운치과기공소","2026-04-01 15:09:59","U","2026-04-03 02:40:00","","208286.550084744","412148.077005856","1","1","5","1","1","1","1","1","2","1","1","1","2","1","1",
"9","치과기공소","01_02_04_P","5710000","PHMB320155710108062300001","2015-10-07","","01","영업/정상","13","영업중","","","","","043-260-2802","","","충청북도 청주시 흥덕구 운천동 1366번지 1호","충청북도 청주시 흥덕구 사운로 244, 2층 (운천동)","28468","하나로치과기공소","2026-04-01 14:38:06","U","2026-04-03 02:40:00","","242406.476053461","349956.737635234","1","1","4","1","1","2","1","1","1","1","1","2","1","1","1",
"10","치과기공소","01_02_04_P","5710000","PHMB320225710108062300002","2022-08-04","","01","영업/정상","13","영업중","","","","","043-267-2804","","","","충청북도 청주시 흥덕구 사직대로29번길 4, 2층 202호 (복대동)","28593","BN 치과기공소","2026-04-01 14:30:55","U","2026-04-03 02:40:00","","240244.310430526","348253.152127565","1","1","3","0","1","1","1","1","1","1","2","1","1","1","1",
