번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),자산규모,부채총액,자본금,판매방식명,Unnamed: 32,record_key
141,통신판매업,08_26_04_P,3440000,2026344014930200116,2026-03-27,,1,영업/정상,1,정상영업,,,,,,,,대구광역시 남구 이천동 *** 보성상아맨션,"대구광역시 남구 명덕로 ***, ***동 ***호 (이천동, 보성상아맨션)",42422,햄스터 게임즈,2026-03-03 10:35:05,I,2026-03-05 00:20:02,기타,344024.156176004,262779.451336422,0,0,0,기타,,햄스터게임즈_대구광역시남구이천동***보성상아맨션
60,통신판매업,08_26_04_P,3990000,2026399033030200049,2026-03-27,,1,영업/정상,1,정상영업,,,,,,,,경기도 남양주시 금곡동 ***-** 금곡종합상가,"경기도 남양주시 경춘로 ****, 금곡종합상가 *** E**호 (금곡동)",12237,넥스바이,2026-03-01 11:24:48,I,2026-03-04 00:20:37,종합몰,218737.593076975,459198.00118486,0,0,0,인터넷,,넥스바이_경기도남양주시금곡동***-**금곡종합상가
142,통신판매업,08_26_04_P,3440000,2026344014930200117,2026-03-27,,1,영업/정상,1,정상영업,,,,,,,,대구광역시 남구 대명동 ****-**,"대구광역시 남구 안지랑로**길 **, ***호 (대명동)",42484,똑디(DDOKDY),2026-03-03 10:40:37,I,2026-03-05 00:20:02,종합몰,341557.742428251,260813.197940897,0,0,0,인터넷,,똑디(DDOKDY)_대구광역시남구대명동****-**
649,통신판매업,08_26_04_P,4641000,2026465100630200175,2026-03-27,,1,영업/정상,1,정상영업,,,,,,,,전북특별자치도 전주시 완산구 효자동*가 ****-*,전북특별자치도 전주시 완산구 구룡*길 **-* (효자동*가),55061,쥬쥬니팅,2026-03-03 14:25:12,I,2026-03-05 00:20:02,의류/패션/잡화/뷰티,209299.14,256964.565,0,0,0,인터넷,,쥬쥬니팅_전북특별자치도전주시완산구효자동*가****-*
860,통신판매업,08_26_04_P,3050000,2026305021030200464,2026-03-26,,1,영업/정상,1,정상영업,,,,,,,,서울특별시 동대문구 장안동 ***-** 공감대아파트,"서울특별시 동대문구 장한로*길 **, ***호 (장안동, 공감대아파트)",02642,인벤토리샵,2026-03-03 11:47:24,I,2026-03-05 00:20:02,종합몰,206258.260514388,451164.216738331,0,0,0,인터넷,,인벤토리샵_서울특별시동대문구장안동***-**공감대아파트
522,통신판매업,08_26_04_P,3130000,2026313027830200565,2026-03-25,,1,영업/정상,1,정상영업,,,,,,,,서울특별시 마포구 서교동 ***-*,"서울특별시 마포구 와우산로 ***, *층 **에이호 (서교동)",04054,리버파트너스,2026-03-03 13:37:57,I,2026-03-05 00:20:02,건강/식품,193317.780884256,450129.1734235,0,0,0,인터넷,,리버파트너스_서울특별시마포구서교동***-*
414,통신판매업,08_26_04_P,3130000,2026313027830200558,2026-03-25,,1,영업/정상,1,정상영업,,,,,,,,서울특별시 마포구 신수동 *** 밤섬경남아너스빌,"서울특별시 마포구 독막로**길 **, ***동 상가B층 ***-***호 (신수동, 밤섬경남아너스빌)",04089,우산이야기,2026-03-03 09:38:32,I,2026-03-05 00:20:02,종합몰,194301.304865904,449388.053900946,0,0,0,인터넷,,우산이야기_서울특별시마포구신수동***밤섬경남아너스빌
928,통신판매업,08_26_04_P,4040000,2026404032130200431,2026-03-25,,1,영업/정상,1,정상영업,,,,,,,,경기도 하남시 풍산동 ***-* 하우스디스마트밸리,"경기도 하남시 미사강변서로 **, 하우스디스마트밸리 제디동 **층 ****호 (풍산동)",12918,유니비크,2026-03-03 09:11:47,I,2026-03-05 00:20:02,종합몰,216230.173359713,449965.495275694,0,0,0,"TV홈쇼핑, 인터넷",,유니비크_경기도하남시풍산동***-*하우스디스마트밸리
332,통신판매업,08_26_04_P,3130000,2026313027830200557,2026-03-25,,1,영업/정상,1,정상영업,,,,,,,,서울특별시 마포구 서교동 ***-**,"서울특별시 마포구 어울마당로 **-*, *층 (서교동)",04049,게임파티룸어반아지트홍대1호점,2026-03-03 09:35:33,I,2026-03-05 00:20:02,기타,192962.808532513,449688.748486598,0,0,0,인터넷,,게임파티룸어반아지트홍대1호점_서울특별시마포구서교동***-**
3939,통신판매업,08_26_04_P,5430000,2026543021630200018,2026-03-24,,1,영업/정상,1,정상영업,,,,,,,,경상남도 남해군 삼동면 동천리 ***-* 삼양수산,"경상남도 남해군 삼동면 동부대로 ****, 삼양수산",52447,삼양수산,2026-03-05 16:58:44,I,2026-03-07 00:20:02,건강/식품,295646.413832294,145339.943345717,0,0,0,인터넷,,삼양수산_경상남도남해군삼동면동천리***-*삼양수산
