번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,의자수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,여성종사자수,남성종사자수,침대수,다중이용업소여부,Unnamed: 44,record_key
489,이용업,05_19_01_P,3130000,3130000-203-2026-00002,2026-02-26,,1,영업/정상,1,영업,,,,,,36.3,121-818,서울특별시 마포구 동교동 169-21,"서울특별시 마포구 양화로18안길 20, 4층 402호 (동교동)",4051.0,무진(MOOZIN),2026-02-26 17:41:38,I,2026-02-28 00:20:02,일반이용업,193364.118987568,450500.170643271,일반이용업,4.0,0.0,0.0,0.0,0.0,0.0,1,,,,,0.0,0.0,0.0,N,,무진(MOOZIN)_서울특별시마포구동교동169-21
487,이용업,05_19_01_P,3150000,3150000-203-2026-00004,2026-02-26,,1,영업/정상,1,영업,,,,,04040009257,24.42,157-905,서울특별시 강서구 화곡동 867-1 경동팰리스,"서울특별시 강서구 등촌로13바길 91, 101호 (화곡동, 경동팰리스)",7748.0,디와이헤어,2026-02-26 15:14:37,I,2026-02-28 00:20:02,일반이용업,187166.117634936,448041.962704642,일반이용업,1.0,0.0,0.0,0.0,0.0,0.0,3,,,,,0.0,0.0,1.0,N,,디와이헤어_서울특별시강서구화곡동867-1경동팰리스
486,이용업,05_19_01_P,4010000,4010000-203-2026-00003,2026-02-26,,1,영업/정상,1,영업,,,,,,38.75,429-430,경기도 시흥시 장곡동 949-9 수현메디타워,"경기도 시흥시 황고개로 472, 수현메디타워 107호 (장곡동)",14996.0,디에스텔,2026-02-26 14:54:13,I,2026-02-28 00:20:02,일반이용업,181391.740027891,430147.948810976,일반이용업,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,0.0,0.0,0.0,N,,디에스텔_경기도시흥시장곡동949-9수현메디타워
485,이용업,05_19_01_P,5700000,5700000-203-2026-00001,2026-02-26,,1,영업/정상,1,영업,,,,,,8.25,469-118,경기도 여주시 연양동 414 썬밸리호텔,"경기도 여주시 강변유원지길 45, 썬밸리호텔 1층 (연양동)",12634.0,썬벨리호텔 이용원,2026-02-26 17:04:26,I,2026-02-28 00:20:02,일반이용업,258476.005943628,421419.876906884,일반이용업,0.0,0.0,1.0,1.0,0.0,0.0,1,,,,임대,0.0,0.0,0.0,N,,썬벨리호텔이용원_경기도여주시연양동414썬밸리호텔
488,이용업,05_19_01_P,5530000,5760000-203-2026-00001,2026-02-26,,1,영업/정상,1,영업,,,,,,41.32,,경기도 화성시 병점구 진안동 525-69 102호,"경기도 화성시 병점구 경기대로1046번길 7, 102호 (진안동)",18401.0,에이프바버샵,2026-02-26 11:02:32,I,2026-02-28 00:20:02,일반이용업,203013.085842887,411929.061256354,일반이용업,1.0,0.0,0.0,0.0,0.0,0.0,0,,,,임대,0.0,0.0,0.0,N,,에이프바버샵_경기도화성시병점구진안동525-69102호
477,이용업,05_19_01_P,4691000,4691000-203-2026-00001,2026-02-25,,1,영업/정상,1,영업,,,,,,11.25,,전북특별자치도 정읍시 연지동 350-14 하와이모텔,"전북특별자치도 정읍시 명덕로 65-11, 아쿠아사우나모텔 (연지동)",56159.0,하와이이용원,2026-02-25 11:33:29,I,2026-02-27 00:20:02,일반이용업,185978.05257059,230833.562653484,일반이용업,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,,0.0,0.0,0.0,N,,하와이이용원_전북특별자치도정읍시연지동350-14하와이모텔
478,이용업,05_19_01_P,3650000,3650000-203-2026-00002,2026-02-25,,1,영업/정상,1,영업,,,,,,0.0,301-739,대전광역시 중구 오류동 154-4 센트리아오피스텔 지하1층 3호,"대전광역시 중구 계백로 1719, 센트리아오피스텔 지하1층 3호 (오류동)",34909.0,센트리아바버샵,2026-02-25 13:44:15,I,2026-02-27 00:20:02,일반이용업,236783.094148359,313575.293047752,일반이용업,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,0.0,0.0,N,,센트리아바버샵_대전광역시중구오류동154-4센트리아오피스텔지하1층3호
476,이용업,05_19_01_P,4010000,4010000-203-2026-00002,2026-02-25,,1,영업/정상,1,영업,,,,,,45.79,429-803,경기도 시흥시 군자동 789-10,"경기도 시흥시 능곡군자1길 137, 103호 (군자동)",14999.0,나이스가이,2026-02-25 11:30:36,I,2026-02-27 00:20:02,일반이용업,182734.45195546,429641.016095665,일반이용업,0.0,0.0,0.0,0.0,0.0,0.0,3,,,,,0.0,0.0,0.0,N,,나이스가이_경기도시흥시군자동789-10
475,이용업,05_19_01_P,3290000,3290000-203-2026-00003,2026-02-25,,1,영업/정상,1,영업,,,,,,19.8,614-855,부산광역시 부산진구 양정동 321-2,"부산광역시 부산진구 거제대로 70, 7층 일부호 (양정동)",47211.0,국제,2026-02-25 10:14:27,I,2026-02-27 00:20:02,일반이용업,388361.019913516,188140.258492077,일반이용업,11.0,4.0,7.0,7.0,0.0,0.0,2,,,,,0.0,0.0,0.0,N,,국제_부산광역시부산진구양정동321-2
473,이용업,05_19_01_P,4990000,4990000-203-2026-00001,2026-02-25,,1,영업/정상,1,영업,,,,,,50.0,537-848,전라남도 완도군 노화읍 이포리 678-148,"전라남도 완도군 노화읍 노화로870번길 21-6, 1층",59158.0,ECHT(에히트),2026-02-25 14:54:52,I,2026-02-27 00:20:02,일반이용업,160451.951562613,75626.3657908949,일반이용업,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,0.0,0.0,0.0,N,,ECHT(에히트)_전라남도완도군노화읍이포리678-148
