"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","시력표수","표본렌즈수","측정의자수","동공거리측정기수","정점굴절계기수","조제용연마기수","렌즈절단기수","가열기수","안경세척기수","총면적",
"1","안경업","01_02_01_P","3230000","PHMB220263230034082200002","2026-04-01","","01","영업/정상","13","영업중","","","","","02-6097-9097","","","서울특별시 송파구 신천동 17-6","서울특별시 송파구 올림픽로 329, 잠실르엘근린생활시설 지하층 B134호 (신천동)","05509","리뷰(Re;View)","2026-04-01 10:40:16","I","2026-04-03 00:20:02","","209393.076054654","446147.977949052","1","0","0","1","1","0","0","0","0","0",
"2","안경업","01_02_01_P","3180000","PHMB219963180034082200007","1996-10-18","","01","영업/정상","13","영업중","","","","","02-782-4433","","150-875","서울특별시 영등포구 여의도동 20번지  엘지트윈타워 B1 아케이트","서울특별시 영등포구 여의대로 128 (여의도동)","07336","이노티안경원","2026-04-01 11:45:36","U","2026-04-03 02:40:00","","193674.743726431","447296.226305826","0","0","0","0","0","0","0","0","0","17.6",
"3","안경업","01_02_01_P","3930000","PHMB220263930162082200001","2026-03-23","","01","영업/정상","13","영업중","","","","","031-409-8009","","","경기도 안산시 상록구 이동 714-3 데코스포텔 110, 111호","경기도 안산시 상록구 광덕1로 355, 데코스포텔 110, 111호 (이동)","15494","눈빛안경","2026-04-01 09:04:34","U","2026-04-03 02:40:00","","186549.925105847","422820.866954737","1","0","0","1","2","0","0","0","0","99.95",
"4","안경업","01_02_01_P","3000000","PHMB220243000034082200003","2024-08-14","","03","폐업","03","폐업","2026-03-31","","","","","","","서울특별시 종로구 소격동 153","서울특별시 종로구 율곡로3길 71, 1,2층 (소격동)","03062","알로안경 북촌점","2026-04-01 17:00:53","U","2026-04-03 02:40:00","","198342.156491745","452939.521265312","1","0","0","1","1","0","0","0","0","90.44",
"5","안경업","01_02_01_P","4530000","PHMB220214530030082200005","2020-05-07","","01","영업/정상","13","영업중","","","","","041-681-5006","","","충청남도 서산시 동문동 311-18","충청남도 서산시 시장6로 38, 2층 (동문동)","31981","으뜸50안경 서산점","2026-04-01 16:28:56","U","2026-04-03 02:40:00","","151553.534530694","364752.863752386","1","1","1","1","1","0","0","2","2","160.03",
"6","안경업","01_02_01_P","3040000","PHMB220143040033082200001","2014-01-21","","01","영업/정상","13","영업중","","","","","453-5002","","143-896","서울특별시 광진구 중곡동 157번지 4호","서울특별시 광진구 천호대로 561, 1층 (중곡동)","04929","휴 안경콘텍트","2026-04-01 14:58:29","U","2026-04-03 02:40:00","","207055.507996434","450542.187939719","2","1","1","1","1","1","2","2","2","75",
"7","안경업","01_02_01_P","3360000","PHMB220203360024082200002","2020-11-04","","01","영업/정상","13","영업중","","","","","051-941-1001","","","부산광역시 강서구 대저2동 2026-2","부산광역시 강서구 공항로811번길 47, 1층 (대저2동)","46720","더플러스안경원","2026-04-01 15:02:10","U","2026-04-03 02:40:00","","378023.374764557","188525.734624341","1","0","0","1","1","0","0","0","0","40",
"8","안경업","01_02_01_P","3030000","PHMB219933030033082200004","1993-12-01","","01","영업/정상","13","영업중","","","","","02-2213-2004","","","서울특별시 성동구 용답동 4번지 13호","서울특별시 성동구 용답중앙15길 14 (용답동)","04805","으뜸안경친구 위드렌즈","2026-04-01 10:37:15","U","2026-04-03 02:40:00","","204703.606389472","451370.151136153","1","1","1","1","1","1","1","1","1","0",
"9","안경업","01_02_01_P","3630000","PHMB220263630020082200001","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","광주광역시 광산구 월계동 890-1","광주광역시 광산구 첨단중앙로106번길 16, 1층 3호 (월계동)","62276","윙크 광주첨단점","2026-04-02 18:01:34","I","2026-04-04 00:20:02","","185729.575666225","190608.754850796","1","0","0","1","1","0","0","0","0","104.79",
"10","안경업","01_02_01_P","3740000","PHMB220263740033082200002","2021-10-28","","01","영업/정상","13","영업중","","","","","","","","경기도 수원시 팔달구 매산로1가 58-6","경기도 수원시 팔달구 매산로 8, 1층 (매산로1가)","16461","뷰맵수원스토어","2026-04-01 15:49:20","I","2026-04-04 00:20:02","","200150.804636053","418331.167715308","1","0","0","1","1","0","0","0","0","58.5",
