번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,욕실수,발한실여부,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,여성종사자수,남성종사자수,다중이용업소여부,Unnamed: 44,record_key
152,목욕장업,11_44_01_P,5330000,5330000-202-2026-00001,2026-02-24,,1,영업/정상,1,영업,,,,,,71.8,650-110,경상남도 통영시 도천동 124-42,경상남도 통영시 중앙로 2 (도천동),53066.0,보떼바스,2026-02-24 15:04:17,I,2026-02-26 00:20:08,목욕장업 기타,329085.412366129,149781.185661445,목욕장업 기타,4,1,1,1,0,0,1,Y,,,,임대,1,0,N,,보떼바스_경상남도통영시도천동124-42
155,목욕장업,11_44_01_P,3530000,3530000-202-2026-00001,2026-02-20,,1,영업/정상,1,영업,,,,,,513.3,405-835,인천광역시 남동구 구월동 1131-7 더 센트럴프라자호텔,"인천광역시 남동구 예술로204번길 15, 더 센트럴프라자호텔 지하1층호 (구월동)",21558.0,아늑 시그니처 인천 구월 루프 사우나,2026-02-24 15:59:58,U,2026-02-26 02:40:00,공동탕업+찜질시설서비스영업,173592.515033231,438962.826383396,공동탕업+찜질시설서비스영업,0,0,0,0,1,1,2,N,,,,,1,1,N,,아늑시그니처인천구월루프사우나_인천광역시남동구구월동1131-7더센트럴프라자호텔
142,목욕장업,11_44_01_P,3220000,3220000-202-2026-00001,2026-02-20,,1,영업/정상,1,영업,,,,,,149.78,135-890,서울특별시 강남구 신사동 555-16,"서울특별시 강남구 논현로155길 37, 2층,3층 (신사동)",6033.0,시수하우스,2026-02-20 09:20:54,I,2026-02-22 00:20:02,목욕장업 기타,202164.247789083,446531.968005684,목욕장업 기타,0,0,0,0,0,0,6,N,,,,,0,0,N,,시수하우스_서울특별시강남구신사동555-16
153,목욕장업,11_44_01_P,4241000,4241000-202-2026-00001,2026-02-13,,1,영업/정상,1,영업,,,,,033 5701800,1789.47,,강원특별자치도 삼척시 가곡면 탕곡리 509-3,강원특별자치도 삼척시 가곡면 가곡천로 1510,25954.0,가곡유황온천,2026-02-24 10:47:36,U,2026-02-26 02:40:00,공동탕업,395936.449254796,407710.841362512,공동탕업,1,3,1,3,0,0,12,N,,20260215.0,20290214.0,,0,0,N,,가곡유황온천_강원특별자치도삼척시가곡면탕곡리509-3
134,목욕장업,11_44_01_P,3230000,3230000-202-2026-00001,2026-02-12,,1,영업/정상,1,영업,,,,,,17.11,138-837,서울특별시 송파구 삼전동 9-8,"서울특별시 송파구 백제고분로 229, 지하1층 (삼전동)",5605.0,베네짐 삼전점,2026-02-12 17:00:39,I,2026-02-14 00:20:02,찜질시설서비스영업,208083.998819485,444601.394384951,찜질시설서비스영업,0,0,0,0,0,0,1,N,,,,,0,0,N,,베네짐삼전점_서울특별시송파구삼전동9-8
129,목욕장업,11_44_01_P,3080000,3080000-202-2026-00001,2026-02-10,,1,영업/정상,1,영업,,,,,029934644,1028.43,142-871,"서울특별시 강북구 우이동 246 A동 1,2층",서울특별시 강북구 삼양로179길 212-16 (우이동),1000.0,우이령불가마 주쉼사우나,2026-02-10 15:47:22,I,2026-02-12 00:20:02,공동탕업+찜질시설서비스영업,200446.194609898,463155.930301289,공동탕업+찜질시설서비스영업,0,0,0,0,0,0,2,Y,,,,,0,0,N,,"우이령불가마주쉼사우나_서울특별시강북구우이동246A동1,2층"
120,목욕장업,11_44_01_P,3030000,3030000-202-2026-00001,2026-02-06,,1,영업/정상,1,영업,,,,,0222825220,98.25,133-100,서울특별시 성동구 옥수동 560 옥수 어울림,"서울특별시 성동구 독서당로40길 39, 옥수 어울림 근린생활시설동 지3층 308-3호 (옥수동)",4739.0,센트리얼 사우나,2026-02-06 13:54:35,I,2026-02-08 00:20:01,공동탕업+찜질시설서비스영업,201538.05612719,448894.755196992,공동탕업+찜질시설서비스영업,0,0,0,0,0,0,4,Y,,,,,0,0,N,,센트리얼사우나_서울특별시성동구옥수동560옥수어울림
118,목욕장업,11_44_01_P,5350000,5350000-202-2026-00001,2026-01-16,,1,영업/정상,1,영업,,,,,,567.78,621-290,경상남도 김해시 삼문동 79-3 401호,"경상남도 김해시 능동로 27, 401호 (삼문동)",50986.0,맑은샘 워터랜드 찜질방,2026-02-05 10:53:25,U,2026-02-07 02:40:00,공동탕업+찜질시설서비스영업,363535.839228531,190085.058151651,공동탕업+찜질시설서비스영업,0,0,0,0,0,0,0,Y,,,,,0,0,Y,,맑은샘워터랜드찜질방_경상남도김해시삼문동79-3401호
86,목욕장업,11_44_01_P,4321000,4321000-202-2026-00001,2026-01-13,,1,영업/정상,1,영업,,,,,,149.07,,강원특별자치도 양구군 해안면 현리 154 해안면 복지회관,"강원특별자치도 양구군 해안면 펀치볼로 1301, 해안면 복지회관",24563.0,펀치볼종합복지센터 목욕탕,2026-02-02 10:34:55,U,2026-02-04 02:40:00,공동탕업,299410.304214227,531911.034362197,공동탕업,1,0,0,0,0,0,2,N,,,,,0,0,Y,,펀치볼종합복지센터목욕탕_강원특별자치도양구군해안면현리154해안면복지회관
5,목욕장업,11_44_01_P,5530000,5770000-202-2025-00002,2025-12-30,,1,영업/정상,1,영업,,,,,,158.83,,경기도 화성시 동탄구 청계동  534-1,"경기도 화성시 동탄구 동탄대로시범길 148-54, 지1층 B01호 일부호 (청계동)",,헤일로짐24시 스파&사우나 동탄청계점,2025-12-30 15:32:07,I,2026-02-04 01:35:23,공동탕업+찜질시설서비스영업,210025.151954741,410968.979490676,공동탕업+찜질시설서비스영업,0,0,0,0,0,0,0,N,,,,,0,0,N,,헤일로짐24시스파&사우나동탄청계점_경기도화성시동탄구청계동534-1
