"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","약국영업면적","지정일자",
"1","약국","01_01_06_P","3060000","PHMD120263060034084000004","2026-04-01","","01","영업/정상","13","영업중","","","","","02-3421-1391","","","서울특별시 중랑구 신내동 646 금강리빙스텔 213호","서울특별시 중랑구 신내로 211, 금강리빙스텔 213호 (신내동)","02024","다정약국","2026-04-01 17:05:33","I","2026-04-03 00:20:02","","208112.860200669","457113.638411288","66","20260401",
"2","약국","01_01_06_P","3230000","PHMD120183230034084000027","2018-07-02","","01","영업/정상","13","영업중","","","","","02-425-3296","","","서울특별시 송파구 신천동 20번지 6호 파크리오","서울특별시 송파구 올림픽로35길 10, B동 308-1호 (신천동, 파크리오)","05507","송파미소약국","2026-04-01 18:57:47","U","2026-04-03 02:40:00","","209933.823276344","446455.526715924","28.8","20180702",
"3","약국","01_01_06_P","3550000","PHMD120223550020084000002","2022-04-21","","03","폐업","03","폐업","2026-03-24","","","","032-552-2050","","","인천광역시 계양구 박촌동 319 계양한양수자인","인천광역시 계양구 장제로 1004, 107호 (박촌동, 계양한양수자인)","21022","행복약국","2026-04-01 14:44:50","U","2026-04-03 02:40:00","","177527.433837837","450295.973253787","53.36","20220421",
"4","약국","01_01_06_P","4050000","PHMD120154050148084000002","2015-02-09","","03","폐업","03","폐업","2026-04-01","","","","031)284-5004","","","","경기도 용인시 기흥구 금화로 92 (상갈동)","17072","힘찬약국","2026-04-01 15:25:47","U","2026-04-03 02:40:00","","209522.882628404","418290.681313604","60","20150209",
"5","약국","01_01_06_P","3130000","PHMD120243130033084000014","2024-09-24","","01","영업/정상","13","영업중","","","","","02-717-3170","","","서울특별시 마포구 대흥동 137-1 승행빌딩","서울특별시 마포구 백범로 99, 승행빌딩 1층 (대흥동)","04136","마포드림약국","2026-04-01 11:21:27","U","2026-04-03 02:40:00","","194852.930773073","449508.697371348","99.98","20240924",
"6","약국","01_01_06_P","3610000","PHMD120003610019084000004","2000-07-05","","03","폐업","03","폐업","2026-04-01","","","","062-369-7447","","","광주광역시 남구 월산동 1015번지 3호 우성중고","광주광역시 남구 대남대로 337 (월산동)","61613","은약국","2026-04-01 17:41:18","U","2026-04-03 02:40:00","","190182.459121496","182509.293116036","35.4","20000705",
"7","약국","01_01_06_P","3300000","PHMD120103300024084000024","2010-12-28","","01","영업/정상","13","영업중","","","","","0515548275","","607-011","부산광역시 동래구 명륜1동 533번지 32호 외2필지","부산광역시 동래구 충렬대로181번길 21 (명륜동,외2필지)","47736","동래럭키약국","2026-04-01 16:06:58","U","2026-04-03 02:40:00","","389322.983918414","191483.233211305","93.32","20101228",
"8","약국","01_01_06_P","5690000","PHMD120225690045084000012","2022-11-29","","03","폐업","03","폐업","2026-03-31","","","","0448675859","","","세종특별자치시 어진동 503 홈플러스 세종점","세종특별자치시 절재로 154, 홈플러스 세종점 1층 X7,Y4호 (어진동)","30102","어진약국","2026-04-01 19:19:22","U","2026-04-03 02:40:00","","223118.17941601","334063.124365711","59","20221129",
"9","약국","01_01_06_P","5670000","PHMD120175670554084000008","2017-06-26","","01","영업/정상","13","영업중","","","","","055-287-1612","","","경상남도 창원시 성산구 대방동 364번지 4호","경상남도 창원시 성산구 가양로124번길 15, 1층 102호 (대방동, 대암빌딩)","51465","해든약국","2026-04-01 17:26:32","U","2026-04-03 02:40:00","","355415.334813879","191199.990322366","39","20170626",
"10","약국","01_01_06_P","3150000","PHMD120133150037084000011","2013-04-29","","01","영업/정상","13","영업중","","","","","02-2659-7489","","","","서울특별시 강서구 허준로 23, 107호 (가양동)","07524","한강메디칼약국","2026-04-01 15:51:31","U","2026-04-03 02:40:00","","186236.281118291","452133.277893616","21.52","20130429",
"11","약국","01_01_06_P","4050000","PHMD120214050147084000003","2021-04-01","","01","영업/정상","13","영업중","","","","","031-302-3220","","","경기도 용인시 처인구 김량장동 125-1","경기도 용인시 처인구 금령로107번길 3, 영신빌딩 2층 (김량장동)","17052","튼튼약국","2026-04-01 16:14:04","U","2026-04-03 02:40:00","","218392.746951917","414895.472444157","50","20210401",
"12","약국","01_01_06_P","4050000","PHMD120254050148084000003","2025-03-28","","02","휴업","02","휴업","","2026-04-01","2026-09-30","","031-284-5056","","","경기도 용인시 기흥구 신갈동 70-2","경기도 용인시 기흥구 신갈로 46, 102호 (신갈동)","17064","새하얀약국","2026-04-01 10:06:25","U","2026-04-03 02:40:00","","209343.562704257","418771.025985811","67.99","20250328",
"13","약국","01_01_06_P","3520000","PHMD120213520019084000002","2021-01-21","","01","영업/정상","13","영업중","","","","","032-859-0206","","","인천광역시 연수구 송도동 311 랜드마크시티센트럴더샵","인천광역시 연수구 랜드마크로 68, 301동 206,241호 (송도동, 랜드마크시티센트럴더샵)","22018","랜드마크약국","2026-04-01 13:34:44","U","2026-04-03 02:40:00","","166239.007830646","434891.007675792","106.38","20210121",
"14","약국","01_01_06_P","3450000","PHMD120223450022084000004","2022-06-07","","01","영업/정상","13","영업중","","","","","053-262-7421","","","대구광역시 북구 태전동 1074-2","대구광역시 북구 칠곡중앙대로 332, B동 1층 (태전동)","41462","오약국","2026-04-01 09:46:02","U","2026-04-03 02:40:00","","339599.072448019","270557.686020147","39","20220607",
"15","약국","01_01_06_P","3110000","PHMD120223110032084000007","2022-05-06","","01","영업/정상","13","영업중","","","","","02-357-8889","","","서울특별시 은평구 진관동 63-1 플라이크 은평 W-205호","서울특별시 은평구 진관2로 15-13, 플라이크 은평 W-205호 (진관동)","03306","2층스타약국","2026-04-01 17:29:00","U","2026-04-03 02:40:00","","192715.837339125","459276.012735803","33.3","20220506",
"16","약국","01_01_06_P","3990000","PHMD120263990309084000002","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","경기도 남양주시 와부읍 도곡리 1036-22 1층 일부호","경기도 남양주시 와부읍 도곡길 13, 1층 일부호","12269","청아토 한약국","2026-04-02 11:44:05","I","2026-04-04 00:20:02","","219730.648401792","453097.356636052","112","20260402",
"17","약국","01_01_06_P","3780000","PHMD120263780064084000006","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","경기도 성남시 분당구 금곡동 210 코오롱트리폴리스1 상가동 211호","경기도 성남시 분당구 정자일로 1, 코오롱트리폴리스1 상가동 2층 211호 (금곡동)","13616","마음약국","2026-04-02 15:59:25","I","2026-04-04 00:20:02","","209268.321106193","427643.0746251","27.98","20260402",
"18","약국","01_01_06_P","3590000","PHMD120263590019084000002","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","광주광역시 동구 학동 868-4 해피뷰삼성메디타워","광주광역시 동구 남문로 689, 해피뷰삼성메디타워 1층 102호 (학동)","61464","더스마일 약국","2026-04-02 09:13:29","I","2026-04-04 00:20:02","","193391.477524096","181453.915599891","77.99","20260402",
"19","약국","01_01_06_P","3120000","PHMD120263120033084000001","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서대문구 창천동 18-55 즐거운빌딩","서울특별시 서대문구 연세로 10-1, 즐거운빌딩 8층 (창천동)","03779","지을약국","2026-04-02 09:11:10","I","2026-04-04 00:20:02","","194375.081073348","450469.851632072","26.4","20260401",
"20","약국","01_01_06_P","5710000","PHMD120195710106084000007","2019-04-29","","03","폐업","03","폐업","2026-04-01","","","","043-221-2135","","","충청북도 청주시 상당구 서문동 157번지 14호","충청북도 청주시 상당구 사직대로 346, 홈플러스 (서문동)","28524","플러스약국","2026-04-02 13:13:38","U","2026-04-04 02:40:00","","243392.101658257","348454.159533439","35.7","20190429",
"21","약국","01_01_06_P","4050000","PHMD120154050147084000005","2015-06-29","","01","영업/정상","13","영업중","","","","","031-335-9600","","449-924","경기도 용인시 처인구 김량장동 62번지 1호","경기도 용인시 처인구 백옥대로 1108 (김량장동)","17051","용광온누리약국","2026-04-02 17:20:07","U","2026-04-04 02:40:00","","218500.58273055","414756.17250811","235.79","20150629",
"22","약국","01_01_06_P","3490000","PHMD120173490019084000004","2017-04-26","","01","영업/정상","13","영업중","","","","","032-765-5826","","","","인천광역시 중구 참외전로 134-1 (인현동, 신세계약국,거상인력)","22318","신세계약국","2026-04-02 09:05:55","U","2026-04-04 02:40:00","","167374.571333333","441419.732666666","60","20170426",
