"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","일반창고동수","일반창고면적","냉동냉장창고동수","냉동냉장창고면적","보관장소면적","직원수","시설/장비현황","보관요율","법인여부명","업태보관및창고업","업태운송및택배업","업태판매업","업태제조업",
"1","물류창고업체","11_45_02_P","6290000","2023S62900000004","2023-09-08","","03","폐업","3","폐업","2026-02-28","","","","06215449898","","","광주광역시 남구 송하동 254-1 광주부품센터 1동","광주광역시 남구 송암로24번나길 54, 광주부품센터 1동 1층 (송하동)","61738","쿠팡로지스틱스서비스 유한회사","2026-03-03 08:04:01","U","2026-03-05 02:40:00","","188862.812100131","179337.547304141","1","2571","0","0","0","10","테이블리프트 2개","","개인","","1","","",
"2","물류창고업체","11_45_02_P","5700000","2017570004132500002","2017-11-29","","01","영업/정상","01","영업중","","","","","","","","경기도 여주시 대신면 천남리 225번지 1호","경기도 여주시 대신면 여양로 763, A동, D동","12611","(주)디에스브이컨트랙트로지스틱스","2026-03-03 10:41:54","U","2026-03-05 02:40:00","","256258.054787925","426749.958323713","2","12147.89","1","682.11","0","25","지게차, 냉장창고, 냉동창고","23000","법인","1","","","",
"3","물류창고업체","11_45_02_P","4050000","2022405051832500021","2022-09-16","","01","영업/정상","01","영업중","","","","","031-8036-9211","","","경기도 용인시 처인구 남사읍 북리 137","경기도 용인시 처인구 남사읍 당하로 114, 1,4층","17118","(주)디에스브이컨트랙트로지스틱스","2026-03-03 17:25:55","U","2026-03-05 02:40:00","","213398.697263433","404738.611456506","1","21919.39","0","0","0","120","파렛트랙, 충전식지게차 6대, 핸드자키 12대, 크린룸","","법인","1","","","",
"4","물류창고업체","11_45_02_P","5530000","2026553063432500002","2026-03-04","","01","영업/정상","01","영업중","","","","","","","","경기도 화성시 동탄구 방교동 802-3 상원로지스틱","경기도 화성시 동탄구 동탄산단3길 19-22, 상원로지스틱 (방교동)","18487","(주)디에스브이컨트랙트로지스틱스","2026-03-04 10:18:51","I","2026-03-06 00:20:02","","207369.985107375","406794.128232193","1","2889.26","0","0.00","0.","12","랙(rack) 설치, 충전식지게차 3대, 핸드자키 6대","","법인","1","1","","",
"5","물류창고업체","11_45_02_P","4020000","2024402027032500003","2024-08-16","","01","영업/정상","01","영업중","","","","","031-460-6400","","","경기도 군포시 부곡동 1230 한국복합물류(주) P동","경기도 군포시 번영로 82-29, 한국복합물류(주) P동 (부곡동)","15878","주식회사 디에스브이컨트랙트로지스틱스","2026-03-04 10:32:35","U","2026-03-06 02:40:00","","194514.911148826","425671.367152616","1","4995.1","0","0","0.00","23","팔레트랙, 메저닌 선반, 충전식 지게차, 핸드자키, 수식반송기, 화물엘리베이터","50000","법인","1","","","",
"6","물류창고업체","11_45_02_P","4080000","2020408020832500003","2020-02-17","","03","폐업","03","폐업","2026-03-05","","","","031-675-2226","","","경기도 안성시 죽산면 당목리 478번지 13호","경기도 안성시 죽산면 송문주로 219","17524","(주)리치개발","2026-03-04 17:10:08","U","2026-03-06 02:40:00","","239281.470395557","391940.797549608","0","0","2","33866.97","0","","","","법인","","","","",
"7","물류창고업체","11_45_02_P","4060000","2013406026632500010","2012-08-06","","01","영업/정상","01","영업중","","","","","","","","경기도 파주시 조리읍 능안리 201-5","경기도 파주시 조리읍 능안로231번길 51-11","10935","제이피(JP)로지스","2026-03-04 18:12:04","U","2026-03-06 02:40:00","","181077.850855267","470205.318742245","1","2704.66","0","0","0","1","지게차 2대, 정렬기 2대 보유","854","개인","1","","","",
"8","물류창고업체","11_45_02_P","4020000","2013402010832500018","2012-08-16","","01","영업/정상","01","영업중","","","","","031-460-6307","","","경기도 군포시 부곡동 1230 한국복합물류(주) L동","경기도 군포시 번영로 82-25, 한국복합물류(주) L동 (부곡동)","15878","주식회사 디에스브이컨트랙트로지스틱스","2026-03-04 10:37:58","U","2026-03-06 02:40:00","","194514.911148826","425671.367152616","1","11871","1","5013.40","0","106","렉,지게차","55000","법인","1","1","","",
"9","물류창고업체","11_45_02_P","5710000","2021571020432500001","2021-05-13","","01","영업/정상","01","영업중","","","","","043-271-9660","","","충청북도 청주시 청원구 오창읍 성산리 231-1 일산방직(주)","충청북도 청주시 청원구 오창읍 두릉유리로 688, 일산방직(주)","28107","(주)디에스브이컨트랙트로지스틱스","2026-03-04 10:43:54","U","2026-03-06 02:40:00","","236577.989985719","358714.898429142","1","3635.16","0","0","0","15","파레트랙, 충전식 지게차 3대, 핸드자키 7대","35000","법인","1","","","",
"10","물류창고업체","11_45_02_P","4060000","2024406051932500007","2024-12-23","","01","영업/정상","01","영업중","","","","","","","","경기도 파주시 조리읍 대원리 296-8","경기도 파주시 조리읍 대원로 95-5, 1층","10942","(주)에스티엘","2026-03-04 18:12:29","U","2026-03-06 02:40:00","","183232.499849051","469507.172429576","1","10731.604","0","0","0","40","랙 설치, 지게차(입식 3대, 좌식 1대)","","법인","","1","","",
