"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","출판사","04_17_01_P","3140000","CDFG1251002011000033","2010-07-08","","03","폐업","03","폐업","2026-01-30","","","","","","158-837","서울특별시 양천구 신월동 ***-* 두원아파트 A동 ***호","서울특별시 양천구 오목로**길 **-**, A동 ***층 (신월동, 두원아파트)","158-837","올댓컨텐츠","2026-02-01 17:25:29","U","2026-02-03 02:40:00","","186097.191017834","446913.085388227","출판사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"2","출판사","04_17_01_P","3410000","CDFG1251001995000010","1995-05-08","","03","폐업","03","폐업","2026-01-30","","","","421-6787","","700-823","대구광역시 중구 봉산동 ***-***","대구광역시 중구 명륜로**길 ** (봉산동)","700-823","매일기획","2026-02-01 15:27:41","U","2026-02-03 02:40:00","","344059.888164735","263604.280540154","출판사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"3","출판사","04_17_01_P","3230000","CDFG1251002011000021","2008-08-04","","03","폐업","03","폐업","2026-01-28","","","","02-2202-9552","","138-861","서울특별시 송파구 잠실동 ***-* 제***호","서울특별시 송파구 석촌호수로 **  (잠실동,제***호)","","더블유커뮤니케이션즈","2026-02-01 20:00:31","U","2026-02-03 02:40:00","","207481.22909778","445437.484849993","출판사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"4","출판사","04_17_01_P","3230000","CDFG1251002026000019","2014-01-02","","01","영업/정상","13","영업중","","","","","02-6931-3608","","","서울특별시 송파구 방이동 *** 웅산빌딩","서울특별시 송파구 백제고분로 ***, 웅산빌딩 *층 (방이동)","05550","(사)모심과살림연구소","2026-02-01 19:35:50","U","2026-02-03 02:40:00","","209892.748415508","445538.660265161","출판사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"5","출판사","04_17_01_P","4060000","CDFG1251002026000033","2026-02-02","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 동패동 **** ****동 ***호","경기도 파주시 양지로 ***, ****동 ***호 (동패동, 운정 하우스디 초롱꽃마을**단지)","10888","글렌","2026-02-02 16:29:52","I","2026-02-04 00:20:02","","175381.987334035","467248.492941547","출판사","출판인쇄업","0","","","55.92","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"6","출판사","04_17_01_P","4580000","CDFG1251002026000002","2026-02-02","","01","영업/정상","13","영업중","","","","","","","","충청남도 서천군 판교면 현암리 ***-*","충청남도 서천군 판교면 종판로 ***","33615","주식회사 시간","2026-02-02 14:30:41","I","2026-02-04 00:20:02","","171996.990292903","294867.327554675","출판사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"7","출판사","04_17_01_P","3540000","CDFG1251002026000011","2026-02-02","","01","영업/정상","13","영업중","","","","","","","","인천광역시 부평구 청천동 *** e편한세상부평그랑힐스","인천광역시 부평구 산청로 **, ***동 ****호 (청천동, e편한세상부평그랑힐스)","21303","아름다운 씨앗","2026-02-02 14:25:11","I","2026-02-04 00:20:02","","","","출판사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"8","출판사","04_17_01_P","3120000","CDFG1251002026000018","2026-02-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서대문구 영천동 ***","서울특별시 서대문구 독립문로 ** (영천동)","03734","도서출판삼공","2026-02-02 18:06:52","I","2026-02-04 00:20:02","","196437.618274112","451994.765264584","출판사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"9","출판사","04_17_01_P","4610000","CDFG1251002026000001","2026-02-02","","01","영업/정상","13","영업중","","","","","","","","충청남도 예산군 삽교읍 창정리 ***-**","충청남도 예산군 삽교읍 효창길 ***","32411","굼나제하우스","2026-02-02 14:27:31","I","2026-02-04 00:20:02","","172629.609314619","357530.551771506","출판사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"10","출판사","04_17_01_P","4610000","CDFG1251002026000002","2026-02-02","","01","영업/정상","13","영업중","","","","","","","","충청남도 예산군 삽교읍 두리 ***-*","충청남도 예산군 삽교읍 두리*길 **","32414","불교출판사 보림록","2026-02-02 14:31:20","I","2026-02-04 00:20:02","","176716.878588487","354148.288010064","출판사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"11","출판사","04_17_01_P","4641000","CDFG1251002026000011","2026-02-02","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 완산구 서신동 *** 동아한일아파트","전북특별자치도 전주시 완산구 새터로 **, ***동 ****호 (서신동, 동아한일아파트)","54945","리베출판","2026-02-02 15:37:50","I","2026-02-04 00:20:02","","210569.056551721","259585.480334469","출판사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
