"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","휴게실면적","사무실면적","탈의실면적","회원모집총인원","세부업종명","법인명",
"1","체력단련장업","10_42_01_P","3220000","CDFH3301062026000006","2026-02-02","","01","영업/정상","13","영업중","","","","","","163.86","","서울특별시 강남구 도곡동 417-7","서울특별시 강남구 논현로38길 32-11, 지하1층 (도곡동)","06296","알제이 스튜디오 주식회사","2026-02-02 09:12:43","I","2026-02-04 00:20:02","","203898.458853513","442525.776567355","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"2","체력단련장업","10_42_01_P","5020000","CDFH3301062026000002","2026-02-02","","01","영업/정상","13","영업중","","","","","","102","","경상북도 포항시 북구 장성동 1378-7 1층","경상북도 포항시 북구 장량로 55, 1층 (장성동)","37582","오프바디 PT스튜디오","2026-02-02 09:15:45","I","2026-02-04 00:20:02","","414892.381826171","289560.832596944","체력단련장업","사립","","1","0","926.77","0","0","0","0","","",
"3","체력단련장업","10_42_01_P","3670000","CDFH3301062026000002","2026-02-02","","01","영업/정상","13","영업중","","","","","","337.36","","대전광역시 유성구 용산동 611","대전광역시 유성구 테크노중앙로 126, 2층 (용산동)","34031","최영스포츠","2026-02-02 14:15:29","I","2026-02-04 00:20:02","","235513.095","324659.609999999","체력단련장업","사립","","1","0","2853.12","0","0","0","0","","",
"4","체력단련장업","10_42_01_P","4791000","CDFH3301062026000001","2026-02-02","","01","영업/정상","13","영업중","","","","","","181.32","","전북특별자치도 부안군 부안읍 봉덕리 602-2 생활체육교실","전북특별자치도 부안군 부안읍 봉동길 15-1, 생활체육교실","56314","비에이짐","2026-02-02 13:33:47","I","2026-02-04 00:20:02","","175898.706560477","246829.763169386","체력단련장업","사립","","1","0","181.32","0","0","0","0","","",
"5","체력단련장업","10_42_01_P","3070000","CDFH3301062026000002","2026-02-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 성북구 보문동4가 91-8 고려빌딩","서울특별시 성북구 보문로 66-1, 고려빌딩 2층 (보문동4가)","02859","쉼핏 PT STUDIO","2026-02-02 18:25:53","I","2026-02-04 00:20:02","","201855.184336051","453224.786478577","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"6","체력단련장업","10_42_01_P","5530000","CDFH3301062006000001","2006-05-02","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 만세구 우정읍 매향리 966","경기도 화성시 만세구 우정읍 기아자동차로 95","18571","기아스포츠센타","2026-01-30 13:24:15","I","2026-02-04 01:35:23","","178347.843007691","392918.701206768","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"7","체력단련장업","10_42_01_P","5530000","CDFH3301062008000001","2008-02-01","","03","폐업","03","폐업","2015-05-20","","","","235-5020","","445-390","경기도 화성시 병점구 진안동  914-6 9층","","","show 휘트니스","2015-05-20 11:12:01","I","2026-02-04 01:35:23","","203801.772098785","412595.107263151","체력단련장업","사립","0","0","0","0","0","0","0","0","","",
"8","체력단련장업","10_42_01_P","5530000","CDFH3301062001000002","2001-02-14","","04","취소/말소/만료/정지/중지","35","직권말소","2019-06-13","","","","(031)351-2616","","","경기도 화성시 만세구 우정읍 화산리 70-5 지하","","","카렌스스포츠센터","2019-06-13 18:26:22","I","2026-02-04 01:35:23","","182789.353386093","396727.676271746","체력단련장업","사립","","0","0","147.8","0","0","0","0","","",
"9","체력단련장업","10_42_01_P","5530000","CDFH3301062026000004","2026-01-29","","01","영업/정상","13","영업중","","","","","","531.36","","경기도 화성시 효행구 봉담읍 상리 690-4","경기도 화성시 효행구 봉담읍 상리3길 188, 505~509호","18309","그리드짐","2026-01-29 16:05:47","I","2026-02-04 01:35:23","","195204.945793044","413616.675435702","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"10","체력단련장업","10_42_01_P","5530000","CDFH3301062026000005","2026-01-29","","01","영업/정상","13","영업중","","","","","","534.54","","경기도 화성시 효행구 봉담읍 상리 690-4","경기도 화성시 효행구 봉담읍 상리3길 188, 501~504호호","18309","AK필라테스PT","2026-01-29 16:08:50","I","2026-02-04 01:35:23","","195204.945793044","413616.675435702","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"11","체력단련장업","10_42_01_P","3180000","CDFH3301062023000011","2023-08-07","","01","영업/정상","13","영업중","","","","","","697.9","","서울특별시 영등포구 당산동2가 165 한화포레나당산","서울특별시 영등포구 당산로 83 (당산동2가, 한화포레나당산)","07264","(주)에스웨이 피트니스 영등포구청점","2026-02-02 18:40:52","U","2026-02-04 02:40:00","","","","체력단련장업","사립","","2","0","0","0","0","0","0","","",
