"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","전문인력총수","자본금","시설장비","타기관이전여부",
"1","지하수시공업체","09_29_01_P","5220000","C001744110000927L00","1999-01-12","","01","영업/정상","1","영업","","","","","","","","경상북도 칠곡군 왜관읍 왜관리 571-2","경상북도 칠곡군 왜관읍 칠곡대로 1655","39901","대평건설㈜","2026-04-01 09:52:13","I","2026-04-03 00:20:02","","327509.60461623","276933.538937697","2","220000000","","1",
"2","지하수시공업체","09_29_01_P","5090000","C001756110010509L00","2026-04-01","","01","영업/정상","1","영업","","","","","","","","경상북도 영주시 상망동 469","경상북도 영주시 원당로 348 (상망동)","36065","수민건설(주)","2026-04-01 09:50:56","I","2026-04-03 00:20:02","","346522.73492569","371792.058067089","2","500000000","- 천공기(경북22고5118) 임대
- 지하수수위 측정기
- 수소이온농도,전기전도도 측정기","0",
"3","지하수시공업체","09_29_01_P","5100000","C001701110299843L00","2006-01-16","","01","영업/정상","1","영업","","","","","","","","경상북도 영천시 교촌동 294-3","경상북도 영천시 왕평길 46 (교촌동)","38844","지오인프라(주)","2026-04-01 14:05:12","U","2026-04-03 02:40:00","","373590.992272188","275734.97739617","2","200000000","","0",
"4","지하수시공업체","09_29_01_P","4641000","C002101110006968L00","1998-01-30","","01","영업/정상","1","영업","","","","","","","","전북특별자치도 전주시 완산구 효자동2가 1070-16","전북특별자치도 전주시 완산구 천잠로 227-47 (효자동2가, 전주대원룸)","55070","원천개발주식회사","2026-04-01 16:13:22","U","2026-04-03 02:40:00","","208121.922394448","256404.723723889","12","300000000","","0",
"5","지하수시공업체","09_29_01_P","4641000","C002113110009090L00","2023-03-07","","01","영업/정상","1","영업","","","","","","","","전북특별자치도 전주시 덕진구 호성동1가 175","전북특별자치도 전주시 덕진구 배미실마을길 9, 1층 (호성동1가)","","주식회사 지연테크","2026-04-01 16:21:25","U","2026-04-03 02:40:00","","214296.809248263","262546.086806801","2","200000000","","0",
"6","지하수시공업체","09_29_01_P","3670000","C001601110707179L00","2026-04-02","","01","영업/정상","1","영업","","","","","","","","대전광역시 유성구 대정동 555-1 (주)사계절푸드 2호","대전광역시 유성구 교촌대정로 202, (주)사계절푸드 2층 2호 (대정동)","34206","미래이엔지 주식회사","2026-04-02 16:23:39","I","2026-04-04 00:20:02","","227480.99189123","313166.325991988","2","309900000","천공기(JH-0095)","0",
"7","지하수시공업체","09_29_01_P","5200000","C001750110008960L00","2026-04-02","","01","영업/정상","1","영업","","","","","","","","경상북도 고령군 대가야읍 장기리 93-5","경상북도 고령군 대가야읍 장기공단1길 50","40142","광명건설(주)","2026-04-02 09:26:35","I","2026-04-04 00:20:02","","315282.592021043","248010.483071023","7","500000000","* 사무실 보유
* 장비(임차): 천공기 1대","0",
"8","지하수시공업체","09_29_01_P","4170000","C001343110002618L00","1998-03-30","","01","영업/정상","1","영업","","","","","","","","경기도 양평군 양평읍 도곡리 598-1","경기도 양평군 양평읍 경강로 2206","","용천개발(주)","2026-04-02 13:24:38","U","2026-04-04 02:40:00","","245955.204737456","443403.196557693","4","117000000","","0",
"9","지하수시공업체","09_29_01_P","3830000","C001101110659536L00","2017-05-15","","01","영업/정상","1","영업","","","","","","","","경기도 안양시 만안구 안양동 491-4","경기도 안양시 만안구 안양로 155 (안양동)","","동부엔지니어링(주)","2026-04-02 13:26:45","U","2026-04-04 02:40:00","","","","2","980000000","","0",
"10","지하수시공업체","09_29_01_P","5400000","C001901110072914L00","2022-05-25","","01","영업/정상","1","영업","","","","","","","","경상남도 함안군 군북면 사도리 1239-2 (주)대신에스앤비","경상남도 함안군 군북면 함안산단3길 24, (주)대신에스앤비 1층","","㈜대신에스앤비","2026-04-02 14:48:46","U","2026-04-04 02:40:00","","319796.185081658","200102.461353534","2","410000000","","0",
