"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1","부속의료기관","01_01_03_P","5530000","PHMA320065530021041300001","2006-01-03","","03","폐업","03","폐업","2009-02-15","","","","","","445-130","경기도 화성시 만세구 남양읍 장덕리 772-1","","","현대·기아자동차남양연구소부속의원","2009-02-16 13:46:57","I","2026-02-04 01:35:23","","183629.624815046","405905.580491458","부속의원","1","0","0","396","101 125 104 113 105 115 120","내과, 외과, 정형외과, 이비인후과, 비뇨의학과, 재활의학과, 응급의학과","","","","0","0","","","0","",
"2","부속의료기관","01_01_03_P","5530000","PHMA320145530021041300001","2014-01-28","","01","영업/정상","13","영업중","","","","","031-8096-0123","","445-330","경기도 화성시 병점구 반월동 948","경기도 화성시 병점구 삼성전자로 1-1 (반월동, 부품연구동)","18448","삼성전자(주) 부품연구동부속의원","2025-12-31 16:23:53","I","2026-02-04 01:35:23","","205820.890952409","413028.454932076","부속의원","7","0","0","482.6","101 114 103","내과, 정신건강의학과, 피부과","","","","0","0","","","0","",
"3","부속의료기관","01_01_03_P","3010000","PHMA320173010033041300001","2017-11-14","","01","영업/정상","13","영업중","","","","","02-6950-1688","","","","서울특별시 중구 을지로 100, A동 3층 301호 (을지로2가)","04551","신한카드부속의원","2026-01-30 02:13:18","U","2026-02-04 11:04:37","","198921.241301241","451495.985361171","부속의원","1","0","0","180.94","122","가정의학과","","","","0","0","","","0","",
"4","부속의료기관","01_01_03_P","3220000","PHMA320243220033041300001","2024-01-11","","01","영업/정상","13","영업중","","","","","-1599-9073","","","","서울특별시 강남구 테헤란로 427, 위워크타워 3층 (삼성동)","06159","메디스트림부속한의원","2026-01-30 02:13:35","U","2026-02-04 11:04:37","","204673.885419693","444906.38806611","부속의원","2","0","0","18.25","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"5","부속의료기관","01_01_03_P","3000000","PHMA320213000034041300003","2021-10-01","","01","영업/정상","13","영업중","","","","","02-3671-6891~2","","","서울특별시 종로구 세종로 100 KT 광화문 빌딩 West","서울특별시 종로구 세종대로 178, KT 광화문 빌딩 West 3층 (세종로)","03154","KT광화문부속의원","2026-01-30 03:13:25","U","2026-02-04 11:04:37","","197982.889600104","452206.123138933","부속의원","2","0","0","156.43","122","가정의학과","","","","0","0","","","0","",
"6","부속의료기관","01_01_03_P","3520000","PHMA320253520019041300001","2025-03-18","","01","영업/정상","13","영업중","","","","","032-728-3435","","","인천광역시 연수구 송도동 198-7 삼성바이오에피스","인천광역시 연수구 송도교육로 76, 삼성바이오에피스 바이오에피스 글로벌센터 본관동 2층 일부호 (송도동)","21987","삼성바이오에피스부속의원","2026-01-30 03:13:29","U","2026-02-04 11:04:37","","169826.093037404","429797.088629826","부속의원","1","0","0","209.5","122","가정의학과","","","","0","0","","","0","",
"7","부속의료기관","01_01_03_P","3200000","PHMA320113200033041300001","2011-08-29","","01","영업/정상","13","영업중","","","","","880-5338","","151-742","서울특별시 관악구 신림동 산 56번지 1호 서울대학교","서울특별시 관악구 관악로 1, 63동 3층 (신림동)","08826","서울대학교직장부속의원","2026-01-30 03:13:16","U","2026-02-04 11:04:37","","196139.864969792","439023.167125842","부속의원","16","0","0","1050","122 114 113 112 110 105 103 101","내과, 정신건강의학과, 정형외과, 산부인과, 안과, 이비인후과, 피부과, 가정의학과","","","","0","0","","","0","",
"8","부속의료기관","01_01_03_P","3230000","PHMA320143230034041300001","2014-07-18","","01","영업/정상","13","영업중","","","","","02-6155-0151","","","","서울특별시 송파구 올림픽로35길 125, B2층 (신천동)","05510","삼성에스디에스(주)부속의원","2026-01-30 02:13:32","U","2026-02-04 11:04:37","","208808.460094719","446014.471916419","부속의원","6","0","0","189","101 103 104 112 113 114 122","내과, 정신건강의학과, 외과, 안과, 이비인후과, 피부과, 가정의학과","","","","0","0","","","0","",
"9","부속의료기관","01_01_03_P","5680000","PHMA320064630020041300001","2006-11-29","","01","영업/정상","13","영업중","","","","","041-680-1436","","","충청남도 당진시 송악읍 고대리 167번지 32호 현대제철주식회사 한마음관   16동","충청남도 당진시 송악읍 북부산업로 1480, 현대제철주식회사","31719","현대제철㈜당진공장부속의원","2026-02-03 15:49:56","U","2026-02-07 02:40:00","","175667.163275009","386853.34778612","부속의원","9","0","0","151","101 104","내과, 외과","","","","0","0","","","0","",
"10","부속의료기관","01_01_03_P","5680000","PHMA320114630020041300001","2011-01-18","","01","영업/정상","13","영업중","","","","","041-680-6171","","343-712","충청남도 당진시 송산면 동곡리 350번지","충청남도 당진시 송산면 북부산업로 1480","31719","현대제철당진제철소제2부속의원","2026-02-03 15:52:54","U","2026-02-07 02:40:00","","173960.614401532","388305.450216613","부속의원","7","0","0","532.87","101 104","내과, 외과","","","","0","0","","","0","",
