번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업무구분명,상세업무구분명,권리주체일련번호,총직원수,Unnamed: 32,record_key
85,동물생산업,02_03_06_P,3610000,361000003720260001,2026-02-24,,1,영업/정상,0,정상,,,,,062-674-5977,0.0,,광주광역시 남구 주월동 ***-**,광주광역시 남구 서문대로 *** (주월동),61722,끌레르몽,2026-02-24 17:57:32,I,2026-02-26 00:20:08,,190548.662683653,181096.844691461,동물생산업,동물생산업,000,0,,끌레르몽_광주광역시남구주월동***-**
78,동물생산업,02_03_06_P,5190000,519000003720260001,2026-02-13,,1,영업/정상,0,정상,,,,,,0.0,,경상북도 청도군 화양읍 동천리 ***-*,"경상북도 청도군 화양읍 화양남산길 **, *층",38333,유창켄넬,2026-02-13 10:36:05,I,2026-02-15 00:20:02,,355125.425483385,239649.556022488,동물생산업,동물생산업,000,0,,유창켄넬_경상북도청도군화양읍동천리***-*
76,동물생산업,02_03_06_P,4761000,476100003720260001,2026-02-11,,1,영업/정상,0,정상,,,,,,0.0,,전북특별자치도 임실군 삼계면 학정리 ***,전북특별자치도 임실군 삼계면 학정*길 **-***,55947,레이디 퍼피,2026-02-11 10:48:24,I,2026-02-14 00:20:02,,220024.461605123,223561.632810403,동물생산업,동물생산업,000,0,,레이디퍼피_전북특별자치도임실군삼계면학정리***
8,동물생산업,02_03_06_P,4440000,444000003720260001,2026-02-04,,1,영업/정상,0,정상,,,,,,0.0,,충청북도 영동군 영동읍 임계리 ***-*,충청북도 영동군 영동읍 임계길 ***,29127,킴스펫,2026-02-04 12:57:04,I,2026-02-06 00:20:02,,275001.681043056,296973.804334519,동물생산업,동물생산업,000,0,,킴스펫_충청북도영동군영동읍임계리***-*
9,동물생산업,02_03_06_P,4440000,444000003720260002,2026-02-04,,1,영업/정상,0,정상,,,,,,0.0,,충청북도 영동군 영동읍 임계리 ***-*,충청북도 영동군 영동읍 임계길 ***,29127,MY&DREAM,2026-02-04 13:06:59,I,2026-02-06 00:20:02,,,,동물생산업,동물생산업,000,0,,MY&DREAM_충청북도영동군영동읍임계리***-*
1,동물생산업,02_03_06_P,3910000,391000003720260001,2026-02-02,,1,영업/정상,0,정상,,,,,,0.0,,경기도 평택시 신장동 ***-**,"경기도 평택시 목천로**번길 **-*, ***호 (신장동)",17752,랄라스윗캐터리,2026-02-02 09:57:43,I,2026-02-04 00:20:02,,204711.38036944,398022.558614021,동물생산업,동물생산업,000,0,,랄라스윗캐터리_경기도평택시신장동***-**
89,동물생산업,02_03_06_P,5670000,567000003720250001,2025-02-21,,1,영업/정상,0,정상,,,,,,0.0,,경상남도 창원시 마산합포구 구산면 구복리 ***-**,경상남도 창원시 마산합포구 구산면 장구길 **,51783,먼치킨 렉돌 캐터리,2026-02-24 18:33:25,U,2026-02-26 02:40:00,,342692.706644047,176793.15368599,동물생산업,동물생산업,000,0,,먼치킨렉돌캐터리_경상남도창원시마산합포구구산면구복리***-**
90,동물생산업,02_03_06_P,4191000,419100003720240002,2024-12-20,,4,취소/말소/만료/정지/중지,4,말소,2026-02-24,,,,,0.0,,강원특별자치도 원주시 호저면 만종리 ***-*,"강원특별자치도 원주시 호저면 우무개로 ***, ***호",26349,위아더햄,2026-02-24 13:58:17,U,2026-02-26 02:40:00,,280997.364897135,429432.403939127,동물생산업,동물생산업,000,0,,위아더햄_강원특별자치도원주시호저면만종리***-*
83,동물생산업,02_03_06_P,6520000,652000003720240002,2024-07-15,,3,폐업,2,폐업,2026-02-23,,,,,0.0,,제주특별자치도 서귀포시 남원읍 신흥리 ****,제주특별자치도 서귀포시 남원읍 태수로***번길 ***-**,63616,하리네 하우스,2026-02-23 09:51:41,U,2026-02-25 02:40:00,,176093.536985975,-21101.1765405458,동물생산업,동물생산업,000,0,,하리네하우스_제주특별자치도서귀포시남원읍신흥리****
36,동물생산업,02_03_06_P,4390000,439000003720240001,2024-03-18,,1,영업/정상,0,정상,,,,,,0.0,,충청북도 충주시 중앙탑면 하구암리 **-*,충청북도 충주시 중앙탑면 묘곡*길 **-*,27448,한스버드독,2026-02-10 17:39:54,U,2026-02-12 02:40:00,,275227.486509494,392640.30682476,동물생산업,동물생산업,000,0,,한스버드독_충청북도충주시중앙탑면하구암리**-*
