번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총직원수,본사직원수,공장사무직직원수,공장판매직직원수,공장생산직직원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지,Unnamed: 47,record_key
1083,휴게음식점,07_24_05_P,3240000,3240000-104-2026-00034,2026-03-05,,1,영업/정상,1,영업,,,,,,,134-803,서울특별시 강동구 고덕동 353-23 강동 아이파크 더리버,"서울특별시 강동구 고덕비즈밸리로 51, 강동 아이파크 더리버 지1층 (고덕동)",5203.0,너구리베이글 한시적,2026-03-05 09:20:21,I,2026-03-07 00:20:02,기타 휴게음식점,213847.923700142,451564.469961363,기타 휴게음식점,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,0.0,,,,,너구리베이글한시적_서울특별시강동구고덕동353-23강동아이파크더리버
1132,휴게음식점,07_24_05_P,3940000,3950000-104-2026-00035,2026-03-05,,1,영업/정상,1,영업,,,,,,22.5,412-090,경기도 고양시 덕양구 동산동 370 스타필드 고양 2층 일부호,"경기도 고양시 덕양구 고양대로 1955, 스타필드 고양 2층 일부호 (동산동)",10595.0,포레포레 스타필드고양점,2026-03-05 14:38:11,I,2026-03-07 00:20:02,커피숍,190645.314309928,460528.947974088,커피숍,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,22.5,,,,,포레포레스타필드고양점_경기도고양시덕양구동산동370스타필드고양2층일부호
1101,휴게음식점,07_24_05_P,4800000,4800000-104-2026-00012,2026-03-05,,1,영업/정상,1,영업,,,,,,53.6,530-830,전라남도 목포시 석현동 1173 케이디빌리앙뜨,"전라남도 목포시 옥암로 174, 상가동 103호 (석현동, 케이디빌리앙뜨)",58656.0,와플대학목포석현캠퍼스,2026-03-05 11:46:45,I,2026-03-07 00:20:02,기타 휴게음식점,147156.091974009,146334.48023433,기타 휴게음식점,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,53.6,,,,,와플대학목포석현캠퍼스_전라남도목포시석현동1173케이디빌리앙뜨
1102,휴게음식점,07_24_05_P,4671000,4671000-104-2026-00030,2026-03-05,,1,영업/정상,1,영업,,,,,,19.04,,전북특별자치도 군산시 수송동 444-22 1층 1호,"전북특별자치도 군산시 축동안길 53-1, 1층 1호 (수송동)",54089.0,백년분식,2026-03-05 10:59:36,I,2026-03-07 00:20:02,일반조리판매,174112.089413318,274279.079059625,일반조리판매,0.0,0.0,,,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,19.04,,,,,백년분식_전북특별자치도군산시수송동444-221층1호
1103,휴게음식점,07_24_05_P,3050000,3050000-104-2026-00038,2026-03-05,,1,영업/정상,1,영업,,,,,,10.5,130-800,서울특별시 동대문구 답십리동 2-22,"서울특별시 동대문구 답십리로 228, 1층 (답십리동)",2610.0,이베트(yvette),2026-03-05 14:25:06,I,2026-03-07 00:20:02,커피숍,205729.084124763,452260.124376459,커피숍,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,10.5,,,,,이베트(yvette)_서울특별시동대문구답십리동2-22
1105,휴게음식점,07_24_05_P,3420000,3420000-104-2026-00048,2026-03-05,,1,영업/정상,1,영업,,,,,,33.0,701-815,대구광역시 동구 신암동 214-12 궁전라벤더,"대구광역시 동구 아양로 52, 궁전라벤더 1층 (신암동)",41208.0,나이스나스커피(레프트뱅크),2026-03-05 15:27:17,I,2026-03-07 00:20:02,기타 휴게음식점,346211.104023376,265821.274779321,기타 휴게음식점,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,33.0,,,,,나이스나스커피(레프트뱅크)_대구광역시동구신암동214-12궁전라벤더
1106,휴게음식점,07_24_05_P,3710000,3710000-104-2026-00010,2026-03-05,,1,영업/정상,1,영업,,,,,,3.3,682-829,울산광역시 동구 방어동 1152-1,"울산광역시 동구 화문로 42, 1층 (방어동)",44100.0,씨유 방어문헌점,2026-03-05 15:22:15,I,2026-03-07 00:20:02,편의점,418987.341902568,223176.135661786,편의점,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,3.3,,,,,씨유방어문헌점_울산광역시동구방어동1152-1
1107,휴게음식점,07_24_05_P,4050000,5630000-104-2026-00035,2026-03-05,,1,영업/정상,1,영업,,,,,,93.2,446-858,경기도 용인시 기흥구 보정동 1264-2,"경기도 용인시 기흥구 죽전로 30, 지1층 일부호 (보정동)",16898.0,용인시기흥노인복지관 카페 미르,2026-03-05 14:01:03,I,2026-03-07 00:20:02,일반조리판매,209906.962063392,424205.80012918,일반조리판매,0.0,0.0,,,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,93.2,,,,,용인시기흥노인복지관카페미르_경기도용인시기흥구보정동1264-2
1108,휴게음식점,07_24_05_P,4050000,5640000-104-2026-00055,2026-03-05,,1,영업/정상,1,영업,,,,,,30.44,448-130,경기도 용인시 수지구 상현동 1131-1 102호,"경기도 용인시 수지구 광교중앙로 316, 1층 102호 (상현동)",16943.0,카페 헬씨(cafe Health.y),2026-03-05 15:20:23,I,2026-03-07 00:20:02,커피숍,206126.521817673,421797.313400084,커피숍,0.0,0.0,,,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,30.44,,,,,카페헬씨(cafeHealth.y)_경기도용인시수지구상현동1131-1102호
1109,휴게음식점,07_24_05_P,3820000,3820000-104-2026-00059,2026-03-05,,1,영업/정상,1,영업,,,,,,,480-010,"경기도 의정부시 의정부동 168-54 의정부민자역사(경원선, 교외선)","경기도 의정부시 평화로 525, 의정부신세계백화점 지상3층 (의정부동)",11696.0,주바른(한시적),2026-03-05 10:15:27,I,2026-03-07 00:20:02,일반조리판매,204011.301931196,470564.015529834,일반조리판매,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,0.0,,,,,"주바른(한시적)_경기도의정부시의정부동168-54의정부민자역사(경원선,교외선)"
