"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자산규모","부채총액","자본금","판매방식명",
"1","방문판매업","08_26_02_P","4681000","2026468110523200001","2026-02-01","","01","영업/정상","01","정상영업","","","","","063-862-0600","","","전북특별자치도 익산시 함열읍 다송리 ***","전북특별자치도 익산시 함열읍 익산대로**길 ***, *층","54526","주식회사 하림산업","2026-02-01 17:19:34","I","2026-02-03 00:20:01","","196119.787390052","281036.467954037","1045748970000","725692970000","119901004000","",
"2","방문판매업","08_26_02_P","4520000","2021452034623200165","2021-03-11","","03","폐업","03","폐업처리","2026-02-02","","","","041-545-3661","","","충청남도 아산시 용화동 *** (주)월산마트","충청남도 아산시 시민로 ***, (주)월산마트 (용화동)","31569","아모레퍼시픽(아산제일특약점)","2026-02-01 10:26:28","U","2026-02-03 02:40:00","","199613.104821685","363842.22627802","0","0","0","",
"3","방문판매업","08_26_02_P","3060000","2026306021523200006","2026-02-02","","01","영업/정상","01","정상영업","","","","","02-974-4249","","","서울특별시 중랑구 묵동 ***-** 위더스빌 *층 ***-*호","서울특별시 중랑구 동일로 ***, *층 ***-*호 (묵동, 위더스빌)","02033","기아묵동대리점","2026-02-02 15:28:15","I","2026-02-04 00:20:02","","206741.298813322","456917.283812043","0","0","0","",
"4","방문판매업","08_26_02_P","3940000","2026395005223200002","2023-06-20","","01","영업/정상","01","정상영업","","","","","1600-4470","","","경기도 고양시 덕양구 동산동 ***","경기도 고양시 덕양구 동축로 **, 현대프리미어캠퍼스지축역지식산업센터 *층 비-에이-**-**, **, **, **, **, **호 (동산동)","10594","주식회사 지에이티글로벌","2026-02-02 10:59:33","I","2026-02-04 00:20:02","","192051.385343101","460456.083031534","2373809660","1401588740","110000000","",
"5","방문판매업","08_26_02_P","3070000","2026307029923200001","2024-04-22","","01","영업/정상","01","정상영업","","","","","02-1688-8052","","","서울특별시 성북구 석관동 ***-* *층 ***~***호","서울특별시 성북구 화랑로 ***, *층 ***~***호 (석관동)","02783","주식회사 라이피스","2026-02-02 15:39:48","I","2026-02-04 00:20:02","","205083.452411454","456548.519056615","520000000","20000000","500000000","",
"6","방문판매업","08_26_02_P","4820000","2026482033723200002","2026-01-30","","01","영업/정상","01","정상영업","","","","","061-908-1300","","","전라남도 순천시 장천동 ***","전라남도 순천시 시민로 **, *층 (장천동)","57956","주식회사 에이치에스네이처코리아","2026-02-02 14:38:22","I","2026-02-04 00:20:02","","244339.81466242","161539.899675293","1000000","0","1000000","",
"7","방문판매업","08_26_02_P","3600000","2026360023723200002","2026-02-02","","01","영업/정상","01","정상영업","","","","","","","","광주광역시 서구 농성동 ***-*","광주광역시 서구 대남대로 ***, *층 ***호 (농성동)","61927","주식회사 아임바이오","2026-02-02 14:23:45","I","2026-02-04 00:20:02","","189711.68822798","183419.711910985","50000000","0","50000000","",
"8","방문판매업","08_26_02_P","3600000","2026360023723200003","2026-02-02","","01","영업/정상","01","정상영업","","","","","","","","광주광역시 서구 쌍촌동 ** 광명하이츠타운","광주광역시 서구 내방로***번길 **, ***동 **층 **호 (쌍촌동, 광명하이츠타운)","61943","수니르","2026-02-02 14:44:38","I","2026-02-04 00:20:02","","187776.482770156","184506.436460684","0","0","0","",
"9","방문판매업","08_26_02_P","3860000","2026388100623200001","2026-02-02","","01","영업/정상","01","정상영업","","","","","","","","경기도 부천시 소사구 송내동 ***-** ***호","경기도 부천시 소사구 송내대로**번길 **, ***호 (송내동)","14720","주식회사 아가톡플러스골드","2026-02-02 14:36:13","I","2026-02-04 00:20:02","","178258.619202356","442817.496171261","10000000","0","10000000","",
"10","방문판매업","08_26_02_P","5070000","2026507028623200001","2026-02-02","","01","영업/정상","01","정상영업","","","","","","","","경상북도 안동시 평화동 **-**","경상북도 안동시 평화*길 **, *층 (평화동)","36653","탐나김치(리쏘드 안동총판)","2026-02-02 16:47:06","I","2026-02-04 00:20:02","","353668.569463642","342270.414228771","0","0","0","",
"11","방문판매업","08_26_02_P","5070000","2026507028623200002","2016-06-03","","01","영업/정상","01","정상영업","","","","","","","","경상북도 안동시 풍산읍 상리리 ***-**","경상북도 안동시 풍산읍 풍산중앙길 ***, *층","36621","그린","2026-02-02 17:52:26","I","2026-02-04 00:20:02","","341128.924634962","343062.868406984","0","0","0","",
"12","방문판매업","08_26_02_P","3230000","2026323029123200004","2026-01-29","","01","영업/정상","01","정상영업","","","","","02-6954-1317","","","서울특별시 송파구 문정동 *** 에이치비지니스파크","서울특별시 송파구 법원로**길 **, 에이치비지니스파크 비동 **층 ****호 (문정동)","05836","주식회사 케이에스레저산업","2026-02-02 12:28:07","I","2026-02-04 00:20:02","","","","146641264","44117868","20000000","",
"13","방문판매업","08_26_02_P","3740000","2023376003423200005","2023-08-02","","03","폐업","03","폐업처리","2026-01-30","","","","","","","경기도 수원시 권선구 호매실동 **** 한양수자인파크원","경기도 수원시 권선구 칠보로 ***, ***동 ***호 (호매실동, 한양수자인파크원)","16401","엘뤼프퀸","2026-02-02 14:35:49","U","2026-02-04 02:40:00","","195600.425167617","418073.31072479","0","0","0","",
"14","방문판매업","08_26_02_P","4181000","2021418034923200002","2021-02-01","","01","영업/정상","01","정상영업","","","","","242-4413","","","강원특별자치도 춘천시 우두동 ***-*","강원특별자치도 춘천시 충열로 *, *층 ***호 (우두동)","24226","당근통신","2026-02-02 14:39:06","U","2026-02-04 02:40:00","","264088.531796944","488970.145377082","0","0","100000000","",
"15","방문판매업","08_26_02_P","3540000","2019354013723200022","2019-06-21","","03","폐업","03","폐업처리","2026-02-03","","","","","","","인천광역시 부평구 부평동 ***번지 **호 파크에비뉴","인천광역시 부평구 주부토로**번길 **, 파크에비뉴 ****호 (부평동)","21359","시프트인터내셔날(shift international)","2026-02-02 16:34:39","U","2026-02-04 02:40:00","","175437.002340835","444367.03393149","0","0","0","",
"16","방문판매업","08_26_02_P","3290000","2022329014423200009","2020-05-15","","01","영업/정상","01","정상영업","","","","","","","","부산광역시 부산진구 전포동 ***-* 한신밴","부산광역시 부산진구 동천로 ***, 한신밴오피스텔 지하*층 ***-*호 (전포동)","47247","뉴톤보청기 서면지사","2026-02-02 10:32:54","U","2026-02-04 02:40:00","","387869.134317928","186381.28184674","0","0","0","",
"17","방문판매업","08_26_02_P","5670000","2026567057423200001","2016-05-20","","01","영업/정상","01","정상영업","","","","","","","","경상남도 창원시 진해구 마천동 ** 에프엠빌딩 ***호","경상남도 창원시 진해구 마천로**번길 *, ***호 (마천동)","51598","이레유통","2026-02-02 09:01:38","U","2026-02-04 02:40:00","","362631.736436742","182155.509858566","0","0","0","",
"18","방문판매업","08_26_02_P","4820000","2026482033723200001","2026-01-06","","01","영업/정상","01","정상영업","","","","","","","","전라남도 순천시 저전동 ***-* 궁전웨딩홀, 뷔페","전라남도 순천시 중앙로 **, 궁전웨딩홀, 뷔페 (저전동)","57957","코카리스","2026-02-02 14:12:17","U","2026-02-04 02:40:00","","244203.879859736","161317.885939715","0","0","0","",
