"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","수리대상 의료기기의 유형","다른 겸업 여부","총규모","영업규모",
"1","의료기기수리업","01_02_02_P","3990000","PHMG320263990309047400001","2019-09-16","","01","영업/정상","13","영업중","","","","","031-553-7776","","","경기도 남양주시 다산동 6205-2","경기도 남양주시 다산지금로36번길 21-8, 트윈타워 B동 301~304호 (다산동)","12284","엘지전자㈜구리서비스센터","2026-02-02 17:23:52","I","2026-02-04 00:20:02","","214984.981840514","456209.725418647","","","","",
"2","의료기기수리업","01_02_02_P","3590000","PHMG320233590019047400001","2023-07-12","","03","폐업","03","폐업","2025-09-30","","","","062-234-0427","","","광주광역시 동구 학동 112","광주광역시 동구 제봉로 37-1, 1층 (학동)","61489","광주 보청기","2026-01-30 10:23:30","U","2026-02-04 11:04:37","","192690.022956927","182536.184133372","","","","",
"3","의료기기수리업","01_02_02_P","3350000","PHMG320123350024047400002","2012-08-09","","03","폐업","03","폐업","2026-01-30","","","","","","609-843","부산광역시 금정구 청룡동 126번지 1호","부산광역시 금정구 놀이마당로 32, 1층 (청룡동)","46201","현메디칼","2026-01-30 16:17:55","U","2026-02-04 11:04:37","","389615.348832719","199498.092856905","","","","",
"4","의료기기수리업","01_02_02_P","4191000","PHMG320054191050047400001","2005-06-22","","01","영업/정상","13","영업중","","","","","033-744-8332","","","강원특별자치도 원주시 단계동 921-5","강원특별자치도 원주시 이화4길 35 (단계동)","26474","계림메디칼","2026-02-03 11:05:46","I","2026-02-06 00:20:02","","282562.167994724","426907.955662528","","","","",
"5","의료기기수리업","01_02_02_P","4191000","PHMG320114191050047400001","2011-03-10","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 평원동 216-1","강원특별자치도 원주시 중평길 69-3 (평원동)","26430","중앙의료기","2026-02-03 16:58:20","I","2026-02-06 00:20:02","","284309.401170197","428128.276246893","","","","",
"6","의료기기수리업","01_02_02_P","4191000","PHMG320114191050047400002","2011-10-10","","01","영업/정상","13","영업중","","","","","033-764-1364","","","강원특별자치도 원주시 중앙동 114-18","강원특별자치도 원주시 중평길 4, 중앙빌딩 2층 (중앙동)","26428","금강디지털보청기 병원사업부","2026-02-03 10:35:45","I","2026-02-06 00:20:02","","284104.793335059","427879.616554239","","","","",
"7","의료기기수리업","01_02_02_P","4191000","PHMG320114191050047400003","2011-11-17","","01","영업/정상","13","영업중","","","","","033-744-1007","","","강원특별자치도 원주시 중앙동 60-54","강원특별자치도 원주시 원일로 112-1, 2층 (중앙동)","26428","독일지멘스 보청기 중앙점","2026-02-03 13:43:03","I","2026-02-06 00:20:02","","283997.616947783","427960.882701915","","","","",
"8","의료기기수리업","01_02_02_P","4181000","PHMG320214180029047400002","2021-06-30","","03","폐업","03","폐업","2026-02-04","","","","","","","강원특별자치도 춘천시 석사동 311-5","강원특별자치도 춘천시 공지로 133(석사동)","24389","주식회사 위니아서비스춘천점","2026-02-04 16:14:48","U","2026-02-06 02:40:00","","265599.154602506","484186.366387599","","","","",
"9","의료기기수리업","01_02_02_P","3020000","PHMG320253020033047400001","2025-11-03","","01","영업/정상","13","영업중","","","","","02-3451-4319","","","서울특별시 용산구 한남동 714 일신빌딩","서울특별시 용산구 한남대로 98, 일신빌딩 4층 (한남동)","04418","(유)짐머바이오메트코리아","2026-02-03 15:53:51","U","2026-02-06 02:40:00","","200423.418748471","448324.779015334","","","","",
"10","의료기기수리업","01_02_02_P","3230000","PHMG320253230034047400003","2010-05-19","","01","영업/정상","13","영업중","","","","","070-8855-6985~6","","","서울특별시 송파구 장지동 875 서울복합물류","서울특별시 송파구 송파대로 55, 서울복합물류 A동 305호 (장지동)","05842","스테리스솔루션즈코리아 유한회사","2026-02-04 10:00:35","U","2026-02-06 02:40:00","","","","","","","",
