"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수","사업자등록번호",
"1","수질오염원설치시설(기타)","09_30_12_P","5440000","544000025202600002","2026-04-01","","01","영업/정상","11","영업","","","","","","","","경상남도 하동군 금남면 중평리 139-2","경상남도 하동군 금남면 중평해안길 72","52351","영빈수산","2026-04-01 15:31:23","I","2026-04-03 00:20:02","","282579.209323991","164539.840386752","기타수질오염원관리","","","","","0","","0","1909800105",
"2","수질오염원설치시설(기타)","09_30_12_P","5440000","544000025202600003","2026-04-01","","01","영업/정상","11","영업","","","","","","","","경상남도 하동군 금남면 중평리 139-2","경상남도 하동군 금남면 중평해안길 72","52351","신광동수산","2026-04-01 15:31:25","I","2026-04-03 00:20:02","","282579.209323991","164539.840386752","기타수질오염원관리","","","","","0","","0","2649800496",
"3","수질오염원설치시설(기타)","09_30_12_P","5340000","534000025202600001","2026-04-01","","01","영업/정상","11","영업","","","","","","","","경상남도 사천시 사남면 초전리 1977 성원기업","경상남도 사천시 사남면 해안산업로 447, 성원기업","52535","이엔디이(주)-성원기업현장","2026-04-01 10:26:56","I","2026-04-03 00:20:02","","295027.388688602","173957.603091148","기타수질오염원관리","","","","","0","","0","6098161031",
"4","수질오염원설치시설(기타)","09_30_12_P","3230000","323000025202600001","2026-04-01","","01","영업/정상","11","영업","","","","","02-6097-9097","","","서울특별시 송파구 신천동 17-6","서울특별시 송파구 올림픽로 329, 지하층 134호 (신천동)","05509","리뷰(Re;view)","2026-04-01 16:09:40","I","2026-04-03 00:20:02","","209393.076054654","446147.977949052","기타수질오염원관리","","","","","0","","0","6182812387",
"5","수질오염원설치시설(기타)","09_30_12_P","4800000","480000025202600003","2026-04-01","","01","영업/정상","11","영업","","","","","061-274-5503","","","전라남도 목포시 대양동 1176-5","전라남도 목포시 대양산단로125번길 184 (대양동)","58600","대천맛김 주식회사","2026-04-01 14:13:15","I","2026-04-03 00:20:02","","144075.317733942","148477.303111572","기타수질오염원관리","","","","","0","","0","3138128223",
"6","수질오염원설치시설(기타)","09_30_12_P","5110000","511000025202600001","2026-04-01","","01","영업/정상","11","영업","","","","","","","","경상북도 상주시 함창읍 오동리 4","","","함창자동차검사정비","2026-04-01 14:41:15","I","2026-04-03 00:20:02","자동차 종합 수리업","307092.820701446","341838.17203138","기타수질오염원관리","자동차 종합 수리업","","","","0","","0","",
"7","수질오염원설치시설(기타)","09_30_12_P","3940000","394000025202600007","2026-04-01","","01","영업/정상","11","영업","","","","","","","","경기도 고양시 일산동구 장항동 544-23 나동","경기도 고양시 일산동구 장대길 160-56, 나동 (장항동)","10428","RS커스텀","2026-04-01 09:09:55","I","2026-04-03 00:20:02","","179000.716772926","460151.349680508","기타수질오염원관리","","","","","0","","0","",
"8","수질오염원설치시설(기타)","09_30_12_P","4010000","401000025202600001","2026-04-01","","01","영업/정상","11","영업","","","","","031-312-3334","","","경기도 시흥시 신천동 863-20 (주)오일텍","경기도 시흥시 신천로25번길 18 (주)오일텍 (신천동)","14952","(주)시흥스카이모터스","2026-04-01 14:26:44","I","2026-04-03 00:20:02","","181199.666837004","436784.147969518","기타수질오염원관리","","","","","0","","0","8988100750",
"9","수질오염원설치시설(기타)","09_30_12_P","5590000","559000025202600003","2026-04-01","","01","영업/정상","11","영업","","","","","","","","경기도 양주시 남면 상수리 118-2","","","석천산업","2026-04-01 08:14:55","I","2026-04-03 00:20:02","","199738.503071258","485299.458826777","기타수질오염원관리","","","","","0","","0","2100471866",
"10","수질오염원설치시설(기타)","09_30_12_P","6310000","631000007199500004","2026-04-01","","01","영업/정상","01","영업","","","","","0522028906","","","울산광역시 동구 전하동 1번지","울산광역시 동구 방어진순환도로 1000 (전하동)","44032","에이치디현대중공업(주)","2026-04-01 18:18:31","U","2026-04-03 02:40:00","","421219.235781497","226711.641285437","기타수질오염원관리","","","","","0","","0","2528701412",
