번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업내용,Unnamed: 29,record_key
242,옥외광고업,04_15_01_P,3020000,2026302014008500001,2026-02-26,,1,영업/정상,20,정상,,,,,,,,서울특별시 용산구 동자동 ** 센트레빌아스테리움서울,"서울특별시 용산구 한강대로 ***, **층 (동자동, 센트레빌아스테리움서울)",04323,(주)씨제이올리브영,2026-02-25 15:21:11,I,2026-02-27 00:20:02,,197563.069805939,449934.157783456,"옥외매체 구독 및 광고사업, 옥외광고 대행 등",,(주)씨제이올리브영_서울특별시용산구동자동**센트레빌아스테리움서울
254,옥외광고업,04_15_01_P,3600000,2026360022308500002,2026-02-26,,1,영업/정상,20,정상,,,,,,,,광주광역시 서구 치평동 ****-* 중흥에스-클래스스카이**,"광주광역시 서구 시청로 **, *층 ***호 (치평동, 중흥에스-클래스스카이**)",61947,유한회사 빅토파트너스,2026-02-26 21:21:51,I,2026-02-28 00:20:02,,186340.530492606,184273.867218005,"광고대행업(기념품,관광 민예품 및 장식용품 소매업), 분양대행업
시각,편집,제품 디자인업",,유한회사빅토파트너스_광주광역시서구치평동****-*중흥에스-클래스스카이**
257,옥외광고업,04_15_01_P,4331000,2012433005508500001,2026-02-26,,1,영업/정상,20,정상,,,,,033 462 1135,,,강원특별자치도 인제군 기린면 현리 ***-*,"강원특별자치도 인제군 기린면 기린로 **-*, *층",24659,대성광고,2026-02-26 11:25:54,U,2026-02-28 02:40:00,,315702.190108029,495500.278870219,옥외광고제조업,,대성광고_강원특별자치도인제군기린면현리***-*
253,옥외광고업,04_15_01_P,3600000,2026360022308500001,2026-02-26,,1,영업/정상,20,정상,,,,,0624560341,,,광주광역시 서구 화정동 ***-**,광주광역시 서구 화운로 *** (화정동),61987,드림디자인,2026-02-26 21:04:52,I,2026-02-28 00:20:02,,188854.196422997,183401.859121492,"광고기획, 광고제작, 광고디지인",,드림디자인_광주광역시서구화정동***-**
258,옥외광고업,04_15_01_P,5350000,2017535015408500007,2026-02-26,,1,영업/정상,20,정상,,,,,,,,경상남도 김해시 구산동 ****-*,경상남도 김해시 김해대로 **** (구산동),50884,(주)도시로,2026-02-26 09:11:42,U,2026-02-28 02:40:00,,369926.021117226,196085.344409348,"게시대 옥외광고, 승강장 옥외광고, 옥외광고 간판 등",,(주)도시로_경상남도김해시구산동****-*
239,옥외광고업,04_15_01_P,3420000,2026342017808500005,2026-02-25,,1,영업/정상,20,정상,,,,,,,,,대구광역시 동구 안심로**길 ** (괴전동),41092,펭귄디자인,2026-02-25 17:46:46,I,2026-02-27 00:20:02,,356593.610191669,264485.756601361,,,펭귄디자인_
240,옥외광고업,04_15_01_P,3300000,2026330012708500004,2026-02-25,,1,영업/정상,20,정상,,,,,,,,부산광역시 동래구 명장동 **-***,"부산광역시 동래구 반송로 ***, *층 (명장동)",47752,PR기획,2026-02-25 11:17:10,I,2026-02-27 00:20:02,,391233.501963643,191433.64772843,옥외광고업,,PR기획_부산광역시동래구명장동**-***
246,옥외광고업,04_15_01_P,4060000,2026406047208500009,2026-02-25,,1,영업/정상,20,정상,,,,,,,,,"경기도 파주시 책향기숲길 **-*, ***호 (동패동)",10885,민규간판,2026-02-25 11:30:00,I,2026-02-27 00:20:02,,174790.911847026,468586.80231763,"옥외광고물 제작, 설치",,민규간판_
241,옥외광고업,04_15_01_P,3930000,2026393050008500003,2026-02-25,,1,영업/정상,20,정상,,,,,,,,경기도 안산시 단원구 신길동 **** 리드 스마트스퀘어 지식산업센터 ***호,"경기도 안산시 단원구 산단로 ***, 리드 스마트스퀘어 지식산업센터 ***호 (신길동)",15426,주식회사 파라디,2026-02-25 11:33:09,I,2026-02-27 00:20:02,,180878.941038538,424612.422892591,광고간판제작,,주식회사파라디_경기도안산시단원구신길동****리드스마트스퀘어지식산업센터***호
249,옥외광고업,04_15_01_P,3530000,2024353025208500008,2026-02-25,,1,영업/정상,20,정상,,,,,,,,인천광역시 남동구 간석동 ***-* 신비프라자,"인천광역시 남동구 주안로 ***, 신비프라자 ***호, ***호, ***호, ***호 (간석동)",21505,주식회사 디지알에이디,2026-02-25 09:33:10,U,2026-02-27 02:40:00,,173267.369856964,440123.323412929,"지정게시대, 가로등배너 등 시공 및 제작",,주식회사디지알에이디_인천광역시남동구간석동***-*신비프라자
