번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),사용목적,사용방법,월사용량,수용정원수,시설사용여부,Unnamed: 33,record_key
33,특정고압가스업,09_28_14_P,5350000,2026535037412200001,2026-02-13,,1,영업/정상,1,사용중,,,,,,,,경상남도 김해시 진영읍 진영리 783,경상남도 김해시 진영읍 진산대로 235-2,50859.0,유진산업 주식회사,2026-02-13 15:13:40,I,2026-02-15 00:20:02,,356114.403763343,203930.505804907,절단기 사용,액화산소용기를 저장하여 대기식 기화기를 통해 기화시킨후 감압하여 배관을 통하여 절단기로 공급하기 위한 시설,5000.0,11,,,유진산업주식회사_경상남도김해시진영읍진영리783
29,특정고압가스업,09_28_14_P,3610000,2026361026812200001,2026-02-12,,1,영업/정상,BBBB,,,,,,,,,광주광역시 남구 백운동 637-18 동아병원,"광주광역시 남구 대남대로 238, 동아병원 (백운동)",61656.0,동아병원,2026-02-12 10:14:49,I,2026-02-14 00:20:02,,190807.602412339,181764.584339105,의료처치 및 수술,의료처치 및 수술,8300.0,276,,,동아병원_광주광역시남구백운동637-18동아병원
27,특정고압가스업,09_28_14_P,5670000,2026567057412200002,2026-02-11,,1,영업/정상,BBBB,,,,,,,,,경상남도 창원시 진해구 장천동 782-52,경상남도 창원시 진해구 천자로 268 (장천동),51627.0,성문(주),2026-02-11 20:29:56,I,2026-02-13 00:20:38,,354492.585496421,182705.578307374,실험용 가스,용기,108.602,5,,,성문(주)_경상남도창원시진해구장천동782-52
26,특정고압가스업,09_28_14_P,3070000,2026307028712200001,2026-02-11,,1,영업/정상,BBBB,,,,,,,,,서울특별시 성북구 하월곡동 39-1,서울특별시 성북구 화랑로14길 5 (하월곡동),2792.0,한국과학기술연구원(실험공장연구실 P-1),2026-02-11 15:41:50,I,2026-02-13 00:20:38,,203934.360214315,455417.925754463,실험공장 연구실 암모니아 사용,감압조정기 및 전열실기화기,1224.0,10,,,한국과학기술연구원(실험공장연구실P-1)_서울특별시성북구하월곡동39-1
25,특정고압가스업,09_28_14_P,3230000,2026323031012200002,2026-02-11,,1,영업/정상,BBBB,,,,,,,,,서울특별시 송파구 오금동 126,서울특별시 송파구 마천로 164 (오금동),5729.0,시그니처 요양병원,2026-02-11 09:45:01,I,2026-02-13 00:20:38,,212081.527971261,444598.236691622,의료용,환자 치료용(흡입제),2000.0,200,,,시그니처요양병원_서울특별시송파구오금동126
22,특정고압가스업,09_28_14_P,3630000,2026363034512200002,2026-02-09,,1,영업/정상,BBBB,,,,,,,,,광주광역시 광산구 수완동 1152 KS병원,"광주광역시 광산구 왕버들로 220, KS병원 (수완동)",62248.0,KS병원,2026-02-09 16:59:07,I,2026-02-11 00:20:41,,184709.214219568,188787.787099798,의료용,저장탱크,15000.0,50,,,KS병원_광주광역시광산구수완동1152KS병원
19,특정고압가스업,09_28_14_P,3740000,2026375003212200001,2026-02-06,,1,영업/정상,BBBB,,,,,,,,,경기도 수원시 장안구 천천동 585 성균관대학교 자연과학캠퍼스,"경기도 수원시 장안구 서부로 2066, 성균관대학교 자연과학캠퍼스 86591호 (천천동)",16419.0,성균관대학교,2026-02-06 16:33:39,I,2026-02-08 00:20:01,,197655.310801404,421305.50595434,연구용,연구용,6966.0,20,,,성균관대학교_경기도수원시장안구천천동585성균관대학교자연과학캠퍼스
18,특정고압가스업,09_28_14_P,3380000,2026338009412200001,2026-02-06,,1,영업/정상,1,사용중,,,,,,,,부산광역시 수영구 망미동 253-1,부산광역시 수영구 수미로41번길 31 (망미동),48216.0,토정개발 주식회사,2026-02-06 15:28:42,I,2026-02-08 00:20:01,,392675.399746369,188241.709148298,망미동 253-1번지 공사현장,산소절단작업,600.0,20,,,토정개발주식회사_부산광역시수영구망미동253-1
20,특정고압가스업,09_28_14_P,4641000,2026466100712200001,2026-02-06,,1,영업/정상,BBBB,,,,,,,,,전북특별자치도 전주시 덕진구 금암동 663 전북대학교,"전북특별자치도 전주시 덕진구 백제대로 567, 전북대학교 (금암동)",54896.0,전북대학교(공과대학4호관),2026-02-06 09:08:14,I,2026-02-08 00:20:01,,211946.248805144,260605.22207451,연구용,연구용,7.0,10,,,전북대학교(공과대학4호관)_전북특별자치도전주시덕진구금암동663전북대학교
10,특정고압가스업,09_28_14_P,4050000,2026562002712200002,2026-02-04,,1,영업/정상,BBBB,,,,,,,,,경기도 용인시 처인구 이동읍 덕성리 1264-4,경기도 용인시 처인구 이동읍 덕성산단2로 12-1,17130.0,(주)후성,2026-02-04 15:41:27,I,2026-02-06 00:20:02,,218260.569397082,408086.871780151,반도체시험용,반도체시험용,58.75,8,,,(주)후성_경기도용인시처인구이동읍덕성리1264-4
11,특정고압가스업,09_28_14_P,3300000,2026330011912200001,2026-02-04,,1,영업/정상,BBBB,,,,,,,,,부산광역시 동래구 낙민동 23-3 설봉빌딩,"부산광역시 동래구 충렬대로348번길 23, 설봉빌딩 (낙민동)",47889.0,동래봉생병원(미래관),2026-02-04 11:36:44,I,2026-02-06 00:20:02,,390805.03821952,190612.851490212,의료용,액체산소를 대기식 기화기를 통해 기화하여 의료용 산소로 사용,5000.0,100,,,동래봉생병원(미래관)_부산광역시동래구낙민동23-3설봉빌딩
1,특정고압가스업,09_28_14_P,4830000,2026483019512200002,2026-02-02,,1,영업/정상,1,사용중,,,,,,,,전라남도 나주시 동강면 곡천리 570-1,"전라남도 나주시 동강면 곡천로 192, 외 2필지(곡천리 570-1, 570-2, 623)",58293.0,유강영어조합법인,2026-02-02 19:38:59,I,2026-02-04 00:20:02,,158354.287309832,158834.857800727,양식용,액화산소,8.0,2,,,유강영어조합법인_전라남도나주시동강면곡천리570-1
24,특정고압가스업,09_28_14_P,5710000,2025573002312200003,2025-12-29,,3,폐업,2,폐지,2026-02-10,,,,,,,충청북도 청주시 흥덕구 옥산면 남촌리 1111-5,충청북도 청주시 흥덕구 옥산면 과학산업4로 97,28122.0,제이에스알마이크로코리아(주),2026-02-10 16:16:18,U,2026-02-12 02:40:00,,236684.228643235,355658.056219102,생산설비 가동용,생산설비 가동용,0.297,31,,,제이에스알마이크로코리아(주)_충청북도청주시흥덕구옥산면남촌리1111-5
14,특정고압가스업,09_28_14_P,3740000,2025375003212200013,2025-10-30,,1,영업/정상,1,사용중,,,,,,,,경기도 수원시 장안구 천천동 585 성균관 대학교,"경기도 수원시 장안구 서부로 2066, 성균관 대학교 N센터 86591호 (천천동)",16419.0,성균관대학교,2026-02-04 15:34:28,U,2026-02-06 02:40:00,,197655.310801404,421305.50595434,"연구용(수소,액화암모니아,메탄)",연구용,22.748,20,,,성균관대학교_경기도수원시장안구천천동585성균관대학교
2,특정고압가스업,09_28_14_P,3500000,2023350016112200001,2023-08-04,,1,영업/정상,1,사용중,,,,,,,,인천광역시 동구 화수동 7-11,인천광역시 동구 인중로 489 (화수동),22502.0,에이치디건설기계(주),2026-02-02 09:25:36,U,2026-02-04 02:40:00,,167026.3164495,442927.500637717,"연구, 시험용","연구, 시험용",88.0,50,,,에이치디건설기계(주)_인천광역시동구화수동7-11
36,특정고압가스업,09_28_14_P,3130000,2020313016112200005,2020-04-21,,3,폐업,2,폐지,2026-02-12,,,,,,,서울특별시 마포구 공덕동 385-13,,,SK건설(주),2026-02-12 15:25:31,U,2026-02-15 02:40:00,,,,용접 및 용단,용접 및 용단,35.0,4,,,SK건설(주)_서울특별시마포구공덕동385-13
35,특정고압가스업,09_28_14_P,3130000,2020313016112200004,2020-04-21,,3,폐업,2,폐지,2026-02-12,,,,,,,서울특별시 마포구 아현동 662,,,SK건설(주),2026-02-12 15:25:52,U,2026-02-15 02:40:00,,195554.21266596,450382.73238922,용접 및 용단,용접 및 용단,42.0,2,,,SK건설(주)_서울특별시마포구아현동662
31,특정고압가스업,09_28_14_P,5530000,2019553037912200007,2019-05-10,,1,영업/정상,1,사용중,,,,,,,,경기도 화성시 만세구 팔탄면 창곡리 3-1,경기도 화성시 만세구 팔탄면 푸른들판로1010번길 78,18525.0,주식회사 세진코리아,2026-02-12 19:09:33,U,2026-02-14 02:40:00,,190030.415602742,410493.030377656,주형 및 금형제조에 사용,"저장탱크 및 기화기, 감압설비를 통한 사용",15000.0,10,,,주식회사세진코리아_경기도화성시만세구팔탄면창곡리3-1
12,특정고압가스업,09_28_14_P,3290000,2019329012812200001,2019-01-28,,1,영업/정상,1,사용중,,,,,,,,부산광역시 부산진구 양정동 320-3 수 요양병원,"부산광역시 부산진구 동평로 401, 수 요양병원 (양정동)",47211.0,의료법인청원의료재단 수요양병원,2026-02-03 16:31:35,U,2026-02-06 02:40:00,,388418.982637727,188078.306325796,의료용,압축가스,250.0,520,,,의료법인청원의료재단수요양병원_부산광역시부산진구양정동320-3수요양병원
30,특정고압가스업,09_28_14_P,3930000,2013393028812200003,2013-12-03,,3,폐업,2,폐지,2026-02-12,,,,,,,경기도 안산시 단원구 성곡동 765-4 시화공단 5바 905,"경기도 안산시 단원구 첨단로 153 (성곡동, 시화공단 5바 905)",,(주)대유철강,2026-02-12 18:56:31,U,2026-02-14 02:40:00,,176769.355479622,422949.499241792,철판절단가공,"철판절단
에너지정책과-5008호(2026.2.12.)",10000.0,9,,,(주)대유철강_경기도안산시단원구성곡동765-4시화공단5바905
37,특정고압가스업,09_28_14_P,5670000,2011567014512200005,2011-07-29,,1,영업/정상,1,사용중,,,,,,,,경상남도 창원시 성산구 성주동 44-1,경상남도 창원시 성산구 정동로62번길 51 (성주동),,에삽씨케이 주식회사,2026-02-13 09:59:57,U,2026-02-15 02:40:00,,353864.51450123,189788.667029848,산업용,열처리 공정용,144.0,3,,,에삽씨케이주식회사_경상남도창원시성산구성주동44-1
