"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","일반야영장업","03_11_07_P","5530000","CDFI2262132023000002","2023-05-01","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 만세구 우정읍 매향리 938","경기도 화성시 만세구 우정읍 고온리안길102번길 31","18570","매향리 캠핑장","2026-03-02 15:04:36","U","2026-03-04 02:40:00","","177351.278933559","392953.065786447","일반야영장업","","","1","","","농협손해보험주식회사","","1","0","0","121","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0",
"2","일반야영장업","03_11_07_P","5530000","CDFI2262132025000006","2025-08-26","","03","폐업","03","폐업","2026-02-28","","","","","","","경기도 화성시 효행구 비봉면 유포리 77-1","경기도 화성시 효행구 비봉면 유포길 10-14","18282","유포리 바베큐장2","2026-03-03 11:05:40","U","2026-03-05 02:40:00","","186133.199215807","417622.436377159","일반야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"3","일반야영장업","03_11_07_P","4251000","CDFI2262132018000008","2018-10-15","","02","휴업","02","휴업","","2026-03-01","2026-03-31","","0334342926","","","강원특별자치도 홍천군 서면 동막리 468-1","강원특별자치도 홍천군 서면 한서로 347-5","25100","예담숲","2026-03-03 14:59:21","U","2026-03-05 02:40:00","","250752.738441914","463152.726690473","일반야영장업","","관리지역","1","기타","","","기타","1","0","0","212","Yedamsoop","General Camp Ground Business","0","0","","0","0","","0","212.48","","0","","","","","","","0","","","","212",
"4","일반야영장업","03_11_07_P","4590000","CDFI2262132023000001","2023-04-27","","01","영업/정상","13","영업중","","","","","","","","충청남도 청양군 목면 안심리 565","충청남도 청양군 목면 안심길 85-64","33358","리썸글램핑","2026-03-03 14:55:14","U","2026-03-05 02:40:00","","199843.78024157","324392.830545219","일반야영장업","","","0","","","삼성화재해상보험","","0","0","0","110","","","0","0","","0","0","","0","6276.9","","0","","","","","","","30000000","","","","6277",
"5","일반야영장업","03_11_07_P","5600000","CDFI2262132015000001","2015-02-27","","01","영업/정상","13","영업중","","","","","","","487-855","경기도 포천시 일동면 수입리 903","경기도 포천시 일동면 성장로 397","11115","휴앤스테이","2026-03-03 14:09:29","U","2026-03-05 02:40:00","","225876.508647465","501327.330822439","일반야영장업","","관리지역","1","기타","","","근린생활시설","1","0","0","0","","","0","0","","0","0","","0","15915","","0","","","","","","","0","","","","15915",
"6","일반야영장업","03_11_07_P","6510000","CDFI2262132026000001","2026-03-04","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 애월읍 유수암리 890","제주특별자치도 제주시 애월읍 유수암평화길 144","63067","해달별캠핑장","2026-03-04 13:10:21","I","2026-03-06 00:20:02","","144841.916491272","-7148.9728414873","일반야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","295.24","","0","","","","","","","0","","","","295",
"7","일반야영장업","03_11_07_P","4271000","CDFI2262132016000007","2016-05-11","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 영월군 무릉도원면 법흥리 143-3","강원특별자치도 영월군 무릉도원면 무릉법흥로 1208-56","26201","영월캠프","2026-03-04 10:24:22","U","2026-03-06 02:40:00","","313069.790659488","429657.658154668","일반야영장업","","","0","","","삼성화재","","0","0","0","0","","","0","0","","0","0","","0","3970","","0","","","","","","","0","","","","3970",
"8","일반야영장업","03_11_07_P","4181000","CDFI2262132024000006","2024-05-28","","02","휴업","02","휴업","","2026-03-31","2026-12-31","","","","","강원특별자치도 춘천시 동내면 거두리 280-1","강원특별자치도 춘천시 동내면 거두길 276-23","24399","마마루스 야영장","2026-03-04 16:43:25","U","2026-03-06 02:40:00","","269170.739604598","484501.238796314","일반야영장업","","","0","","","DB손해보험","","0","0","0","91","","","0","0","","0","0","","0","3143","","0","","","","","","","0","","","","3143",
"9","일반야영장업","03_11_07_P","5190000","CDFI2262132016000006","2016-11-08","","01","영업/정상","13","영업중","","","","","","","","경상북도 청도군 운문면 신원리 92","경상북도 청도군 운문면 신원4길 2","38368","별찌야영장","2026-03-04 19:09:06","U","2026-03-06 02:40:00","","381127.769502966","242713.80035402","일반야영장업","","관리지역","0","기타","","","문화시설","0","0","0","114","","","0","0","","0","0","","0","3171","","0","","","","","","","0","","","","3171",
"10","일반야영장업","03_11_07_P","5530000","CDFI2262132023000001","2023-02-10","","03","폐업","03","폐업","2026-02-28","","","","031-693-7843","","","경기도 화성시 만세구 향남읍 화리현리 428-6","경기도 화성시 만세구 향남읍 양석골길 40-39","18608","(주)지앤에스 - 우프캠프","2026-03-05 16:53:20","U","2026-03-07 02:40:00","","194396.916655925","400958.65371346","일반야영장업","","관리지역","1","","","야영장사고배상책임보험삼성","사무실","1","0","0","0","","","0","0","","0","0","","0","293.44","","0","","","","","","","140000000","","","","293",
