"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","게임물배급업","03_05_01_P","3480000","CDFF2241122026000001","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","대구광역시 달성군 현풍읍 중리 *** ***호","대구광역시 달성군 현풍읍 테크노상업로 **, ***호","43017","(주)비에스앤알","2026-04-01 14:16:51","I","2026-04-03 00:20:02","","331615.478943188","244670.811381273","게임물배급업","유통관련업","0","","인형, 잡화","53.57","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"2","게임물배급업","03_05_01_P","4050000","CDFF2241122024000005","2024-12-10","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 수지구 동천동 ***-*","경기도 용인시 수지구 수지로***번길 **, ***호 (동천동)","16826","벡터","2026-04-01 08:01:31","U","2026-04-03 02:40:00","","208850.963338304","426467.203002722","게임물배급업","유통관련업","0","","모바일게임","2","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"3","게임물배급업","03_05_01_P","3210000","CDFF2241122026000005","2022-12-05","","01","영업/정상","13","영업중","","","","","02-6934-2281","","","서울특별시 서초구 서초동 ****-* 지젤시그니티 서초 **호","서울특별시 서초구 효령로**길 **, 지젤시그니티 서초 **호 (서초동)","06651","주식회사 쉐어링소프트","2026-04-02 14:00:55","I","2026-04-04 00:20:02","","201096.166530262","442769.552530239","게임물배급업","유통관련업","0","","모바일게임, pc게임","167.18","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"4","게임물배급업","03_05_01_P","3240000","CDFF2241122020000003","2020-10-29","","03","폐업","03","폐업","2026-03-30","","","","","","","서울특별시 강동구 강일동 *** 강동리버스트*단지 ***동 ****호","서울특별시 강동구 아리수로**가길 ***, ***동 ****호 (강일동, 강동리버스트*단지)","05201","블루조이(BLUE JOY)","2026-04-02 09:04:52","U","2026-04-04 02:40:00","","215144.766442481","452305.723682264","게임물배급업","유통관련업","","","모바일게임","49.82","","","","","","","","","","","","","","","","","","","","","","","","","",
"5","게임물배급업","03_05_01_P","3220000","CDFF2241122023000024","2023-12-06","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 삼성동 *** *층","서울특별시 강남구 삼성로***길 **, *층 (삼성동)","06167","주식회사 러너소프트","2026-04-02 09:51:06","U","2026-04-04 02:40:00","","204911.74869677","445260.970663607","게임물배급업","유통관련업","0","","게임","190","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"6","게임물배급업","03_05_01_P","3220000","CDFF2241122026000012","2016-05-10","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 논현동 ***-* *층","서울특별시 강남구 학동로**길 **, *층 (논현동)","06106","(주)테이트이삼","2026-04-03 15:03:10","I","2026-04-05 00:20:22","","202804.912118563","445524.907262654","게임물배급업","유통관련업","2","","소프트웨어 및 게임홍보영상 등","291","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"7","게임물배급업","03_05_01_P","3230000","CDFF2241122026000002","2024-08-22","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 잠실동 ***-* 대양빌딩","서울특별시 송파구 올림픽로*길 **, 대양빌딩 *층 b**호 (잠실동)","05562","큐씨플레이 유한회사","2026-04-03 15:44:31","I","2026-04-05 00:20:22","","207045.270256431","445177.554905033","게임물배급업","유통관련업","0","","모바일 게임","49.58","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"8","게임물배급업","03_05_01_P","3030000","CDFF2241122026000007","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 성동구 성수동*가 ***-*","서울특별시 성동구 둘레길 ** (성수동*가)","04774","한평방 스튜디오","2026-04-03 16:48:00","I","2026-04-05 00:20:22","","204104.264617764","448325.304385363","게임물배급업","유통관련업","0","","게임 소프트웨어 배급 및 온라인 운영","10","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"9","게임물배급업","03_05_01_P","3180000","CDFF2241122026000003","2026-03-19","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 당산동*가 *** 생각공장 당산","서울특별시 영등포구 영등포로 ***, 생각공장 당산 *층 에이 ***호 (당산동*가)","07292","넥솔랩 주식회사(Nexuol Lab Inc.)","2026-04-03 11:54:21","U","2026-04-05 02:40:00","","190940.034564342","446461.996000435","게임물배급업","유통관련업","0","","RPG 게임","66.94","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"10","게임물배급업","03_05_01_P","3010000","CDFF2241122012000010","2006-11-10","","01","영업/정상","13","영업중","","","","","02-2192-1700","","","서울특별시 중구 초동 ***-*","서울특별시 중구 마른내로 **, TOWER*** *층 (초동)","04550","한국닌텐도(주)","2026-04-03 18:02:37","U","2026-04-05 02:40:00","","199169.61428256","451429.178544278","게임물배급업","유통관련업","0","","게임물","925.07","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
