번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,의자수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,여성종사자수,남성종사자수,침대수,다중이용업소여부,Unnamed: 44,record_key
8535,미용업,05_18_01_P,3290000,3290000-215-2026-00006,2026-02-26,,1,영업/정상,1,영업,,,,,,65.62,614-847,부산광역시 부산진구 부전동 517-10,"부산광역시 부산진구 가야대로784번길 39, 4층 (부전동)",47287.0,고즈넉네일 부산,2026-02-26 14:20:58,I,2026-02-28 00:20:02,네일아트업,387405.803167148,185990.340640044,네일미용업,4.0,1.0,4.0,4.0,0.0,0.0,6.0,,,,,0.0,0.0,0.0,N,,고즈넉네일부산_부산광역시부산진구부전동517-10
8513,미용업,05_18_01_P,4641000,4651000-211-2026-00008,2026-02-26,,1,영업/정상,1,영업,,,,,,0.0,,전북특별자치도 전주시 완산구 효자동3가 1539-3 승우빌딩,"전북특별자치도 전주시 완산구 홍산남로 75, 2층 202호 (효자동3가)",54969.0,레프,2026-02-26 10:57:36,I,2026-02-28 00:20:02,일반미용업,209885.865448506,257331.947501207,일반미용업,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,0.0,0.0,0.0,N,,레프_전북특별자치도전주시완산구효자동3가1539-3승우빌딩
8504,미용업,05_18_01_P,3020000,3020000-212-2026-00001,2026-02-26,,1,영업/정상,1,영업,,,,,,50.74,140-013,서울특별시 용산구 한강로3가 98,"서울특별시 용산구 서빙고로 17, 센트럴파크 몰동 2층 2087호 (한강로3가)",4387.0,유니테라피,2026-02-26 17:03:44,I,2026-02-28 00:20:02,피부미용업,197056.728931087,447077.126289262,피부미용업,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,1.0,N,,유니테라피_서울특별시용산구한강로3가98
8506,미용업,05_18_01_P,3940000,3950000-211-2026-00007,2026-02-26,,1,영업/정상,1,영업,,,,,,45.66,412-040,경기도 고양시 덕양구 원흥동 623 원흥역 푸르지오 110호,"경기도 고양시 덕양구 권율대로 671, 원흥역 푸르지오 근린생활시설 110호 (원흥동)",10563.0,더현헤어,2026-02-26 13:47:14,I,2026-02-28 00:20:02,일반미용업,188670.479735867,460881.388557364,일반미용업,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,0.0,0.0,0.0,N,,더현헤어_경기도고양시덕양구원흥동623원흥역푸르지오110호
8507,미용업,05_18_01_P,3940000,3950000-221-2026-00001,2026-02-26,,1,영업/정상,1,영업,,,,,,36.65,412-040,경기도 고양시 덕양구 원흥동 632-1 클래시아 더 퍼스트,"경기도 고양시 덕양구 권율대로 656, 클래시아 더 퍼스트 2층 209호 (원흥동)",10564.0,원흥속눈썹 루우브(Loouve),2026-02-26 14:09:05,I,2026-02-28 00:20:02,메이크업업,188743.917679128,460675.198579675,"피부미용업, 화장ㆍ분장 미용업",0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,0.0,0.0,2.0,N,,원흥속눈썹루우브(Loouve)_경기도고양시덕양구원흥동632-1클래시아더퍼스트
8508,미용업,05_18_01_P,3990000,3990000-213-2026-00014,2026-02-26,,1,영업/정상,1,영업,,,,,,33.79,472-861,경기도 남양주시 진접읍 금곡리 1022 주1동 101호,"경기도 남양주시 진접읍 해밀예당1로215번길 4, 주1동 101호",12054.0,헤어 벨로체,2026-02-26 13:24:07,I,2026-02-28 00:20:02,일반미용업,217760.335875365,468751.152417017,종합미용업,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,0.0,0.0,0.0,N,,헤어벨로체_경기도남양주시진접읍금곡리1022주1동101호
8509,미용업,05_18_01_P,5450000,5450000-211-2026-00001,2026-02-26,,1,영업/정상,1,영업,,,,,,75.0,666-934,경상남도 산청군 시천면 사리 924-22 헤어 윤슬 102호,"경상남도 산청군 시천면 덕산대포로 8, 헤어 윤슬 1층 102호",52234.0,헤어 윤슬,2026-02-26 10:57:51,I,2026-02-28 00:20:02,일반미용업,276217.48739655,197940.388039865,일반미용업,3.0,0.0,1.0,0.0,0.0,0.0,2.0,,,,,1.0,0.0,0.0,N,,헤어윤슬_경상남도산청군시천면사리924-22헤어윤슬102호
8510,미용업,05_18_01_P,3660000,3660000-212-2026-00009,2026-02-26,,1,영업/정상,1,영업,,,,,,0.0,302-845,대전광역시 서구 용문동 269-8 로단테,"대전광역시 서구 도산로341번길 36, 로단테 1층 (용문동)",35301.0,소가 약손 바디케어,2026-02-26 10:04:50,I,2026-02-28 00:20:02,피부미용업,234818.21215403,315203.924704767,피부미용업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,N,,소가약손바디케어_대전광역시서구용문동269-8로단테
8512,미용업,05_18_01_P,3660000,3660000-215-2026-00007,2026-02-26,,1,영업/정상,1,영업,,,,,,0.0,302-318,대전광역시 서구 도안동 857 크레타힐즈,"대전광역시 서구 도안북로93번길 62, 크레타힐즈 B동 1층 106호 (도안동)",35350.0,주아네일,2026-02-26 15:42:25,I,2026-02-28 00:20:02,네일아트업,230509.294515596,314556.304629021,네일미용업,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,0.0,0.0,0.0,N,,주아네일_대전광역시서구도안동857크레타힐즈
8514,미용업,05_18_01_P,4490000,5660000-213-2026-00012,2026-02-26,,1,영업/정상,1,영업,,,,,,58.24,331-962,충청남도 천안시 서북구 두정동 1498 대우프라자,"충청남도 천안시 서북구 두정로 240, 대우프라자 7층 701일부호 (두정동)",31105.0,뮤에뷰티,2026-02-26 15:17:17,I,2026-02-28 00:20:02,피부미용업,212741.384354895,370200.839841788,종합미용업,8.0,1.0,7.0,7.0,0.0,0.0,0.0,,,,,0.0,0.0,2.0,N,,뮤에뷰티_충청남도천안시서북구두정동1498대우프라자
