번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),목재생산업구분코드명,목재생산업종류명,취급목재제품,인력보유현황,년간생산량,자본금,상태구분명,Unnamed: 35,record_key
14,원목생산업,09_27_02_P,5710000,571000090202600001,2026-03-04,,1,영업/정상,1,정상,,,,,,,,,충청북도 청주시 상당구 가덕면 가덕시동길 93,28204,***,2026-03-04 18:00:59,I,2026-03-06 00:20:02,,250908.22026448,341580.189501734,원목생산업,2종,"잡목, 펠릿",1,0,10,영업,,***_
7,원목생산업,09_27_02_P,5070000,507000090201400002,2026-02-19,,1,영업/정상,1,정상,,,,,,,,경상북도 안동시 정하동 300-1 화성드림파크 101동 1505호,"경상북도 안동시 강남1길 108 (정하동, 화성드림파크)",36750,경북임업,2026-03-01 12:29:45,I,2026-03-04 00:20:37,,355124.086206146,339943.705492993,원목생산업,2종,,교육이수,0,0,영업,,경북임업_경상북도안동시정하동300-1화성드림파크101동1505호
8,원목생산업,09_27_02_P,5070000,507000090201500004,2026-02-19,,1,영업/정상,1,정상,,,,,,,,경상북도 안동시 길안면 구수리 820,경상북도 안동시 길안면 수곡용계로 317,36737,***,2026-03-01 12:31:58,I,2026-03-04 00:20:37,,373337.761106659,332365.828730395,원목생산업,2종,,교육이수,0,0,영업,,***_경상북도안동시길안면구수리820
9,원목생산업,09_27_02_P,5070000,507000090201300009,2026-02-19,,1,영업/정상,1,정상,,,,,,,,경상북도 안동시 용상동 1078-34,경상북도 안동시 마들큰길 28 (용상동),36725,***,2026-03-01 12:32:21,I,2026-03-04 00:20:37,,357116.886220409,340540.816746273,원목생산업,2종,,교육이수,0,0,영업,,***_경상북도안동시용상동1078-34
10,원목생산업,09_27_02_P,5070000,507000090201700001,2026-02-19,,1,영업/정상,1,정상,,,,,,,,경상북도 안동시 풍산읍 괴정리 202-2,경상북도 안동시 풍산읍 절뒤길 53,36618,라성에너지 주식회사,2026-03-01 12:30:58,U,2026-03-04 02:40:00,,334920.786251231,341933.190223308,원목생산업,2종,,교육이수,0,0,영업,,라성에너지주식회사_경상북도안동시풍산읍괴정리202-2
1,원목생산업,09_27_02_P,5070000,507000090202500007,2025-12-12,,1,영업/정상,1,정상,,,,,,,,경상북도 안동시 당북동 119-3 센트럴64,"경상북도 안동시 제비원로 157-2, 209호 (당북동, 센트럴64)",36670,흥진산업개발,2026-03-01 12:29:05,I,2026-03-04 00:20:37,,353907.829692067,341949.064417355,원목생산업,2종,,박영주(09-23-14-04666),0,0,영업,,흥진산업개발_경상북도안동시당북동119-3센트럴64
6,원목생산업,09_27_02_P,5070000,507000090202500008,2025-12-11,,1,영업/정상,1,정상,,,,,,,,경상북도 안동시 동부동 114-1,"경상북도 안동시 중앙로 54, 6-8호 (동부동)",36701,주식회사 다함께,2026-03-01 12:27:27,I,2026-03-04 00:20:37,,355015.750401604,341817.174795336,원목생산업,2종,,노선우(기술자 자격증),0,0,영업,,주식회사다함께_경상북도안동시동부동114-1
12,원목생산업,09_27_02_P,5070000,507000090202500004,2025-10-30,,1,영업/정상,1,정상,,,,,,,,경상북도 안동시 법흥동 277 강변펠리시아,"경상북도 안동시 육사로 333, 상가동 202호 (법흥동, 강변펠리시아)",36709,일출임업,2026-03-01 12:26:04,U,2026-03-04 02:40:00,,363596.557777856,362313.177690024,원목생산업,2종,,박성식,0,10,영업,,일출임업_경상북도안동시법흥동277강변펠리시아
2,원목생산업,09_27_02_P,5070000,507000090202500002,2025-09-01,,1,영업/정상,1,정상,,,,,,,,경상북도 안동시 도산면 온혜리 569-5,"경상북도 안동시 도산면 퇴계로 2620-1, 3호",36604,목화임업,2026-03-01 12:19:16,I,2026-03-04 00:20:37,,363596.557777856,362313.177690024,원목생산업,2종,,,0,0,영업,,목화임업_경상북도안동시도산면온혜리569-5
4,원목생산업,09_27_02_P,5070000,507000090201300003,2025-07-21,,1,영업/정상,1,정상,,,,,,,,경상북도 안동시 일직면 송리리 675,경상북도 안동시 일직면 굼치걸길 34,36756,***,2026-03-01 12:22:55,I,2026-03-04 00:20:37,,346679.159841972,332940.998566506,원목생산업,2종,,,0,0,영업,,***_경상북도안동시일직면송리리675
40,원목생산업,09_27_02_P,4341000,434100090202500001,2025-04-08,,1,영업/정상,1,정상,,,,,,,,전북특별자치도 부안군 하서면 장신리 188-17,전북특별자치도 부안군 하서면 복룡길 30,56331,고성장작,2026-03-05 11:30:12,U,2026-03-07 02:40:00,,165537.975624646,247599.824132449,원목생산업,2종,벌채목,심연종 1명,5000,10,영업,,고성장작_전북특별자치도부안군하서면장신리188-17
39,원목생산업,09_27_02_P,4570000,457000090202400002,2024-12-18,,1,영업/정상,1,정상,,,,,,,,충청남도 부여군 내산면 운치리 501-1,충청남도 부여군 내산면 성충로996번길 33,33195,엠에이치목협,2026-03-04 13:33:06,U,2026-03-06 02:40:00,,180068.826309322,307940.868459719,원목생산업,2종,원목 등,김관종,4000,10,영업,,엠에이치목협_충청남도부여군내산면운치리501-1
34,원목생산업,09_27_02_P,4570000,457000090202200002,2022-10-11,,1,영업/정상,1,정상,,,,,,,,충청남도 부여군 규암면 외리 209-6,충청남도 부여군 규암면 계백로 23-4,33123,신화임업,2026-03-04 13:31:36,U,2026-03-06 02:40:00,,189427.357512767,308226.759216239,원목생산업,1종,원목,2,10000,50,영업,,신화임업_충청남도부여군규암면외리209-6
5,원목생산업,09_27_02_P,5070000,507000090202100001,2021-12-28,,1,영업/정상,1,정상,,,,,,,,경상북도 안동시 신안동 35-14,"경상북도 안동시 퇴계로 184, 3층 (신안동)",36687,영진,2026-03-01 12:24:20,I,2026-03-04 00:20:37,,355024.99518094,342765.07291237,원목생산업,2종,,,0,0,영업,,영진_경상북도안동시신안동35-14
35,원목생산업,09_27_02_P,4570000,457000090202100001,2021-01-25,,1,영업/정상,1,정상,,,,,,,,충청남도 부여군 외산면 장항리 225-1,충청남도 부여군 외산면 만수로441번길 40-5,33104,진수임목,2026-03-04 13:31:10,U,2026-03-06 02:40:00,,174224.851701862,312950.680487125,원목생산업,2종,원목,박진수,5000,10,영업,,진수임목_충청남도부여군외산면장항리225-1
37,원목생산업,09_27_02_P,4570000,457000090202000001,2020-11-10,,1,영업/정상,1,정상,,,,,,,,충청남도 부여군 부여읍 쌍북리 636-3,충청남도 부여군 부여읍 성왕로 260-1,33148,광명임산,2026-03-04 13:30:45,U,2026-03-06 02:40:00,,192405.342873598,309139.49414959,원목생산업,2종,"원목(침,활엽수)",,5000,11,영업,,광명임산_충청남도부여군부여읍쌍북리636-3
36,원목생산업,09_27_02_P,4570000,457000090201900002,2019-10-11,,1,영업/정상,1,정상,,,,,041-835-2152,,,충청남도 부여군 부여읍 동남리 277-6 부여군산림조합,"충청남도 부여군 부여읍 궁남로 23, 부여군산림조합",33166,부여군산림조합,2026-03-04 13:18:23,U,2026-03-06 02:40:00,,192125.277003692,308156.628950615,원목생산업,1종,침활엽수,,200,4131,영업,,부여군산림조합_충청남도부여군부여읍동남리277-6부여군산림조합
32,원목생산업,09_27_02_P,4570000,457000090201500003,2015-07-31,,1,영업/정상,1,정상,,,,,,,,충청남도 부여군 규암면 석우리 118,충청남도 부여군 규암면 호반로164번길 48-3,323-814,***,2026-03-04 13:10:03,U,2026-03-06 02:40:00,,187033.471796518,308723.543764344,원목생산업,2종,"펄프용, 제지용 등",,5000,15,영업,,***_충청남도부여군규암면석우리118
27,원목생산업,09_27_02_P,4570000,457000090201300018,2013-12-03,,1,영업/정상,1,정상,,,,,,,,,충청남도 부여군 외산면 반교서로 60-30,,반교원목,2026-03-04 13:29:05,U,2026-03-06 02:40:00,,174209.696018858,309144.278954407,원목생산업,2종,펄프원목 등,,5000,10,영업,,반교원목_
