번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총직원수,Unnamed: 33,record_key
7,종축업,02_04_06_P,4520000,452000000220240001,2024-11-01,,3,폐업,2,폐업,2026-02-10,,,,,,31441,충청남도 아산시 염치읍 중방리 **-**,충청남도 아산시 염치읍 현대로 ***-**,31441,남용농장,2026-02-11 08:50:16,U,2026-02-13 02:40:00,종계업,195604.037681673,368206.899243825,종축업,종계업,1528,000,0,,남용농장_충청남도아산시염치읍중방리**-**
10,종축업,02_04_06_P,4830000,483000000220240001,2024-04-01,,1,영업/정상,0,정상,,,,,,,,"전라남도 나주시 동강면 장동리 ****-* 외 *필지(****-*, ****-*)",,,경주농장 제3농장,2026-02-12 14:40:02,U,2026-02-14 02:40:00,종오리업,160759.079294265,155542.886041067,종축업,종오리업,3751,000,0,,"경주농장제3농장_전라남도나주시동강면장동리****-*외*필지(****-*,****-*)"
11,종축업,02_04_06_P,4830000,483000000220220001,2022-10-05,,1,영업/정상,0,정상,,,,,,,58295,"전라남도 나주시 동강면 장동리 ****-* 외 *필지(-*,-*,-*,-*,-**)",전라남도 나주시 동강면 장동길 **,58295,경주농장 제2농장,2026-02-12 14:40:46,U,2026-02-14 02:40:00,종오리업,158387.943666666,155625.254666667,종축업,종오리업,3713,000,0,,"경주농장제2농장_전라남도나주시동강면장동리****-*외*필지(-*,-*,-*,-*,-**)"
3,종축업,02_04_06_P,6510000,651000000220210001,2021-05-17,,1,영업/정상,0,정상,,,,,064-754-5704,,63242,제주특별자치도 제주시 오등동 산 ***,제주특별자치도 제주시 산록북로 ***-** (오등동),63242,국립축산과학원 축산자원개발부 난지축산연구센터,2026-02-02 13:49:46,U,2026-02-04 02:40:00,종돈업,157954.005649184,-7066.41409498105,종축업,종돈업,918,000,0,,국립축산과학원축산자원개발부난지축산연구센터_제주특별자치도제주시오등동산***
15,종축업,02_04_06_P,4731000,473100000220190003,2019-12-04,,3,폐업,2,폐업,2026-02-12,,,,,,55438,전북특별자치도 진안군 진안읍 단양리 ***-*,전북특별자치도 진안군 진안읍 내사양길 **,55438,마이산종계장,2026-02-13 09:12:15,U,2026-02-15 02:40:00,종계업,237904.956438989,252183.454083411,종축업,종계업,742,000,0,,마이산종계장_전북특별자치도진안군진안읍단양리***-*
14,종축업,02_04_06_P,4830000,483000000220190001,2019-08-08,,1,영업/정상,0,정상,,,,,,,,"전라남도 나주시 남평읍 상곡리 *-* 외 **필지(*-*,*-*,*-*,*-*~**,산**-*)",,,해담농장,2026-02-13 17:43:36,U,2026-02-15 02:40:00,종오리업,187368.503940426,164786.808800878,종축업,종오리업,3498,000,0,,"해담농장_전라남도나주시남평읍상곡리*-*외**필지(*-*,*-*,*-*,*-*~**,산**-*)"
12,종축업,02_04_06_P,4480000,448000000220160001,2016-05-13,,1,영업/정상,0,정상,,,,,,,27000,,충청북도 단양군 적성면 금수산로 ***-** (단양유기농원),27000,영농조합법인 도야지친구들,2026-02-12 16:16:35,U,2026-02-14 02:40:00,종돈업,314498.050639693,389999.618261336,종축업,종돈업,248,L00,0,,영농조합법인도야지친구들_
6,종축업,02_04_06_P,4890000,489000000220140001,2014-01-17,,1,영업/정상,0,정상,,,,,,,546-801,전라남도 보성군 보성읍 옥암리 *** 외 **필지,전라남도 보성군 보성읍 일림로 ****-**,59446,주식회사 다향팜 농업회사법인,2026-02-09 14:17:20,U,2026-02-11 02:40:00,종오리업,203841.831000641,138348.911216433,종축업,종오리업,1005,L00,0,,주식회사다향팜농업회사법인_전라남도보성군보성읍옥암리***외**필지
8,종축업,02_04_06_P,4761000,476100000220130009,2013-12-30,,1,영업/정상,0,정상,,,,,,,566-812,전북특별자치도 임실군 관촌면 복흥리,전북특별자치도 임실군 관촌면 복흥*길 **-**,55915,나래농장,2026-02-12 17:15:00,U,2026-02-14 02:40:00,종계업,227983.28607436,241357.591586008,종축업,종계업,1180,000,0,,나래농장_전북특별자치도임실군관촌면복흥리
4,종축업,02_04_06_P,4540000,454000000220040004,2004-06-22,,3,폐업,2,폐업,2026-02-05,,,,,0.0,320-861,충청남도 논산시 부적면 감곡리 **-*,충청남도 논산시 부적면 충곡로 ***-**,,동일농장,2026-02-05 14:26:51,U,2026-02-07 02:40:00,종계업,215411.016005134,300062.366570952,종축업,종계업,21,000,0,,동일농장_충청남도논산시부적면감곡리**-*
13,종축업,02_04_06_P,4550000,455000000220030004,2003-03-04,,1,영업/정상,0,정상,,,,,,6520.0,312-931,"충청남도 금산군 진산면 묵산리 *** 외 *필(***-*, ***-*)",,,진산농장,2026-02-13 11:22:51,U,2026-02-15 02:40:00,종계업,231939.56269027,293404.145027243,종축업,종계업,3,000,0,,"진산농장_충청남도금산군진산면묵산리***외*필(***-*,***-*)"
5,종축업,02_04_06_P,4311000,431000000219960002,1996-02-09,,1,영업/정상,0,정상,,,,,033-441-4829,4297.0,209-831,강원특별자치도 화천군 사내면 광덕리 ***,강원특별자치도 화천군 사내면 도일길 ***-**,24150,경기양돈,2026-02-06 10:15:21,U,2026-02-08 02:40:00,종돈업,243183.9806701,509245.871315315,종축업,종돈업,4,000,0,,경기양돈_강원특별자치도화천군사내면광덕리***
2,종축업,02_04_06_P,5530000,553000000219940002,1994-07-06,,3,폐업,2,폐업,2016-04-29,,,,356-2453,0.0,445-100,경기도 화성시 만세구 남양읍 안석리 **,,,안석종계장,2016-04-29 09:07:34,I,2026-02-04 01:35:23,종계업,184627.761918486,407761.341059807,종축업,종계업,67,000,0,,안석종계장_경기도화성시만세구남양읍안석리**
