번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),수리대상 의료기기의 유형,다른 겸업 여부,총규모,영업규모,Unnamed: 32,record_key
224,의료기기판매(임대)업,01_02_03_P,3200000,PHMG120263200033047000010,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,서울특별시 관악구 봉천동 ***-** *층 ***A호,"서울특별시 관악구 봉천로 ***-*, *층 ***A호 (봉천동)",08757,뉴케온,2026-03-05 17:12:51,I,2026-03-07 00:20:02,,195090.503650762,442274.625918035,,,,,,뉴케온_서울특별시관악구봉천동***-***층***A호
207,의료기기판매(임대)업,01_02_03_P,3940000,PHMG120263940140047000013,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,경기도 고양시 일산서구 탄현동 **** 일산 위브더제니스,"경기도 고양시 일산서구 일현로 **-**, ***동 ****호 (탄현동, 일산 위브더제니스)",10242,가전팔이소년,2026-03-05 16:12:25,I,2026-03-07 00:20:02,,179005.665068939,465786.029740427,,,,,,가전팔이소년_경기도고양시일산서구탄현동****일산위브더제니스
205,의료기기판매(임대)업,01_02_03_P,3940000,PHMG120263940139047000019,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,경기도 고양시 일산동구 장항동 *** 센트럴프라자 ***(일부)호,"경기도 고양시 일산동구 정발산로 **-**, 센트럴프라자 ***(일부)호 (장항동)",10402,팔방미인 주식회사,2026-03-05 15:40:37,I,2026-03-07 00:20:02,,179935.267998763,461800.124782342,,,3.3,,,팔방미인주식회사_경기도고양시일산동구장항동***센트럴프라자***(일부)호
212,의료기기판매(임대)업,01_02_03_P,5530000,PHMG120265530658047000003,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,,경기도 화성시 만세구 팔탄면 온천로 ***,18577,하하메디,2026-03-05 13:50:58,I,2026-03-07 00:20:02,,187801.062744432,403927.819509856,,,393.04,,,하하메디_
200,의료기기판매(임대)업,01_02_03_P,4191000,PHMG120264191050047000018,2026-03-05,,1,영업/정상,13,영업중,,,,,070-4132-0460,,,강원특별자치도 원주시 단계동 ***-* 동보렉스*차아파트,"강원특별자치도 원주시 원문로 ***-*, 동보렉스*차아파트 상가동 *층 ***-디**호 (단계동)",26408,주식회사 삼공공,2026-03-05 09:56:37,I,2026-03-07 00:20:02,,282590.931915291,428679.055020517,,,1.2,,,주식회사삼공공_강원특별자치도원주시단계동***-*동보렉스*차아파트
198,의료기기판매(임대)업,01_02_03_P,5350000,PHMG120265350356047000005,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,경상남도 김해시 진례면 고모리 ****-*,"경상남도 김해시 진례면 테크노밸리로 ***-**, *층 일부호",50875,원일,2026-03-05 16:38:48,I,2026-03-07 00:20:02,,361074.741069611,199046.294048352,,,33.51,,,원일_경상남도김해시진례면고모리****-*
256,의료기기판매(임대)업,01_02_03_P,4610000,PHMG120144610020047000011,2026-03-05,,3,폐업,3,폐업,2026-03-05,,,,041-332-8815,,,충청남도 예산군 예산읍 예산리 ***-*,충청남도 예산군 예산읍 천변로 ***,32437,씨유 예산 육거리점,2026-03-05 17:02:33,U,2026-03-07 02:40:00,,186463.00744654,352986.651011401,,,58.51,,,씨유예산육거리점_충청남도예산군예산읍예산리***-*
217,의료기기판매(임대)업,01_02_03_P,3940000,PHMG120263940139047000018,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,경기도 고양시 일산동구 장항동 ***-* 드림월드빌딩 ***호,"경기도 고양시 일산동구 정발산로 **, 드림월드빌딩 ***호 (장항동)",10402,20.브로우,2026-03-05 14:12:57,I,2026-03-07 00:20:02,,179703.277546761,461593.64421342,,,90.44,,,20.브로우_경기도고양시일산동구장항동***-*드림월드빌딩***호
232,의료기기판매(임대)업,01_02_03_P,4181000,PHMG120264181030047000012,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,강원특별자치도 춘천시 사농동 ***-***,"강원특별자치도 춘천시 신샘밭로 ***-*, ***호 (사농동)",24207,빛나는날,2026-03-05 13:36:35,I,2026-03-07 00:20:02,,263494.727825936,491373.69077673,,,9.6,,,빛나는날_강원특별자치도춘천시사농동***-***
234,의료기기판매(임대)업,01_02_03_P,3670000,PHMG120263670022047000010,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,대전광역시 유성구 장대동 ***-** 엘지빌라,"대전광역시 유성구 유성대로***번길 **-**, 엘지빌라 지상 *층 (장대동)",34135,엔지에스바이오,2026-03-05 13:10:51,I,2026-03-07 00:20:02,,230259.063809431,318398.601962514,,,,,,엔지에스바이오_대전광역시유성구장대동***-**엘지빌라
253,의료기기판매(임대)업,01_02_03_P,5670000,PHMG120265670066047000012,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,경상남도 창원시 마산합포구 해운동 **-* 대동씨코아,"경상남도 창원시 마산합포구 월영동로 *, *층 ***호 (해운동, 대동씨코아)",51749,엠디엠(MDM),2026-03-05 13:50:46,I,2026-03-07 00:20:02,,342254.943847155,187846.078472269,,,,,,엠디엠(MDM)_경상남도창원시마산합포구해운동**-*대동씨코아
251,의료기기판매(임대)업,01_02_03_P,4231000,PHMG120264231038047000004,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,강원특별자치도 속초시 중앙동 ***-**,강원특별자치도 속초시 중앙로 *** (중앙동),24824,프라임메디칼,2026-03-05 16:30:40,I,2026-03-07 00:20:02,,339454.971931955,523839.972400161,,,,,,프라임메디칼_강원특별자치도속초시중앙동***-**
225,의료기기판매(임대)업,01_02_03_P,3930000,PHMG120263930154047000016,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,경기도 안산시 단원구 원곡동 **** 초지역메이저타운푸르지오-에코단지,"경기도 안산시 단원구 원선*로 **, ***동 ****호 (원곡동, 초지역메이저타운푸르지오-에코단지)",15388,다온상사,2026-03-05 10:51:48,I,2026-03-07 00:20:02,,182498.919083968,424680.284722269,,,,,,다온상사_경기도안산시단원구원곡동****초지역메이저타운푸르지오-에코단지
236,의료기기판매(임대)업,01_02_03_P,3370000,PHMG120263370022047000016,2026-03-05,,1,영업/정상,13,영업중,,,,,051-945-0031,,,부산광역시 연제구 거제동 ****-*,"부산광역시 연제구 월드컵대로 ***, *층 (거제동)",47525,(주)올케어테크,2026-03-05 11:18:31,I,2026-03-07 00:20:02,,388711.770735135,189698.203311792,,,161.82,,,(주)올케어테크_부산광역시연제구거제동****-*
206,의료기기판매(임대)업,01_02_03_P,3940000,PHMG120263940139047000020,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,경기도 고양시 일산동구 장항동 ***-* 드림월드빌딩 ***(일부)호,"경기도 고양시 일산동구 정발산로 **, 드림월드빌딩 ***(일부)호 (장항동)",10402,투더브이,2026-03-05 17:36:43,I,2026-03-07 00:20:02,,179703.277546761,461593.64421342,,,,,,투더브이_경기도고양시일산동구장항동***-*드림월드빌딩***(일부)호
240,의료기기판매(임대)업,01_02_03_P,3990000,PHMG120263990309047000012,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,경기도 남양주시 다산동 ****-*,"경기도 남양주시 다산중앙로***번길 **-**, ***-**호 (다산동)",12285,환메드,2026-03-05 14:27:12,I,2026-03-07 00:20:02,,213607.585329841,458106.015082575,,,,,,환메드_경기도남양주시다산동****-*
