"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","욕실수","발한실여부","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"1","목욕장업","11_44_01_P","3820000","3820000-202-1992-00003","1992-10-19","","01","영업/정상","01","영업","","","","","031 8561900","775.13","480-838","경기도 의정부시 용현동 235-8","경기도 의정부시 오목로15번길 2 (용현동)","11791","용현 사우나","2026-03-03 14:59:48","U","2026-03-05 02:40:00","공동탕업","207395.449345705","470042.246495316","공동탕업","0","0","0","0","0","0","0","N","","","","","0","0","N",
"2","목욕장업","11_44_01_P","3080000","3080000-202-2026-00001","2026-02-10","","01","영업/정상","01","영업","","","","","029934644","1028.43","142-871","서울특별시 강북구 우이동 246","서울특별시 강북구 삼양로179길 212-22 (우이동)","01000","우이령불가마 주쉼사우나","2026-03-03 15:21:07","U","2026-03-05 02:40:00","공동탕업+찜질시설서비스영업","200446.194609898","463155.930301289","공동탕업+찜질시설서비스영업","0","0","0","0","0","0","2","Y","","","","","0","0","N",
"3","목욕장업","11_44_01_P","5310000","5310000-202-2007-00004","2007-09-10","","01","영업/정상","01","영업","","","","","055 761 3337","886.94","660-300","경상남도 진주시 가좌동 480-1","경상남도 진주시 진주대로 530 (가좌동)","52827","진주 대영사우나","2026-03-03 10:41:35","U","2026-03-05 02:40:00","공동탕업","300778.078030297","184419.667317404","공동탕업","7","1","4","5","0","0","2","N","","","","임대","0","0","N",
"4","목욕장업","11_44_01_P","4181000","4181000-202-2023-00002","2023-08-07","","01","영업/정상","01","영업","","","","","","265.69","","강원특별자치도 춘천시 동면 만천리 326-30","강원특별자치도 춘천시 동면 순환대로 1156-21, 1층","24212","모토모토리조트","2026-03-04 14:45:10","U","2026-03-06 02:40:00","찜질시설서비스영업","268488.631359992","487185.991010778","찜질시설서비스영업","3","1","1","1","0","0","2","N","","","","","0","0","Y",
"5","목욕장업","11_44_01_P","3620000","3620000-202-1993-00003","1993-09-08","","03","폐업","02","폐업","2026-03-04","","","","062 527 9948","479.88","500-830","광주광역시 북구 신안동 252-2","광주광역시 북구 무등로114번길 9 (신안동)","61248","동양사우나","2026-03-04 10:10:32","U","2026-03-06 02:40:00","공동탕업","190479.659928671","185326.509620948","공동탕업","5","1","2","3","0","0","3","Y","","","","","0","0","N",
"6","목욕장업","11_44_01_P","5710000","5720000-202-2026-00001","2026-03-04","","01","영업/정상","01","영업","","","","","043288 2556","234.61","360-872","충청북도 청주시 상당구 미원면 옥화리 71-2","충청북도 청주시 상당구 미원면 운암옥화길 221 (관리동 및 1~8동)","28201","청주 핀란드사우나 숨결","2026-03-05 13:24:05","I","2026-03-07 00:20:02","찜질시설서비스영업","262213.008427196","345372.596444823","찜질시설서비스영업","1","0","1","1","0","0","0","Y","","","","자가","0","0","N",
"7","목욕장업","11_44_01_P","4321000","4321000-202-2019-00001","2019-11-04","","01","영업/정상","01","영업","","","","","","1068.12","","강원특별자치도 양구군 양구읍 고대리 471-1","강원특별자치도 양구군 양구읍 성곡로 173-7","24514","양구 첨성대 불가마 찜질방","2026-03-05 14:20:00","U","2026-03-07 02:40:00","목욕장업 기타","286567.692622505","514871.50999316","목욕장업 기타","1","1","1","0","1","0","2","N","","","","자가","0","0","N",
"8","목욕장업","11_44_01_P","6520000","6520000-202-2005-00001","2005-01-24","","01","영업/정상","01","영업","","","","","064 7380778","900.05","697-301","제주특별자치도 서귀포시 상예동 2844","제주특별자치도 서귀포시 소보리당로164번길 61 (상예동)","63537","산남주민지원협의체 예래헬스사우나","2026-03-05 10:47:49","U","2026-03-07 02:40:00","공동탕업","142563.513944449","-25653.567593538","공동탕업","2","1","1","0","0","0","0","N","","","","임대","0","0","N",
"9","목욕장업","11_44_01_P","6520000","6520000-202-2016-00001","2016-08-30","","01","영업/정상","01","영업","","","","","064 802 3031","335.46","697-806","제주특별자치도 서귀포시 법환동 745-5","제주특별자치도 서귀포시 김정문화로 51 (법환동)","63566","라메르사우나","2026-03-05 13:04:41","U","2026-03-07 02:40:00","공동탕업","154290.73429657","-27065.1568545862","공동탕업","10","2","0","0","2","2","4","N","","","","","0","0","N",
"10","목욕장업","11_44_01_P","3490000","3490000-202-2018-00001","2018-01-29","","01","영업/정상","01","영업","","","","","032 743 7042","851.47","400-722","인천광역시 중구 운서동 2840 인천공항","인천광역시 중구 공항로 272, 인천공항제1여객터미널 지하동 1층 (운서동)","22382","(주)아워홈 T1점 [B1 스파앳홈]","2026-03-05 17:58:20","U","2026-03-07 02:40:00","공동탕업+찜질시설서비스영업","150478.659112989","442070.010214354","공동탕업+찜질시설서비스영업","0","0","0","0","0","0","2","Y","","","","","0","0","N",
"11","목욕장업","11_44_01_P","3490000","3490000-202-2022-00001","2022-12-07","","01","영업/정상","01","영업","","","","","032 310 7281","210.04","400-004","인천광역시 중구 운서동 3233-14 ,2층 일부","인천광역시 중구 제2터미널대로 340, 2층 일부 (운서동)","22382","이비스스타일 앰배서더 인천에어포트 사우나","2026-03-05 17:53:37","U","2026-03-07 02:40:00","공동탕업","148654.042644884","442246.262657963","공동탕업","0","0","0","0","0","0","2","Y","","","","","0","0","N",
"12","목욕장업","11_44_01_P","4490000","5650000-202-2021-00001","2021-07-02","","01","영업/정상","01","영업","","","","","","1179.00","330-270","충청남도 천안시 동남구 청당동 512 5층, 6층, 7층 일부 704호","충청남도 천안시 동남구 청수11로 16, 5,6,7층 (704)호 (청당동)","31198","청수탕","2026-03-05 14:25:49","U","2026-03-07 02:40:00","공동탕업","213686.931759981","364597.424003468","공동탕업","0","0","5","7","0","0","2","Y","","","","","0","0","Y",
"13","목욕장업","11_44_01_P","5670000","5670156-202-2003-00005","2003-09-09","","01","영업/정상","01","영업","","","","","055 271 7717","1844.36","631-822","경상남도 창원시 마산합포구 진북면 망곡리 480 (1,2,3층)","경상남도 창원시 마산합포구 진북면 진북산업로 308 ((1,2,3층))","51788","진북황실온천타운","2026-03-05 14:17:27","U","2026-03-07 02:40:00","공동탕업","335153.717201617","183622.679033292","공동탕업","6","1","1","2","0","0","2","N","","","","자가","0","0","N",
"14","목욕장업","11_44_01_P","5050000","5050000-202-2001-00001","2001-08-14","","03","폐업","02","폐업","2024-07-01","","","","054 772 5326","127.80","780-943","경상북도 경주시 성건동 339-27","경상북도 경주시 동성로 65-7 (성건동)","38155","정화목욕탕","2026-03-05 09:45:59","U","2026-03-07 02:40:00","공동탕업","399372.966010584","262651.67055754","공동탕업","0","0","0","0","0","0","2","Y","","","","임대","0","0","N",
"15","목욕장업","11_44_01_P","4390000","4390000-202-2018-00002","2018-10-30","","01","영업/정상","01","영업","","","","","043 854 5554","245.44","380-080","충청북도 충주시 봉방동 855","충청북도 충주시 중원대로 3496 (봉방동)","27429","그랜드스테이호텔 사우나","2026-03-05 14:05:44","U","2026-03-07 02:40:00","공동탕업","281453.201054868","385815.39198977","공동탕업","0","0","0","0","0","0","1","N","","","","임대","0","0","N",
