"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수","주사육업종",
"263","가축사육업","02_04_01_P","5450000","545000003320050076","2005-07-26","","01","영업/정상","0000","정상","","","","","055-973-7184","0","","경상남도 산청군 단성면 남사리 ***","경상남도 산청군 단성면 반송길 **","52252","해온농장","2026-04-03 09:26:34","U","2026-04-05 02:40:00","","284011.965779503","196497.037235023","가축사육업","","92","000","0","돼지",
"264","가축사육업","02_04_01_P","5430000","543000003320100012","2010-11-09","","01","영업/정상","0000","정상","","","","","","0","668-881","경상남도 남해군 고현면 갈화리 ***","경상남도 남해군 고현면 남서대로 ****-***","52405","신호현농장","2026-04-03 11:32:07","U","2026-04-05 02:40:00","","277017.031228256","154838.353649162","가축사육업","","556","000","0","한우",
"265","가축사육업","02_04_01_P","5390000","539000003320080015","2008-03-15","","01","영업/정상","0000","정상","","","","","","0","","경상남도 의령군 유곡면 송산리 ***-**,**,**,**,**,**,**","경상남도 의령군 유곡면 청정로 ****-**","52114","산내농장","2026-04-03 13:21:14","U","2026-04-05 02:40:00","","316031.916449188","215259.36206342","가축사육업","","266","000","0","한우",
"266","가축사육업","02_04_01_P","4791000","479100003320050150","2005-09-30","","01","영업/정상","0000","정상","","","","","","0","579-923","전북특별자치도 부안군 주산면 사산리 ***-** 외 *필지(***-**)","전북특별자치도 부안군 주산면 선돌로 ***-*","56327","이상대농장","2026-04-03 11:10:25","U","2026-04-05 02:40:00","","173394.526435847","240978.453042855","가축사육업","","175","000","0","한우",
"267","가축사육업","02_04_01_P","4600000","460000003320200062","2020-10-12","","01","영업/정상","0000","정상","","","","","","","","충청남도 홍성군 갈산면 신안리 ***-*","충청남도 홍성군 갈산면 수덕사로 ***-**","32201","효준농장","2026-04-03 08:56:09","U","2026-04-05 02:40:00","","162989.824978136","345440.64119553","가축사육업","","4117","000","0","한우",
"268","가축사육업","02_04_01_P","4791000","479100003320130010","2013-02-18","","01","영업/정상","0000","정상","","","","","","","579-923","전북특별자치도 부안군 주산면 사산리 ***-* 외 *필지(***-*,***-*,***-**,***-**)","전북특별자치도 부안군 주산면 선돌로 ***-*","56327","이정순농장","2026-04-03 11:26:41","U","2026-04-05 02:40:00","","173355.660016794","241017.666862534","가축사육업","","1266","000","0","한우",
"269","가축사육업","02_04_01_P","4420000","442000003320040019","2004-07-27","","01","영업/정상","0000","정상","","","","","","0","376-862","충청북도 보은군 속리산면 북암리 ***-*","충청북도 보은군 속리산면 북암*길 **","","대풍농장","2026-04-03 15:11:07","U","2026-04-05 02:40:00","","269817.078302426","338318.856894073","가축사육업","","19","L00","0","종계/산란계",
"270","가축사육업","02_04_01_P","4900000","490000003320180024","2018-10-11","","01","영업/정상","0000","정상","","","","","","","","전라남도 화순군 화순읍 삼천리 ***-** *동 중 *동","전라남도 화순군 화순읍 덕음로 ***-**","58140","둥지농장","2026-04-03 11:18:16","U","2026-04-05 02:40:00","","198616.417176817","171201.115172443","가축사육업","","1238","000","0","종계/산란계",
"271","가축사육업","02_04_01_P","4960000","496000003320220019","2022-07-29","","01","영업/정상","0000","정상","","","","","","","","전라남도 함평군 나산면 우치리 ***-*","전라남도 함평군 나산면 우치길 ***","57129","대명축산","2026-04-03 09:58:57","U","2026-04-05 02:40:00","","163491.895411996","183005.753762057","가축사육업","","2425","000","0","한우",
"272","가축사육업","02_04_01_P","4460000","446000003320050079","2005-07-18","","01","영업/정상","0000","정상","","","","","836-2100","0","367-821","충청북도 괴산군 사리면 소매리 ***-*","","","용암농장","2026-04-03 17:07:33","U","2026-04-05 02:40:00","","258561.993666667","371120.117666667","가축사육업","","166","000","0","종계/산란계",
"273","가축사육업","02_04_01_P","4460000","446000003320060036","2006-03-16","","01","영업/정상","0000","정상","","","","","832-8063","0","367-922","충청북도 괴산군 소수면 입암리 ***","충청북도 괴산군 소수면 소수로*길 **","","눈비산마을 공동체 농장","2026-04-03 16:21:26","U","2026-04-05 02:40:00","","266045.09571062","372153.225468314","가축사육업","","298","000","0","종계/산란계",
"274","가축사육업","02_04_01_P","4460000","446000003320080006","2008-02-21","","01","영업/정상","0000","정상","","","","","833-0729","0","367-847","충청북도 괴산군 청천면 삼송리 ***","충청북도 괴산군 청천면 삼송길 **-**","","자연속[애]유정란","2026-04-03 15:24:55","U","2026-04-05 02:40:00","","278731.615888944","351512.9763984","가축사육업","","396","000","0","종계/산란계",
"275","가축사육업","02_04_01_P","4940000","494000003320200111","2020-11-27","","03","폐업","0002","폐업","2026-04-03","","","","","","","전라남도 영암군 군서면 동호리 **-*","전라남도 영암군 군서면 영산로 ****","58433","여지축산","2026-04-03 19:50:14","U","2026-04-05 02:40:00","","166320.17972048","143058.667316019","가축사육업","","1838","000","0","한우",
"276","가축사육업","02_04_01_P","4500000","450000003320200061","2020-12-21","","03","폐업","0002","폐업","2026-04-03","","","","","","","충청남도 공주시 우성면 죽당리 **","","","쌍봉축산","2026-04-03 16:48:37","U","2026-04-05 02:40:00","","204106.097169564","325107.376379418","가축사육업","","3182","000","0","한우",
"277","가축사육업","02_04_01_P","5230000","523000003320220038","2022-06-07","","01","영업/정상","0000","정상","","","","","","","","경상북도 예천군 은풍면 오류리 ***-*","","","예천세종농장","2026-04-03 13:59:40","U","2026-04-05 02:40:00","","327941.163470257","359849.773366137","가축사육업","","2786","000","0","한우",
"278","가축사육업","02_04_01_P","4060000","406000003320220012","2022-05-11","","01","영업/정상","0000","정상","","","","","","","","경기도 파주시 야동동 ***","경기도 파주시 평화로 ***-*(야동동)","10856","농업회사법인 더 팸팜","2026-04-03 11:09:10","U","2026-04-05 02:40:00","","178309.26912199","474396.559833959","가축사육업","","1486","000","0","종계/산란계",
"279","가축사육업","02_04_01_P","5360000","536000003320190026","2019-09-10","","01","영업/정상","0000","정상","","","","","","","","경상남도 밀양시 초동면 대곡리 ****","","","자방유농장","2026-04-04 08:51:55","U","2026-04-06 02:40:00","","351011.217807238","211467.174943328","가축사육업","","839","000","0","종계/산란계",
"280","가축사육업","02_04_01_P","4810000","481000003320160020","2016-02-29","","01","영업/정상","0000","정상","","","","","","","556-905","전라남도 여수시 돌산읍 서덕리 ***","전라남도 여수시 돌산읍 서기동길 **-**","59775","까치농장","2026-04-04 12:04:21","U","2026-04-06 02:40:00","","270411.539991198","127329.3822482","가축사육업","","575","000","0","한우",
"281","가축사육업","02_04_01_P","5360000","536000003320040012","2004-12-06","","01","영업/정상","0000","정상","","","","","","0","627-871","경상남도 밀양시 무안면 모로리 ***-* 외 *필지, ***-* 외 *필지","경상남도 밀양시 무안면 모로길 **-** (외 *필지, ***-* 외 *필지)","","오영축산","2026-04-04 09:13:50","U","2026-04-06 02:40:00","","349122.115919837","219577.080305035","가축사육업","","19","000","0","종계/산란계",
"282","가축사육업","02_04_01_P","5360000","536000003320040015","2004-12-06","","01","영업/정상","0000","정상","","","","","352-2180","0","627-873","경상남도 밀양시 무안면 마흘리 ****-* 외 *필지","경상남도 밀양시 무안면 신생길 ***-**","50405","구미농장","2026-04-04 08:58:19","U","2026-04-06 02:40:00","","352720.138067314","222481.893861717","가축사육업","","22","000","0","종계/산란계",
"283","가축사육업","02_04_01_P","5360000","536000003320050098","2005-06-09","","01","영업/정상","0000","정상","","","","","352-4895","0","627-912","경상남도 밀양시 상남면 조음리 ***","경상남도 밀양시 상남면 조음로 ***-**","","해영축산","2026-04-04 08:47:10","U","2026-04-06 02:40:00","","358985.866521031","213470.143233126","가축사육업","","129","000","0","종계/산란계",
"284","가축사육업","02_04_01_P","5360000","536000003320050100","2005-06-09","","01","영업/정상","0000","정상","","","","","","0","627-874","경상남도 밀양시 무안면 무안리 ****-* 외*필지","경상남도 밀양시 무안면 사명대사생가로 ***-* (외*필지)","","보배농원","2026-04-04 08:54:21","U","2026-04-06 02:40:00","","348557.569551048","220327.394024272","가축사육업","","131","000","0","종계/산란계",
"285","가축사육업","02_04_01_P","5360000","536000003320050174","2005-07-05","","01","영업/정상","0000","정상","","","","","355-3758","0","627-911","경상남도 밀양시 상남면 기산리 ****-*","경상남도 밀양시 상남면 기산*길 **-**","","에덴농장","2026-04-04 08:40:30","U","2026-04-06 02:40:00","","358333.737448303","218611.612510192","가축사육업","","205","000","0","종계/산란계",
"286","가축사육업","02_04_01_P","5360000","536000003320040019","2004-12-10","","01","영업/정상","0000","정상","","","","","352-7106","0","627-871","경상남도 밀양시 무안면 연상리 **-*","경상남도 밀양시 무안면 신연로 ***-**","","이원축산","2026-04-04 09:03:21","U","2026-04-06 02:40:00","","351927.434130261","219118.149335681","가축사육업","","26","000","0","종계/산란계",
"287","가축사육업","02_04_01_P","5360000","536000003320040022","2004-12-10","","01","영업/정상","0000","정상","","","","","","0","627-891","경상남도 밀양시 하남읍 남전리 ****-*","경상남도 밀양시 하남읍 남전*길 **-**","","부광농원","2026-04-04 08:28:01","U","2026-04-06 02:40:00","","355456.39284389","214110.730797984","가축사육업","","29","000","0","종계/산란계",
"288","가축사육업","02_04_01_P","5060000","506000003320080058","2008-03-25","","03","폐업","0002","폐업","2026-03-31","","","","","0","740-832","경상북도 김천시 어모면 옥율리 ***","경상북도 김천시 어모면 옥율길 ***-*","","신윤덕농장","2026-04-05 11:26:58","U","2026-04-07 02:40:00","","299105.273264404","297255.778849169","가축사육업","","953","000","0","돼지",
"289","가축사육업","02_04_01_P","4520000","452000003320080019","2008-04-08","","01","영업/정상","0000","정상","","","","","","0","","충청남도 아산시 탕정면 호산리 ***-** 외 *필지","충청남도 아산시 탕정면 탕정면로***번길 **","31459","성교목장","2026-04-05 17:18:32","U","2026-04-07 02:40:00","","207376.211756727","368167.974246662","가축사육업","","831","000","0","젖소",
"290","가축사육업","02_04_01_P","5060000","506000003320080131","2008-07-09","","03","폐업","0002","폐업","2026-03-31","","","","435-6475","0","740-931","경상북도 김천시 지례면 거물리 ***","","","동일농장","2026-04-05 11:31:48","U","2026-04-07 02:40:00","","294404.324912308","274697.906478545","가축사육업","","1026","000","0","한우",
"291","가축사육업","02_04_01_P","5060000","506000003320130131","2013-12-15","","03","폐업","0002","폐업","2026-03-31","","","","","","740-832","경상북도 김천시 어모면 옥율리 ***-*","경상북도 김천시 어모면 옥율*길 ***-**","39504","월수농장","2026-04-05 11:26:03","U","2026-04-07 02:40:00","","299239.700854744","297948.978306728","가축사육업","","1475","000","0","한우",
"292","가축사육업","02_04_01_P","5060000","506000003320130110","2013-12-11","","03","폐업","0002","폐업","2026-03-31","","","","","","740-812","경상북도 김천시 대항면 대성리 ***","","","공자동농장","2026-04-05 11:21:56","U","2026-04-07 02:40:00","","291198.712676143","285923.932774749","가축사육업","","1454","000","0","한우",
"293","가축사육업","02_04_01_P","5060000","506000003320130175","2013-12-19","","03","폐업","0002","폐업","2026-03-31","","","","","","740-853","경상북도 김천시 감문면 송북리 ***","","","영철농장","2026-04-05 11:20:36","U","2026-04-07 02:40:00","","303799.747229015","305923.41663014","가축사육업","","1519","000","0","한우",
"294","가축사육업","02_04_01_P","5060000","506000003320140250","2014-01-26","","03","폐업","0002","폐업","2026-03-31","","","","","","740-960","경상북도 김천시 증산면 부항리 ***","경상북도 김천시 증산면 부항*길 **-*","39695","김복진농장","2026-04-05 11:28:04","U","2026-04-07 02:40:00","","291654.202134561","269861.146034192","가축사육업","","1852","000","0","한우",
"295","가축사육업","02_04_01_P","5060000","506000003320140228","2014-01-25","","03","폐업","0002","폐업","2026-03-31","","","","","","740-960","경상북도 김천시 증산면 장전리 **","","","정학준농장","2026-04-05 11:28:58","U","2026-04-07 02:40:00","","296719.257330991","263734.976541518","가축사육업","","1830","000","0","한우",
"296","가축사육업","02_04_01_P","5060000","506000003320140101","2014-01-20","","03","폐업","0002","폐업","2026-03-31","","","","437-4252","","740-812","경상북도 김천시 대항면 대성리 ***","","","유영경농장","2026-04-05 11:23:06","U","2026-04-07 02:40:00","","","","가축사육업","","1703","000","0","한우",
"297","가축사육업","02_04_01_P","5060000","506000003320140356","2014-02-17","","03","폐업","0002","폐업","2026-03-31","","","","","","740-940","경상북도 김천시 부항면 어전리 ***","경상북도 김천시 부항면 어전로 ***","39688","박창석농장","2026-04-05 11:24:14","U","2026-04-07 02:40:00","","282835.038069032","276240.050716014","가축사육업","","1958","000","0","한우",
"298","가축사육업","02_04_01_P","5060000","506000003320140436","2014-02-22","","03","폐업","0002","폐업","2026-03-31","","","","","","740-860","","경상북도 김천시 아포읍 금계길 **","39676","김강희농장","2026-04-05 11:25:08","U","2026-04-07 02:40:00","","314856.087104572","295256.810815646","가축사육업","","2038","000","0","한우",
"299","가축사육업","02_04_01_P","5060000","506000003320050014","2005-02-11","","03","폐업","0002","폐업","2026-03-31","","","","435-0061","0","740-931","경상북도 김천시 지례면 상부리 ***","경상북도 김천시 지례면 상부길 **-*","","상부농장","2026-04-05 11:29:58","U","2026-04-07 02:40:00","","292649.642345203","276250.469148732","가축사육업","","48","000","0","한우",
"300","가축사육업","02_04_01_P","5060000","506000003320140152","2014-01-21","","03","폐업","0002","폐업","2026-03-31","","","","","","740-850","경상북도 김천시 감문면 금곡리 ****","경상북도 김천시 감문면 금곡*길 ***-**","39509","윤화채농장","2026-04-05 11:19:29","U","2026-04-07 02:40:00","","304119.169367","303510.256353787","가축사육업","","1754","000","0","한우",
"301","가축사육업","02_04_01_P","3730000","373000003320160036","2016-07-11","","01","영업/정상","0000","정상","","","","","","","","울산광역시 울주군 언양읍 반곡리 ***","울산광역시 울주군 언양읍 언동*길 **-**","44935","양옥자","2026-04-05 17:53:04","U","2026-04-07 02:40:00","","393988.544466466","235698.2947125","가축사육업","","2741","000","0","한우",
"302","가축사육업","02_04_01_P","5060000","506000003320130093","2013-12-11","","03","폐업","0002","폐업","2026-03-31","","","","431-6862","","740-881","경상북도 김천시 농소면 봉곡리 ****-**","경상북도 김천시 농소면 봉곡*길 **-*","39678","영부농장","2026-04-05 11:30:55","U","2026-04-07 02:40:00","","306313.030833282","286834.395022377","가축사육업","","1437","000","0","한우",
"303","가축사육업","02_04_01_P","5310000","531000003320050149","2005-07-12","","01","영업/정상","0000","정상","","","","","","0","660-872","경상남도 진주시 이반성면 용암리 ***-*","경상남도 진주시 이반성면 반성로 ***-**","","민희영농조합법인","2026-04-05 16:49:23","U","2026-04-07 02:40:00","","319486.224232186","186837.15363971","가축사육업","","166","L00","0","종계/산란계",
