"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분","건축물명","건축물연면적","건축물상태명","청소대상시작일자","청소대상종료일자","휴업폐지사유","업무구분명",
"1","저수조청소업","09_30_14_P","4050000","405000031202600002","2026-02-27","","01","영업/정상","11","정상","","","","","070-4252-8006","","","경기도 용인시 기흥구 중동 ***-* 에이스 프라자","경기도 용인시 기흥구 동백중앙로 ***, 에이스 프라자 ***호 (중동)","17006","(주)생활과환경","2026-03-03 16:19:54","I","2026-03-05 00:20:02","","213415.940300868","418827.208593607","31","","0","","","","","저수조청소업",
"2","저수조청소업","09_30_14_P","4181000","418100031201800004","2018-11-15","","04","취소/말소/만료/정지/중지","4","폐쇄","2026-02-26","","","","264-6777","","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 춘천순환로**번길 **-**","24405","(주)성화","2026-03-03 10:20:44","U","2026-03-05 02:40:00","","266388.743926607","483731.30804211","31","","0","","","","청문(2026. 2. 26.)-당사자 불참으로 직권폐쇄","저수조청소업",
"3","저수조청소업","09_30_14_P","3200000","320000031202400001","2024-10-10","","01","영업/정상","11","정상","","","","","","","","서울특별시 관악구 봉천동 ***-* 대우디오슈페리움*단지","서울특별시 관악구 관악로 ***, *층 *호 (봉천동, 대우디오슈페리움*단지)","08788","주식회사 오가피","2026-03-03 14:55:58","U","2026-03-05 02:40:00","","195785.625847341","442009.829041898","31","","0","","","","","저수조청소업",
"4","저수조청소업","09_30_14_P","5690000","569000031202400002","2024-01-04","","01","영업/정상","11","정상","","","","","044-866-9595","","","세종특별자치시 조치원읍 남리 **-* 보훈회관","세종특별자치시 조치원읍 으뜸길 **, 보훈회관","30028","세림위생공사","2026-03-03 10:03:10","U","2026-03-05 02:40:00","","226564.088925175","344061.921112358","31","","0","","","","","저수조청소업",
"5","저수조청소업","09_30_14_P","3200000","320000031200700005","2015-01-07","","01","영업/정상","11","정상","","","","","","","","서울특별시 관악구 신림동 **** 신림현대종합상가 제*층 ***호","서울특별시 관악구 신림로**길 * (신림동)","","청풍","2026-03-03 14:25:34","U","2026-03-05 02:40:00","","193957.944323928","441437.774867372","31","","0","","","","","저수조청소업",
"6","저수조청소업","09_30_14_P","3100000","310000031201000001","2010-04-21","","03","폐업","2","폐업","2026-02-25","","","","908-4473","","","서울특별시 노원구 중계동 *** *통*반 주공상가 ***호","","","(주)현우환경","2026-03-03 09:05:02","U","2026-03-05 02:40:00","","206651.699789929","461582.803734992","31","","0","","","","","저수조청소업",
"7","저수조청소업","09_30_14_P","3520000","352000031202100002","2025-02-24","","01","영업/정상","11","정상","","","","","032-816-5167","","","인천광역시 연수구 송도동 *** 송도 BRC 스마트밸리 지식산업센터","인천광역시 연수구 송도미래로 **, 송도 BRC 스마트밸리 지식산업센터 D동 **층 ****호 (송도동)","21990","(주)태호환경","2026-03-03 11:29:10","U","2026-03-05 02:40:00","","168781.930908815","429455.977053908","31","","0","","","","","저수조청소업",
"8","저수조청소업","09_30_14_P","3440000","344000031201400001","2020-07-07","","01","영업/정상","11","정상","","","","","053-475-2900","","","대구광역시 남구 이천동 ***-*","대구광역시 남구 용두방천*길 **, ***호 (이천동)","42440","(주)대명티엠에스","2026-03-04 13:59:02","U","2026-03-06 02:40:00","","344970.372229768","261823.488473195","31","","0","","","","","저수조청소업",
"9","저수조청소업","09_30_14_P","5350000","535000031202600001","2026-03-04","","01","영업/정상","11","정상","","","","","055-321-0718","","","경상남도 김해시 삼정동 **-** 성우ART빌 ***호","경상남도 김해시 활천로 **, ***호 (삼정동, 성우ART빌)","50923","퓨어픽스","2026-03-04 17:15:45","U","2026-03-06 02:40:00","","372263.089711648","194226.903369234","31","","0","","","","","저수조청소업",
"10","저수조청소업","09_30_14_P","3530000","353000031201800003","2018-08-17","","01","영업/정상","11","정상","","","","","032-429-8111","","","인천광역시 남동구 구월동 ****-* 대진빌딩","인천광역시 남동구 남동대로***번길 **, 대진빌딩 ***호 (구월동)","21556","(주)비엠지","2026-03-04 09:01:05","U","2026-03-06 02:40:00","","173861.679883203","438762.785337398","31","","0","","","","","저수조청소업",
