번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),비상시설위치,시설구분명,시설명건물명,해제일자,Unnamed: 32,record_key
486,민방위급수시설,11_46_01_P,3310000,3310000-E202600001,2026-02-12,,1,영업/정상,18,사용중,,,,,,70.0,,부산광역시 남구 대연동 730 부산대연교회,"부산광역시 남구 유엔평화로125번길 11-33, 부산대연교회 (대연동)",48531,부산대연교회,2026-02-20 14:25:57,I,2026-02-22 00:20:02,,391040.089904151,182721.896479329,부산광역시 남구 대연동 730 부산대연교회,공공용시설,부산대연교회,,,부산대연교회_부산광역시남구대연동730부산대연교회
533,민방위급수시설,11_46_01_P,3190000,3190000-E202600002,2026-02-10,,1,영업/정상,18,사용중,,,,,,123.0,,서울특별시 동작구 상도동 176-3 동작구청,"서울특별시 동작구 장승배기로 70, 동작구청 (상도동)",06963,동작구청(신청사),2026-02-25 09:26:09,U,2026-02-27 02:40:00,,194723.666799909,444690.776882951,서울특별시 동작구 상도동 176-3 동작구청,지자체시설,동작구청(신청사),,,동작구청(신청사)_서울특별시동작구상도동176-3동작구청
452,민방위급수시설,11_46_01_P,3740000,5610000-E202600001,2026-02-09,,1,영업/정상,18,사용중,,,,,,90.0,,경기도 수원시 영통구 원천동 산 42-3 합동신학대학원대학교,"경기도 수원시 영통구 광교중앙로 50, 합동신학대학원대학교 (원천동)",16517,합동신학대학원대학교,2026-02-11 17:43:03,I,2026-02-13 00:20:38,,,,경기도 수원시 영통구 원천동 산 42-3 합동신학대학원대학교,공공용시설,합동신학대학원대학교,,,합동신학대학원대학교_경기도수원시영통구원천동산42-3합동신학대학원대학교
538,민방위급수시설,11_46_01_P,4641000,4651000-E202500014,2026-02-06,,1,영업/정상,18,사용중,,,,,,136.0,,"전북특별자치도 전주시 완산구 삼천동2가 555 전주해성중,고등학교","전북특별자치도 전주시 완산구 계룡산길 88, 전주해성중,고등학교 (삼천동2가)",55074,전주해성고등학교,2026-02-26 14:32:27,I,2026-02-28 00:20:02,,209180.533947233,254115.516219164,"전북특별자치도 전주시 완산구 삼천동2가 555 전주해성중,고등학교",공공용시설,전주해성고등학교,,,"전주해성고등학교_전북특별자치도전주시완산구삼천동2가555전주해성중,고등학교"
427,민방위급수시설,11_46_01_P,3780000,3800000-E202600005,2026-02-02,2026-02-05,4,취소/말소/만료/정지/중지,19,사용중지,2026-02-05,,,,,55.0,,경기도 성남시 중원구 하대원동 408-1,,,하대원동 408-1,2026-02-06 10:55:40,U,2026-02-08 02:40:00,,212432.757656857,435915.584824954,경기도 성남시 중원구 하대원동 408-1,공공용시설,하대원동 408-1,20260205.0,,하대원동408-1_경기도성남시중원구하대원동408-1
355,민방위급수시설,11_46_01_P,3480000,3480000-E202600001,2026-01-28,,1,영업/정상,18,사용중,,,,,,100.0,,대구광역시 달성군 유가읍 유곡리 1159-2,,,정부지원 비상급수시설(유곡공원내),2026-02-05 21:19:24,I,2026-02-07 00:20:02,,331343.717275532,242495.246978055,대구광역시 달성군 유가읍 유곡리 1159-2,정부지원시설,정부지원 비상급수시설(유곡공원내),,,정부지원비상급수시설(유곡공원내)_대구광역시달성군유가읍유곡리1159-2
425,민방위급수시설,11_46_01_P,3780000,3800000-E202600001,2026-01-05,,1,영업/정상,18,사용중,,,,,,100.0,,경기도 성남시 중원구 여수동 413,경기도 성남시 중원구 돌마로 1028 (여수동),13432,성남시 체육회 축구장,2026-02-06 09:32:33,U,2026-02-08 02:40:00,,212185.080160415,435670.722516462,경기도 성남시 중원구 여수동 413,공공용시설,성남시 체육회 축구장,,,성남시체육회축구장_경기도성남시중원구여수동413
426,민방위급수시설,11_46_01_P,3780000,3800000-E202600002,2026-01-05,,1,영업/정상,18,사용중,,,,,,60.0,,경기도 성남시 중원구 도촌동 45-2,경기도 성남시 중원구 희망로 99 (도촌동),13419,인연다육농원,2026-02-06 09:33:39,U,2026-02-08 02:40:00,,213430.415708324,435290.337688909,경기도 성남시 중원구 도촌동 45-2,공공용시설,인연다육농원,,,인연다육농원_경기도성남시중원구도촌동45-2
491,민방위급수시설,11_46_01_P,4321000,4321000-E202500001,2025-12-11,,1,영업/정상,18,사용중,,,,,,160.0,,강원특별자치도 양구군 양구읍 학조리 389-1,,,민방위 비상급수시설(학조리 양묘장),2026-02-20 17:59:50,U,2026-02-22 02:40:00,,286458.971959078,507824.03183792,강원특별자치도 양구군 양구읍 학조리 389-1,공공용시설,민방위 비상급수시설(학조리 양묘장),,,민방위비상급수시설(학조리양묘장)_강원특별자치도양구군양구읍학조리389-1
490,민방위급수시설,11_46_01_P,4321000,4321000-E202300001,2025-12-11,,1,영업/정상,18,사용중,,,,,,100.0,,강원특별자치도 양구군 양구읍 안대리 144-2,,,민방위 비상급수시설(안대리 양묘장),2026-02-20 17:59:07,U,2026-02-22 02:40:00,,286186.537407682,509811.839452272,강원특별자치도 양구군 양구읍 안대리 144-2,공공용시설,민방위 비상급수시설(안대리 양묘장),,,민방위비상급수시설(안대리양묘장)_강원특별자치도양구군양구읍안대리144-2
266,민방위급수시설,11_46_01_P,3780000,3800000-E202400005,2025-11-05,,1,영업/정상,18,사용중,,,,,,77.0,,경기도 성남시 중원구 중앙동 632,,,효성중공업(주)632,2026-02-02 18:10:40,U,2026-02-04 02:40:00,,213310.35645272,437692.456428288,경기도 성남시 중원구 중앙동 632,공공용시설,효성중공업(주)632,,,효성중공업(주)632_경기도성남시중원구중앙동632
464,민방위급수시설,11_46_01_P,4641000,4661000-E202300001,2025-10-20,,1,영업/정상,18,사용중,,,,,,1000.0,,전북특별자치도 전주시 덕진구 팔복동1가 178-2,전북특별자치도 전주시 덕진구 신복로 53 (팔복동1가),54845,쿨링앤클린로드,2026-02-12 16:36:29,U,2026-02-14 02:40:00,,209705.560655998,261699.689312264,전북특별자치도 전주시 덕진구 팔복동1가 178-2,공공용시설,쿨링앤클린로드,,,쿨링앤클린로드_전북특별자치도전주시덕진구팔복동1가178-2
181,민방위급수시설,11_46_01_P,5530000,5740000-E202500015,2025-10-16,,1,영업/정상,18,사용중,,,,,,220.0,,경기도 화성시 만세구 서신면 사곶리 455-1,경기도 화성시 만세구 서신면 구러매길 82,18556,(신규)건설과 비상급수시설,2026-02-01 09:45:07,U,2026-02-04 01:35:23,,174765.882542116,406445.203352167,경기도 화성시 만세구 서신면 사곶리 455-1,공공용시설,(신규)건설과 비상급수시설,,,(신규)건설과비상급수시설_경기도화성시만세구서신면사곶리455-1
205,민방위급수시설,11_46_01_P,5530000,5740000-E202500010,2025-10-16,,1,영업/정상,18,사용중,,,,,,140.0,,경기도 화성시 만세구 향남읍 하길리 734,경기도 화성시 만세구 향남읍 마곡동길 113-8,18608,(신규)건설과 비상급수시설,2026-02-01 09:45:07,U,2026-02-04 01:35:23,,192980.47664179,399615.226649568,경기도 화성시 만세구 향남읍 하길리 734,공공용시설,(신규)건설과 비상급수시설,,,(신규)건설과비상급수시설_경기도화성시만세구향남읍하길리734
203,민방위급수시설,11_46_01_P,5530000,5740000-E202500009,2025-10-16,,1,영업/정상,18,사용중,,,,,,150.0,,경기도 화성시 만세구 향남읍 하길리 709-9,경기도 화성시 만세구 향남읍 마곡동길 116,18608,(신규)건설과 비상급수시설,2026-02-01 09:45:07,U,2026-02-04 01:35:23,,193101.501596015,399638.654647547,경기도 화성시 만세구 향남읍 하길리 709-9,공공용시설,(신규)건설과 비상급수시설,,,(신규)건설과비상급수시설_경기도화성시만세구향남읍하길리709-9
202,민방위급수시설,11_46_01_P,5530000,5750000-E202500008,2025-10-16,,1,영업/정상,18,사용중,,,,,,155.0,,경기도 화성시 효행구 봉담읍 내리 156,경기도 화성시 효행구 봉담읍 청궁안뜰길 55,18294,(신규)건설과 비상급수시설,2026-02-01 09:45:07,U,2026-02-04 01:35:23,,193812.138819848,414730.695207971,경기도 화성시 효행구 봉담읍 내리 156,공공용시설,(신규)건설과 비상급수시설,,,(신규)건설과비상급수시설_경기도화성시효행구봉담읍내리156
206,민방위급수시설,11_46_01_P,5530000,5750000-E202500016,2025-10-16,,1,영업/정상,18,사용중,,,,,,140.0,,경기도 화성시 효행구 매송면 천천리 326-2,경기도 화성시 효행구 매송면 매송고색로 364-7,18290,(신규) 건설과 비상급수시설,2026-02-01 09:45:07,U,2026-02-04 01:35:23,,195039.476010416,415702.209363149,경기도 화성시 효행구 매송면 천천리 326-2,공공용시설,(신규) 건설과 비상급수시설,,,(신규)건설과비상급수시설_경기도화성시효행구매송면천천리326-2
179,민방위급수시설,11_46_01_P,5530000,5750000-E202500013,2025-10-16,,1,영업/정상,18,사용중,,,,,,146.0,,경기도 화성시 효행구 비봉면 자안리 176,경기도 화성시 효행구 비봉면 자청로 86,18293,(신규)건설과 비상급수시설,2026-02-01 09:45:07,U,2026-02-04 01:35:23,,189511.032832826,411743.05147247,경기도 화성시 효행구 비봉면 자안리 176,공공용시설,(신규)건설과 비상급수시설,,,(신규)건설과비상급수시설_경기도화성시효행구비봉면자안리176
180,민방위급수시설,11_46_01_P,5530000,5740000-E202500014,2025-10-16,,1,영업/정상,18,사용중,,,,,,273.0,,경기도 화성시 만세구 마도면 쌍송리 254,경기도 화성시 만세구 마도면 마도로 760,18541,(신규)건설과 비상급수시설,2026-02-01 09:45:07,U,2026-02-04 01:35:23,,180936.903751719,409953.794702994,경기도 화성시 만세구 마도면 쌍송리 254,공공용시설,(신규)건설과 비상급수시설,,,(신규)건설과비상급수시설_경기도화성시만세구마도면쌍송리254
177,민방위급수시설,11_46_01_P,5530000,5740000-E202500011,2025-10-16,,1,영업/정상,18,사용중,,,,,,164.0,,경기도 화성시 만세구 남양읍 문호리 847,경기도 화성시 만세구 남양읍 남양서로416번길 46-37,18251,(신규)건설과 비상급수시설,2026-02-01 09:45:07,U,2026-02-04 01:35:23,,182899.58368187,416157.317199152,경기도 화성시 만세구 남양읍 문호리 847,공공용시설,(신규)건설과 비상급수시설,,,(신규)건설과비상급수시설_경기도화성시만세구남양읍문호리847
178,민방위급수시설,11_46_01_P,5530000,5740000-E202500012,2025-10-16,,1,영업/정상,18,사용중,,,,,,140.0,,경기도 화성시 만세구 남양읍 문호리 878,경기도 화성시 만세구 남양읍 남양서로416번길 120-10,18251,(신규)건설과 비상급수시설,2026-02-01 09:45:07,U,2026-02-04 01:35:23,,183145.344924809,416439.150606104,경기도 화성시 만세구 남양읍 문호리 878,공공용시설,(신규)건설과 비상급수시설,,,(신규)건설과비상급수시설_경기도화성시만세구남양읍문호리878
467,민방위급수시설,11_46_01_P,4641000,4651000-E202200007,2025-09-29,,1,영업/정상,18,사용중,,,,,,30.0,,전북특별자치도 전주시 완산구 색장동 706-2,"전북특별자치도 전주시 완산구 신리로 206-81, 호남권역 유물창고 예담고(사무동) (색장동)",55112,호남권역 유물창고 예담고(사무동),2026-02-12 10:48:48,U,2026-02-14 02:40:00,,218030.621149485,254027.249770664,전북특별자치도 전주시 완산구 색장동 706-2,공공용시설,호남권역 유물창고 예담고(사무동),,,호남권역유물창고예담고(사무동)_전북특별자치도전주시완산구색장동706-2
466,민방위급수시설,11_46_01_P,4641000,4651000-E202200008,2025-09-29,,1,영업/정상,18,사용중,,,,,,90.0,,전북특별자치도 전주시 완산구 색장동 산 63,"전북특별자치도 전주시 완산구 은석길 32-134, 호남권역 유물창고 예담고(정문) (색장동)",55112,호남권역 유물창고 예담고(정문),2026-02-12 10:50:12,U,2026-02-14 02:40:00,,217907.392952876,254339.359691174,전북특별자치도 전주시 완산구 색장동 산 63,공공용시설,호남권역 유물창고 예담고(정문),,,호남권역유물창고예담고(정문)_전북특별자치도전주시완산구색장동산63
264,민방위급수시설,11_46_01_P,3780000,3800000-E202500002,2025-09-19,,1,영업/정상,18,사용중,,,,,,120.0,,경기도 성남시 중원구 금광동 2685 신구대학,"경기도 성남시 중원구 광명로 377, 신구대학 (금광동)",13174,신구대학,2026-02-02 18:14:37,U,2026-02-04 02:40:00,,214800.841960983,438522.159034993,경기도 성남시 중원구 금광동 2685 신구대학,공공용시설,신구대학,,,신구대학_경기도성남시중원구금광동2685신구대학
465,민방위급수시설,11_46_01_P,4641000,4651000-E202100003,2025-09-11,,1,영업/정상,18,사용중,,,,,,70.0,,전북특별자치도 전주시 완산구 서서학동 998-8 전주천년한지관,"전북특별자치도 전주시 완산구 흑석로 85, 전주천년한지관 (서서학동)",55114,전주천년한지관,2026-02-12 10:54:21,U,2026-02-14 02:40:00,,213467.21836948,255185.485205282,전북특별자치도 전주시 완산구 서서학동 998-8 전주천년한지관,지자체시설,전주천년한지관,,,전주천년한지관_전북특별자치도전주시완산구서서학동998-8전주천년한지관
473,민방위급수시설,11_46_01_P,5350000,5350000-E202500005,2025-09-08,,1,영업/정상,18,사용중,,,,,,88.0,,경상남도 김해시 상동면 묵방리 712-1,,,묵방마을간이상수도,2026-02-13 09:48:36,U,2026-02-15 02:40:00,,372739.127273813,199928.766983737,경상남도 김해시 상동면 묵방리 712-1,공공용시설,묵방마을간이상수도,,,묵방마을간이상수도_경상남도김해시상동면묵방리712-1
442,민방위급수시설,11_46_01_P,4940000,4940000-E202500001,2025-09-05,,1,영업/정상,18,사용중,,,,,,400.0,,전라남도 영암군 영암읍 회문리 414-1 옆 414-2(영암로 1394),전라남도 영암군 영암읍 영암로 1392,58420,비상급수수원_생활용수,2026-02-09 10:21:08,U,2026-02-11 02:40:00,,170900.723020968,143983.392598265,전라남도 영암군 영암읍 회문리 414-1 옆 414-2(영암로 1394),공공용시설,비상급수수원_생활용수,,,비상급수수원_생활용수_전라남도영암군영암읍회문리414-1옆414-2(영암로1394)
267,민방위급수시설,11_46_01_P,3180000,3180000-E202500001,2025-08-29,,1,영업/정상,18,사용중,,,,,,65.0,,서울특별시 영등포구 대림동 948-1 강남성심병원,"서울특별시 영등포구 신길로 1, 강남성심병원 대림동 (대림동)",07441,강남성심병원,2026-02-02 13:10:15,U,2026-02-04 02:40:00,,191856.261805151,443459.357676774,서울특별시 영등포구 대림동 948-1 강남성심병원,공공용시설,강남성심병원,,,강남성심병원_서울특별시영등포구대림동948-1강남성심병원
92,민방위급수시설,11_46_01_P,5530000,5740000-E202500006,2025-07-17,,1,영업/정상,18,사용중,,,,,,410.0,,경기도 화성시 만세구 팔탄면 화당리 256-5 발안컨트리클럽,"경기도 화성시 만세구 팔탄면 3.1만세로 641-28, 발안컨트리클럽",18578,신창기업(주)발리오스 컨트리클럽(골프) (해제후지정),2026-02-01 09:45:07,U,2026-02-03 02:40:00,,,,경기도 화성시 만세구 팔탄면 화당리 256-5 발안컨트리클럽,공공용시설,신창기업(주)발리오스 컨트리클럽(골프) (해제후지정),,,신창기업(주)발리오스컨트리클럽(골프)(해제후지정)_경기도화성시만세구팔탄면화당리256-5발안컨트리클럽
200,민방위급수시설,11_46_01_P,5530000,5740000-E202500005,2025-07-17,,1,영업/정상,18,사용중,,,,,,400.0,,경기도 화성시 만세구 마도면 고모리 625-2 LINK LINE G.C 클럽하우스,"경기도 화성시 만세구 마도면 해운로630번길 49, LINK LINE G.C 클럽하우스",18544,(신규) 금당개발 링크나인 골프클럽,2026-02-01 09:45:07,U,2026-02-04 01:35:23,,178106.049622798,407750.209995288,경기도 화성시 만세구 마도면 고모리 625-2 LINK LINE G.C 클럽하우스,공공용시설,(신규) 금당개발 링크나인 골프클럽,,,(신규)금당개발링크나인골프클럽_경기도화성시만세구마도면고모리625-2LINKLINEG.C클럽하우스
201,민방위급수시설,11_46_01_P,5530000,5740000-E202500007,2025-07-17,,1,영업/정상,18,사용중,,,,,,100.0,,경기도 화성시 만세구 팔탄면 해창리 254-4,경기도 화성시 만세구 팔탄면 3.1만세로 641-15,18578,(신규) 신창기업 승마,2026-02-01 09:45:07,U,2026-02-04 01:35:23,,188209.475835746,400745.514624109,경기도 화성시 만세구 팔탄면 해창리 254-4,공공용시설,(신규) 신창기업 승마,,,(신규)신창기업승마_경기도화성시만세구팔탄면해창리254-4
198,민방위급수시설,11_46_01_P,5530000,5770000-E202500003,2025-07-10,,1,영업/정상,18,사용중,,,,,,100.0,,경기도 화성시 동탄구 금곡동 583-2 삼지전자(주),"경기도 화성시 동탄구 금곡로 63-27, 삼지전자(주) (금곡동)",18511,(신규)삼지전자,2026-02-01 09:45:07,U,2026-02-04 01:35:23,,206703.980626602,407190.896241299,경기도 화성시 동탄구 금곡동 583-2 삼지전자(주),공공용시설,(신규)삼지전자,,,(신규)삼지전자_경기도화성시동탄구금곡동583-2삼지전자(주)
