"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물운송업","02_03_12_P","3560000","356000005020260005","2026-04-01","","01","영업/정상","0000","정상","","","","","","0","","인천광역시 서구 석남동 *** 인천상가","인천광역시 서구 서달로***번길 *, 인천상가 ***호 (석남동)","22800","댕댕살롱","2026-04-01 17:48:09","I","2026-04-03 00:20:02","","171483.843258547","445699.303599512","동물운송업","동물운송업","000","0",
"2","동물운송업","02_03_12_P","5080000","508000005020260002","2026-04-01","","01","영업/정상","0000","정상","","","","","","0","","경상북도 구미시 산동읍 봉산리 ***-*","경상북도 구미시 산동읍 산호대로**길 *-**","39172","뽀댕유치원 애견호텔","2026-04-01 16:30:45","I","2026-04-03 00:20:02","","329785.661497476","294073.529344338","동물운송업","동물운송업","000","0",
"3","동물운송업","02_03_12_P","3740000","374000005020260009","2026-04-01","","01","영업/정상","0000","정상","","","","","","0","","경기도 수원시 권선구 오목천동 **** 쌍용더플래티넘오목천역","경기도 수원시 권선구 삼천병마로****번길 **, ***동 ***호 (오목천동, 쌍용더플래티넘오목천역)","16636","pet257마8114","2026-04-01 15:17:21","I","2026-04-03 00:20:02","","","","동물운송업","동물운송업","000","0",
"4","동물운송업","02_03_12_P","3120000","312000005020260003","2026-04-01","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 서대문구 북가좌동 **-*","서울특별시 서대문구 거북골로**다길 ** (북가좌동)","03683","박경준","2026-04-01 09:50:48","I","2026-04-03 00:20:02","","192220.981525731","452984.294098013","동물운송업","동물운송업","000","0",
"5","동물운송업","02_03_12_P","5350000","535000005020260005","2026-04-01","","01","영업/정상","0000","정상","","","","","","0","","경상남도 김해시 주촌면 천곡리 ****-*","경상남도 김해시 주촌면 선천남로 **","51025","놀러오개 애견유치원 애견호텔 김해점","2026-04-01 10:26:07","I","2026-04-03 00:20:02","","367583.189627407","193901.310637869","동물운송업","동물운송업","000","0",
"6","동물운송업","02_03_12_P","3970000","397000005020250003","2025-10-20","","01","영업/정상","0000","정상","","","","","","0","","경기도 과천시 과천동 *** 다미엘A동 ***호","경기도 과천시 양지마을*로 **, A동 *층 ***호 (과천동, 다미엘A동)","13813","놀러오개 애견유치원 애견호텔 서초점","2026-04-01 13:21:16","U","2026-04-03 02:40:00","","199425.229152635","438869.775592893","동물운송업","동물운송업","000","0",
"7","동물운송업","02_03_12_P","3110000","311000005020250003","2025-03-07","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 은평구 구산동 ***-** OM프라임 ***호","서울특별시 은평구 갈현로**길 **, ***호 (구산동, OM프라임)","03429","pet240거1393","2026-04-01 13:32:36","U","2026-04-03 02:40:00","","191803.380526959","456221.764474481","동물운송업","동물운송업","000","0",
"8","동물운송업","02_03_12_P","3240000","324000005020250003","2025-03-20","","03","폐업","0002","폐업","2026-04-01","","","","","0","","서울특별시 강동구 성내동 ***-* 오스카빌딩","서울특별시 강동구 양재대로 ****, 오스카빌딩 *층 *호 (성내동)","05404","킨더라스 2호차(284부 4222)","2026-04-01 16:41:12","U","2026-04-03 02:40:00","","211912.282694478","447248.126116539","동물운송업","동물운송업","L00","0",
"9","동물운송업","02_03_12_P","6520000","652000005020200006","2020-06-24","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 서귀포시 대정읍 구억리 ***-**","제주특별자치도 서귀포시 대정읍 중산간서로 ****","63519","왈 도그 케어 플레이스(WAL Dog Care Place Ltd)","2026-04-01 15:50:44","U","2026-04-03 02:40:00","","134064.49978276","-23840.2500998795","동물운송업","동물운송업","000","0",
"10","동물운송업","02_03_12_P","5530000","577000005020260005","2026-04-02","","01","영업/정상","0000","정상","","","","","","0","","경기도 화성시 동탄구 청계동 *** 동탄역 센트럴 푸르지오","경기도 화성시 동탄구 동탄순환대로**길 **, ****동 ****호 (청계동, 동탄역 센트럴 푸르지오)","18482","pet256오2934","2026-04-02 13:30:54","I","2026-04-04 00:20:02","","210217.733003909","410591.146065571","동물운송업","동물운송업","000","0",
