"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","의자수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","침대수","다중이용업소여부",
"1","이용업","05_19_01_P","5130000","5130000-203-2026-00001","2026-02-06","","01","영업/정상","01","영업","","","","","","23.10","712-150","경상북도 경산시 임당동 526-2","경상북도 경산시 둥지로 113-1, 1층 (임당동)","38520","국도 이용소","2026-03-01 09:57:21","U","2026-03-04 02:40:00","일반이용업","357674.279900895","261731.113085686","일반이용업","2","0","1","1","0","0","1","","","","자가","0","0","0","N",
"2","이용업","05_19_01_P","3510500","3510500-203-2026-00001","2026-03-03","","01","영업/정상","01","영업","","","","","","17.85","","인천광역시 미추홀구 숭의동 1-165","인천광역시 미추홀구 경인로142번길 27-3, 1층 (숭의동)","22164","남자의 시간","2026-03-03 10:26:08","I","2026-03-05 00:20:02","일반이용업","169657.034613369","440388.085043","일반이용업","0","0","1","1","0","0","2","","","","","0","0","0","N",
"3","이용업","05_19_01_P","3940000","3950000-203-2026-00001","2026-03-03","","01","영업/정상","01","영업","","","","","","44.96","412-180","경기도 고양시 덕양구 향동동 469 DMC스타비즈 4st 124호","경기도 고양시 덕양구 향동로 128, DMC스타비즈 4st 124호 (향동동)","10545","핫독바버샵 향동점","2026-03-03 15:42:31","I","2026-03-05 00:20:02","일반이용업","190220.795104756","455402.818543143","일반이용업","0","0","0","0","0","0","3","","","","","0","0","0","N",
"4","이용업","05_19_01_P","3410000","3410000-203-2026-00001","2026-03-03","","01","영업/정상","01","영업","","","","","","0.00","700-440","대구광역시 중구 남산동 0665 반월당삼정그린코아아파트 지하2층","대구광역시 중구 중앙대로67길 10, 지하2층 (남산동, 반월당삼정그린코아아파트)","41967","삼정이용소","2026-03-03 11:15:03","I","2026-03-05 00:20:02","일반이용업","343763.427391628","263768.952127714","일반이용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"5","이용업","05_19_01_P","3830000","3850000-203-2023-00004","2023-09-07","","01","영업/정상","01","영업","","","","","031 3872525","0.00","431-812","경기도 안양시 동안구 호계동 1045-6 원천빌딩","경기도 안양시 동안구 평촌대로223번길 52, 원천빌딩 3층 302호 (호계동)","14072","블랙어게인맨즈 범계점","2026-03-03 11:37:55","U","2026-03-05 02:40:00","일반이용업","195746.948393631","432071.132102399","일반이용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"6","이용업","05_19_01_P","5110000","5110000-203-2001-00087","1990-04-17","","03","폐업","02","폐업","2026-03-03","","","","054 5356593","16.03","742-050","경상북도 상주시 서성동 90-2","경상북도 상주시 서성3길 23 (서성동)","37189","서성이용소","2026-03-03 15:23:13","U","2026-03-05 02:40:00","일반이용업","304019.706133138","324731.387665933","일반이용업","1","0","1","1","0","0","2","","","","임대","0","0","0","N",
"7","이용업","05_19_01_P","4820000","4820000-203-2024-00003","2024-02-06","","03","폐업","02","폐업","2026-03-03","","","","","48.83","540-210","전라남도 순천시 중앙동 22","전라남도 순천시 중앙6길 12, 1층 (중앙동)","57942","압구정동남성헤어샵커트","2026-03-03 15:41:56","U","2026-03-05 02:40:00","일반이용업","244197.229126548","162004.242123503","일반이용업","1","0","0","0","0","0","3","","","","임대","0","0","0","N",
"8","이용업","05_19_01_P","5020000","5040000-203-1997-00015","1997-04-02","","01","영업/정상","01","영업","","","","","05425622220","23.32","791-850","경상북도 포항시 북구 장성동 1353-2","경상북도 포항시 북구 용두산길 29 (장성동)","37609","유림이용소","2026-03-03 14:58:57","U","2026-03-05 02:40:00","일반이용업","414447.616448191","287706.815434305","일반이용업","4","0","4","4","0","0","5","","","","임대","0","0","0","N",
"9","이용업","05_19_01_P","3320000","3320000-203-2020-00004","2020-06-02","","03","폐업","02","폐업","2026-03-03","","","","","33.27","616-814","부산광역시 북구 덕천동 374-5","부산광역시 북구 만덕대로 129, 1층 (덕천동)","46554","비젠트","2026-03-03 16:00:24","U","2026-03-05 02:40:00","일반이용업","383755.563392214","192321.951541002","일반이용업","0","0","1","1","0","0","2","","","","","0","0","0","N",
"10","이용업","05_19_01_P","3740000","3770000-203-2025-00004","2025-08-27","","03","폐업","02","폐업","2026-03-03","","","","","20.00","442-864","경기도 수원시 팔달구 화서동 214-1","경기도 수원시 팔달구 동말로25번길 88, 1층 (화서동)","16443","잘라드림","2026-03-03 14:13:04","U","2026-03-05 02:40:00","일반이용업","199487.448129239","419943.45627635","일반이용업","3","1","1","1","0","0","2","","","","","0","0","0","N",
"11","이용업","05_19_01_P","4390000","4390000-203-2023-00001","2023-01-30","","01","영업/정상","01","영업","","","","","043 847 2233","10.00","380-962","충청북도 충주시 연수동 616","충청북도 충주시 금곡로 49-10, 4층 (연수동)","27342","충주스파이용원","2026-03-03 09:32:07","U","2026-03-05 02:40:00","일반이용업","283368.212519126","388076.846996579","일반이용업","4","1","0","0","1","1","1","","","","임대","0","0","0","N",
"12","이용업","05_19_01_P","3460000","3460000-203-1999-00027","1999-03-13","","03","폐업","02","폐업","2026-03-03","","","","053 792 3219","31.68","706-220","대구광역시 수성구 시지동 141-5 시지은세계아파트 상가동 102호","대구광역시 수성구 달구벌대로 3081, 상가동 102호 (시지동,시지은세계아파트)","42262","유신이용소","2026-03-03 14:04:35","U","2026-03-05 02:40:00","일반이용업","353031.842097043","261796.062018075","일반이용업","3","0","1","1","0","0","4","","","","임대","0","0","0","N",
"13","이용업","05_19_01_P","3830000","3850000-203-2007-00004","2007-06-01","","03","폐업","02","폐업","2026-03-03","","","","031 3954792","16.80","431-825","경기도 안양시 동안구 비산동 379-3 동양월드타워 지하2층 214호","경기도 안양시 동안구 관악대로 183 (비산동,동양월드타워 지하2층 214호)","13920","도도이발","2026-03-03 10:22:52","U","2026-03-05 02:40:00","일반이용업","","","일반이용업","0","0","0","0","2","2","3","","","","","0","0","0","N",
"14","이용업","05_19_01_P","5440000","5440000-203-1977-00015","1977-11-10","","03","폐업","02","폐업","2026-03-03","","","","055883 2372","0.00","667-823","경상남도 하동군 화개면 삼신리 1232-5","경상남도 하동군 화개면 화개로 317-3","52303","삼신이용원","2026-03-03 14:48:37","U","2026-03-05 02:40:00","일반이용업","257972.136033993","190497.676479805","일반이용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"15","이용업","05_19_01_P","3940000","3950000-203-2023-00002","2023-10-31","","03","폐업","02","폐업","2026-03-03","","","","","13.22","412-836","경기도 고양시 덕양구 행신동 950 희성프라자 9층호","경기도 고양시 덕양구 중앙로 554, 희성프라자 9층 일부호 (행신동)","10495","고양스파이용원","2026-03-03 14:32:09","U","2026-03-05 02:40:00","일반이용업","185442.860419036","457940.495264944","일반이용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"16","이용업","05_19_01_P","3290000","3290000-203-2026-00004","2026-03-04","","01","영업/정상","01","영업","","","","","","16.62","614-820","부산광역시 부산진구 부암동 538-14 협성프라자","부산광역시 부산진구 당감로 104, 협성프라자 3층 일부호 (부암동)","47136","피닉스 이용원","2026-03-04 18:01:32","I","2026-03-06 00:20:02","일반이용업","385620.26098377","187648.451273509","일반이용업","7","2","3","3","0","0","1","","","","","0","0","0","N",
