번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총직원수,주사육업종,Unnamed: 34,record_key
1246,가축사육업,02_04_01_P,4420000,442000003320260006,2026-02-26,,1,영업/정상,0,정상,,,,,,,,충청북도 보은군 탄부면 대양리 **-*,충청북도 보은군 탄부면 대양길 ***-**,28962,영농조합법인 대통농산 보은지점,2026-02-26 14:19:45,I,2026-02-28 00:20:02,,272240.292573259,324451.537574,가축사육업,,1471,L00,0,종계/산란계,,영농조합법인대통농산보은지점_충청북도보은군탄부면대양리**-*
1248,가축사육업,02_04_01_P,4090000,409000003320260003,2026-02-26,,1,영업/정상,0,정상,,,,,,,,경기도 김포시 대곶면 약암리 ***,,,솔비농장,2026-02-26 08:59:09,I,2026-02-28 00:20:02,,161416.203573817,457561.587757446,가축사육업,,800,000,0,한우,,솔비농장_경기도김포시대곶면약암리***
1249,가축사육업,02_04_01_P,4960000,496000003320260002,2026-02-26,,1,영업/정상,0,정상,,,,,,,,전라남도 함평군 월야면 정산리 ***-*,,,신기농장,2026-02-26 17:55:19,I,2026-02-28 00:20:02,,164836.627816707,189682.497884833,가축사육업,,2520,000,0,한우,,신기농장_전라남도함평군월야면정산리***-*
1250,가축사육업,02_04_01_P,4181000,418100003320260003,2026-02-26,,1,영업/정상,0,정상,,,,,,,,"강원특별자치도 춘천시 동산면 군자리 *** 외 **필지(***-*,-*,-*,-*,-*,-*,-**,-**,****-*,***)",강원특별자치도 춘천시 동산면 새술막길 ***,24409,승영목장1,2026-02-26 17:02:04,I,2026-02-28 00:20:02,,265015.901813201,475178.671589791,가축사육업,,1061,000,0,한우,,"승영목장1_강원특별자치도춘천시동산면군자리***외**필지(***-*,-*,-*,-*,-*,-*,-**,-**,****-*,***)"
1251,가축사육업,02_04_01_P,4291000,429100003320260003,2026-02-26,,1,영업/정상,0,정상,,,,,,,,"강원특별자치도 정선군 임계면 봉산리 *** , ***-*",강원특별자치도 정선군 임계면 백두대간로 ****,26113,김현철 농장,2026-02-26 11:37:15,I,2026-02-28 00:20:02,,363153.093400685,444389.000822914,가축사육업,,833,000,0,염소,,"김현철농장_강원특별자치도정선군임계면봉산리***,***-*"
1252,가축사육업,02_04_01_P,5570000,557000003320260002,2026-02-26,,1,영업/정상,0,정상,,,,,,,,충청북도 증평군 도안면 석곡리 ***,충청북도 증평군 도안면 상그린로 ***,27905,희성농장,2026-02-26 07:53:48,I,2026-02-28 00:20:02,,255699.68785182,369444.744328112,가축사육업,,462,000,0,한우,,희성농장_충청북도증평군도안면석곡리***
1194,가축사육업,02_04_01_P,4540000,454000003320260002,2026-02-25,,1,영업/정상,0,정상,,,,,,,,충청남도 논산시 연무읍 죽본리 ***,,,서재식농장,2026-02-25 17:18:19,I,2026-02-27 00:20:02,,210716.808660893,294228.957161902,가축사육업,,1830,000,0,염소,,서재식농장_충청남도논산시연무읍죽본리***
1195,가축사육업,02_04_01_P,5480000,548000003320260007,2026-02-25,,1,영업/정상,0,정상,,,,,,,,"경상남도 합천군 가야면 사촌리 **** , ****-*",경상남도 합천군 가야면 매화산로 ***-**,50203,매화산농장,2026-02-25 11:31:02,I,2026-02-27 00:20:02,,300619.914109196,250965.443814768,가축사육업,,2837,000,0,염소,,"매화산농장_경상남도합천군가야면사촌리****,****-*"
1200,가축사육업,02_04_01_P,4681000,468100003320260003,2026-02-25,,1,영업/정상,0,정상,,,,,,,,전북특별자치도 익산시 함라면 신목리 ****,전북특별자치도 익산시 함라면 소룡길 **-**,54503,소룡농장,2026-02-25 16:36:04,I,2026-02-27 00:20:02,,188978.278659915,281221.397393581,가축사육업,,2370,000,0,종계/산란계,,소룡농장_전북특별자치도익산시함라면신목리****
1197,가축사육업,02_04_01_P,4540000,454000003320260004,2026-02-25,,1,영업/정상,0,정상,,,,,,,,충청남도 논산시 가야곡면 강청리 ***,충청남도 논산시 가야곡면 가야로***번길 **-**,33019,강청목장,2026-02-25 17:27:03,I,2026-02-27 00:20:02,,214252.414164457,293863.251344993,가축사육업,,1832,000,0,젖소,,강청목장_충청남도논산시가야곡면강청리***
1196,가축사육업,02_04_01_P,4540000,454000003320260003,2026-02-25,,1,영업/정상,0,정상,,,,,,,,충청남도 논산시 광석면 갈산리 ***-*,충청남도 논산시 광석면 논산평야로 ***-**,32924,동신163,2026-02-25 17:23:02,I,2026-02-27 00:20:02,,206275.728143326,301887.605990781,가축사육업,,1831,000,0,한우,,동신163_충청남도논산시광석면갈산리***-*
1245,가축사육업,02_04_01_P,4910000,491000003320260002,2026-02-25,,1,영업/정상,0,정상,,,,,,,,전라남도 장흥군 대덕읍 연지리 *** 가동,,,민우네농장,2026-02-25 11:35:24,I,2026-02-28 00:20:02,,190959.084976741,112404.152294015,가축사육업,,2189,000,0,한우,,민우네농장_전라남도장흥군대덕읍연지리***가동
1247,가축사육업,02_04_01_P,4691000,469100003320260004,2026-02-25,,1,영업/정상,0,정상,,,,,,,,전북특별자치도 정읍시 입암면 등천리 ***-*,전북특별자치도 정읍시 입암면 입암로 **-***,56215,유정농장,2026-02-26 11:27:26,I,2026-02-28 00:20:02,,181044.595842803,219491.943765114,가축사육업,,4276,000,0,염소,,유정농장_전북특별자치도정읍시입암면등천리***-*
1199,가축사육업,02_04_01_P,5390000,539000003320260001,2026-02-25,,1,영업/정상,0,정상,,,,,,,,"경상남도 의령군 궁류면 다현리 *** ,***, ***",경상남도 의령군 궁류면 궁류로**길 **-**,52112,청정농장,2026-02-25 13:33:08,I,2026-02-27 00:20:02,,313117.096757437,218382.026597008,가축사육업,,676,000,0,한우,,"청정농장_경상남도의령군궁류면다현리***,***,***"
1198,가축사육업,02_04_01_P,4691000,469100003320260005,2026-02-25,,1,영업/정상,0,정상,,,,,,,,전북특별자치도 정읍시 옹동면 오성리 ***-*,전북특별자치도 정읍시 옹동면 두립길 ***-**,56117,한길농장,2026-02-25 16:32:48,I,2026-02-27 00:20:02,,198393.858264712,238984.046652614,가축사육업,,4277,000,0,염소,,한길농장_전북특별자치도정읍시옹동면오성리***-*
1138,가축사육업,02_04_01_P,4840000,484000003320260001,2026-02-24,,1,영업/정상,0,정상,,,,,,,,"전라남도 광양시 옥룡면 죽천리 죽천리 ****-*, ****-*, ****-*, ****-*, ****-*번지","전라남도 광양시 옥룡면 마방길 **, 옥룡면 죽천리 **-* 동.식물관련시설 (송수",57703,다윤축산,2026-02-24 10:19:56,I,2026-02-26 00:20:08,,,,가축사육업,,254,000,0,한우,,"다윤축산_전라남도광양시옥룡면죽천리죽천리****-*,****-*,****-*,****-*,****-*번지"
1137,가축사육업,02_04_01_P,4681000,468100003320260002,2026-02-24,,1,영업/정상,0,정상,,,,,,,,전북특별자치도 익산시 용안면 덕용리 ***,전북특별자치도 익산시 용안면 간지평길 ***-***,54508,시현 용안 축사,2026-02-24 10:42:02,I,2026-02-26 00:20:08,,195415.221078349,288109.794726286,가축사육업,,2369,000,0,한우,,시현용안축사_전북특별자치도익산시용안면덕용리***
1136,가축사육업,02_04_01_P,4920000,492000003320260006,2026-02-24,,1,영업/정상,0,정상,,,,,,,,전라남도 강진군 신전면 수양리 **-*,전라남도 강진군 신전면 주작산길 **-**,,수인2농장,2026-02-24 11:15:45,I,2026-02-26 00:20:08,,173168.066429852,113350.754832809,가축사육업,,2322,000,0,한우,,수인2농장_전라남도강진군신전면수양리**-*
1135,가축사육업,02_04_01_P,4920000,492000003320260005,2026-02-24,,1,영업/정상,0,정상,,,,,,,,전라남도 강진군 군동면 덕천리 ****-*,전라남도 강진군 군동면 군장로 **-**,59257,호야농장,2026-02-24 11:05:34,I,2026-02-26 00:20:08,,183171.983004575,125961.489824817,가축사육업,,2321,000,0,염소,,호야농장_전라남도강진군군동면덕천리****-*
1133,가축사육업,02_04_01_P,4930000,493000003320260001,2026-02-24,,1,영업/정상,0,정상,,,,,,,,전라남도 해남군 계곡면 가학리 ***,,,행운농장,2026-02-24 13:27:43,I,2026-02-26 00:20:08,,162493.74577338,127665.42631542,가축사육업,,2012,000,0,한우,,행운농장_전라남도해남군계곡면가학리***
1132,가축사육업,02_04_01_P,4520000,452000003320260005,2026-02-24,,1,영업/정상,0,정상,,,,,031-681-7400,,,충청남도 아산시 영인면 창용리 ***-**,충청남도 아산시 영인면 아산호로 ***-**,31401,아산농장,2026-02-24 22:33:02,I,2026-02-26 00:20:08,,,,가축사육업,,1543,L00,0,종계/산란계,,아산농장_충청남도아산시영인면창용리***-**
1131,가축사육업,02_04_01_P,5210000,521000003320260002,2026-02-24,,1,영업/정상,0,정상,,,,,,,,경상북도 성주군 선남면 오도리 ***,경상북도 성주군 선남면 문방길 **-**,40042,이언순 농장,2026-02-24 13:40:42,I,2026-02-26 00:20:08,,321208.511628224,269589.812942393,가축사육업,,975,000,0,염소,,이언순농장_경상북도성주군선남면오도리***
1134,가축사육업,02_04_01_P,5330000,533000003320260001,2026-02-24,,1,영업/정상,0,정상,,,,,,,,경상남도 통영시 산양읍 남평리 ***,,,정현농장,2026-02-24 15:37:47,I,2026-02-26 00:20:08,,328661.675351462,146234.219510315,가축사육업,,173,000,0,염소,,정현농장_경상남도통영시산양읍남평리***
1053,가축사육업,02_04_01_P,4430000,443000003320260004,2026-02-23,,1,영업/정상,0,정상,,,,,,,,충청북도 옥천군 군서면 오동리 ***,충청북도 옥천군 군서면 오동*길 **-**,,부흥흑염소농장,2026-02-23 17:40:24,I,2026-02-25 00:20:01,,247228.498949423,312253.48098885,가축사육업,,1070,000,0,염소,,부흥흑염소농장_충청북도옥천군군서면오동리***
