번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),수리대상 의료기기의 유형,다른 겸업 여부,총규모,영업규모,Unnamed: 32,record_key
1566,의료기기판매(임대)업,01_02_03_P,4191000,PHMG120244191050047000134,2026-03-23,,3,폐업,3,폐업,2026-03-23,,,,,,,강원특별자치도 원주시 판부면 서곡리 **** 남원주코아루 미소지움 아파트,"강원특별자치도 원주시 판부면 남원로 ***, ***동 ***호 (남원주코아루 미소지움 아파트)",26399,청개구리 농미남,2026-02-24 09:17:47,U,2026-02-26 02:40:00,,283308.841417322,424799.350536335,,,,,,청개구리농미남_강원특별자치도원주시판부면서곡리****남원주코아루미소지움아파트
1521,의료기기판매(임대)업,01_02_03_P,4191000,PHMG120234191050047000011,2026-03-23,,3,폐업,3,폐업,2026-03-23,,,,,,,강원특별자치도 원주시 단구동 ****-*,강원특별자치도 원주시 단관길 **-* (단구동),26490,주식회사 고니메드,2026-02-24 09:20:53,U,2026-02-26 02:40:00,,284785.299534165,424659.363114028,,,,,,주식회사고니메드_강원특별자치도원주시단구동****-*
1662,의료기기판매(임대)업,01_02_03_P,4050000,PHMG120264050149047000017,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,경기도 용인시 수지구 풍덕천동 ***-*,"경기도 용인시 수지구 수지로***번길 **, *층 ***,***호 (풍덕천동)",16837,주식회사 로이헬스케어,2026-02-26 15:28:22,I,2026-02-28 00:20:02,,208494.353226006,424841.504523362,,,3.0,,,주식회사로이헬스케어_경기도용인시수지구풍덕천동***-*
1704,의료기기판매(임대)업,01_02_03_P,3940000,PHMG120263940138047000020,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,경기도 고양시 덕양구 화정동 **** 옥빛마을**단지,"경기도 고양시 덕양구 백양로 *, 옥빛마을**단지 ***호 (화정동)",10504,타파웨어 화정점,2026-02-26 11:18:27,I,2026-02-28 00:20:02,,185161.570906869,458211.422017688,,,,,,타파웨어화정점_경기도고양시덕양구화정동****옥빛마을**단지
1676,의료기기판매(임대)업,01_02_03_P,3420000,PHMG120263420023047000024,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,대구광역시 동구 신천동 **** 더샵디어엘로,"대구광역시 동구 화랑로 **, ***동 B**호 (신천동, 더샵디어엘로)",41252,피델리티,2026-02-26 20:39:47,I,2026-02-28 00:20:02,,,,,,23.28,,,피델리티_대구광역시동구신천동****더샵디어엘로
1666,의료기기판매(임대)업,01_02_03_P,3530000,PHMG120263530019047000018,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,인천광역시 남동구 구월동 ** 힐스테이트롯데캐슬골드*단지아파트,"인천광역시 남동구 구월로 ***, ****동 ***호 (구월동, 힐스테이트롯데캐슬골드*단지아파트)",21561,현테크,2026-02-26 16:28:31,I,2026-02-28 00:20:02,,174431.49712362,439194.306759719,,,,,,현테크_인천광역시남동구구월동**힐스테이트롯데캐슬골드*단지아파트
1665,의료기기판매(임대)업,01_02_03_P,3620000,PHMG120263620020047000013,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,광주광역시 북구 용두동 ****-**,"광주광역시 북구 신용산길 ***-**, ***호 (용두동)",61013,주식회사 제타,2026-02-26 14:07:57,I,2026-02-28 00:20:02,,188166.744593628,191976.232938678,,,26.4,,,주식회사제타_광주광역시북구용두동****-**
1697,의료기기판매(임대)업,01_02_03_P,4000000,PHMG120264000018047000006,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,경기도 오산시 원동 ***-* 패션폴라리스,"경기도 오산시 경기대로 ***, 패션폴라리스 *층 ***호 (원동)",18144,안스헬스케어,2026-02-26 11:29:06,I,2026-02-28 00:20:02,,206491.779909931,404082.012654852,,,,,,안스헬스케어_경기도오산시원동***-*패션폴라리스
1663,의료기기판매(임대)업,01_02_03_P,4050000,PHMG120264050149047000018,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,경기도 용인시 수지구 동천동 *** 수지하우비,"경기도 용인시 수지구 문인로**번길 *, 수지하우비 ***호 (동천동)",16828,그레이시티 용인점,2026-02-26 17:26:24,I,2026-02-28 00:20:02,,208559.945143383,425733.129247707,,,105.3,,,그레이시티용인점_경기도용인시수지구동천동***수지하우비
1684,의료기기판매(임대)업,01_02_03_P,3220000,PHMG120263220033047000055,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 대치동 ***-**,"서울특별시 강남구 테헤란로**길 **, ***호 (대치동)",06178,주식회사 지에스그룹,2026-02-26 17:19:41,I,2026-02-28 00:20:02,,205079.418138107,444869.834721154,,,3.3,,,주식회사지에스그룹_서울특별시강남구대치동***-**
