"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","관리업구분명","자본금","자산","보수범위","유지관리책임인력수","실무기술인력수","설계책임기술인력수","제조책임기술인력수","임원수","총직원수","기술직직원수","기능직직원수","사무직직원수","기타직원수","회사구분명","사업자등록번호",
"1","승강기유지관리업체","11_48_01_P","6530000","642000000016","1999-08-27","","01","영업/정상","1","인허가","","","","","0336526675","","","강원특별자치도 강릉시 안현동 743","강원특별자치도 강릉시 안현로 110, 1층 (안현동)","","동양이앤아이 주식회사","2026-03-03 00:00:00","U","2026-03-05 02:40:00","","","","유지관리","고속승강기,중저속승강기","510","","1400","1","0","","","","","","","","","본점","2268135395",
"2","승강기유지관리업체","11_48_01_P","6290000","629000000012","1993-01-09","","01","영업/정상","1","인허가","","","","","0623611633","","","광주광역시 서구 농성동 417-40 한국교직원공제회관","광주광역시 서구 죽봉대로 52, 한국교직원공제회관 1층(농성동)","61932","현대엘리베이터(주) 광주지사","2026-03-03 10:35:26","U","2026-03-05 02:40:00","","189311.261943371","184322.154390632","유지관리","고속승강기,중저속승강기","35662565000","","7,920","18","","","","","88","","","","","본점","4108503292",
"3","승강기유지관리업체","11_48_01_P","6110000","611000000427","2009-02-26","","01","영업/정상","1","인허가","","","","","0234421117","","","서울특별시 광진구 능동 237-11 광명빌딩 0호","서울특별시 광진구 천호대로 592, 광명빌딩 5층(능동)","04986","(주)금영제너럴","2026-03-03 13:36:53","U","2026-03-05 02:40:00","","207295.535773115","450336.900913019","유지관리","중저속승강기","450000000","","2,900","3","0","","","","0","","","","","본점","2118612828",
"4","승강기유지관리업체","11_48_01_P","6280000","628000000123","2016-07-28","","01","영업/정상","1","인허가","","","","","0325464222","","","인천광역시 계양구 계산동 926-27 나드리상가3층 27호","인천광역시 계양구 하느재로 14, 나드리상가 3층 27호 (계산동)","21040","한국엘리베이터보수관리(주)","2026-03-03 16:53:55","U","2026-03-05 02:40:00","","175658.268315376","449209.149467316","유지관리","중저속승강기","100000000","","2,250","3","0","","","","25","","","","","본점","5188800402",
"5","승강기유지관리업체","11_48_01_P","6280000","628000000071","2002-01-25","","01","영업/정상","1","인허가","","","","","0325045172","","403-030","인천광역시 부평구 청천동   425번지 우림라이온스밸리 C동 606","인천광역시 부평구 부평대로 283 (청천동,우림라이온스밸리 C동 606)","","(주)주원엘리베이터","2026-03-03 16:54:54","U","2026-03-05 02:40:00","","175126.717022995","446169.201205367","유지관리","고속승강기,중저속승강기","200000000","","3,000","3","0","","","","34","","","","","본점","1228169706",
"6","승강기유지관리업체","11_48_01_P","6410000","394000000012","2017-10-30","","01","영업/정상","1","인허가","","","","","","","10355","경기도 고양시 일산동구 중산동 1682번지 대방 트리플라온 비즈니스 타워","경기도 고양시 일산동구 하늘마을로 158, B동 5층 504호 (중산동)","10355","(주)동우엘리베이터","2026-03-03 00:00:00","U","2026-03-05 02:40:00","","","","유지관리","중저속승강기","100","","4140","4","","","","","","","","","","본점","6828800815",
"7","승강기유지관리업체","11_48_01_P","6540000","467000000003","2006-09-14","","01","영업/정상","1","인허가","","","","","006309108272","","573-885","전북특별자치도 군산시 조촌동 874번지 12호 명성빌딩","전북특별자치도 군산시 검다메안길 15, 3층 (조촌동)","573-885","(유)정현엘리베이터","2026-03-03 00:00:00","U","2026-03-05 02:40:00","","","","유지관리","중저속승강기","200","10","1890","2","0","","","","","","","","","본점","4018129816",
"8","승강기유지관리업체","11_48_01_P","6540000","464000000006","1996-01-17","","01","영업/정상","1","인허가","","","","","0632764007","","","전북특별자치도 전주시 완산구 중화산동2가 604-5","전북특별자치도 전주시 완산구 중산6길 5, 202동 202동 (중화산동2가)","","한양엘리베이터(주)","2026-03-03 00:00:00","U","2026-03-05 02:40:00","","","","유지관리","중저속승강기","210","","1000","1","0","","","","","","","","","본점","2748700581",
"9","승강기유지관리업체","11_48_01_P","6310000","631000000026","2020-11-23","","01","영업/정상","1","인허가","","","","","0522882011","","","울산광역시 북구 매곡동 918-16","울산광역시 북구 신기9길 14-1 (매곡동)","44215","주식회사 한림이엔지","2026-03-03 09:58:02","U","2026-03-05 02:40:00","","","","유지관리","중저속승강기","100000000","","810","1","","","","","9","","","","","본점","7888801674",
"10","승강기유지관리업체","11_48_01_P","6440000","644000000036","2017-08-02","","01","영업/정상","1","인허가","","","","","0415758378","","","충청남도 천안시 동남구 신방동 530번지 4호","충청남도 천안시 동남구 신방통정로 60-19 (신방동)","31210","(주)대경엘리베이터","2026-03-04 14:37:00","U","2026-03-06 02:40:00","","211384.261685055","363119.40560434","유지관리","중저속승강기","300000000","","990","2","0","","","","11","","","","","본점","4408102132",
